Niā Bhogiwāl	id=g:7043541
Miān Muhammad Din Colony	id=g:7043542
Mahallah Abdul Ghani	id=g:7043543
Jampura	id=g:7043544
Hājipura	id=g:7043545
Singhpura	id=g:7043546
Crown Baghbanpura	id=g:7043547
Ambānwāli Sarāi	id=g:7043548
Wheatman Road	id=g:7043549
Mahmud Shāh Ghazni Tomb	id=g:7043550
Shalamar Link Road	id=g:7043551
Godiānwāla	id=g:7043552
Hamīdpura	id=g:7043553
Fatehgarh Road	id=g:7043554
Upper Bāri Doāb Canal	id=g:7043555
Muslimābād Railway Station	id=g:7043556
Muhammadpura	id=g:7043557
Zarāq Colony	id=g:7043558
Muslimābad	id=g:7043559
Tājpura Housing Scheme	id=g:7043560
Harri Nagar	id=g:7043561
Al-Faisal Town	id=g:7043562
Cantonment General Hospital	id=g:7043563
Sarfarāz Rafiqi Road	id=g:7043564
Miān Mīr Railway Station	id=g:7043565
Fortress Stadium	id=g:7043566
Sarwar Road	id=g:7043567
Tufail Road	id=g:7043568
Aziz Bhatti Road	id=g:7043569
Allauddīn Road	id=g:7043570
Abid Majid Road	id=g:7043571
Saint Mary’s Church	id=g:7043572
Ayūb Stadium	id=g:7043573
Iqbāl Camp	id=g:7043574
Fazal Rahman Road	id=g:7043575
Thekri Pīr	id=g:7043576
Badian Road	id=g:7043577
Ārif Jan Road	id=g:7043578
Khurshid Alam Road	id=g:7043579
Hasnain Colony	id=g:7043580
Qāsimpura	id=g:7043581
R A Bāzār	id=g:7043582
Madīna Colony	id=g:7043583
Asif Plaza	id=g:7043584
Raza Colony	id=g:7043585
Walton Road	id=g:7043586
Bāba Charagh Ali	id=g:7043587
Pīr Colony	id=g:7043588
Al-Nūr Town	id=g:7043589
Model Colony	id=g:7043590
Nishāt Colony	id=g:7043591
Bhatta Ki	id=g:7043592
Lahore Cantonment Co-operative Housing Society	id=g:7043593
Bhule Shāh	id=g:7043594
Gulshan Colony	id=g:7043595
Gulistān Colony	id=g:7043596
Gul Colony	id=g:7043597
Muftpura	id=g:7043598
Sitāra Colony	id=g:7043599
Rehmat Colony	id=g:7043600
Sitāra Colony Number Two	id=g:7043601
Bashīr Park	id=g:7043602
Nawān Pind	id=g:7043603
Lūr Road	id=g:7043604
Gulu Kot	id=g:7043605
Yūhānābād	id=g:7043606
Glaxo Town	id=g:7043607
Head Pāra Drain	id=g:7043608
Bāba Shāh Dīn	id=g:7043609
Kot Wadhāwa Singh	id=g:7043610
Rohl Nāla	id=g:7043611
Usmānia Co-operative Housing Scheme	id=g:7043612
Bāba Shigru Shāh	id=g:7043613
Harūn Avenue	id=g:7043614
Rahmatpura	id=g:7043615
Azmatpura	id=g:7043616
Ināyatpura	id=g:7043617
Gulshan-e-Ali Housing Scheme	id=g:7043618
Tibba	id=g:7043619
Ghāzi Road	id=g:7043620
Sutlej Colony	id=g:7043621
Gujarpura	id=g:7043622
Badan Colony	id=g:7043623
Altāf Colony	id=g:7043624
Harbnci Road	id=g:7043625
Mahfūzpura	id=g:7043626
Nawān Pind	id=g:7043627
Qalandarābād	id=g:7043628
Wāra Sittar	id=g:7043629
Gulbahār Tomb	id=g:7043630
Bāra Gujrān	id=g:7043631
Sharīfpura	id=g:7043632
Basti Islāmābād	id=g:7043633
Combined Military Hospital	id=g:7043634
Islāmic Summit Memorial	id=g:7043635
Ghazi Park	id=g:7043636
Miān Mīr Colony	id=g:7043637
Bādāmi Bāgh	id=g:7043638
Gulshan Colony	id=g:7043639
Balāl Colony	id=g:7043640
Malikpura	id=g:7043641
Abbās Lines	id=g:7043642
Aflātūn Mohallah	id=g:7043643
Al-Falah	id=g:7043644
Amritsari Mohallah	id=g:7043645
Anārkali Road	id=g:7043646
Anwar Park	id=g:7043647
Ārya Nagar	id=g:7043648
Āsif Block	id=g:7043649
Askari Bāzār	id=g:7043650
Ayub Lines	id=g:7043651
Ziārat Bāba Miskīn Shāh	id=g:7043652
Ziārat Bāba Mughai Pīr	id=g:7043653
Bahār Colony	id=g:7043654
Bahār Shāh	id=g:7043655
Baitul Raza	id=g:7043656
Balāl Park	id=g:7043657
Bank Square	id=g:7043658
Bāradari Road	id=g:7043659
Behri Pīr Colony	id=g:7043660
Bhaikewāl	id=g:7043661
Bhatti Flour Mills	id=g:7043662
Bheer Road	id=g:7043663
Boharwāla Chowk	id=g:7043664
Brandreth Road	id=g:7043665
Budha Daryā	id=g:7043666
Chāh Kashmīrīān	id=g:7043667
Charāgh Colony	id=g:7043668
Dālgarān Chowk	id=g:7043669
Dārūl Furgān	id=g:7043670
Davis Road	id=g:7043671
Dayāl Sing College	id=g:7043672
Dev Samāj Road	id=g:7043673
Dhobi Ghāt	id=g:7043674
Dil Muhammad Road	id=g:7043675
Dilshād Colony	id=g:7043676
Dohatta Colony	id=g:7043677
Edward Road	id=g:7043678
Faisal Park	id=g:7043679
Farakhābād	id=g:7043680
Farīd Colony	id=g:7043681
Fātima Memorial Hospital	id=g:7043682
Fazil Lines	id=g:7043683
Firdaus Market	id=g:7043684
Ganda Nāla	id=g:7043685
Garrison Girls School	id=g:7043686
Ghare Shāh	id=g:7043687
Ghazi Lines	id=g:7043688
Ghazni Colony	id=g:7043689
Ghazni Lines	id=g:7043690
Gidarpura	id=g:7043691
Golf Road	id=g:7043692
Green Colony	id=g:7043693
Green Town Road	id=g:7043694
Gulfishān Colony	id=g:7043695
Gulshan Colony	id=g:7043696
Gulshan Park	id=g:7043697
Gulshan Rāvi Scheme	id=g:7043698
Habīb Colony	id=g:7043699
Haider Nagar	id=g:7043700
Hāji Qamar Dīn Park	id=g:7043701
Hall Road	id=g:7043702
Hamad Colony	id=g:7043703
Hamīd Ali Park	id=g:7043704
Hotel Imperial	id=g:7043705
Hussain Shāh Line	id=g:7043706
Hotel Intercontinental	id=g:7043707
Iqbāl Hospital	id=g:7043708
Islāmpura	id=g:7043709
Jaffar Mohallah	id=g:7043710
Jama-i-Nahimia	id=g:7043711
Jamīl Park	id=g:7043712
Janbāz Force	id=g:7043713
Janda	id=g:7043714
Jinnāh Park	id=g:7043715
Kabudpura	id=g:7043716
Kach Ābādi	id=g:7043717
Kachi Ābādi	id=g:7043718
Kagha Rāvi Road	id=g:7043719
Kālu Chhīmba	id=g:7043720
Kamboh Colony	id=g:7043721
Kāramābād	id=g:7043722
Karīm Park	id=g:7043723
Link Road	id=g:7043724
Khyber Park	id=g:7043725
Lahore College for Woman	id=g:7043726
Lake Road	id=g:7043727
Lawrence Road	id=g:7043728
Lower Mall	id=g:7043729
Luck Lines	id=g:7043730
Mahārāja Ranjīt Singh Samādhi	id=g:7043731
Maliānwāla	id=g:7043732
Marrian	id=g:7043733
Masjīd Road	id=g:7043734
Mazhar Lines	id=g:7043735
Miān Colony	id=g:7043736
Miān Mīr Lines	id=g:7043737
Mozang Road	id=g:7043738
Muhammad Ali Colony	id=g:7043739
Munir Road	id=g:7043740
Muslim Park	id=g:7043741
Nāsar Bāgh	id=g:7043742
Nawābpura	id=g:7043743
Nicholson Road	id=g:7043744
Nila Gumbad	id=g:7043745
Nizamābād Colony	id=g:7043746
