Sor-Abborrtjärnberget	id=g:602795
Sommarberget	id=g:602796
Solmyren	id=g:602797
Solivaara	id=g:602798
Solberget	id=g:602799
Solberg	id=g:602800
Södra Visstträsket	id=g:602801
Södra Tärendö	id=g:602802
Södra Svartbyn	id=g:602803
Södra Sunderbyn	id=g:602804
Södra Stubba	id=g:602805
Södra Storträsk	id=g:602806
Södra Stortjärn	id=g:602807
Södra Sigfridsöfjärden	id=g:602808
Södra Sandåsen	id=g:602809
Södra Renbergsvattnet	id=g:602810
Södra Ragvaldsträsk	id=g:602811
Sör-Mörön	id=g:602812
Södra Kiilisjärvi	id=g:602813
Södra Jörnsberget	id=g:602814
Södra Innervik	id=g:602815
Lilla Huvön	id=g:602816
Södra Hedensbyn	id=g:602817
Södra Harads	id=g:602818
Södra Grundträsket	id=g:602819
Södra Grundfors	id=g:602820
Södra Gälforsberget	id=g:602821
Södra Flygget	id=g:602822
Sör-Fårön	id=g:602823
Sör-Äspen	id=g:602824
Södra Drängsmark	id=g:602825
Södra Degerberget	id=g:602826
Södra Bredträsk	id=g:602827
Södra Brändöfjärden	id=g:602828
Södra Åkulla	id=g:602829
Södra Åbyn	id=g:602830
Söderviksberg	id=g:602831
Södervik	id=g:602832
Söderliden	id=g:602833
Söderby	id=g:602834
Söderbäck	id=g:602835
Sodakberget	id=g:602836
Sodak	id=g:602837
Sockenträsket	id=g:602838
Sockenträsk	id=g:602839
Sockenberg	id=g:602840
Sockbäcken	id=g:602841
Snöberget	id=g:602842
Snöberget	id=g:602843
Snipen	id=g:602844
Snesudden	id=g:602845
Snåttermyren	id=g:602846
Snårkölen	id=g:602847
Snårkölen	id=g:602848
Snårbergen	id=g:602849
Smygheden	id=g:602850
Smulterskäret	id=g:602851
Smedsbyn	id=g:602852
Smedsbyfjärden	id=g:602853
Smedjeberget	id=g:602854
Småträsket	id=g:602855
Småträskån	id=g:602856
Småträsk	id=g:602857
Småträsk	id=g:602858
Småskären	id=g:602859
Småskären	id=g:602860
Smårönningen	id=g:602861
Smålsön	id=g:602862
Smalaberget	id=g:602863
Småbacka	id=g:602864
Slyträsket	id=g:602865
Slyträsk	id=g:602866
Slytjärnen	id=g:602867
Slyhatten	id=g:602868
Slyberg	id=g:602869
Slut	id=g:602870
Sluppukape	id=g:602871
Slubbudden	id=g:602872
Slind	id=g:602873
Slevliden	id=g:602874
Slättberget	id=g:602875
Slättberg	id=g:602876
Slakka	id=g:602877
Sladan	id=g:602878
Skuthamn	id=g:602879
Skuthamn	id=g:602880
Skurholmsstaden	id=g:602881
Skurholmsfjärden	id=g:602882
Skullumavaara	id=g:602883
Skulesjokk	id=g:602884
Skulesjaure	id=g:602885
Skruvhuvudet	id=g:602886
Skröven	id=g:602887
Skrövån	id=g:602888
Skravelsjö	id=g:602889
Skravelberget	id=g:602890
Skravelberget	id=g:602891
Skravelbäck	id=g:602892
Skråmträsket	id=g:602893
Skråmträsk	id=g:602894
Skötgrönnan	id=g:602895
Skorven	id=g:602896
Skomakarfjärden	id=g:602897
Skomanstjälen	id=g:602898
Skomakaren	id=g:602899
Skogsskäret	id=g:602900
Skogskärr	id=g:602901
Skogskärr	id=g:602902
Skogsbyn	id=g:602903
Skogsberget	id=g:602904
Skogfors	id=g:602905
Skogberget	id=g:602906
Skinnarbyn	id=g:602907
Skeppsvik	id=g:602908
Skelleftehamn	id=g:602909
Skelleftebukten	id=g:602910
Skellefteälven	id=g:602911
Skellefteå Kommun	id=g:602912
Skellefteå	id=g:602913
Skellefteå	id=g:602914
Skeldåive	id=g:602915
Skeldåive	id=g:602916
Skaulo	id=g:602917
Skatamarksträsk	id=g:602918
Skatamark	id=g:602919
Skarviken	id=g:602920
Skärträsk	id=g:602921
Skarsberg	id=g:602922
Skarsberg	id=g:602923
Skärrevare	id=g:602924
Skarpljugaren	id=g:602925
Skäret	id=g:602926
Skarberget	id=g:602927
Skäran	id=g:602928
Skallön	id=g:602929
Skaitevarra	id=g:602930
Skaitejokk	id=g:602931
Skaite	id=g:602932
Skaitatjanape	id=g:602933
Skags-Furuholmen	id=g:602934
Sjungberget	id=g:602935
Sjulsmark	id=g:602936
Sjulnäs	id=g:602937
Sjön	id=g:602938
Sjömellantjäln	id=g:602939
Sjölunda	id=g:602940
Sjöbotten	id=g:602941
Sjöbotten	id=g:602942
Sjöbäck	id=g:602943
Sjisjka	id=g:602944
Själliträsket	id=g:602945
Själliberget	id=g:602946
Själlarim	id=g:602947
Lulip Sidnos	id=g:602948
Sistkostträsk	id=g:602949
Sistkostberget	id=g:602950
Sirrejaur	id=g:602951
Sirkak	id=g:602952
Sinotjaure	id=g:602953
Sinot	id=g:602954
Sinnukkalompolo	id=g:602955
Sinksundet	id=g:602956
Sinksundet	id=g:602957
Simphamn	id=g:602958
Simajokk	id=g:602959
Simåive	id=g:602960
Sillskatan	id=g:602961
Silkkimuotka	id=g:602962
Sikträsket	id=g:602963
Sikträsket	id=g:602964
Sikträsk	id=g:602965
Sikträsk	id=g:602966
Siksundsön	id=g:602967
Sikören	id=g:602968
Siknäsfjärden	id=g:602969
Siknäs	id=g:602970
Sikka	id=g:602971
Sikfors	id=g:602972
Sikfors	id=g:602973
Sikeå	id=g:602974
Sikån	id=g:602975
Sikån	id=g:602976
Sikån	id=g:602977
Siilasjärvi	id=g:602978
Siikavuopio	id=g:602979
Siikavuopio	id=g:602980
Siikavaara	id=g:602981
Siikalombolo	id=g:602982
Siikajoki	id=g:602983
Siikajärvi	id=g:602984
Sigfridsön	id=g:602985
Sierkavaara	id=g:602986
Sierkajoki	id=g:602987
Sierkajärvi	id=g:602988
Siekajokk	id=g:602989
Siekajaure	id=g:602990
Siekajärvi	id=g:602991
Sidbergsliden	id=g:602992
Siäkavaara	id=g:602993
Siäkavaara	id=g:602994
Siäkajoki	id=g:602995
Siäka	id=g:602996
Sevuvuoma	id=g:602997
Sevujoki	id=g:602998
Alanen Sevujärvi	id=g:602999
Seunaure	id=g:603000
Seskarö	id=g:603001
Seskaröfjärden	id=g:603002
Seskarö	id=g:603003
Seskar-Furö	id=g:603004
Selsvik	id=g:603005
Selsliden	id=g:603006
