Lusgrind	id=g:6939161
Stierlochkopf	id=g:6939162
Schartenkopf	id=g:6939163
Gaisberg	id=g:6939164
Kuglaspitze	id=g:6939166
Fanggekar Spitze	id=g:6939168
Gümplekopf (Stierlochkopf)	id=g:6939170
Mehlsack	id=g:6939171
Zuger Mittagspitze	id=g:6939172
Mittag Spitze	id=g:6939173
Mutzeiger	id=g:6939174
Formarin-Rothorn	id=g:6939176
Rothorn	id=g:6939177
Kaiserstein Spitze	id=g:6939178
Novaspitz	id=g:6939180
Wanglspitze	id=g:6939182
Griesslspitze	id=g:6939183
Kreuzspitze	id=g:6939184
Im Wang	id=g:6939185
Trittwangkopf	id=g:6939187
Weißgrubenkopf	id=g:6939188
Gurenstein	id=g:6939189
Hinter Schafberg	id=g:6939190
Grieskogel	id=g:6939191
Mutkopf	id=g:6939192
Zwölferspitze	id=g:6939193
Achplatte	id=g:6939194
Klesiwand	id=g:6939196
Otternkopf	id=g:6939197
Klösiswand	id=g:6939198
Weichselbachhöhe	id=g:6939200
Madratsch	id=g:6939201
Jungfernspitze	id=g:6939202
Schönbühel	id=g:6939203
Gümplespitze	id=g:6939205
Arbeskopf	id=g:6939206
Rauher Kopf - HG	id=g:6939209
Seekogel	id=g:6939210
Aplespleis Spitze	id=g:6939211
Mutenkogel	id=g:6939212
Spitzmandl	id=g:6939213
Stierkarkopf	id=g:6939214
Neunerkogel	id=g:6939216
Die Mute	id=g:6939217
Rüfikopf	id=g:6939218
Pfriemeswand	id=g:6939220
Kleines Gurpitscheck	id=g:6939221
Misthaufen	id=g:6939223
Schlappiner Spitze	id=g:6939224
Fleischkopf	id=g:6939225
Schwarze Wand	id=g:6939226
Filzmooshörndl	id=g:6939228
Wetterkreuzkogel	id=g:6939229
Gadner Köpfe	id=g:6939231
Klesenza Hörner	id=g:6939233
Johanneskopf	id=g:6939234
Östliches Klasenzahorn	id=g:6939235
Roßköpfe	id=g:6939236
Guflespitze	id=g:6939237
Kellaspitze	id=g:6939238
Maruler Guggernülli	id=g:6939239
Gronggenkopf	id=g:6939240
Grafennsspitze	id=g:6939241
Großes Gurpitscheck	id=g:6939242
Gumma	id=g:6939243
Kellaspitze	id=g:6939246
Guggernülli	id=g:6939247
Bettlerspitze	id=g:6939248
Haneburger	id=g:6939249
Zuger Horn	id=g:6939251
Farnbühel	id=g:6939252
Garmil	id=g:6939253
Viggarspitze	id=g:6939254
Kriegerhorn	id=g:6939255
Kreuzköpfl	id=g:6939257
Bratschenkopf	id=g:6939258
Pollannock	id=g:6939259
Wangspitze	id=g:6939260
Huttlaspitze	id=g:6939261
Schartenkogel	id=g:6939263
Hochlichtspitze	id=g:6939264
Muttlerkopf	id=g:6939265
Glattmahd	id=g:6939266
Madonakopf	id=g:6939268
Löffelspitze	id=g:6939271
Wösterhorn	id=g:6939274
Wildofen	id=g:6939275
Greitjoch Spitze	id=g:6939276
Metzen	id=g:6939277
Zuger Hochlicht	id=g:6939278
Pimig	id=g:6939279
