K’ŭn’garul	id=g:6803193
Taesŏng-ni	id=g:6803194
Sodol-mal	id=g:6803195
Wissodol-mal	id=g:6803196
Ch’ang-mal	id=g:6803197
Karugae	id=g:6803198
Iriul	id=g:6803199
Majigi	id=g:6803200
Sŏwŏn-mal	id=g:6803201
Odae-gol	id=g:6803202
Palchŏnso-mal	id=g:6803203
Karae-gol	id=g:6803204
Soemudŏm	id=g:6803205
Maksang-gol	id=g:6803206
Swae-gol	id=g:6803207
Witt’oeju	id=g:6803208
Kangnam-gidowŏn	id=g:6803209
Samhoe-ri	id=g:6803210
Tumyŏngan	id=g:6803211
Hwaya-san	id=g:6803212
Chŏl-gol	id=g:6803213
Ch’ŏngp’yŏng-suyanggwan	id=g:6803214
Sagimak	id=g:6803215
Pisŏng-mal	id=g:6803216
Sŏkpat’ang	id=g:6803217
Kwisil	id=g:6803218
Nŭng-gol	id=g:6803219
Kalmun	id=g:6803220
Tarakchae	id=g:6803221
Paech’i-gogae	id=g:6803222
Mullyong	id=g:6803223
Tongmak	id=g:6803224
Hap’al	id=g:6803225
P’altang-ni	id=g:6803226
Sangp’al	id=g:6803227
Misa-dong	id=g:6803228
Misa-ch’on	id=g:6803229
Pangt’aengi	id=g:6803230
Pang-gol	id=g:6803231
Saech’angbŏl	id=g:6803232
Sŏkkogae	id=g:6803233
Pultangkkol	id=g:6803234
Hajŏnja-dong	id=g:6803235
Ch’ima-bawi	id=g:6803236
Surenŏmŏ-gogae	id=g:6803237
Tumŏng-gol	id=g:6803238
Sudongsansuŭmnyo-gongjang	id=g:6803239
T’akkŏ-ri	id=g:6803240
Pŏl-mal	id=g:6803241
Kŭmgang-sa	id=g:6803242
Ipsŏng-ni	id=g:6803243
P’awi	id=g:6803244
Sŏksudae	id=g:6803245
Sŏksu-bong	id=g:6803246
Tangdup’yŏng	id=g:6803247
Suja-gol	id=g:6803248
Wŏnjidun	id=g:6803249
Nojŏk-pong	id=g:6803250
Kwangdaeul	id=g:6803251
An’gunan	id=g:6803252
Kunan	id=g:6803253
Unsu-ri	id=g:6803254
