Buzzard Hollow	id=g:4379397
Buzzard Hollow	id=g:4379398
Buzzard Hollow	id=g:4379399
Buzzard Hollow	id=g:4379400
Buzzard Mountain	id=g:4379401
Buzzard Roost Hollow	id=g:4379402
Buzzard Roost Hollow	id=g:4379403
Buzzard Roost Lead Diggings	id=g:4379404
Buzzard Run	id=g:4379405
Buzzard Roost School (historical)	id=g:4379406
Buzzards Roost	id=g:4379407
Buzzards Roost	id=g:4379408
Byar Branch	id=g:4379409
Bybee School	id=g:4379410
Byberry (historical)	id=g:4379411
Byberry School (historical)	id=g:4379412
Byers	id=g:4379413
Byington Cemetery	id=g:4379414
Byington Lake	id=g:4379415
Byington Lake Dam	id=g:4379416
Byler Branch	id=g:4379417
Buzzards Roost	id=g:4379418
Byler Branch	id=g:4379419
Byler Cemetery	id=g:4379420
Byler School	id=g:4379421
Byler School	id=g:4379422
Bynum Creek	id=g:4379423
Byler Lake Dam	id=g:4379424
Bryant Elementary School	id=g:4379425
Byrd (historical)	id=g:4379426
Byrd Cemetery	id=g:4379427
Byrd Cemetery	id=g:4379428
Byrd Cemetery	id=g:4379429
Byrd Cemetery	id=g:4379430
Byrd Church	id=g:4379431
Byrd Creek	id=g:4379432
Bynumville	id=g:4379433
Township of Byrd	id=g:4379434
Byrnes Ditch	id=g:4379435
Byrnes Mill	id=g:4379436
Byrnesville	id=g:4379437
Byrnesville School (historical)	id=g:4379438
Byron	id=g:4379439
Byron Carr Ford (historical)	id=g:4379440
Byron Hollow	id=g:4379441
Byrd Hills	id=g:4379442
Byron Simpson Lake Dam	id=g:4379443
C B Keller Lake	id=g:4379444
C C C Camp (historical)	id=g:4379445
C C C Camp (historical)	id=g:4379446
C C C Camp (historical)	id=g:4379447
C C Cook Iron Bank	id=g:4379448
C D Smiths Sawmill	id=g:4379449
C E F Airport	id=g:4379450
C H Jones Dam	id=g:4379451
C H Jones Lake	id=g:4379452
C R Wetzel Lake	id=g:4379453
C R Wetzel Lake Dam	id=g:4379454
C and A Lake	id=g:4379455
C and A Lake Dam	id=g:4379456
C and S Lake	id=g:4379457
C and S Lake Dam	id=g:4379458
C-75 Lake	id=g:4379459
CCC Camp	id=g:4379460
CCC Camp (historical)	id=g:4379461
CCC Camp Boss (historical)	id=g:4379462
CCC Historic District	id=g:4379463
Cab Barrett Hollow	id=g:4379464
Byron Simpson Lake	id=g:4379465
Cabanne Course	id=g:4379466
Cabanne Place	id=g:4379467
Cabbage Branch	id=g:4379468
Cabbage Head	id=g:4379469
Cabin Hollow	id=g:4379470
Cabbage Neck School	id=g:4379471
Cabin Hollow	id=g:4379472
Cabin Hollow	id=g:4379473
Cabin Hollow	id=g:4379474
Cable Ridge	id=g:4379475
Cable Ridge Church of Christ	id=g:4379476
Cable Ridge School (historical)	id=g:4379477
Cabool	id=g:4379478
Cabool Memorial Airport	id=g:4379479
Cabool State Wildlife Management Area	id=g:4379480
Cache River Ditch	id=g:4379481
Caddo	id=g:4379482
Cades School (historical)	id=g:4379483
Cadet	id=g:4379484
Cadet Baptist Church	id=g:4379485
Cadet Creek	id=g:4379486
Cable Ridge Cemetery	id=g:4379487
Cadet Creek	id=g:4379488
Cadet Creek Cemetery	id=g:4379489
Cadet Mine Tailings Dam	id=g:4379490
Cadet Number 1 Dam	id=g:4379491
Cadet Number 2 Dam	id=g:4379492
Cadet Post Office	id=g:4379493
Cadet School (historical)	id=g:4379494
Cadet Tailings Pond Number 2	id=g:4379495
Cadmus (historical)	id=g:4379496
Cady Lake	id=g:4379497
Caffeyville	id=g:4379498
Cage School	id=g:4379499
Cage-Lane Cemetery	id=g:4379500
Cagle Cemetery	id=g:4379501
