Margon	id=g:6430795
Marolles-les-Buis	id=g:6430796
Meaucé	id=g:6430797
Méréglise	id=g:6430798
Mérouville	id=g:6430799
Meslay-le-Grenet	id=g:6430800
Meslay-le-Vidame	id=g:6430801
Mévoisins	id=g:6430802
Mézières-en-Drouais	id=g:6430803
Miermaigne	id=g:6430804
Mignières	id=g:6430805
Mittainvilliers	id=g:6430806
Moinville-la-Jeulin	id=g:6430807
Moléans	id=g:6430808
Mondonville-Saint-Jean	id=g:6430809
Montainville	id=g:6430810
Montboissier	id=g:6430811
Montharville	id=g:6430812
Montigny-le-Chartif	id=g:6430813
Montigny-le-Gannelon	id=g:6430814
Montireau	id=g:6430816
Montlandon	id=g:6430817
Morainville	id=g:6430818
Morancez	id=g:6430819
Moriers	id=g:6430820
Morvilliers	id=g:6430821
Mottereau	id=g:6430822
Moulhard	id=g:6430823
Neuvy-en-Beauce	id=g:6430824
Neuvy-en-Dunois	id=g:6430825
Nogent-le-Phaye	id=g:6430826
Nogent-le-Roi	id=g:6430827
Nogent-le-Rotrou	id=g:6430828
Nogent-sur-Eure	id=g:6430829
Nonvilliers-Grandhoux	id=g:6430830
Oinville-Saint-Liphard	id=g:6430831
Oinville-sous-Auneau	id=g:6430832
Ollé	id=g:6430833
Orgères-en-Beauce	id=g:6430834
Orlu	id=g:6430835
Orrouer	id=g:6430836
Ouarville	id=g:6430837
Ouerre	id=g:6430838
Oysonville	id=g:6430840
Ozoir-le-Breuil	id=g:6430841
Péronville	id=g:6430842
Pézy	id=g:6430843
Poinville	id=g:6430844
Poisvilliers	id=g:6430845
Pontgouin	id=g:6430846
Poupry	id=g:6430847
Prasville	id=g:6430848
Pré-Saint-Évroult	id=g:6430849
Pré-Saint-Martin	id=g:6430850
Prudemanche	id=g:6430851
Prunay-le-Gillon	id=g:6430852
Puiseux	id=g:6430853
Revercourt	id=g:6430854
Rohaire	id=g:6430855
Roinville	id=g:6430856
Rouvray-Saint-Denis	id=g:6430858
Rouvray-Saint-Florentin	id=g:6430859
Rueil-la-Gadelière	id=g:6430860
Saint-Ange-et-Torçay	id=g:6430861
Saint-Arnoult-des-Bois	id=g:6430862
Saint-Aubin-des-Bois	id=g:6430863
Saint-Avit-les-Guespières	id=g:6430864
Saint-Bomer	id=g:6430865
Saint-Denis-d'Authou	id=g:6430866
Sainte-Gemme-Moronval	id=g:6430867
Saint-Denis-des-Puits	id=g:6430868
Saint-Denis-les-Ponts	id=g:6430869
Saint-Éliph	id=g:6430870
Saint-Éman	id=g:6430871
Saint-Georges-sur-Eure	id=g:6430872
Saint-Germain-le-Gaillard	id=g:6430873
Saint-Hilaire-sur-Yerre	id=g:6430874
Saint-Jean-de-Rebervilliers	id=g:6430875
Saint-Jean-Pierre-Fixte	id=g:6430876
Saint-Laurent-la-Gâtine	id=g:6430877
Saint-Léger-des-Aubées	id=g:6430878
Saint-Lubin-de-Cravant	id=g:6430879
Saint-Lubin-de-la-Haye	id=g:6430880
Saint-Lubin-des-Joncherets	id=g:6430881
Saint-Lucien	id=g:6430882
Saint-Luperce	id=g:6430883
Saint-Maixme-Hauterive	id=g:6430884
Saint-Martin-de-Nigelles	id=g:6430885
Saint-Maur-sur-le-Loir	id=g:6430886
Saint-Maurice-Saint-Germain	id=g:6430887
Saint-Ouen-Marchefroy	id=g:6430888
Saint-Piat	id=g:6430890
Saint-Prest	id=g:6430891
Saint-Victor-de-Buthon	id=g:6430893
Sainville	id=g:6430894
Sancheville	id=g:6430895
Sandarville	id=g:6430896
Santeuil	id=g:6430897
Saulnières	id=g:6430898
Saumeray	id=g:6430899
Senonches	id=g:6430900
Serazereux	id=g:6430901
Serville	id=g:6430902
Souancé-au-Perche	id=g:6430905
Soulaires	id=g:6430906
Sours	id=g:6430907
Terminiers	id=g:6430908
Theuville	id=g:6430909
Thivars	id=g:6430910
Thiville	id=g:6430911
Tillay-le-Péneux	id=g:6430912
Trancrainville	id=g:6430913
Tréon	id=g:6430914
Trizay-Coutretot-Saint-Serge	id=g:6430915
Trizay-lès-Bonneval	id=g:6430916
Umpeau	id=g:6430917
Unverre	id=g:6430918
Vaupillon	id=g:6430919
Vérigny	id=g:6430920
Vernouillet	id=g:6430921
Vert-en-Drouais	id=g:6430922
Viabon	id=g:6430923
Vichères	id=g:6430924
Vierville	id=g:6430925
Vieuvicq	id=g:6430926
Villampuy	id=g:6430927
Villeau	id=g:6430928
Villemeux-sur-Eure	id=g:6430929
Villeneuve-Saint-Nicolas	id=g:6430930
Villiers-le-Morhier	id=g:6430931
Villiers-Saint-Orien	id=g:6430932
Vitray-en-Beauce	id=g:6430933
Voise	id=g:6430934
Voves	id=g:6430935
Yermenonville	id=g:6430936
Ymeray	id=g:6430937
Ymonville	id=g:6430938
Lanarvily	id=g:6430939
Landéda	id=g:6430940
Landeleau	id=g:6430941
Landévennec	id=g:6430942
Landrévarzec	id=g:6430943
Landudal	id=g:6430944
Landudec	id=g:6430945
Landunvez	id=g:6430946
Langolen	id=g:6430947
Lanhouarneau	id=g:6430948
Lanildut	id=g:6430949
Lannéanou	id=g:6430950
Lannédern	id=g:6430951
Lanneuffret	id=g:6430952
Lannilis	id=g:6430953
Lanrivoaré	id=g:6430954
Lanvéoc	id=g:6430955
Laz	id=g:6430956
Lennon	id=g:6430957
Lesneven	id=g:6430958
Locmaria-Berrien	id=g:6430959
Locmélar	id=g:6430960
Locquénolé	id=g:6430961
Locquirec	id=g:6430962
Locronan	id=g:6430963
Loctudy	id=g:6430964
Locunolé	id=g:6430965
Logonna-Daoulas	id=g:6430966
Lopérec	id=g:6430967
Loperhet	id=g:6430968
Loqueffret	id=g:6430969
Mahalon	id=g:6430970
Melgven	id=g:6430971
Mellac	id=g:6430972
Mespaul	id=g:6430973
Milizac	id=g:6430974
Moëlan-sur-Mer	id=g:6430975
Morlaix	id=g:6430976
Pencran	id=g:6430978
Pleuven	id=g:6430979
Pleyber-Christ	id=g:6430980
Ploéven	id=g:6430981
Plogastel-Saint-Germain	id=g:6430982
Plogoff	id=g:6430983
Plogonnec	id=g:6430984
Plomelin	id=g:6430985
Plomeur	id=g:6430986
Plomodiern	id=g:6430987
Plonéis	id=g:6430988
Plonéour-Lanvern	id=g:6430989
Plonévez-du-Faou	id=g:6430990
Plonévez-Porzay	id=g:6430991
Ploudaniel	id=g:6430992
Plouédern	id=g:6430993
Plouégat-Guérand	id=g:6430994
Plouégat-Moysan	id=g:6430995
Plouénan	id=g:6430996
Plouescat	id=g:6430997
Plougar	id=g:6430998
Plougasnou	id=g:6430999
Plougastel-Daoulas	id=g:6431000
Plougonvelin	id=g:6431001
Plougonven	id=g:6431002
Plougoulm	id=g:6431003
Plougourvest	id=g:6431004
Plouguerneau	id=g:6431005
Plouguin	id=g:6431006
Plouider	id=g:6431007
Plouigneau	id=g:6431008
Ploumoguer	id=g:6431009
Plounéour-Ménez	id=g:6431010
Plounéour-Trez	id=g:6431011
Plounéventer	id=g:6431012
Plounévézel	id=g:6431013
Plounévez-Lochrist	id=g:6431014
Plouvien	id=g:6431015
Plouvorn	id=g:6431016
Plouyé	id=g:6431017
Plouzévédé	id=g:6431018
Plovan	id=g:6431019
Plozévet	id=g:6431020
Pluguffan	id=g:6431021
Pont-Aven	id=g:6431022
Pont-l'Abbé	id=g:6431023
Porspoder	id=g:6431024
Port-Launay	id=g:6431025
Pouldergat	id=g:6431026
Pouldreuzic	id=g:6431027
Poullan-sur-Mer	id=g:6431028
Poullaouen	id=g:6431029
Primelin	id=g:6431030
Quéménéven	id=g:6431031
Querrien	id=g:6431032
Quimper	id=g:6431033
Quimperlé	id=g:6431034
Roscanvel	id=g:6431036
Roscoff	id=g:6431037
Rosnoën	id=g:6431038
Rosporden	id=g:6431039
Saint-Coulitz	id=g:6431040
Saint-Derrien	id=g:6431041
Saint-Évarzec	id=g:6431042
Saint-Frégant	id=g:6431043
Saint-Goazec	id=g:6431044
Saint-Hernin	id=g:6431045
Saint-Jean-du-Doigt	id=g:6431046
Saint-Jean-Trolimon	id=g:6431047
Saint-Martin-des-Champs	id=g:6431048
Saint-Nic	id=g:6431049
Saint-Pol-de-Léon	id=g:6431050
Saint-Renan	id=g:6431051
Saint-Rivoal	id=g:6431052
Saint-Ségal	id=g:6431053
Sainte-Sève	id=g:6431054
Saint-Thois	id=g:6431055
Saint-Thonan	id=g:6431056
Saint-Thurien	id=g:6431057
Saint-Urbain	id=g:6431058
Saint-Vougay	id=g:6431059
Santec	id=g:6431060
Scaër	id=g:6431061
Scrignac	id=g:6431062
Sibiril	id=g:6431063
Spézet	id=g:6431064
Taulé	id=g:6431065
Telgruc-sur-Mer	id=g:6431066
Tourch	id=g:6431067
Trébabu	id=g:6431068
Tréflaouénan	id=g:6431069
Tréflez	id=g:6431070
Trégarantec	id=g:6431071
Trégarvan	id=g:6431072
Tréglonou	id=g:6431073
Trégourez	id=g:6431074
Tréguennec	id=g:6431075
Trégunc	id=g:6431076
Trémaouézan	id=g:6431077
Tréméoc	id=g:6431078
Tréogat	id=g:6431079
Tréouergat	id=g:6431080
Trézilidé	id=g:6431081
Cristinacce	id=g:6431082
Forciolo	id=g:6431083
Fozzano	id=g:6431084
Frasseto	id=g:6431085
Giuncheto	id=g:6431086
Granace	id=g:6431087
Grossa	id=g:6431088
Grosseto-Prugna	id=g:6431089
Letia	id=g:6431090
Levie	id=g:6431091
Lopigna	id=g:6431092
Loreto-di-Tallano	id=g:6431093
Marignana	id=g:6431094
Moca-Croce	id=g:6431095
Monacia-d'Aullène	id=g:6431096
Murzo	id=g:6431097
Ocana	id=g:6431098
Olivese	id=g:6431099
Olmeto	id=g:6431100
Olmiccia	id=g:6431101
Orto	id=g:6431102
Osani	id=g:6431103
Ota	id=g:6431104
Palneca	id=g:6431105
Partinello	id=g:6431106
Peri	id=g:6431107
Petreto-Bicchisano	id=g:6431108
Pianottoli-Caldarello	id=g:6431109
Pietrosella	id=g:6431110
Pila-Canale	id=g:6431111
Poggiolo	id=g:6431112
Propriano	id=g:6431113
Quasquara	id=g:6431114
Quenza	id=g:6431115
Renno	id=g:6431116
Rezza	id=g:6431117
Rosazia	id=g:6431118
Salice	id=g:6431119
Sari-Solenzara	id=g:6431120
Sari-d'Orcino	id=g:6431121
Sarrola-Carcopino	id=g:6431122
Sartène	id=g:6431123
Serra-di-Ferro	id=g:6431124
Serriera	id=g:6431125
Soccia	id=g:6431126
Sollacaro	id=g:6431127
Sorbollano	id=g:6431128
Sotta	id=g:6431129
San-Gavino-di-Carbini	id=g:6431130
Santa-Maria-Figaniella	id=g:6431131
Santa-Maria-Siché	id=g:6431132
Tasso	id=g:6431133
Tavaco	id=g:6431134
Tavera	id=g:6431135
Tolla	id=g:6431136
Ucciani	id=g:6431137
Urbalacone	id=g:6431138
Valle-di-Mezzana	id=g:6431139
Vero	id=g:6431140
Vico	id=g:6431141
Viggianello	id=g:6431142
Villanova	id=g:6431143
Zicavo	id=g:6431144
Zigliara	id=g:6431145
Zonza	id=g:6431146
Zoza	id=g:6431147
