Garrison (historical)	id=g:4858140
Garrison Cemetery	id=g:4858141
Garrison City Hall	id=g:4858142
Garrison Library	id=g:4858143
Garrison Post Office	id=g:4858144
Garrison Rock Cemetery	id=g:4858145
Garrison United Methodist Church	id=g:4858146
Garry Owen	id=g:4858147
Garry Owen Post Office (historical)	id=g:4858148
Garton Elementary School	id=g:4858149
Garton Graveyard	id=g:4858150
Garvey School	id=g:4858151
Garwin	id=g:4858152
Garwin (historical)	id=g:4858153
Garwin Christian Church	id=g:4858154
Garwin City Hall	id=g:4858155
Garwin Library	id=g:4858156
Garwin Post Office	id=g:4858157
Garwin Union Cemetery	id=g:4858158
Gas Light Mobile Home Villa	id=g:4858159
Gaslight Square Trailer Park	id=g:4858160
Gastroenterology Associates Center	id=g:4858161
Gastroenterology Clinic	id=g:4858162
Gatchel United Methodist Church	id=g:4858163
Gates Bridge Access	id=g:4858164
Gates College	id=g:4858165
Gates Lake	id=g:4858166
Gates Park	id=g:4858167
Gates Park Golf Course	id=g:4858168
Gates Residence Hall	id=g:4858169
Gatesville	id=g:4858170
Gatesville Post Office (historical)	id=g:4858171
Gateway Baptist Church	id=g:4858172
Gateway Co-op Elevator	id=g:4858173
Gateway Hills Park	id=g:4858174
Gateway North Shopping Center	id=g:4858175
Gateway Park	id=g:4858176
Gateway Park Campground	id=g:4858177
Gateway Recreation Golf Course	id=g:4858178
Gatliff Cemetery	id=g:4858179
Gatlin Cemetery	id=g:4858180
Gaukel Park	id=g:4858181
Gaul Dermatology Center	id=g:4858182
Gaul Timber Cemetery	id=g:4858183
Gay Cemetery	id=g:4858184
Gay Hospital	id=g:4858185
Township of Gay	id=g:4858186
Gaylord Smith Building	id=g:4858187
Gaza	id=g:4858188
Gaza (historical)	id=g:4858189
Gaza Post Office (historical)	id=g:4858190
Gazebo Park	id=g:4858191
Gear	id=g:4858192
Gear Post Office (historical)	id=g:4858193
Gedney Lake Area	id=g:4858194
Gehlen Catholic Elementary School	id=g:4858195
Gehrke Wildlife Area	id=g:4858196
Gehrkes Lake	id=g:4858197
Geisler Library	id=g:4858198
Gem Post Office (historical)	id=g:4858199
General N B Baker Library	id=g:4858200
