Township of Talleyrand	id=g:4280335
Tar Creek	id=g:4280336
Tar Valley School (historical)	id=g:4280337
Tate Branch Creek	id=g:4280338
Tauckett Creek	id=g:4280339
Tauroma (historical)	id=g:4280340
Tauy Church	id=g:4280341
Tauy Creek	id=g:4280342
Taylor Branch	id=g:4280343
Taylor Cemetery	id=g:4280344
Taylor Creek	id=g:4280345
Taussig	id=g:4280346
Taylor Point	id=g:4280347
Taylor Rapids (historical)	id=g:4280348
Teachout Cemetery	id=g:4280349
Tecumseh	id=g:4280350
Tecumseh Creek	id=g:4280351
Taylor Creek	id=g:4280352
Township of Tecumseh	id=g:4280353
Teeters Branch	id=g:4280354
Tecumseh United Methodist Church	id=g:4280355
Teichgraber Oil Field	id=g:4280356
Tell School (historical)	id=g:4280357
Temple Baptist Church	id=g:4280358
Temple Baptist Church	id=g:4280359
Temple Beth Shalom	id=g:4280360
Temple Emanuel	id=g:4280361
Temple Israel	id=g:4280362
Temple Knob	id=g:4280363
Templeton (historical)	id=g:4280364
Templeton Hall	id=g:4280365
Templin (historical)	id=g:4280366
Templin Cemetery	id=g:4280367
Templing Oil Field	id=g:4280368
Ten Mile (historical)	id=g:4280369
Ten Mile Creek	id=g:4280370
Tehama (historical)	id=g:4280371
Ten Penny School (historical)	id=g:4280372
Tenmile School	id=g:4280373
Tennessee Creek	id=g:4280374
Township of Ten Mile	id=g:4280375
Tennyson Creek	id=g:4280376
Tequa Creek	id=g:4280377
Terminal Bridge	id=g:4280378
Terra Cotta Cemetery	id=g:4280379
Terra Heights	id=g:4280380
Terra Heights Baptist Church	id=g:4280381
Terrapin Creek	id=g:4280382
Terra Cotta	id=g:4280383
Terry School	id=g:4280384
Terry School (historical)	id=g:4280385
Tescott	id=g:4280386
Tesson Cemetery	id=g:4280387
Teter Oil Field	id=g:4280388
Teterville	id=g:4280389
Texaco Hill	id=g:4280390
Texas Lake	id=g:4280391
Texas Lake Wildlife Area	id=g:4280392
Thach Gas Field	id=g:4280393
Thacher School (historical)	id=g:4280394
Tharp School (historical)	id=g:4280395
Thayer	id=g:4280396
Thayer Cemetery	id=g:4280397
Thayer City Dam	id=g:4280398
Thayer City Lake	id=g:4280399
Thayer Elementary School (historical)	id=g:4280400
Thayer High School (historical)	id=g:4280401
The Baptist Temple (historical)	id=g:4280402
The Church of Jesus Christ of Latter Day Saints	id=g:4280403
The Church of Jesus Christ of Latter Day Saints	id=g:4280404
The Church of Jesus Christ of Latter Day Saints	id=g:4280405
The Church of Jesus Christ of Latter Day Saints	id=g:4280406
The Dell	id=g:4280407
The Leavenworth Landing	id=g:4280408
The Mall	id=g:4280409
The Mall	id=g:4280410
The Malls Shopping Center	id=g:4280411
The Village Center	id=g:4280412
The Wesleyan Church	id=g:4280413
Themian Park	id=g:4280414
Theodore Granville Barcus Wildlife Area	id=g:4280415
Theodore Roosevelt School	id=g:4280416
Thielen Airport	id=g:4280417
Thierer Branch	id=g:4280418
Terrapin Lake	id=g:4280419
Third Creek	id=g:4280420
Ben Day Elementary School	id=g:4280421
Third Creek	id=g:4280422
Thirteenth Street Center	id=g:4280423
Thomas (historical)	id=g:4280424
Thomas Creek	id=g:4280425
Thirtieth and Lorraine Shopping Center	id=g:4280426
Thomas Creek	id=g:4280427
Thomas Grove School	id=g:4280428
Thomas School	id=g:4280429
Thomas W Butcher School	id=g:4280430
Township of Thomas	id=g:4280431
Thompson Branch	id=g:4280432
Thomas Park	id=g:4280433
Thompson Creek	id=g:4280434
Thompson Creek	id=g:4280435
Thompsonville	id=g:4280436
Thornburg	id=g:4280437
Thornburg School (historical)	id=g:4280438
Thrall	id=g:4280439
Thrall-Aagard Oil Field	id=g:4280440
Three Corners School	id=g:4280441
Three Mounds	id=g:4280442
Three Mounds School (historical)	id=g:4280443
Threemile Creek	id=g:4280444
Thompsonville Public Use Area	id=g:4280445
Threemile Creek	id=g:4280446
Threemile Creek	id=g:4280447
Threemile Creek	id=g:4280448
Thunderbolt Creek	id=g:4280449
Thurman (historical)	id=g:4280450
Thurman Creek	id=g:4280451
Tiago (historical)	id=g:4280452
Tick Creek	id=g:4280453
Tibbets Cemetery	id=g:4280454
Timber Creek	id=g:4280455
Timber Creek	id=g:4280456
Township of Tilden	id=g:4280457
Timber Creek	id=g:4280458
Timber Creek Cemetery	id=g:4280459
Timber Creek Church	id=g:4280460
Timber Creek Lake	id=g:4280461
Timber Creek Public Use Area	id=g:4280462
Timber Hill	id=g:4280463
Timber Hill School (historical)	id=g:4280464
Timber Lake	id=g:4280465
Timber Lake	id=g:4280466
Timber Lake Dam	id=g:4280467
Timber Ridge School	id=g:4280468
Timberhill Oak Hill Cemetery	id=g:4280469
Township of Timberhill	id=g:4280470
Timken	id=g:4280471
Timmons School	id=g:4280472
Township of Tioga	id=g:4280473
Tipperary Hill	id=g:4280474
Tippie Creek	id=g:4280475
Timber Creek Cemetery	id=g:4280476
Tipton Airfield	id=g:4280477
Tipton Elementary School	id=g:4280478
Tipton Catholic High School	id=g:4280479
Tisdale	id=g:4280480
Tisdale Cemetery	id=g:4280481
Township of Tisdale	id=g:4280482
Toad Hollow	id=g:4280483
Tipton	id=g:4280484
Tobias Oil Field	id=g:4280485
Tobyne Hill	id=g:4280486
Todd Cemetery	id=g:4280487
Togo	id=g:4280488
Toledo	id=g:4280489
Township of Toledo	id=g:4280490
Tolen Creek	id=g:4280491
Tobias Northwest Oil Field	id=g:4280492
Tomahawk Cemetery	id=g:4280493
Tomahawk Creek	id=g:4280494
Tolerville	id=g:4280495
Tomahawk Recreation Complex	id=g:4280496
Tomahawk Shopping Center	id=g:4280497
Tomcat Creek	id=g:4280498
Tomahawk Elementary School	id=g:4280499
Tonganoxie Cemetery	id=g:4280500
Tonganoxie Creek	id=g:4280501
Tonganoxie	id=g:4280502
Tonovay	id=g:4280503
Tonovay Draw	id=g:4280504
Township of Tonganoxie	id=g:4280505
Topeka Army Air Field (historical)	id=g:4280506
Topeka Avenue Bridge	id=g:4280507
Topeka Bible Church	id=g:4280508
Topeka Cemetery	id=g:4280509
Topeka Church of the Brethren	id=g:4280510
Topeka Country Club	id=g:4280511
Topeka Golf Course	id=g:4280512
Topeka High School	id=g:4280513
Topeka Reformed Latter Day Saints Central Church	id=g:4280514
Topeka Service Area	id=g:4280515
City of Topeka	id=g:4280516
Township of Topeka	id=g:4280517
Topsy (historical)	id=g:4280518
Toronto	id=g:4280519
Toronto Cemetery	id=g:4280520
Toronto Dam	id=g:4280521
Toronto Elementary School	id=g:4280522
Toronto Lake	id=g:4280523
Toronto Point Public Use Area	id=g:4280524
Toronto State Park	id=g:4280525
Toronto Wildlife Area	id=g:4280526
Township of Toronto	id=g:4280527
