Upper Bridge	id=g:4664310
Upper Brush Creek School	id=g:4664311
Upper Buckhorn Gap	id=g:4664312
Upper Capuchin School	id=g:4664313
Upper Carter Bloomary Forge (historical)	id=g:4664314
Upper Chestnut Flats	id=g:4664315
Upper City Island (historical)	id=g:4664316
Upper Coon Creek Cemetery	id=g:4664317
Upper Coon Creek School	id=g:4664318
Upper Coutee Shoals	id=g:4664319
Upper Cumberland Church	id=g:4664320
Upper Cumberland Council Boy Scout Camp	id=g:4664321
Upper Eagan Mine	id=g:4664322
Upper Fall Branch	id=g:4664323
Upper Bar	id=g:4664324
Upper Falling Branch	id=g:4664325
Upper Falls Mine	id=g:4664326
Upper Forge Branch	id=g:4664327
Upper Flat Hollow School	id=g:4664328
Upper Forge Hollow	id=g:4664329
Upper Fork	id=g:4664330
Upper Gap Creek	id=g:4664331
Upper Gap Creek Church	id=g:4664332
Upper Grassy Fork	id=g:4664333
Upper Gap Creek School	id=g:4664334
Upper Helton Missionary Baptist Church	id=g:4664335
Upper Henderson Campsite	id=g:4664336
Upper Hinkle Branch	id=g:4664337
Upper Heaton Creek Church	id=g:4664338
Upper Holly Creek	id=g:4664339
Upper Holly Creek Church	id=g:4664340
Upper Hurrican Creek School (historical)	id=g:4664341
Upper Ingram School	id=g:4664342
Upper Jellico Church	id=g:4664343
Upper Johnson Mine	id=g:4664344
Upper Lagrange Landing (historical)	id=g:4664345
Upper Long Creek School (historical)	id=g:4664346
Upper Magill Prospect	id=g:4664347
Upper McCammon Island	id=g:4664348
Upper Melton Landing (historical)	id=g:4664349
Upper Mint Spring	id=g:4664350
Upper Mockeson	id=g:4664351
Upper Morganton Shoals	id=g:4664352
Upper Nidifer Branch	id=g:4664353
Upper Holleman Island (historical)	id=g:4664354
Upper Peck Mines	id=g:4664355
Upper Peedee Mine	id=g:4664356
Upper Pine Branch	id=g:4664357
Upper Paint Creek School (historical)	id=g:4664358
Upper Piney Falls	id=g:4664359
Upper Prong Sinkhole Creek	id=g:4664360
Upper Pine Branch Mines	id=g:4664361
Upper Round Rock School	id=g:4664362
Upper Shady	id=g:4664363
Upper Shady	id=g:4664364
Upper Shell Creek	id=g:4664365
Upper Shell Creek Christian Church	id=g:4664366
Upper Shell Creek School (historical)	id=g:4664367
Upper Sinking	id=g:4664368
Upper Sinking Church	id=g:4664369
Upper Sinking Creek	id=g:4664370
Upper Red Cut Mine	id=g:4664371
Upper Straight Creek School (historical)	id=g:4664372
Upper Sugarcamp Branch	id=g:4664373
Upper Sinking School (historical)	id=g:4664374
Upper Turnage Landing	id=g:4664375
Upper Twin Branch	id=g:4664376
Upper Tiger Creek Church	id=g:4664377
Upper Windrock	id=g:4664378
Upper Windrock School (historical)	id=g:4664379
Upper Zion Church	id=g:4664380
Upperman High School	id=g:4664381
Upton Bluff	id=g:4664382
Uptonville	id=g:4664383
Upvine Branch	id=g:4664384
Upper Twin Bridge	id=g:4664385
Uriel Cemetery	id=g:4664386
Uriel Methodist Church (historical)	id=g:4664387
Ursery Branch	id=g:4664388
Urbana Cemetery	id=g:4664389
Ussery Branch	id=g:4664390
Usery Cemetery	id=g:4664391
Ussery Hollow	id=g:4664392
Ussery Cemetery	id=g:4664393
Utah School	id=g:4664394
Utah School (historical)	id=g:4664395
Utley (historical)	id=g:4664396
VAlley View Cemetery	id=g:4664397
VFW Lake	id=g:4664398
