Emmanuel United Methodist Church	id=g:4577788
Emmett Scott Center	id=g:4577789
Emmett Scott Park	id=g:4577790
Emmett Scott School (historical)	id=g:4577791
Emory	id=g:4577792
Emory Cemetery	id=g:4577793
Emory Creek	id=g:4577794
Ellis Store (historical)	id=g:4577795
Emory School (historical)	id=g:4577796
Emory United Methodist Church	id=g:4577797
Enchanted Forest	id=g:4577798
Enchanted Hills	id=g:4577799
Enchanted Meadows	id=g:4577800
Engevine Branch	id=g:4577801
Emory Gap	id=g:4577802
English (historical)	id=g:4577803
English Cemetery	id=g:4577804
English Crossroads	id=g:4577805
English Gardens	id=g:4577806
English Mill (historical)	id=g:4577807
English Millpond	id=g:4577808
English Plantation (historical)	id=g:4577809
English Pond	id=g:4577810
English Swamp	id=g:4577811
Enoch School (historical)	id=g:4577812
Enoch Station School (historical)	id=g:4577813
Enola	id=g:4577814
Enon Cemetery	id=g:4577815
Enon Cemetery	id=g:4577816
Enon Church	id=g:4577817
Enon Lutheran Church	id=g:4577818
Enon Baptist Church	id=g:4577819
Enon Church	id=g:4577820
Enon Church	id=g:4577821
Enon Church (historical)	id=g:4577822
Enon School (historical)	id=g:4577823
Enon Station Church (historical)	id=g:4577824
Enoree	id=g:4577825
Enoree Adult Vocational Center	id=g:4577826
Enoree Baptist Church	id=g:4577827
Enoree Bridge	id=g:4577828
Enoree Cemetery	id=g:4577829
Enoree Cemetery	id=g:4577830
Enoree Church	id=g:4577831
Enoree Church	id=g:4577832
Enoree Church	id=g:4577833
Enoree Creek	id=g:4577834
Englewood	id=g:4577835
Enoree Fork Branch	id=g:4577836
Enoree Fork Baptist Church	id=g:4577837
Enoree Presbyterian Church (historical)	id=g:4577838
Enoree Ranger District Office	id=g:4577839
Enoree River	id=g:4577840
Enoree Hills	id=g:4577841
Enoree Station	id=g:4577842
Enoree Zion Church	id=g:4577843
Enos	id=g:4577844
Ensenaka (historical)	id=g:4577845
Enterprise Creek	id=g:4577846
Enoree School (historical)	id=g:4577847
Enterprise School	id=g:4577848
Enterprise School (historical)	id=g:4577849
Entrance Channel	id=g:4577850
Entrance Lake	id=g:4577851
Entrance Lake Dam	id=g:4577852
Ephesus Church (historical)	id=g:4577853
Ephriam Branch	id=g:4577854
Enterprise Landing	id=g:4577855
Episcopal Childrens Home	id=g:4577856
Church of the Advent	id=g:4577857
Episcopal Church of the Ascension	id=g:4577858
Episcopal Church of the Epiphany	id=g:4577859
Episcopal Church of the Good Shepherd	id=g:4577860
Episcopal Church of the Good Shepherd	id=g:4577861
Episcopal Church of the Holy Apostles	id=g:4577862
Episcopal Church of the Incarnation	id=g:4577863
Episcopal Church of the Nativity	id=g:4577864
Episcopal Church of the Resurrection	id=g:4577865
Episcopal Church of the Resurrection	id=g:4577866
Eptings Pond	id=g:4577867
Eptings Pond D-1477 Dam	id=g:4577868
Epworth	id=g:4577869
Epworth Camp	id=g:4577870
Epworth Childrens Home	id=g:4577871
Epworth Lookout Tower	id=g:4577872
Epworth Pines D-0362 Dam	id=g:4577873
Epworth Station (historical)	id=g:4577874
Epworth United Methodist Church	id=g:4577875
Epworth United Methodist Church	id=g:4577876
Epworth United Methodist Church	id=g:4577877
Equality Post Office (historical)	id=g:4577878
Equinox Park	id=g:4577879
Erie (historical)	id=g:4577880
Ernest Rand Memorial State Forest	id=g:4577881
Erskine College	id=g:4577882
Erskine College-Due West Historic District	id=g:4577883
Erskine Estates	id=g:4577884
Ervins Pond	id=g:4577885
Erwin	id=g:4577886
Erwin Elementary School	id=g:4577887
Erwin Park	id=g:4577888
Erwinton Church	id=g:4577889
Erwinton Plantation	id=g:4577890
Erwinwood Acres	id=g:4577891
Eskridge Pond Dam D-3221	id=g:4577892
Essex Village	id=g:4577893
Esther Andrews Hall	id=g:4577894
Estherville Minim Creek Canal	id=g:4577895
Estherville Plantation	id=g:4577896
Estill	id=g:4577897
Estill Elementary School	id=g:4577898
Estill High School	id=g:4577899
Estill Industrial Park	id=g:4577900
Estill Middle School	id=g:4577901
Estill Post Office	id=g:4577902
Ethel Plyler Pond Dam D-3171	id=g:4577903
Etheredge Cemetery	id=g:4577904
Etheredge Millpond	id=g:4577905
Etheredge Plantation Airport	id=g:4577906
Etheredge Pond	id=g:4577907
Etheridge Mill (historical)	id=g:4577908
Etheridge School (historical)	id=g:4577909
Ethon Crossroads	id=g:4577910
Etta (historical)	id=g:4577911
Etters Cemetery	id=g:4577912
Eubanks Pond Dam D-2820	id=g:4577913
Euhaw Church	id=g:4577914
Euhaw Church	id=g:4577915
Euhaw Creek	id=g:4577916
Epiphany Church	id=g:4577917
Eulala School (historical)	id=g:4577918
Eulala School (historical)	id=g:4577919
Eulonia	id=g:4577920
Eureka	id=g:4577921
Eureka Baptist Cemetery	id=g:4577922
Eureka Baptist Church	id=g:4577923
Eureka Church	id=g:4577924
Eureka Baptist Church	id=g:4577925
Eureka Church	id=g:4577926
