Calamity Jane Mine	id=g:5459866
Calaveras Canyon	id=g:5459867
Calaveras Campground	id=g:5459868
Calaveras Well	id=g:5459869
Arroyo Calaveras	id=g:5459870
Calaveras Well	id=g:5459871
Cañon Calaveras	id=g:5459872
El Calderon	id=g:5459873
Caldwell Tank	id=g:5459874
Caledonia Mine	id=g:5459875
Calentine Well	id=g:5459876
Calf Canyon	id=g:5459877
Caldwell Lake	id=g:5459878
Calf Canyon	id=g:5459879
Calhoun Cemetery	id=g:5459880
Caliche Pit	id=g:5459881
Caliche Pit	id=g:5459882
Caliche Pits	id=g:5459883
Caliche Spring	id=g:5459884
Caliche Tank	id=g:5459885
Caliche Tank	id=g:5459886
Calicito Tank	id=g:5459887
Calico Peak	id=g:5459888
Caliente Canyon	id=g:5459889
Calhoun Windmill	id=g:5459890
Ojo Caliente	id=g:5459891
Ojo Caliente	id=g:5459892
Cañon de Califia	id=g:5459893
Caliente Ski Trail	id=g:5459894
California Draw	id=g:5459895
California 1 Floersheim	id=g:5459896
California Gulch	id=g:5459897
California Gulch Prospect	id=g:5459898
California Park	id=g:5459899
California Tank	id=g:5459900
California Tank	id=g:5459901
Cañada Calladita	id=g:5459902
California Lateral	id=g:5459903
Calladito Tank	id=g:5459904
Arroyo Calladito	id=g:5459905
Calladito Lakes	id=g:5459906
Callaway Ranch (historical)	id=g:5459907
Callaway Well	id=g:5459908
Calley Spring	id=g:5459909
Calleys Lake	id=g:5459910
Callison Lateral	id=g:5459911
Calloway Canyon	id=g:5459912
Callahan Lake	id=g:5459913
Cañada la Calosa	id=g:5459914
Cañon de Caloso	id=g:5459915
Calumet	id=g:5459916
Calumet Ranch	id=g:5459917
Calvario Draw	id=g:5459918
Calumet Mine	id=g:5459919
Calvary Baptist Church	id=g:5459920
Calvary Baptist Church	id=g:5459921
Calvary Baptist Church	id=g:5459922
Calvary Baptist Church	id=g:5459923
Calvary Baptist Church	id=g:5459924
Calvary Baptist Church	id=g:5459925
Calvary Baptist Church	id=g:5459926
Calvary Baptist Church	id=g:5459927
Calvary Baptist Church	id=g:5459928
Calvary Baptist Church	id=g:5459929
Calvary Baptist Church	id=g:5459930
Calvary Baptist Church	id=g:5459931
Calvary Baptist Temple	id=g:5459932
Calvary Baptist Westside Fellowship	id=g:5459933
Calvary Chapel	id=g:5459934
Calvary Chapel	id=g:5459935
Calvary Chapel	id=g:5459936
Calvary Chapel	id=g:5459937
