Bear Branch	id=g:4181480
Bear Branch	id=g:4181481
Bear Branch School (historical)	id=g:4181482
Bear Creek	id=g:4181483
Bear Creek	id=g:4181484
Bear Creek	id=g:4181485
Bear Creek	id=g:4181486
Bear Creek	id=g:4181487
Bear Creek	id=g:4181488
Bear Creek	id=g:4181489
Bear Creek	id=g:4181490
Bear Creek	id=g:4181491
Bear Creek	id=g:4181492
Bear Creek	id=g:4181493
Bear Creek	id=g:4181494
Bear Creek	id=g:4181495
Bear Creek	id=g:4181496
Bear Creek	id=g:4181497
Bear Creek	id=g:4181498
Bear Creek	id=g:4181499
Bear Creek	id=g:4181500
Bear Creek	id=g:4181501
Bear Creek	id=g:4181502
Bear Creek	id=g:4181503
Bear Creek	id=g:4181504
Bear Creek	id=g:4181505
Bear Creek Airport	id=g:4181506
Bear Creek Church	id=g:4181507
Bear Creek Estates	id=g:4181508
Bear Creek Estates	id=g:4181509
Bear Creek Estates	id=g:4181510
Bear Creek Landing	id=g:4181511
Bear Creek Trail	id=g:4181512
Bear Den Creek	id=g:4181513
Bear Creek Church	id=g:4181514
Bear Gap	id=g:4181515
Bear Gap	id=g:4181516
Bear Garden Swamp	id=g:4181517
Bear Garden Swamp	id=g:4181518
Bear Garden Swamp Dam	id=g:4181519
Bear Island	id=g:4181520
Bear Island	id=g:4181521
Bear Island	id=g:4181522
Bear Island	id=g:4181523
Bear Island	id=g:4181524
Bear Island Swamp	id=g:4181525
Bear Lake	id=g:4181526
Bear Lake	id=g:4181527
Bear Mountain	id=g:4181528
Bear Paw Branch	id=g:4181529
Bear Den Mountain	id=g:4181530
Bear River	id=g:4181531
Bear Pen Gap	id=g:4181532
Bearcamp Branch	id=g:4181533
Bearcamp Lake	id=g:4181534
Beard	id=g:4181535
Beard Creek	id=g:4181536
Bearcamp Lake Dam	id=g:4181537
Beard Old River	id=g:4181538
Beard Spring	id=g:4181539
Bearden Cemetery	id=g:4181540
Bearden Creek	id=g:4181541
