12611 Water Well	id=g:5452971
12612 Water Well	id=g:5452972
12612 Water Well	id=g:5452973
12613 Water Well	id=g:5452974
12613 Water Well	id=g:5452975
12614 Water Well	id=g:5452976
12614 Water Well	id=g:5452977
12615 Water Well	id=g:5452978
12615 Water Well	id=g:5452979
12616 Water Well	id=g:5452980
12616 Water Well	id=g:5452981
12617 Water Well	id=g:5452982
12617 Water Well	id=g:5452983
12618 Water Well	id=g:5452984
12618 Water Well	id=g:5452985
12619 Water Well	id=g:5452986
12619 Water Well	id=g:5452987
12620 Water Well	id=g:5452988
12620 Water Well	id=g:5452989
12621 Water Well	id=g:5452990
12621 Water Well	id=g:5452991
12622 Water Well	id=g:5452992
12622 Water Well	id=g:5452993
12623 Water Well	id=g:5452994
12623 Water Well	id=g:5452995
12624 Water Well	id=g:5452996
12624 Water Well	id=g:5452997
12625 Water Well	id=g:5452998
12625 Water Well	id=g:5452999
12626 Water Well	id=g:5453000
12626 Water Well	id=g:5453001
12627 Water Well	id=g:5453002
12627 Water Well	id=g:5453003
12628 Water Well	id=g:5453004
12628 Water Well	id=g:5453005
12629 Water Well	id=g:5453006
12629 Water Well	id=g:5453007
12630 Water Well	id=g:5453008
12631 Water Well	id=g:5453009
12632 Water Well	id=g:5453010
12633 Water Well	id=g:5453011
12633 Water Well	id=g:5453012
12634 Water Well	id=g:5453013
12635 Water Well	id=g:5453014
12635 Water Well	id=g:5453015
12636 Water Well	id=g:5453016
12637 Water Well	id=g:5453017
12638 Water Well	id=g:5453018
12639 Water Well	id=g:5453019
12640 Water Well	id=g:5453020
12641 Water Well	id=g:5453021
12642 Water Well	id=g:5453022
12643 Water Well	id=g:5453023
12643 Water Well	id=g:5453024
12644 Water Well	id=g:5453025
12644 Water Well	id=g:5453026
12645 Water Well	id=g:5453027
12645 Water Well	id=g:5453028
12646 Water Well	id=g:5453029
12646 Water Well	id=g:5453030
12647 Water Well	id=g:5453031
12647 Water Well	id=g:5453032
12648 Water Well	id=g:5453033
12649 Water Well	id=g:5453034
12650 Water Well	id=g:5453035
12651 Water Well	id=g:5453036
12652 Water Well	id=g:5453037
12653 Water Well	id=g:5453038
12654 Water Well	id=g:5453039
12655 Water Well	id=g:5453040
12656 Water Well	id=g:5453041
12658 Water Well	id=g:5453042
12659 Water Well	id=g:5453043
12660 Water Well	id=g:5453044
12661 Water Well	id=g:5453045
12661 Water Well	id=g:5453046
12662 Water Well	id=g:5453047
12662 Water Well	id=g:5453048
12663 Water Well	id=g:5453049
12663 Water Well	id=g:5453050
12670 Water Well	id=g:5453051
12671 Water Well	id=g:5453052
12672 Water Well	id=g:5453053
12674 Water Well	id=g:5453054
12675 Water Well	id=g:5453055
12676 Water Well	id=g:5453056
12677 Water Well	id=g:5453057
12678 Water Well	id=g:5453058
12679 Water Well	id=g:5453059
12680 Water Well	id=g:5453060
12681 Water Well	id=g:5453061
12682 Water Well	id=g:5453062
12683 Water Well	id=g:5453063
12684 Water Well	id=g:5453064
12685 Water Well	id=g:5453065
12686 Water Well	id=g:5453066
12687 Water Well	id=g:5453067
12688 Water Well	id=g:5453068
12689 Water Well	id=g:5453069
12690 Water Well	id=g:5453070
12691 Water Well	id=g:5453071
12692 Water Well	id=g:5453072
12694 Water Well	id=g:5453073
12695 Water Well	id=g:5453074
12696 Water Well	id=g:5453075
12697 Water Well	id=g:5453076
12698 Water Well	id=g:5453077
12699 Water Well	id=g:5453078
127 Water Well	id=g:5453079
12700 Water Well	id=g:5453080
12701 Water Well	id=g:5453081
12705 Water Well	id=g:5453082
12706 Water Well	id=g:5453083
12707 Water Well	id=g:5453084
12708 Water Well	id=g:5453085
12708 Water Well	id=g:5453086
12709 Water Well	id=g:5453087
12709 Water Well	id=g:5453088
12710 Water Well	id=g:5453089
12710 Water Well	id=g:5453090
12711 Water Well	id=g:5453091
12711 Water Well	id=g:5453092
12712 Water Well	id=g:5453093
12713 Water Well	id=g:5453094
12714 Water Well	id=g:5453095
12714 Water Well	id=g:5453096
12715 Water Well	id=g:5453097
12715 Water Well	id=g:5453098
12716 Water Well	id=g:5453099
12716 Water Well	id=g:5453100
12717 Water Well	id=g:5453101
12717 Water Well	id=g:5453102
12718 Water Well	id=g:5453103
12720 Water Well	id=g:5453104
12721 Water Well	id=g:5453105
12722 Water Well	id=g:5453106
12724 Water Well	id=g:5453107
12726 Water Well	id=g:5453108
12753 Water Well	id=g:5453109
12754 Water Well	id=g:5453110
12758 Water Well	id=g:5453111
