Koviona	id=g:789165
Kovioci	id=g:789166
Opština Kovin	id=g:789167
Kovin	id=g:789168
Kovilovo	id=g:789169
Kovilj	id=g:789170
Kovanluk	id=g:789173
Kovanica	id=g:789174
Opština Kovačica	id=g:789176
Kovačica	id=g:789178
Kovači	id=g:789180
Kovači	id=g:789181
Kovačevo	id=g:789182
Kovačevac	id=g:789184
Kovačeva Bara	id=g:789186
Kovače	id=g:789187
Kotrljane	id=g:789189
Kotraža	id=g:789190
Košutica	id=g:789196
Kosuriće	id=g:789198
Košući Vrh	id=g:789200
Košuca	id=g:789201
Kostur	id=g:789203
Koštunići	id=g:789205
Kostroševci	id=g:789206
Kostomlatica	id=g:789209
Kostolac	id=g:789210
Kostol	id=g:789211
Kostiljnjak	id=g:789216
Kostenica	id=g:789217
Koštan Polje	id=g:789219
Kostadinovac	id=g:789221
Kosovica Reka	id=g:789231
Kosovica	id=g:789232
Kosmovac	id=g:789234
Kosmati Vrh	id=g:789235
Kosmaj	id=g:789237
Kosmaj	id=g:789238
Kosmača	id=g:789239
Koševi	id=g:789244
Koševac	id=g:789245
Košarno	id=g:789248
Kosanica	id=g:789253
Kosančić	id=g:789255
Kosa	id=g:789256
Kulma Koš	id=g:789257
Kornovski Vis	id=g:789259
Kornjet	id=g:789260
Kornjet	id=g:789261
Korman	id=g:789262
Korman	id=g:789263
Korlaće	id=g:789264
Koritska Reka	id=g:789266
Koritnik	id=g:789269
Koritnik	id=g:789270
Korbul	id=g:789281
Korbovo	id=g:789282
Korbevačka Reka	id=g:789283
Korbevac	id=g:789284
Korašin Reka	id=g:789285
Koranja	id=g:789286
Koraćica	id=g:789287
Koraćevac	id=g:789288
Koprivštica	id=g:789291
Koprivno Brdo	id=g:789292
Koprivnica	id=g:789293
Koprivnica	id=g:789294
Koprivnica	id=g:789295
Kopren	id=g:789301
Kopljare	id=g:789303
Kopitarce	id=g:789304
Kopita	id=g:789305
Kopajkošara	id=g:789310
Konopnica	id=g:789315
Konjuva	id=g:789319
Konjuša	id=g:789320
Konjsko Vrelo	id=g:789323
Konjska Reka	id=g:789325
Konjarnik	id=g:789330
Konjari	id=g:789335
Koniče	id=g:789336
Kondželj	id=g:789337
Končulj	id=g:789340
Končić	id=g:789341
Končarevo	id=g:789343
Konatice	id=g:789344
Konarevo	id=g:789345
Konak	id=g:789346
Komša	id=g:789347
Komorane	id=g:789348
Komora	id=g:789350
Komareva Humka	id=g:789351
Komarica	id=g:789352
Komarane	id=g:789353
Komanice	id=g:789354
Komadine	id=g:789355
Kom	id=g:789356
Kolunica	id=g:789357
Kolubara	id=g:789358
Količan Potok	id=g:789363
Kolarska Humka	id=g:789367
Kolari	id=g:789369
Kolare	id=g:789371
Kolači	id=g:789372
Kodra	id=g:789387
Koćura	id=g:789388
Koćurac	id=g:789389
Koćurica	id=g:789391
Kulma Kočman	id=g:789392
Kočine	id=g:789397
Kočetin	id=g:789399
Kočane	id=g:789404
Kobišnica	id=g:789405
Kobilje	id=g:789406
Kobilje	id=g:789407
Kobilje	id=g:789408
Petrova Glava	id=g:789410
Kobilica	id=g:789411
Opština Knjaževac	id=g:789414
Knićanin	id=g:789415
Opština Knić	id=g:789416
Knez-Selo	id=g:789417
Knežica	id=g:789420
Knežica	id=g:789421
Kneževo	id=g:789422
Kneževac	id=g:789424
Kneževac	id=g:789425
Klokočevac	id=g:789428
Kloka	id=g:789429
Kloka	id=g:789430
Kločanica	id=g:789431
Ključ	id=g:789433
Ključ	id=g:789434
Ključ	id=g:789435
Klještevica	id=g:789436
