Balka Kuzhnaya	id=g:805095
Balka Toskareva	id=g:805096
Balka Antonovskaya	id=g:805097
Balka Verkhnyaya Antonova	id=g:805098
Mestynberg	id=g:805099
Balka Zolotaya	id=g:805100
Orgin Ula	id=g:805101
Koshara Tsonye	id=g:805102
Balka Morkyy Gashun	id=g:805103
Balka Biryuch’ya	id=g:805104
Boga Khuduk	id=g:805105
Balka Kamysheva	id=g:805106
Dordzhin Khuduk	id=g:805107
Balka Maloye Kuberle	id=g:805108
Dolyn Khuduk	id=g:805109
Kher’n	id=g:805110
Balka Verkhne-Khutorskaya	id=g:805111
Balka Khutorskaya	id=g:805112
Khargata	id=g:805113
Tyaryana Byuryuk	id=g:805114
Gora Navisla	id=g:805115
Gora Lysaya	id=g:805116
Podkovskiy	id=g:805119
Lok	id=g:805120
Velikobratskiy	id=g:805121
Vostochnyy	id=g:805122
Gora Pochepsukha	id=g:805124
Gora Sadovaya	id=g:805125
Postozhi	id=g:805126
Stantsiya Konokovo	id=g:805127
Kolodets Kher’n-Khuduk	id=g:805128
Kruglyy Kamen' Gora	id=g:805129
Shevtsov	id=g:805131
Kolodets Mu-Er-Khar	id=g:805132
Pervokubanskiy	id=g:805134
Kolodets Gyun-Khara	id=g:805135
Malaminskiy	id=g:805136
Gora Ostraya	id=g:805137
Ulan-Kheyechi	id=g:805138
Gora Nizhniy Piket	id=g:805139
Kolodets Yamata Khuduk	id=g:805140
Kolodets Bakshin Khuduk	id=g:805141
Kolodets Kevyud Khuduk	id=g:805142
Borguta Khuduk	id=g:805143
Kolodets Delyan Khuduk	id=g:805144
Bor Khuduk	id=g:805145
Gora Lysaya	id=g:805146
Gora Khlebushko	id=g:805148
Mu-Buzgu Khuduk	id=g:805149
Parneva	id=g:805151
Kamkhulta Khuduk	id=g:805152
Gora Sedlo	id=g:805153
Ozero Zamvita	id=g:805154
Ulan Khuduk	id=g:805155
Yundun Khuduk	id=g:805156
Kolodets Chapchache-Khuduk	id=g:805159
Kolodets Bur-Khuduk-Tolga	id=g:805160
Sheychenko	id=g:805161
Ozero Gatin	id=g:805162
Itlik	id=g:805163
Lazarchuk	id=g:805164
Romanchukov	id=g:805165
Amga Khuduk	id=g:805166
Cholun-Khamur	id=g:805167
Yuzhnyy	id=g:805168
Gal'chenko	id=g:805169
Stolyarov	id=g:805170
Chapayevskiy	id=g:805171
Chograyskiy	id=g:805172
Sosnovaya Shchel’	id=g:805173
Kolodets Itlik Khuduk	id=g:805174
Liman Itlik	id=g:805175
Balka Sukhoy Gashun	id=g:805176
Kolodets Itlik Khuduk	id=g:805177
Kolodets Amga Khuduk	id=g:805178
Kislovodskiy	id=g:805179
Kolodets Dardy Khuduk	id=g:805180
Enkrik Khuduk	id=g:805181
Bol’shaya Sobachka	id=g:805182
Balka Shangusta	id=g:805183
Kolodets Sharva Khuduk	id=g:805184
Belaya Glina	id=g:805185
Dzhamtrin Khuduk	id=g:805186
Balka Shirokaya	id=g:805187
Ozero Muklin Tsarng	id=g:805188
Khadyzhenskaya	id=g:805189
Zarechnyy	id=g:805190
Kolodets Khuduk Tyuven Tatal	id=g:805191
Kolodets Khuduk Khartolgan	id=g:805192
Podkovyrova	id=g:805193
Paporotnyy	id=g:805194
Balka Bashanta	id=g:805195
Balka Bakhurda	id=g:805196
Sosnovka	id=g:805197
Balka Sladkiy Yerlik	id=g:805198
Balka Ivanova	id=g:805199
Khuduk Yendon	id=g:805200
Balka Belaya	id=g:805201
Balka Bol’shoy Gashun	id=g:805202
Kolodets Khuduk Dalan Aldy	id=g:805203
Khuduk Bovgan	id=g:805204
Balka Glubokaya	id=g:805205
Kolodets Khuduk Shadt	id=g:805206
Kura	id=g:805207
Balka Tsvetnaya	id=g:805208
Balka Lisich’ya	id=g:805209
Balka Starikova	id=g:805210
Kolodets Khuduk Nemen	id=g:805211
Tsvetkov	id=g:805212
Kolodets Khuduk Olun	id=g:805213
Kolodets Khuduk Agan-Gashu	id=g:805214
Goytkh	id=g:805215
Kolodets Khuduk Amta	id=g:805216
Kolodets Khuduk Sovkho	id=g:805217
Kolodets Khuduk Gashun	id=g:805218
Liman Tsagan-Usun	id=g:805219
Gunayka	id=g:805220
Sezhe	id=g:805221
Ozero Khudzhyur	id=g:805222
Khuduk Mu-Chantyn	id=g:805223
Ozero Emchir-Nur	id=g:805224
Ozero Kek-Usun	id=g:805225
Starokuvinskiy	id=g:805226
Orenburg	id=g:805227
Kolodets Damba	id=g:805228
