Ci Olok	id=g:6774595
Ci Dulang	id=g:6774596
Ci Napung	id=g:6774597
Langensari	id=g:6774598
Kliwon	id=g:6774599
Puhun	id=g:6774600
Gunungkarung	id=g:6774601
Dusun Dua	id=g:6774602
Dusun Empat	id=g:6774603
Dusun Dua	id=g:6774604
Karangbata	id=g:6774605
Benda	id=g:6774606
Ci Paneureusan	id=g:6774607
Cibodas	id=g:6774608
Puhun	id=g:6774609
Kliwon	id=g:6774610
Cibuluh	id=g:6774611
Pahing	id=g:6774612
Legok	id=g:6774613
Karanganyar	id=g:6774614
Manis	id=g:6774615
Bunder	id=g:6774616
Pahing	id=g:6774617
Puhun	id=g:6774618
Kliwon	id=g:6774619
Datar	id=g:6774620
Manis	id=g:6774621
Dusun Satu	id=g:6774622
Benda	id=g:6774623
Dusun Tiga	id=g:6774624
Ci Cabe	id=g:6774625
Cisaatcangkuang	id=g:6774626
Cisaat Tengah	id=g:6774627
Dusun Satu	id=g:6774628
Dusun Satu	id=g:6774629
Cisaat	id=g:6774630
Ciuyah	id=g:6774631
Dangdeur	id=g:6774632
Parenca	id=g:6774633
Pahing	id=g:6774634
Asem	id=g:6774635
Manis	id=g:6774636
Bulakamba	id=g:6774637
Cibau	id=g:6774638
Amba	id=g:6774639
Bendung Ambit	id=g:6774640
Leuwikeris	id=g:6774641
Pasir Puterlumbung	id=g:6774642
Pasir Kihiangkirang	id=g:6774643
Manis	id=g:6774644
Pahing	id=g:6774645
Pasantren	id=g:6774646
Manis Dua	id=g:6774647
Pahing	id=g:6774648
Kliwon	id=g:6774649
Cikeusik	id=g:6774650
Mulyajaya	id=g:6774651
Pasir Kajai	id=g:6774652
Pasir Nyalindung	id=g:6774653
Ci Kamuning	id=g:6774654
Wage	id=g:6774655
Kliwon	id=g:6774656
Puhun	id=g:6774657
Pahing	id=g:6774658
Manis	id=g:6774659
Kliwon	id=g:6774660
Manis	id=g:6774661
Pahing	id=g:6774662
Kananga	id=g:6774663
Ci Lutung	id=g:6774664
Dusun Tiga	id=g:6774665
Dusun Dua	id=g:6774666
Dusun Satu	id=g:6774667
Dusun Tiga	id=g:6774668
Dusun Dua	id=g:6774669
Jatirenggang	id=g:6774670
Dusun Tiga	id=g:6774671
Balong	id=g:6774672
Karanganyar	id=g:6774673
Bojong	id=g:6774674
Tarikolot Barat	id=g:6774675
Manis	id=g:6774676
Kliwon	id=g:6774677
Tarikolot Timur	id=g:6774678
Pahing	id=g:6774679
Karangsari	id=g:6774680
Dusun Dua	id=g:6774681
Dusun Satu	id=g:6774682
Dusun Tiga	id=g:6774683
Gunungsari	id=g:6774684
Dusun Empat	id=g:6774685
Dusun Dua	id=g:6774686
Dusun Satu	id=g:6774687
Dusun Tiga	id=g:6774688
Mekarsari	id=g:6774689
Karyawan	id=g:6774690
Wage	id=g:6774691
Waleddesa	id=g:6774692
Kliwon	id=g:6774693
Pahing	id=g:6774694
Balong	id=g:6774695
Jumbleung	id=g:6774696
Tengah	id=g:6774697
Wetan	id=g:6774698
Pasir Maniteung	id=g:6774699
Caruy	id=g:6774700
Acoran	id=g:6774701
Ci Sampih	id=g:6774702
Pasir Lemahjati	id=g:6774703
Leuwihaur	id=g:6774704
Ciroke	id=g:6774705
Manis Satu	id=g:6774706
Kliwon	id=g:6774707
Pahing	id=g:6774708
Manis	id=g:6774709
Wage	id=g:6774710
Puhun	id=g:6774711
Sukajaya	id=g:6774712
Ci Keusal	id=g:6774713
Dusun Dua	id=g:6774714
Dusun Satu	id=g:6774715
Cimahi	id=g:6774716
Ci Lame	id=g:6774717
Ci Cadas	id=g:6774718
Ci Paku	id=g:6774719
Babakangebang	id=g:6774720
Kudukeras	id=g:6774721
Bojonggebang	id=g:6774722
Dusun Satu	id=g:6774723
Dusun Tiga	id=g:6774724
Dusun Satu	id=g:6774725
Dusun Tiga	id=g:6774726
Dusun Dua	id=g:6774727
Wage	id=g:6774728
Manis	id=g:6774729
Hulubanteng	id=g:6774730
Dusun Empat	id=g:6774731
Dusun Dua	id=g:6774732
