Hotel Bee Fang	id=g:6946136
Altstadt-Lehel	id=g:6946139
Au-Haidhausen	id=g:6946140
Aubing-Lochhausen-Langwied	id=g:6946141
Feldmoching-Hasenbergl	id=g:6946143
Hadern	id=g:6946144
Ludwigsvorstadt-Isarvorstadt	id=g:6946145
Ludwigsvorstadt-Isarvorstadt	id=g:6946146
Milbertshofen-Am Hart	id=g:6946147
Neuhausen-Nymphenburg	id=g:6946148
Obergiesing	id=g:6946149
Pasing-Obermenzing	id=g:6946150
Ramersdorf-Perlach	id=g:6946151
Schwabing-West	id=g:6946153
Schwanthalerhöhe	id=g:6946154
Sendling-Westpark	id=g:6946155
Sendling-Westpark	id=g:6946156
Thalkirchen-Obersendling- Forstenried-Fürstenried-Solln	id=g:6946157
Trudering-Riem	id=g:6946158
The British Bed and  Breakfast	id=g:6946176
Hotel Central Wesseling	id=g:6946177
City 54 Hostel Berlin  Hotel	id=g:6946178
Untergiesing-Harlaching	id=g:6946179
Allianz Arena München	id=g:6946180
Alte Peter	id=g:6946181
Altes Rathaus München	id=g:6946182
Bavaria Filmstadt	id=g:6946183
Hofbrauhaus München	id=g:6946184
Karlstor	id=g:6946185
Kaufingerstraße	id=g:6946186
Neues Rathaus	id=g:6946187
Sendlinger Tor	id=g:6946192
Stachus/Karlsplatz	id=g:6946193
Viktualienmarkt	id=g:6946195
Frankfurt-Mitte-West	id=g:6946221
Frankfurt-Nord-Ost	id=g:6946222
Frankfurt-Süd	id=g:6946223
Innenstadt I	id=g:6946225
Innenstadt II	id=g:6946226
Innenstadt III	id=g:6946227
Innenstadt IV	id=g:6946228
Kalbach/Riedberg	id=g:6946229
Alte Oper Frankfurt	id=g:6946231
European Central Bank	id=g:6946233
Frankfurter Dom	id=g:6946234
Frankfurter Wertpapierbörse	id=g:6946235
Galluswarte	id=g:6946236
Goethe-Haus	id=g:6946252
Main Tower	id=g:6946253
Palmengarten	id=g:6946254
Paulskirche	id=g:6946255
Römer	id=g:6946256
Römer	id=g:6946257
Zoo Frankfurt	id=g:6946258
Messe Frankfurt	id=g:6946259
Messeturm	id=g:6946260
Comfort Hotel Chemnitz	id=g:6946264
Comfort Hotel Dresden	id=g:6946274
Comfort Hotel Leipzig West	id=g:6946282
Crystal Garni	id=g:6946288
Hotel Diller - Schneeballentraume	id=g:6946290
Dom Blick Hotel	id=g:6946291
domicil Residenz Hotel Bad Aachen	id=g:6946292
Dormotel Business Hotel Bruchsal	id=g:6946301
Dormotel Regina Sankt Augustin	id=g:6946302
europe apartments	id=g:6946332
Holiday Inn Hotel Express Frankfurt-Messe	id=g:6946344
Familotel Feldberger Hof	id=g:6946353
Franken	id=g:6946359
Galerie Design Hotel Bonn	id=g:6946372
Godorfer Mühle	id=g:6946419
Tulip Inn Munich Schwabing	id=g:6946425
Golden Tulip Goldschmieding Castrop-Rauxel Restaurant	id=g:6946428
Golden Tulip Schloss Neustadt Glewe	id=g:6946430
Grand City Central Hotel Berlin Airport	id=g:6946431
Grand City Hotel Leipzig Messe	id=g:6946432
Grunau Hotel	id=g:6946433
Holiday Inn Berlin Mitte	id=g:6946439
Holiday Inn Hotel Essen City Centre	id=g:6946442
Hostel Die Boofe Hotel	id=g:6946468
Hotel Landhaus Alpinia	id=g:6946478
Cityblick Hotel Pension	id=g:6946479
IBB Hotel Passau	id=g:6946481
IBIS Dresden Bastei	id=g:6946482
Ibis Berlin Tegel Airport	id=g:6946483
Intercityhotel Dresden	id=g:6946486
Jugendherberge Köln-Riehl	id=g:6946489
King's First Class	id=g:6946582
Landgasthof Diedersdorf	id=g:6946591
Leonardo Airport Hotel Berlin Schonefeld	id=g:6946598
Leonardo Hotel Berlin	id=g:6946599
Hotel Ling Bao	id=g:6946601
Maritim Hotel Dresden	id=g:6946605
Maritim Grand Hotel Hannover	id=g:6946606
Markisches Tagungs-Hotel	id=g:6946611
Hotel Matamba	id=g:6946612
Meininger City Hostel & Hotel Hamburg	id=g:6946613
Meininger City Hostel & Hotel Prenzlauer	id=g:6946614
Metropolitan Hansa Hotel	id=g:6946621
Mittes Backpacker Hostel	id=g:6946623
Hotel Monte Cristo	id=g:6946628
Movenpick Hotel Stuttgart Airport	id=g:6946632
Aparthotel Münzgasse	id=g:6946638
Hotel Neumarkt Aparthotel	id=g:6946641
NH Berlin Friedrichstrasse	id=g:6946656
NH Dessau	id=g:6946683
NH Hotel Stuttgart Airport	id=g:6946769
Hotel Novotel Frankfurt City	id=g:6946958
Novotel Munich Perlach	id=g:6946959
Hotel Orly	id=g:6946960
Ottheinrich	id=g:6946961
Park Inn Berlin City-West	id=g:6946962
Park Inn Bielefeld	id=g:6946963
Park Inn Düsseldorf-Süd	id=g:6946965
Park Inn Hamburg Nord	id=g:6946966
Park Inn Mainz	id=g:6946967
Park Inn Mannheim	id=g:6946968
Park Inn Papenburg	id=g:6946969
Tagungshotel Weimar - Park Inn Hotel Weimar	id=g:6946970
Parkhotel Rödermark	id=g:6946971
pentahotel Berlin-Köpenick	id=g:6946973
pentahotel chemnitz	id=g:6946974
Penta Hotel Kassel	id=g:6946976
Penta Hotel Rostock	id=g:6946977
Penta Hotel Trier	id=g:6946978
Hotel Port Inn	id=g:6946979
Hotel Pullman Berlin Schweizerhof, ex Sofitel	id=g:6946982
Radisson Blu Park Hotel Dresden	id=g:6946983
Radisson SAS Koeln	id=g:6946984
Rammersweier Hof	id=g:6946985
Rheinhotel Vier Jahreszeiten	id=g:6946987
Romantik Hotel & Restaurant Pattis	id=g:6946988
Roomers Hotel	id=g:6946989
Schlosshotel Steinburg	id=g:6946991
Schloss Diedersdorf	id=g:6946993
Schwarzwaldhotel Sonnenhof	id=g:6946997
