Forêt de Hesse	id=g:3013357
Hesse	id=g:3013358
Hesmy	id=g:3013359
Hesmond	id=g:3013360
Hésingue	id=g:3013361
Hesdres	id=g:3013362
Hesdin-l'Abbé	id=g:3013363
Forêt d'Hesdin	id=g:3013364
Hesdin	id=g:3013365
Hesdigneul-lès-Boulogne	id=g:3013366
Hesdigneul-lès-Béthune	id=g:3013367
Hescamps	id=g:3013368
Hesbécourt	id=g:3013369
Herzeele	id=g:3013370
Héry-sur-Ugines	id=g:3013371
Héry-sur-Alby	id=g:3013372
Héry	id=g:3013373
Héry	id=g:3013374
Hervilly	id=g:3013375
Herville	id=g:3013376
Hervelinghen	id=g:3013377
Forêt d'Hervaux	id=g:3013378
Hertzing	id=g:3013379
Hersin-Coupigny	id=g:3013380
Herserange	id=g:3013381
Hersbach	id=g:3013382
Hers	id=g:3013383
Hers	id=g:3013384
Herry	id=g:3013385
Herrlisheim-près-Colmar	id=g:3013386
Herrlisheim	id=g:3013387
Herrin	id=g:3013388
Herrère	id=g:3013389
Herrenwald	id=g:3013390
Hèrre	id=g:3013391
Herré	id=g:3013392
Herran	id=g:3013393
Herqueville	id=g:3013394
Herqueville	id=g:3013395
Herpy-l'Arlésienne	id=g:3013396
Herpont	id=g:3013397
Herpine	id=g:3013398
Pierre de Herpin	id=g:3013399
Herpieux	id=g:3013400
Herpelmont	id=g:3013401
Hérouvillette	id=g:3013402
Hérouville-Saint-Clair	id=g:3013403
Hérouville	id=g:3013404
Héronne	id=g:3013405
Héronchelles	id=g:3013406
Herny	id=g:3013407
Hernicourt	id=g:3013408
Château de l'Herms	id=g:3013409
Hermonville	id=g:3013410
Hermival-les-Vaux	id=g:3013411
Ruisseau de l'Hermitain	id=g:3013412
Forêt Domaniale de l'Hermitain	id=g:3013413
Hermin	id=g:3013414
Hermillon	id=g:3013415
Hermies	id=g:3013416
Hermier	id=g:3013417
Herméville-en-Woëvre	id=g:3013418
Bois de Herméville	id=g:3013419
Hermeville	id=g:3013420
Bois d'Hermet	id=g:3013421
Hermet	id=g:3013422
Hermesnil	id=g:3013423
Hermes	id=g:3013424
Hermerswiller	id=g:3013425
Hermeray	id=g:3013426
Hermeray	id=g:3013427
Herment	id=g:3013428
Hermelinghen	id=g:3013429
Hermelange	id=g:3013430
Hermé	id=g:3013431
