Cameron Fire Station	id=g:5247551
Cameron Flowage 5	id=g:5247552
Cameron High School	id=g:5247553
Cameron Middle School	id=g:5247554
Cameron Park Playground	id=g:5247555
Cameron Police Station	id=g:5247556
Cameron Post Office	id=g:5247557
Cameron Pride School (historical)	id=g:5247558
Cameron Public Library	id=g:5247559
Cameron School (historical)	id=g:5247560
Cameron Substation - Xcell Energy	id=g:5247561
Cameron United Methodist Church	id=g:5247562
Cameron Village Hall	id=g:5247563
Cameron Water Tower	id=g:5247564
Cameron Water Tower Number 2	id=g:5247565
Town of Cameron	id=g:5247566
Village of Cameron	id=g:5247567
Camerons Creek	id=g:5247568
Cameron Dam	id=g:5247569
Camp 14 (historical)	id=g:5247570
Camp 19 (historical)	id=g:5247571
Camp 8 Flowage 3WR341 Dam	id=g:5247572
Camp American Legion	id=g:5247573
Camp Anokijig	id=g:5247574
Camp Awana	id=g:5247575
Camp B Lake	id=g:5247576
Camp Badger School	id=g:5247577
Camp Birch Trail	id=g:5247578
Camp Bird State Youth Recreational Center	id=g:5247579
Camp Black Hawk	id=g:5247580
Camp Blessing	id=g:5247581
Camp Bovey	id=g:5247582
Camp Bradfield	id=g:5247583
Camp Brandenburg	id=g:5247584
Camp Brosius	id=g:5247585
Camp Byron	id=g:5247586
Camp C Creek	id=g:5247587
Cammerer Lake	id=g:5247588
Camp Carlson	id=g:5247589
Camp Chapel	id=g:5247590
Camp Chester	id=g:5247591
Camp Chin-Be-Gota	id=g:5247592
Camp Chippewa Bay	id=g:5247593
Camp Creek	id=g:5247594
Camp C H I	id=g:5247595
Camp Creek	id=g:5247596
Camp Creek	id=g:5247597
Camp D Creek	id=g:5247598
Camp Creek School (historical)	id=g:5247599
Camp Dells Campground	id=g:5247600
Camp Dixon School	id=g:5247601
Camp Douglas	id=g:5247602
Camp Douglas Cemetery	id=g:5247603
Camp Douglas Elementary School	id=g:5247604
Camp Douglas Lake	id=g:5247605
Village of Camp Douglas	id=g:5247606
Camp Edwards	id=g:5247607
Camp Ehawee	id=g:5247608
Camp Eight Creek	id=g:5247609
Camp Dell-O-Claire	id=g:5247610
Camp Eleven Creek	id=g:5247611
Camp Eight Flowage	id=g:5247612
Camp Eleven Lake	id=g:5247613
Camp Evelyn	id=g:5247614
Camp F Creek	id=g:5247615
Camp F Creek	id=g:5247616
Camp Eleven Lake	id=g:5247617
Camp Fifteen Creek	id=g:5247618
Camp Fiesta	id=g:5247619
Camp Firewood	id=g:5247620
Camp Five Creek	id=g:5247621
Camp Fifteen Springs	id=g:5247622
Camp Five Lake	id=g:5247623
Camp Flambeau	id=g:5247624
Camp Forest Springs	id=g:5247625
Camp Four Creek	id=g:5247626
Camp Five Lake	id=g:5247627
Camp Four Lake	id=g:5247628
Camp Four Lake	id=g:5247629
Camp Four Lakes	id=g:5247630
Camp Four Springs	id=g:5247631
Camp Fourteen Creek	id=g:5247632
Camp Four Lake	id=g:5247633
Camp Gamehaven (historical)	id=g:5247634
Camp Gray	id=g:5247635
Camp Ground School (historical)	id=g:5247636
Camp Hidden Hollow	id=g:5247637
Camp Hiwela	id=g:5247638
Camp Icaghowan	id=g:5247639
Camp Indian Trails	id=g:5247640
Camp Indianola	id=g:5247641
Camp J C C	id=g:5247642
Camp Jorn	id=g:5247643
Camp Kawaga	id=g:5247644
Camp Lake	id=g:5247645
Camp Lake	id=g:5247646
Camp Lake	id=g:5247647
Camp Lake	id=g:5247648
Camp Lake	id=g:5247649
Camp Lake	id=g:5247650
Camp Lake	id=g:5247651
Camp Lake	id=g:5247652
Camp Lake	id=g:5247653
Camp Lake	id=g:5247654
Camp Lake	id=g:5247655
Camp Lake Airport	id=g:5247656
Camp Lawrence	id=g:5247657
Camp Long Lake	id=g:5247658
Camp Lucerne	id=g:5247659
Camp Ma-Ka-Ja-Wan	id=g:5247660
Camp MacLean	id=g:5247661
Camp MacLean	id=g:5247662
Camp Manito-wish	id=g:5247663
Camp Manitou	id=g:5247664
Camp Manitou	id=g:5247665
Camp Marimeta	id=g:5247666
Camp McCoy	id=g:5247667
Camp Merril School (historical)	id=g:5247668
Camp Mikquand	id=g:5247669
Camp Minikani	id=g:5247670
Camp Napowan	id=g:5247671
Camp Nawakwa	id=g:5247672
Camp Nawakwa	id=g:5247673
Camp Neibel	id=g:5247674
Camp New Wood County Park	id=g:5247675
Camp Nine Lake	id=g:5247676
Camp Nine School (historical)	id=g:5247677
Camp Nine Springs	id=g:5247678
Camp Norwesco	id=g:5247679
Camp Number 5 Siding (historical)	id=g:5247680
Camp Oak Hill	id=g:5247681
Camp Oh-da-ko-ta	id=g:5247682
Camp Ojibwa	id=g:5247683
Camp Onaway	id=g:5247684
Camp One Creek	id=g:5247685
Camp Fourteen School (historical)	id=g:5247686
Camp One Lake	id=g:5247687
Camp One Springs	id=g:5247688
Camp Peterson	id=g:5247689
