Golf Chambon	id=g:7535055
Golf Carquefou	id=g:7535056
Golf Club Le Croisic	id=g:7535057
Golf de la Bretesche	id=g:7535058
Golf Nantes Erdre	id=g:7535059
Golf Pornic	id=g:7535060
Golf de la Baule	id=g:7535061
Golf Savenay	id=g:7535062
Golf Nantes	id=g:7535063
Golf Limère	id=g:7535064
Golf du Château d'Augerville	id=g:7535065
Golf d'Orléans Donnery	id=g:7535066
Golf des Aisses	id=g:7535067
Golf Vaugouard Montargis	id=g:7535068
Golf Marcilly	id=g:7535069
Golf Sully-sur-Loire	id=g:7535070
Golf Club Montal	id=g:7535071
Souillac Country Club	id=g:7535072
Golf d'Albret	id=g:7535073
Golf d'Agen Bon Encontre	id=g:7535074
Golf Pleneselve	id=g:7535075
Golf Casteljaloux	id=g:7535076
Golf Castelnaud	id=g:7535077
Golf du Marmandais	id=g:7535078
Golf Barthe	id=g:7535079
Golf du Sabot	id=g:7535080
Golf Club Langogne Barres	id=g:7535081
Golf Angers Capucins	id=g:7535082
Golf Avrillé	id=g:7535083
Golf Baugé Pontigné	id=g:7535084
Golf d'Angers Saint-Jean-des-Mauvrets	id=g:7535085
Anjou Golf & Country Club	id=g:7535086
Golf Cholet	id=g:7535087
Golf du Saumurois	id=g:7535088
Golf de l'Ile d'Or	id=g:7535089
Golf Coutainville	id=g:7535090
Golf Municipal de Bréhal	id=g:7535091
Golf Club Granville	id=g:7535092
Golf de la presqu'île du Cotentin	id=g:7535093
Golf Cherbourg	id=g:7535094
Golf Fontenay-en-Cotentin	id=g:7535095
Golf de la Cote des Isles	id=g:7535096
Golf Saint-Lô	id=g:7535097
Golf Centre Manche	id=g:7535098
Golf de la Grande Romanie	id=g:7535099
Golf Reims Champagne	id=g:7535100
Golf d'Arc-en-Barrois	id=g:7535101
Golf de laval	id=g:7535102
Golf Club Nancy	id=g:7535103
Golf d'Avrainville	id=g:7535104
Golf Nancy Pulnoy	id=g:7535105
Golf Combles-en-Barrois	id=g:7535106
Golf Madine	id=g:7535107
Golf Saint-Laurent Ploemel Carnac	id=g:7535108
Golf Baden	id=g:7535109
Golf Ploemeur Ocean	id=g:7535110
Golf du Lac Au Duc	id=g:7535111
Golf Rimaison	id=g:7535112
Golf du Val Queven	id=g:7535113
Golf Rhuys	id=g:7535114
Golf Belle-Ile-en-Mer	id=g:7535115
Golf d'Amneville	id=g:7535116
Golf Bitche	id=g:7535117
Golf Faulquemont	id=g:7535118
Golf de la Grange Aux Ormes	id=g:7535119
Golf Metz Technopole	id=g:7535120
Golf Château de Preisch	id=g:7535121
Golf du Pays de Sarrebourg	id=g:7535122
Golf Sarreguemines	id=g:7535123
Golf Metz Cherisey	id=g:7535124
Golf public du Nivernais	id=g:7535125
Golf Brigode	id=g:7535126
Golf du Sart Lille	id=g:7535127
Golf Bondues	id=g:7535128
Golf Dunkerque	id=g:7535129
Golf Club Vert Parc	id=g:7535130
Golf des Flandres	id=g:7535131
Golf Valenciennes	id=g:7535132
Golf Club Mormal	id=g:7535133
Golf Lille Metropole	id=g:7535134
Golf Thumeries Douai	id=g:7535135
Golf d'Apremont	id=g:7535136
Golf Hôtel Dolce Chantilly	id=g:7535137
Golf Chaumont-en-Vexin	id=g:7535138
Golf Club Rebetz	id=g:7535139
Golf Compiègne	id=g:7535140
Golf des Templiers	id=g:7535141
Golf Club Lys	id=g:7535142
Golf du Château d'Humières	id=g:7535143
Golf Morfontaine	id=g:7535144
Golf du Vivier	id=g:7535145
Golf Club Château Raray Paris	id=g:7535146
Golf Chantilly	id=g:7535147
Golf Bellême Saint-Martin	id=g:7535148
Golf des Haras	id=g:7535149
Golf du Houlme	id=g:7535150
Golf Bagnoles de l'Orne	id=g:7535151
Golf Club Saint-Omer	id=g:7535152
Golf d'Arras	id=g:7535153
Golf Béthune	id=g:7535154
Golf public d'Olhain	id=g:7535155
Golf d'Hardelot	id=g:7535156
Golf du Touquet	id=g:7535157
Golf Wimereux	id=g:7535158
Golf du Mont Dore	id=g:7535159
Golf des Volcans Clermont Ferrand	id=g:7535160
Golf Charade	id=g:7535161
Golf Chiberta	id=g:7535162
Golf d'Arcangues	id=g:7535163
Golf Pau Artiguelouve	id=g:7535164
Golf Biarritz Le Phare	id=g:7535165
Golf Club Makila	id=g:7535166
Centre International d'Ilbarritz	id=g:7535167
Golf Club Pau	id=g:7535168
Golf Epherra	id=g:7535169
Golf de la Nivelle Saint-Jean de Luz	id=g:7535170
Golf Chantaco	id=g:7535171
Golf Salies de Bearn	id=g:7535172
Golf Club des Tumulus	id=g:7535173
Golf de l'Hippodrome	id=g:7535174
Golf de Lannemezan	id=g:7535175
Golf Club Lourdes	id=g:7535176
Golf Hôtel de La Bigorre	id=g:7535177
Golf Marcevol	id=g:7535178
Golf Font Romeu	id=g:7535179
Golf Saint-Cyprien	id=g:7535180
Golf Amélie Falgos	id=g:7535181
Golf Strasbourg	id=g:7535182
Golf du Kempferhof	id=g:7535183
Golf Club Soufflenheim	id=g:7535184
Golf de la Wantzenau	id=g:7535185
Golf d'Ammerschwihr	id=g:7535186
Golf du Rhin Mulhouse	id=g:7535187
Golf du Château	id=g:7535188
Golf d'Alsace	id=g:7535189
Golf de la Largue	id=g:7535190
Golf des bouleaux	id=g:7535191
Golf du Beaujolais	id=g:7535192
Golf Salvagny	id=g:7535193
Golf Miribel Jonage	id=g:7535194
Golf Lyon Chassieu	id=g:7535195
Golf Club Lyon	id=g:7535196
Golf Lyon Verger	id=g:7535197
Golf Luxeuil Bellevue	id=g:7535198
Golf d'Autun	id=g:7535199
Golf Bourbon Lancy	id=g:7535200
Golf Chalon sur Saône	id=g:7535201
Golf du Château d'Avoise	id=g:7535202
Golf Macon La Salle	id=g:7535203
Golf d'Alençon-en-Arçonnay	id=g:7535204
Golf des 24 Heures Le Mans	id=g:7535205
Golf Sablé Solesmes	id=g:7535206
Golf Sargé-lès-Le Mans	id=g:7535207
Golf d'Aix les Bains	id=g:7535208
Golf Meribel	id=g:7535209
Golf des Arcs	id=g:7535210
Golf du Chantel	id=g:7535211
Golf Courchevel	id=g:7535212
Golf du Lac de Tignes	id=g:7535213
Golf Pierre Carrée	id=g:7535214
Golf & Country Club Bossey	id=g:7535215
Golf Chamonix	id=g:7535216
Golf Club Evian Master	id=g:7535217
Golf des Gets	id=g:7535218
Golf Giez Lac d'Annecy	id=g:7535219
Golf du Mont d'Arbois	id=g:7535220
Golf d'Avoriaz	id=g:7535221
Golf Club Esery	id=g:7535222
Golf du Belvédère Chef Lieu	id=g:7535223
Golf du Lac d'Annecy	id=g:7535224
Golf de la Forêt Verte	id=g:7535225
Golf Dieppe Pourville	id=g:7535226
Golf public de Brotonne	id=g:7535227
Golf d'Etretat	id=g:7535228
Golf Jumièges [ex Brotonne]	id=g:7535229
Golf Rouen Mont Saint-Aignan	id=g:7535230
Golf du Havre	id=g:7535231
Golf Saint-Saëns	id=g:7535232
Golf Yerville	id=g:7535233
Golf UCPA Bois Le Roi	id=g:7535234
Golf Meaux Boutigny	id=g:7535235
Golf Bussy Saint-Georges	id=g:7535236
Golf Club Cely	id=g:7535237
Golf de la Marsaudière	id=g:7535238
Golf de la Brie	id=g:7535239
Golf Fontainebleau	id=g:7535240
Golf Fontenailles	id=g:7535241
Golf Clément Ader	id=g:7535242
Golf du Réveillon	id=g:7535243
Golf Disneyland Paris	id=g:7535244
Golf d'Ozoir La Ferrière	id=g:7535245
Golf de la Croix des Anges	id=g:7535246
Golf de la Forteresse	id=g:7535247
Golf UCPA	id=g:7535248
Golf de l'Ile Fleurie	id=g:7535249
Golf de la Vaucouleurs	id=g:7535250
Golf de la Grenouillère	id=g:7535251
Golf Feucherolles	id=g:7535252
Golf Fourqueux	id=g:7535253
Golf Château de La Chouette	id=g:7535254
Golf Guerville	id=g:7535255
Golf National	id=g:7535256
Golf Saint-Marc	id=g:7535257
Golf UCPA Moisson Mousseaux	id=g:7535258
Golf Noisy le Roi	id=g:7535259
Golf Isabella	id=g:7535260
Bethemont Golf & Country Club	id=g:7535261
Golf des Yvelines	id=g:7535262
Rochefort Golf & Country Club	id=g:7535263
Golf du Prieuré	id=g:7535264
Golf Saint-Germain	id=g:7535265
Golf Saint-Nom La Breteche	id=g:7535266
Golf Régional d'Ile-de-France	id=g:7535267
Golf du Tremblay sur Mauldre	id=g:7535268
Golf Villacoublay	id=g:7535269
Racing Club de France	id=g:7535270
Golf Villenne-sur-Seine	id=g:7535271
Golf Club Château des Forges	id=g:7535272
Golf du Petit Chêne	id=g:7535273
Golf Club Niort	id=g:7535274
Golf d'Abbeville	id=g:7535275
Golf Belle Dune	id=g:7535276
Golf Nampont Saint-Martin	id=g:7535277
Golf Club Amiens	id=g:7535278
Golf Salouël	id=g:7535279
Golf d'Albi Lasbordes	id=g:7535280
Golf Castres Gourjade	id=g:7535281
Golf Fiac	id=g:7535282
Golf Florentin Gaillac	id=g:7535283
Golf Mazamet La Barouge	id=g:7535284
Golf d'Espalais	id=g:7535285
Golf des Aiguillons	id=g:7535286
Golf des Roucous	id=g:7535287
Golf Barbaroux	id=g:7535288
Golf public de Valgarde	id=g:7535289
Golf Country Club Gassin	id=g:7535290
Golf Valcros Hyères	id=g:7535291
Golf Taulane	id=g:7535292
Golf Saint-Endreol	id=g:7535293
Golf de la Sainte-Baume	id=g:7535294
Golf Club Roquebrune	id=g:7535295
Golf Fregate	id=g:7535296
Golf Beauvallon	id=g:7535297
Golf Sainte-Maxime	id=g:7535298
Golf de latitudes Esterel	id=g:7535299
Golf Valescure	id=g:7535300
Four Seasons Terre Blanche	id=g:7535301
Golf Club Chateaublanc	id=g:7535302
Golf Orange	id=g:7535303
Saumane Provence Country Club	id=g:7535304
Golf du Grand Avignon	id=g:7535305
Golf des Fontenelles	id=g:7535306
Golf de la Domangère	id=g:7535307
Golf des Olonnes	id=g:7535308
Golf Saint-Jean-de-Monts	id=g:7535309
Golf Port Bourgenay	id=g:7535310
Golf Club Poitiers	id=g:7535311
Centre Golfique des Chalons	id=g:7535312
Golf du Connétable	id=g:7535313
Golf Loudun	id=g:7535314
Golf du Haut Poitou	id=g:7535315
Golf Limoges Saint-Lazare	id=g:7535316
Golf de la Porcelaine	id=g:7535317
Golf Saint-Junien	id=g:7535318
Golf des Images d'Epinal	id=g:7535319
Golf Vittel Chalet du Golf	id=g:7535320
Golf du Roncemay	id=g:7535321
Golf du Senonais	id=g:7535322
Golf Clairis	id=g:7535323
Golf Tanlay	id=g:7535324
Golf Rougemont le Château	id=g:7535325
Golf Club Bondoufle	id=g:7535326
Golf Belesbat	id=g:7535327
Golf Chevannes Mennecy	id=g:7535328
Golf du Coudray	id=g:7535329
Golf du Stade Français Courson	id=g:7535330
Etiolles Colonial Country Club	id=g:7535331
Golf Forges-les-Bains	id=g:7535332
Golf Gif Chevry	id=g:7535333
Golf Marivaux	id=g:7535334
Golf Saint-Aubin	id=g:7535335
Golf Saint-Germain-lès-Corbeil	id=g:7535336
Golf Villeray	id=g:7535337
Golf Greenparc	id=g:7535338
Golf Verrières-le-Buisson	id=g:7535339
Golf Saint-Cloud	id=g:7535340
Golf Rueil-Malmaison	id=g:7535341
Golf Paris Country Club	id=g:7535342
Golf du Stade Français Vaucresson	id=g:7535343
Golf de la Poudrerie	id=g:7535344
Golf Rosny sous Bois	id=g:7535345
Golf UCPA	id=g:7535346
Golf Marolles-en-Brie	id=g:7535347
Golf d'Ormesson	id=g:7535348
Golf Villiers-sur-Marne	id=g:7535349
Golf d'Ableiges	id=g:7535350
Golf Club Paris International	id=g:7535351
Golf Plessis Bellefontaine	id=g:7535352
Golf Villarceaux	id=g:7535353
