Rapuwai Lagoon	id=g:6211283
Lake Tekapo	id=g:6211284
Phantom Lagoon	id=g:6211285
Boundary Stream	id=g:6211286
Coal River	id=g:6211287
South Opuha River	id=g:6211288
Forest Creek	id=g:6211289
Tekapo Military Camp	id=g:6211290
Mount Burgess	id=g:6211291
Rona	id=g:6211292
Airies	id=g:6211293
Berridale	id=g:6211294
Tarapuna	id=g:6211295
Horwell Downs	id=g:6211296
Cloudy Peaks	id=g:6211297
TWO THUMB RANGE	id=g:6211298
TWO THUMB RANGE	id=g:6211299
Tekapo Canal	id=g:6211300
Mount Edward	id=g:6211301
Ashwick	id=g:6211302
Berkeley Downs	id=g:6211303
Stoneleigh	id=g:6211304
Mount Maude	id=g:6211305
Mount Hay	id=g:6211306
Mount Hay	id=g:6211307
Wee McGregor	id=g:6211308
Motuariki Island	id=g:6211309
Mount Dobson Skifield	id=g:6211310
Dobson Peak	id=g:6211311
Tekapo Saddle	id=g:6211312
SHERWOOD RANGE	id=g:6211313
Mount Ardmore	id=g:6211314
Stoneleigh Saddle	id=g:6211315
Sugar Loaf	id=g:6211316
The Knobbies	id=g:6211317
Richmond	id=g:6211318
Round Hill	id=g:6211319
Mount Musgrave	id=g:6211320
Mount Misery	id=g:6211321
Old Man Range Wetland	id=g:6211322
OLD MAN RANGE	id=g:6211323
Little Mount John	id=g:6211324
Balmoral	id=g:6211325
Mount Cox	id=g:6211326
JOSEPH RIDGE	id=g:6211327
HASZARD RIDGE	id=g:6211328
Mount Stevenson	id=g:6211329
Glenmore	id=g:6211330
Waterfall Hut	id=g:6211331
Mount Joseph	id=g:6211332
Patersons Ponds	id=g:6211333
Woodburn	id=g:6211334
Massack Stream	id=g:6211335
Dalgety Stream	id=g:6211336
Balloon Stream	id=g:6211337
Moffat Stream	id=g:6211338
Snow River	id=g:6211339
Hakataramea River	id=g:6211340
Kennaway Stream	id=g:6211341
Exe Stream	id=g:6211342
Little Opawa River	id=g:6211343
Delamain Stream	id=g:6211344
Blainslie Stream	id=g:6211345
Chamberlain Stream	id=g:6211346
Opawa River	id=g:6211347
Hawkey Stream	id=g:6211348
Fett Stream	id=g:6211349
Mackenzie River	id=g:6211350
Mackenzie River	id=g:6211351
Lockharts Stream	id=g:6211352
Hayter Stream	id=g:6211353
Avalanche Stream	id=g:6211354
Duck Stream	id=g:6211355
Tengawai River	id=g:6211356
Tramway Stream	id=g:6211357
Halls Stream	id=g:6211358
Wellshot Stream	id=g:6211359
Paddys Market Stream	id=g:6211360
Opihi River	id=g:6211361
Bullock Creek	id=g:6211362
Grays River	id=g:6211363
Grays River	id=g:6211364
Sawdon Stream	id=g:6211365
Dead Mans Creek	id=g:6211366
Edward Stream	id=g:6211367
Edward Stream	id=g:6211368
Tekapo River	id=g:6211369
Tekapo River	id=g:6211370
Mary Burn	id=g:6211371
Coal Stream	id=g:6211372
Mount McDonald	id=g:6211373
Maryburn Fill	id=g:6211374
Tekapo Canal	id=g:6211375
Tekapo Canal	id=g:6211376
Irishman Creek	id=g:6211377
Windy Ridges	id=g:6211378
Mount Mary	id=g:6211379
Larbreck	id=g:6211380
Irishman Creek	id=g:6211381
The Wolds	id=g:6211382
Sterickers Mound	id=g:6211383
Holbrook	id=g:6211384
Sawdon	id=g:6211385
Sawdon	id=g:6211386
Whiskey Cutting	id=g:6211387
Glen Rock	id=g:6211388
Single Hill	id=g:6211389
Coolgardie	id=g:6211390
Bauchops Hill	id=g:6211391
Rollesby	id=g:6211392
ALBURY RANGE	id=g:6211393
Burkes Memorial	id=g:6211394
Mount Dalgety	id=g:6211395
Mount Dalgety	id=g:6211396
Waratah Saddle	id=g:6211397
Trap Stream	id=g:6211398
Waratah	id=g:6211399
Wairewa	id=g:6211400
Manahune	id=g:6211401
Te Ngawai	id=g:6211402
Ardmore	id=g:6211403
Opawa Downs	id=g:6211404
Muritah	id=g:6211405
Golden Hill	id=g:6211406
Shenley	id=g:6211407
Mackenzie Memorial	id=g:6211408
Grampians	id=g:6211409
Curraghmore	id=g:6211410
Monkey Rock	id=g:6211411
Black Rocks	id=g:6211412
Trap Gully	id=g:6211413
GRAYS HILLS	id=g:6211414
Hogget Hill	id=g:6211415
Grays Hills	id=g:6211416
Streamlands	id=g:6211417
Simons Pass	id=g:6211418
Simons Pass	id=g:6211419
House Hill	id=g:6211420
Simons Hill	id=g:6211421
Maryburn	id=g:6211422
McKays Stream	id=g:6211423
McKays Stream	id=g:6211424
Poplar Stream	id=g:6211425
Deadman Stream	id=g:6211426
Rocky Point Stream	id=g:6211427
Cattle Creek	id=g:6211428
Gorman Stream	id=g:6211429
Peter Stream	id=g:6211430
Wyatt Stream	id=g:6211431
Grampian Stream	id=g:6211432
Morton Stream	id=g:6211433
Dunstan Stream	id=g:6211434
Two Mile Stream	id=g:6211435
Anderson Stream	id=g:6211436
Two Legged Stream	id=g:6211437
MacGregor Stream	id=g:6211438
Nessing Stream	id=g:6211439
Rattray Stream	id=g:6211440
Basin Stream	id=g:6211441
Hay Stream	id=g:6211442
Pringle Stream	id=g:6211443
Douglas Stream	id=g:6211444
Staircase Stream	id=g:6211445
Innes Burn	id=g:6211446
Preston Stream	id=g:6211447
Stony River	id=g:6211448
Stony River	id=g:6211449
Stony River	id=g:6211450
