Tā Hsā-tēng	id=g:1295109
Ta-hsangle	id=g:1295110
Ta-hsan	id=g:1295111
Ta-hsan	id=g:1295112
Ta Hsaileng	id=g:1295113
Tā-hsai	id=g:1295114
Ta-hsai	id=g:1295115
Ta-hsai	id=g:1295116
Tahpyaw Hka	id=g:1295117
Tahpunto	id=g:1295118
Tahpu Hka	id=g:1295119
Tahperhpa	id=g:1295120
Tahpangyat Chaung	id=g:1295121
Tā Hpā-leng	id=g:1295122
Ta-hpa-lai	id=g:1295123
Tahpala	id=g:1295124
Ta Ho-pong	id=g:1295125
Ta-hong	id=g:1295126
Tahona	id=g:1295127
Ta Ho-hta	id=g:1295128
Ta-hö-hkao	id=g:1295129
Taho-au	id=g:1295130
Ta-ho	id=g:1295131
Ta Hnyin Taung	id=g:1295132
Hwè Ta-hku	id=g:1295133
Ta-hkli-daw	id=g:1295134
Tahkim	id=g:1295135
Tahki	id=g:1295136
Ta-hkè-pra-lè	id=g:1295137
Tā Hkè	id=g:1295138
Tahkayin	id=g:1295139
Tahkayin	id=g:1295140
Tahkawng Bum	id=g:1295141
Tahkawng	id=g:1295142
Ta Hkaw Mi	id=g:1295143
Tahkawha	id=g:1295144
Tahkawbi Klo	id=g:1295145
Ta-hkauk	id=g:1295146
Tahkap Bum	id=g:1295147
Tahkan Hka	id=g:1295148
Tahkam Hka	id=g:1295149
Tā-hkam	id=g:1295150
Tā Hkai	id=g:1295151
Tahedo	id=g:1295152
Tahawndām	id=g:1295153
Tahawm	id=g:1295154
Ta Haw	id=g:1295155
Ta-hat	id=g:1295156
Tagyun	id=g:1295157
Tagyo	id=g:1295158
Tagyo	id=g:1295159
Tagyi Chaung	id=g:1295160
Tagyetchaung	id=g:1295161
Tagyaung	id=g:1295162
Tagyaing-Tamaw Reserved Forest	id=g:1295163
Tagyaing Chaung	id=g:1295164
Tagwa	id=g:1295165
Tagwa	id=g:1295166
Taguzeik	id=g:1295167
Tagung Hka	id=g:1295168
Tagung Ga	id=g:1295169
Tagundaing Taung	id=g:1295170
Tagundaing Tank	id=g:1295171
Tagundainggon	id=g:1295172
Tagundaing Chaung	id=g:1295173
Tagundaing Chaung	id=g:1295174
Tagundaing Chaung	id=g:1295175
Tagundaing	id=g:1295176
Tagundaing	id=g:1295177
Tagundaing	id=g:1295178
Tagundaing	id=g:1295179
Tagundaing	id=g:1295180
Tagundaing	id=g:1295181
Tagundaing	id=g:1295182
Tagundaing	id=g:1295183
Tagundaing	id=g:1295184
Tagundaing	id=g:1295185
Tagundaing	id=g:1295186
Tagundaing	id=g:1295187
Tagundaing	id=g:1295188
Tagundaing	id=g:1295189
Tagundaing	id=g:1295190
Tagundaing	id=g:1295191
Tagundaing	id=g:1295192
Tagundaing	id=g:1295193
Tagundaing	id=g:1295194
Tagundaing	id=g:1295195
Tagundaing	id=g:1295196
Tagundaing	id=g:1295197
Tagundaing	id=g:1295198
Tagundaing	id=g:1295199
Tagundaing	id=g:1295200
Tagun Chaung	id=g:1295201
Tagum Hka	id=g:1295202
Tagumgahtawng	id=g:1295203
Tagulam Bum	id=g:1295204
Tagukalon	id=g:1295205
Nam Tagu	id=g:1295206
Tagu	id=g:1295207
Tagu	id=g:1295208
Tagu	id=g:1295209
Tagu	id=g:1295210
Tagôngyi	id=g:1295211
Tagon	id=g:1295212
Tagôn	id=g:1295213
Tagogyi	id=g:1295214
Tago	id=g:1295215
Nam Tagin	id=g:1295216
Tagelaungchaungbya	id=g:1295217
Tagelaung	id=g:1295218
Tagehle	id=g:1295219
Tagē Chaung	id=g:1295220
Tage Chaung	id=g:1295221
Tage	id=g:1295222
Tagawwang	id=g:1295223
Tagaw Ga	id=g:1295224
Tagaw	id=g:1295225
Tagaw	id=g:1295226
Tagaungtaung Reserved Forest	id=g:1295227
Tagaung Taung	id=g:1295228
Tagaungnet	id=g:1295229
Tagaungmin	id=g:1295230
Tagaung Kindan	id=g:1295231
Tagaunggyin	id=g:1295232
Tagaunggan	id=g:1295233
Tagaunggale	id=g:1295234
Tagaungde	id=g:1295235
Tagaungdaung	id=g:1295236
Tagaung Chaung	id=g:1295237
Tagaungbo	id=g:1295238
Tagaung-aing	id=g:1295239
Tagaung	id=g:1295240
Tagaung	id=g:1295241
Tagaung	id=g:1295242
Taga Sakan	id=g:1295243
Tagap Ga	id=g:1295244
Tagantha	id=g:1295245
Taganan	id=g:1295246
Tagām Hka	id=g:1295247
Tagama	id=g:1295248
Tagala	id=g:1295249
Tagaing	id=g:1295250
Tagahku	id=g:1295251
Taga Hka	id=g:1295252
Taga Hka	id=g:1295253
Ta-ein Wāng	id=g:1295254
Ta-einde	id=g:1295255
Tadzu Wāng	id=g:1295256
Tado Taung	id=g:1295257
Tadokihta	id=g:1295258
Tadichaungwa	id=g:1295259
Tadein Chaung	id=g:1295260
Tadein	id=g:1295261
Tadazeik	id=g:1295262
Tadaywa	id=g:1295263
Tadaw	id=g:1295264
Tadaunggya Chaung	id=g:1295265
Tadaunggwe Chaung	id=g:1295266
Tadauk	id=g:1295267
Tada-u	id=g:1295268
Tada-u	id=g:1295269
Tada-u	id=g:1295270
Tada-u	id=g:1295271
Tada-u	id=g:1295272
Tada-u	id=g:1295273
Tada-u	id=g:1295274
Tada-u	id=g:1295275
Tada-u	id=g:1295276
Tada-u	id=g:1295277
Tada-u	id=g:1295278
Tada-u	id=g:1295279
Tada-u	id=g:1295280
Tadan	id=g:1295281
Tadaingshe Distributary	id=g:1295282
Tadaing	id=g:1295283
Tadaing	id=g:1295284
Ta-da-ho-na	id=g:1295285
Tadagyo Chaung	id=g:1295286
Tadagyin	id=g:1295287
Tadagyi Kyaw	id=g:1295288
Tadagyi	id=g:1295289
Tadagyi	id=g:1295290
Tadāgyi	id=g:1295291
Tadagale	id=g:1295292
Tadagaing	id=g:1295293
Tadabyaw	id=g:1295294
Tada	id=g:1295295
Tada	id=g:1295296
Tada	id=g:1295297
Tachu Chai	id=g:1295298
Tachi Pum	id=g:1295299
Tachi-leng	id=g:1295300
Tachilek	id=g:1295301
Tachaung Nawng	id=g:1295302
Tachantha	id=g:1295303
Tachanbe	id=g:1295304
Ta Chaitzu	id=g:1295305
Tabyin Chaung	id=g:1295306
Tabyin	id=g:1295307
Tabyi Hka	id=g:1295308
Tabyigon	id=g:1295309
Tabyettaw	id=g:1295310
Tabyegyi	id=g:1295311
Tabye	id=g:1295312
Tabyachwein	id=g:1295313
Tabya	id=g:1295314
Tābya	id=g:1295315
Tabwin	id=g:1295316
Tabwe Taung	id=g:1295317
Tabuto	id=g:1295318
Tabung	id=g:1295319
Tabuli Tayo Chaung	id=g:1295320
Tabulein	id=g:1295321
Tabugon	id=g:1295322
Tabugan	id=g:1295323
Tabudaw	id=g:1295324
Tabudaw	id=g:1295325
Tabudām	id=g:1295326
Tabu Chaung	id=g:1295327
Sa-pai-p’ing-hsüeh Shan	id=g:1295328
Tabu	id=g:1295329
Tabu	id=g:1295330
Tabrugri	id=g:1295331
Tabru Chaung	id=g:1295332
Tabôndaw	id=g:1295333
Tabôn	id=g:1295334
Tabogyo	id=g:1295335
Tabo	id=g:1295336
Table Island	id=g:1295337
Tabinywa	id=g:1295338
Tabinya	id=g:1295339
Tabinkon	id=g:1295340
Tabingon	id=g:1295341
Tabingon	id=g:1295342
Tabingon	id=g:1295343
Tabingon	id=g:1295344
Tabingaung	id=g:1295345
Tabingauk	id=g:1295346
Tabingan	id=g:1295347
Tabingan	id=g:1295348
Tabindaing Chaung	id=g:1295349
Tabindaing	id=g:1295350
Tabinbyaw	id=g:1295351
Tabinbinwa	id=g:1295352
Tabinbinwa	id=g:1295353
Tabin	id=g:1295354
Tabetswe	id=g:1295355
Tabetswe	id=g:1295356
Tabetkwe	id=g:1295357
Nan-ta-pa Chiang	id=g:1295358
Tabet	id=g:1295359
Tabe	id=g:1295360
Tabe	id=g:1295361
Tabbi Taungdan	id=g:1295362
Tabayin Chaung	id=g:1295363
Tabayin	id=g:1295364
Tabawthaw	id=g:1295365
Tabawng Ga	id=g:1295366
Tabawki	id=g:1295367
Tabaw Hlaing	id=g:1295368
Tabawchaung	id=g:1295369
Tabaw	id=g:1295370
Tābaw	id=g:1295371
Tabauyang	id=g:1295372
Tabaung South	id=g:1295373
Tabaung North	id=g:1295374
Tabaung	id=g:1295375
Tabaung	id=g:1295376
Tabaung	id=g:1295377
Tabaukkon	id=g:1295378
Tabaukkon	id=g:1295379
Tabaukkon	id=g:1295380
Tabāng Rame	id=g:1295381
Tabānghka	id=g:1295382
Tabalat Chaung	id=g:1295383
Tabakyang	id=g:1295384
Tabakhku Pum	id=g:1295385
Taawn Madin	id=g:1295386
Taawndām	id=g:1295387
Ta Awn	id=g:1295388
Ta Aw	id=g:1295389
Tā-ang	id=g:1295390
Nam Ta	id=g:1295391
Nam Ta	id=g:1295392
Szi-gahtawng	id=g:1295393
Syriam Point	id=g:1295394
Syriam	id=g:1295395
Sylvia Island	id=g:1295396
Swezon	id=g:1295397
Sweya Taung	id=g:1295398
Swe-ya	id=g:1295399
Swelwedu	id=g:1295400
Sweleo	id=g:1295401
Swelegyaung	id=g:1295402
Swele	id=g:1295403
Swèlè	id=g:1295404
Swekawngaw	id=g:1295405
Swekale	id=g:1295406
Swè-in	id=g:1295407
Swègwe	id=g:1295408
Swedon	id=g:1295409
Swedawya Chaung	id=g:1295410
Swedawmyaung	id=g:1295411
Swedawmyaung	id=g:1295412
Swedawgyaung	id=g:1295413
Swedaw	id=g:1295414
Swedaung	id=g:1295415
Swe Chaung	id=g:1295416
Swe Chaung	id=g:1295417
Swebok	id=g:1295418
Swebaukkan	id=g:1295419
Swa Ywama	id=g:1295420
Swa Taunggon	id=g:1295421
Swa Reserved Forest	id=g:1295422
Swaper	id=g:1295423
Swanhkunmun	id=g:1295424
Swallow Island	id=g:1295425
Swa Chaung	id=g:1295426
Swa	id=g:1295427
Suyittan	id=g:1295428
Suyitkan	id=g:1295429
Suyedaung	id=g:1295430
Suwin	id=g:1295431
Suttaya	id=g:1295432
Suttake Chaung	id=g:1295433
Suttake	id=g:1295434
Sutmyaung	id=g:1295435
Sutle	id=g:1295436
Sutlan	id=g:1295437
Sutlakut	id=g:1295438
Sutkhwa	id=g:1295439
Sutjawn Bum	id=g:1295440
Sutjawn Bum	id=g:1295441
Su-tek	id=g:1295442
Su Taung	id=g:1295443
Sutado	id=g:1295444
Surngen	id=g:1295445
Surgusong	id=g:1295446
Surbung	id=g:1295447
Suptsa Hka	id=g:1295448
Suppanu	id=g:1295449
Supmatu	id=g:1295450
Supmahtu	id=g:1295451
Supma Ga	id=g:1295452
Suplo	id=g:1295453
Loi Suplè-hso	id=g:1295454
Supla	id=g:1295455
Supka Ga	id=g:1295456
Supido	id=g:1295457
Suphu	id=g:1295458
Suphkawm	id=g:1295459
Loi Suphkaphong	id=g:1295460
Supaliko Taung	id=g:1295461
Supadaung	id=g:1295462
Supadaung	id=g:1295463
Sunzo	id=g:1295464
Sunywa	id=g:1295465
Sunye River	id=g:1295466
Sunye In	id=g:1295467
Sunye	id=g:1295468
Sunye	id=g:1295469
Sunthaik	id=g:1295470
Suntaung	id=g:1295471
Sunsaing Chaung	id=g:1295472
Nam Sunsa	id=g:1295473
Sun Reserved Forest	id=g:1295474
Sunponpe Taung	id=g:1295475
Sunpi-athin	id=g:1295476
Sunpi	id=g:1295477
Sunpha	id=g:1295478
Sunpha	id=g:1295479
Sun-pa	id=g:1295480
Sunpa	id=g:1295481
Sunnum Lui	id=g:1295482
Sunmi	id=g:1295483
Sunlun	id=g:1295484
Sunle Chaung	id=g:1295485
Sunle	id=g:1295486
Sungyi	id=g:1295487
Sungyaung	id=g:1295488
Sungwang	id=g:1295489
Sungok	id=g:1295490
Sungēi Makhao	id=g:1295491
Sungēi Makaung	id=g:1295492
Sungēi-I-nu	id=g:1295493
Sungēi Bati	id=g:1295494
Sungēi Baleihgyi	id=g:1295495
Sungei Badah	id=g:1295496
Nam Sung	id=g:1295497
Loi Sung	id=g:1295498
Sundet	id=g:1295499
Sundaung	id=g:1295500
Sun Chaung	id=g:1295501
Sun Chaung	id=g:1295502
Sunbauk Taung	id=g:1295503
Sum Va	id=g:1295504
Sumton	id=g:1295505
Sumto	id=g:1295506
Sumtaw Ga	id=g:1295507
Sumta	id=g:1295508
Sumsi	id=g:1295509
Sumsen	id=g:1295510
Sumprayang Pum	id=g:1295511
Sumprayang	id=g:1295512
Sumprabum	id=g:1295513
Sumprabum	id=g:1295514
Sumpra Bum	id=g:1295515
Sumpra Bum	id=g:1295516
Sumpra	id=g:1295517
Sumpi Bum	id=g:1295518
Sumpha Bum	id=g:1295519
Sumpawng Mata	id=g:1295520
Sumpawngbum	id=g:1295521
Sumpaung	id=g:1295522
Sumpat Bum	id=g:1295523
Sumpang	id=g:1295524
Summung Bum	id=g:1295525
Summa	id=g:1295526
Sumlup Hkyet	id=g:1295527
Sumli Hka	id=g:1295528
Sumlangyang	id=g:1295529
Sumlang	id=g:1295530
Loi Sumlai	id=g:1295531
Sumkwe	id=g:1295532
Sumkrung	id=g:1295533
Sumka Uma	id=g:1295534
Sumhrang	id=g:1295535
Sumhpang	id=g:1295536
Sumhpa	id=g:1295537
Sumhkre	id=g:1295538
Sumhka	id=g:1295539
Sumdunbum	id=g:1295540
Sumdum Nok	id=g:1295541
Sumdu	id=g:1295542
Sumda Ga	id=g:1295543
Sumbaw Ga	id=g:1295544
Pulo Sum	id=g:1295545
Sulekon	id=g:1295546
Sulegon	id=g:1295547
Sulègôn	id=g:1295548
Sulegon	id=g:1295549
Sulegon	id=g:1295550
Sulegon	id=g:1295551
Sulegon	id=g:1295552
Sulegon	id=g:1295553
Sulegon	id=g:1295554
Hwè Su-lè	id=g:1295555
Nam Su-la	id=g:1295556
Sukwe Chaung	id=g:1295557
Suktao	id=g:1295558
Sukmun	id=g:1295559
Sukmawn	id=g:1295560
Loi Sūkmai	id=g:1295561
Suk Lui	id=g:1295562
Suklo	id=g:1295563
Sukli	id=g:1295564
Suklan Taung	id=g:1295565
Loi Sūklan	id=g:1295566
Sukhido	id=g:1295567
Sukali	id=g:1295568
Nam Sük	id=g:1295569
Su-in-ywagale	id=g:1295570
Suikiam Klang	id=g:1295571
Suikhun Va	id=g:1295572
Su-hu	id=g:1295573
Su Hka	id=g:1295574
