Inglis Falls Conservation Area	id=g:5983208
Inglis Island	id=g:5983209
Inglis Island	id=g:5983210
Inglis Lake	id=g:5983211
Inglis Lake	id=g:5983212
Inglis Lake	id=g:5983213
Inglis Lake	id=g:5983214
Inglis River	id=g:5983215
Inglis River	id=g:5983216
Inglis Sound	id=g:5983217
Inglisville	id=g:5983218
Ingniq Lake	id=g:5983219
Ingnit Fiord	id=g:5983220
Ingnit Islands	id=g:5983221
Ingoldsby	id=g:5983222
Ingolf	id=g:5983223
Ingomar	id=g:5983224
Ingonish	id=g:5983225
Ingonish Barrens	id=g:5983226
Ingonish Beach	id=g:5983227
Ingonish Beach	id=g:5983228
Ingonish Centre	id=g:5983229
Ingonish Ferry	id=g:5983230
Ingonish Harbour	id=g:5983231
Ingonish Island	id=g:5983232
Ingonish River	id=g:5983233
Ingornachoix Bay	id=g:5983234
Ingraham Bay	id=g:5983235
Ingraham Island	id=g:5983236
Ingraham Lake	id=g:5983237
Ingraham Point	id=g:5983238
Ingraham Shoal	id=g:5983239
Ingram	id=g:5983240
Ingram Brook	id=g:5983241
Ingram Cove	id=g:5983242
Ingram Creek	id=g:5983243
Ingram Creek	id=g:5983244
Ingram Creek	id=g:5983245
Ingram Lake	id=g:5983246
Ingram Lake	id=g:5983247
Ingram Lake	id=g:5983248
Ingram Lakes	id=g:5983249
Ingram Point	id=g:5983250
Ingramport	id=g:5983251
Ingram Ridge	id=g:5983252
Ingram River	id=g:5983253
Ingram Rock	id=g:5983254
Ingrams Lake	id=g:5983255
Ingrams Lake	id=g:5983256
Ingray Lake	id=g:5983257
Ingrid River	id=g:5983258
Ings Creek	id=g:5983259
Ings Island	id=g:5983260
Ings Pond	id=g:5983261
Ings River	id=g:5983262
Ingstad Creek	id=g:5983263
Ingvald Opseth Wildlife Refuge	id=g:5983264
Inhabitants Bay	id=g:5983265
Inhini Mountain	id=g:5983266
Inhini River	id=g:5983267
Inholmes	id=g:5983268
Inieth Creek	id=g:5983269
Ininiwekun Rapids	id=g:5983270
Inirjuaq	id=g:5983271
Initial Hill	id=g:5983272
Initial Lake	id=g:5983273
Injates Lake	id=g:5983274
Inkahtsaph Creek	id=g:5983275
Inkahtsaph Indian Reserve 6	id=g:5983276
Inkaneep	id=g:5983277
Inkaneep Creek	id=g:5983278
Inkaneep Park	id=g:5983279
Inkawthia Creek	id=g:5983280
Inkawthia Lake	id=g:5983281
Inkerman	id=g:5983282
Inkikuh Creek	id=g:5983283
Inkitsaph	id=g:5983284
Ink Lake	id=g:5983285
Ink Lake	id=g:5983286
Ink Lake	id=g:5983287
Ink Lake	id=g:5983288
Ink Lake	id=g:5983289
Ink Lake	id=g:5983290
Inklin River	id=g:5983291
Inkluckcheen Indian Reserve 21	id=g:5983292
Inkluckcheen Indian Reserve 21B	id=g:5983293
Inklyuhkinatko Indian Reserve 2	id=g:5983294
Inkman Island	id=g:5983295
Inkmans Point	id=g:5983296
Inkoiko Creek	id=g:5983297
Inkpens Pond	id=g:5983298
Ink Pots	id=g:5983299
Inks Lake	id=g:5983300
Inkster	id=g:5983301
Inkster Industrial Park	id=g:5983302
Inkster Island	id=g:5983303
Inkster Lake	id=g:5983304
Inkster Lake	id=g:5983305
Inkster Rock	id=g:5983306
Inlailawatash IndianReserve 4	id=g:5983307
Inlailawatash Indian Reserve 4A	id=g:5983308
In Lake	id=g:5983309
Inland	id=g:5983310
Inland Lake	id=g:5983311
Inland Lake	id=g:5983312
Inland Lake	id=g:5983313
Inland Lake Park	id=g:5983314
Inlet	id=g:5983315
Inlet Arm	id=g:5983316
Inlet Baddeck	id=g:5983317
Inlet Bay	id=g:5983318
Inlet Bay	id=g:5983319
Inlet Bay	id=g:5983320
Inlet Bay	id=g:5983321
Inlet Bay	id=g:5983322
Inlet Creek	id=g:5983323
Inlet Creek	id=g:5983324
Inlet Creek	id=g:5983325
Inlet Creek	id=g:5983326
Inlet Lake	id=g:5983327
Inlet Lake	id=g:5983328
Inlin Brook	id=g:5983329
Inman Channel	id=g:5983330
Inman Creek	id=g:5983331
Inman Harbour	id=g:5983332
Inman Island	id=g:5983333
Inman Reef	id=g:5983334
Inman River	id=g:5983335
Inman Rock	id=g:5983336
Innajukaarjuk River	id=g:5983337
Innelatevik Island	id=g:5983338
Inner Aspen Point	id=g:5983339
Inner Bajo Reef	id=g:5983340
Inner Bald Tusket Island	id=g:5983341
Inner Baltee Island	id=g:5983342
Inner Bar	id=g:5983343
Inner Barn Island	id=g:5983344
Inner Basin	id=g:5983345
Inner Bay	id=g:5983346
Inner Bay	id=g:5983347
Inner Big Pond	id=g:5983348
Inner Bluff Head Rock	id=g:5983349
Inner Bob Rock	id=g:5983350
Inner Bottom Pond	id=g:5983351
Inner Brandy Rock	id=g:5983352
Inner Browne Bay	id=g:5983353
Inner Channel	id=g:5983354
Inner Channel	id=g:5983355
Inner Channel	id=g:5983356
Inner Clearing Shoal	id=g:5983357
Inner Collins Ledge	id=g:5983358
Inner Cross Ledge	id=g:5983359
Inner Cross Mountain Brook	id=g:5983360
Inner Diamond	id=g:5983361
Inner Duck Lake	id=g:5983362
Inner False Harbour	id=g:5983363
Inner Fish Island	id=g:5983364
Inner Fox Rocks	id=g:5983365
Inner Gooseberry Islands	id=g:5983366
Inner Gull Island	id=g:5983367
Inner Gull Ledge	id=g:5983368
Inner Gunflap Hill	id=g:5983369
Inner Harbour	id=g:5983370
Inner Harbour	id=g:5983371
Inner Harbour	id=g:5983372
Inner Harbour	id=g:5983373
Inner Harbour	id=g:5983374
Inner Harbour	id=g:5983375
Inner Harbour	id=g:5983376
Inner Head	id=g:5983377
Inner Horny	id=g:5983378
Inner Island	id=g:5983379
Inner Island	id=g:5983380
Inner Island	id=g:5983381
Innerkip	id=g:5983382
Inner Long Pond	id=g:5983383
Inner Low Rock	id=g:5983384
Inner Middle Ground	id=g:5983385
Inner Middle Rock	id=g:5983386
Inner Narrows	id=g:5983387
Inner Overfalls	id=g:5983388
Inner Pollock	id=g:5983389
Inner Pond	id=g:5983390
Inner Rainy Hill	id=g:5983391
Inner Red Bank	id=g:5983392
Innerring Lake	id=g:5983393
Inner Rock	id=g:5983394
Inner Rock	id=g:5983395
Inner Rock	id=g:5983396
Inner Sambro Island	id=g:5983397
Inner Sand Point	id=g:5983398
Inner Seal Cove	id=g:5983399
Inner Seal Head	id=g:5983400
Inner Sheep Island	id=g:5983401
Inner Shoal	id=g:5983402
Inner Shoal	id=g:5983403
Inner Shoal Tickle Ground	id=g:5983404
Inner Spectacle Island	id=g:5983405
Inner Sturgeon Island	id=g:5983406
Inner Whaleback Rocks	id=g:5983407
Innes	id=g:5983408
Innes	id=g:5983409
Innes Island	id=g:5983410
Innes Island	id=g:5983411
Innes Lake	id=g:5983412
Innes Lake	id=g:5983413
Innes Lake	id=g:5983414
Innes Park	id=g:5983416
Innes Passage	id=g:5983417
InnesPoint	id=g:5983418
Inness Brook	id=g:5983419
Innesskirk Island	id=g:5983420
Inness Lake	id=g:5983421
Innes-Taylor Rapids	id=g:5983422
