Uduwathana South	id=g:7437305
Far End	id=g:7437306
Pelimodara	id=g:7437307
Niriella South	id=g:7437308
Saint Anthonys	id=g:7437309
Paragala	id=g:7437310
Kukuluwa	id=g:7437311
Karawita Pahala	id=g:7437312
Rajawatta	id=g:7437313
Karawita	id=g:7437314
Mapagama	id=g:7437315
Baduwalakanda	id=g:7437316
Belungala	id=g:7437317
Mattakotuwella	id=g:7437392
Pahala Koswadiya	id=g:7437393
Pahala Walahapitiya	id=g:7437394
Polgahagara	id=g:7437395
Elabadagama North	id=g:7437396
Elabadagama East	id=g:7437397
Balagalla East	id=g:7437398
Balagalla West	id=g:7437399
Parana Handiya	id=g:7437400
Pinnalanda	id=g:7437401
Kudapaduwa North	id=g:7437402
Meda Koswadiya	id=g:7437403
Halpanwila West	id=g:7437404
Halpanwila East	id=g:7437405
Maranda North	id=g:7437406
Walahapitiya South	id=g:7437407
Sagaragama	id=g:7437408
Panangada	id=g:7437409
Dunakadeniya North	id=g:7437410
Meda Nattandiya	id=g:7437411
Maranda South	id=g:7437412
Horagolla South	id=g:7437413
Horagolla North	id=g:7437414
Meda Hattiniya	id=g:7437415
Modarawella	id=g:7437416
Marawila North	id=g:7437417
Pahala Nattiniya	id=g:7437418
Marawilawella	id=g:7437419
Marawila South	id=g:7437420
Ilippugamuwa	id=g:7437421
Dunakadeniya South	id=g:7437422
Kucharappuwa	id=g:7437423
Horakela	id=g:7437424
Nedalagamuwa North	id=g:7437426
Nedalagamuwa South	id=g:7437427
Nambirittakadawara	id=g:7437428
Waguruwela	id=g:7437429
Molmagedera Wewa	id=g:7437430
Elabadagama West	id=g:7437431
Dukatana	id=g:7437432
Ihala Galayaya	id=g:7437433
Kekillepitiya	id=g:7437434
Pahala Galayaya	id=g:7437435
Gonulla East	id=g:7437436
Gonulla West	id=g:7437437
Kaharawila North	id=g:7437438
Ihala Bujjampola	id=g:7437439
Pilliyagama	id=g:7437440
Kandepota	id=g:7437441
Meegahawela	id=g:7437442
Koswatta North	id=g:7437443
Koswatta South	id=g:7437444
Pahala Tabbowa	id=g:7437445
Paluwelgala North	id=g:7437446
Morakele North	id=g:7437447
Paluwelgala South	id=g:7437448
Morakele South	id=g:7437449
Kottaramulla East	id=g:7437450
Sirigampala South	id=g:7437451
Sirigampala North	id=g:7437452
Botalegama	id=g:7437453
Lunuwila East	id=g:7437454
Kirimetiyana North	id=g:7437455
Kabatawila West	id=g:7437456
Pansal Handiya	id=g:7437457
Meda Lunuwila	id=g:7437458
Lunuwila South	id=g:7437459
