Sheran	id=g:1347929
Shīn Algad Nāla	id=g:1347930
Sharan	id=g:1347931
Sālim Panr	id=g:1347932
Magut Wāla Nāla	id=g:1347933
Inzar Kas	id=g:1347934
Pasta	id=g:1347935
Sawnani	id=g:1347936
Mazdak Haider	id=g:1347937
Mazdak	id=g:1347938
Zhaza Nāla	id=g:1347939
Tor Tangi Nāla	id=g:1347940
Sarghan	id=g:1347941
Arākai	id=g:1347942
Sagi	id=g:1347943
Wulgai	id=g:1347944
Shīn Walgoi	id=g:1347945
Tar Tungi	id=g:1347946
Bāba Skhobai	id=g:1347947
Ghazlāna	id=g:1347948
Lalūzai Kārez	id=g:1347949
Sir Kārez	id=g:1347950
Spīn Pānr	id=g:1347951
Rahmgul	id=g:1347952
Aghbargai Nāla	id=g:1347953
Ghazlāna Nāla	id=g:1347954
Ghazgai	id=g:1347956
Ghazlāna	id=g:1347957
Sirkai Tlerai	id=g:1347958
Halkai Nāla	id=g:1347959
Ghazlana	id=g:1347960
Tangah	id=g:1347961
Bāri Wāla	id=g:1347962
Hodkai Takgah	id=g:1347963
Sra Oba	id=g:1347964
Halkai Ghazlāna	id=g:1347966
Karisa	id=g:1347967
Spinkai	id=g:1347968
Speral Gad	id=g:1347969
Speral Gad	id=g:1347970
Firoz-i-Kān	id=g:1347971
Bābakr	id=g:1347973
Halkai Ferozi-Kān	id=g:1347974
Halkai Feroz-i-Kān	id=g:1347975
Nika Suka	id=g:1347976
Khūsia	id=g:1347977
Bābkai Nāla	id=g:1347978
Shing Pasta	id=g:1347979
Wrazrumba	id=g:1347980
Feroz-i-Kān	id=g:1347982
Kān Mehtarzai Nāla	id=g:1347983
Kaisawa Nāla	id=g:1347984
Ganju Aghbar Nāla	id=g:1347985
Bābo Sagai	id=g:1347986
Tor Sukhar Nāla	id=g:1347987
Tāran Nāla	id=g:1347988
Idris Tailra	id=g:1347989
Obashtkai	id=g:1347990
Tāmal	id=g:1347991
Wrazrumba	id=g:1347992
Sangar	id=g:1347993
Nasirwal	id=g:1347994
Aghbargai	id=g:1347995
Takhoi	id=g:1347996
Ākhtu	id=g:1347997
Skhobai Nāla	id=g:1347998
Khalilai Nāla	id=g:1347999
Sanghar Nāla	id=g:1348000
Tangai	id=g:1348001
Tangai	id=g:1348002
Dabrai	id=g:1348003
Dabrai Nāla	id=g:1348004
Mehtarzai	id=g:1348005
Aghbargai	id=g:1348006
Forozikan	id=g:1348007
Sahib Ghar	id=g:1348008
Gawah Khezai	id=g:1348009
Pasta	id=g:1348010
Shnazai	id=g:1348011
Shin Sar	id=g:1348012
Spera Wuna	id=g:1348013
Spera Wuna	id=g:1348014
Takharz	id=g:1348015
Tarai	id=g:1348016
Marpāl	id=g:1348017
Maghuta	id=g:1348018
Ser Haba Tarāi	id=g:1348019
Sare Oba	id=g:1348020
Marpāl	id=g:1348021
Anang	id=g:1348022
Zharai	id=g:1348023
Wrusta	id=g:1348024
Wulgai	id=g:1348025
Mīrān	id=g:1348026
Zaza	id=g:1348027
Tuk Ara Nāla	id=g:1348028
Dabarai Nāla	id=g:1348029
Murid Nāla	id=g:1348030
Ghund	id=g:1348031
Ghund Ghar	id=g:1348032
Khalil Kach	id=g:1348033
Dumar Kach	id=g:1348034
Sarashkar Nāla	id=g:1348035
Aghbargai Nāla	id=g:1348036
Ambār Nāla	id=g:1348037
Obishto Ghari	id=g:1348038
Ghochhar	id=g:1348039
Ālogzher	id=g:1348040
Sundargāh	id=g:1348041
Janjor Shāl	id=g:1348042
Goldur	id=g:1348043
Tordeh	id=g:1348044
Kandak	id=g:1348045
Lao	id=g:1348046
Birgāh	id=g:1348047
Dām	id=g:1348048
Lāwi	id=g:1348049
Khairābād	id=g:1348050
Shingalat	id=g:1348051
Gosh	id=g:1348052
Gormal	id=g:1348053
Gambir	id=g:1348054
Biahāla	id=g:1348055
Pasirat	id=g:1348056
Shāwal Pass	id=g:1348057
Zinor Pass	id=g:1348058
Madagusht	id=g:1348059
Chār Shāl	id=g:1348060
Mot Koli	id=g:1348061
Kharkashāndeh	id=g:1348062
Parakalak	id=g:1348063
Bālādesh	id=g:1348064
Koghasi Ān	id=g:1348065
