Mills Community House Historical Marker	id=g:7224757
Benzonia College Historical Marker	id=g:7224758
Joyfield Cemetery Historical Marker	id=g:7224759
Butternut Creek Elementary School	id=g:7224760
City View Charter School	id=g:7224761
Durham Elementary School	id=g:7224762
Emmaus Christian School	id=g:7224763
Fern Hill Elementary School	id=g:7224764
Forest Hills Lutheran School	id=g:7224765
Free Orchards Elementary School	id=g:7224766
Gaarde Christian School	id=g:7224767
German American School of Portland	id=g:7224768
Health and Science School	id=g:7224769
Heritage Christian School	id=g:7224770
Horizon Christian Schools	id=g:7224771
Imlay Elementary School	id=g:7224772
School Number 10 (historical)	id=g:7224773
School Number 2 (historical)	id=g:7224774
Toomey Bridge (historical)	id=g:7224775
School Number 22 (historical)	id=g:7224776
School Number 4 (historical)	id=g:7224777
School Number 5 (historical)	id=g:7224778
School Number 4 (historical)	id=g:7224779
School Number 8 (historical)	id=g:7224780
School Number 19 (historical)	id=g:7224781
School Number 9 (historical)	id=g:7224782
School Number 7 (historical)	id=g:7224783
School Number 3 (historical)	id=g:7224784
School Number 6 (historical)	id=g:7224785
School Number 3 (historical)	id=g:7224786
School Number 6 (historical)	id=g:7224787
School Number 10 (historical)	id=g:7224788
School Number 6 (historical)	id=g:7224789
School Number 7 (historical)	id=g:7224790
School Number 8 (historical)	id=g:7224791
School Number 2 (historical)	id=g:7224792
School Number 7 (historical)	id=g:7224793
School Number 4 (historical)	id=g:7224794
School Number 2 (historical)	id=g:7224795
School Number 8 (historical)	id=g:7224796
School Number 11 (historical)	id=g:7224797
Potter School (historical)	id=g:7224798
School Number 5 (historical)	id=g:7224799
School Number 3 (historical)	id=g:7224800
School Number 9 (historical)	id=g:7224801
School Number 10 (historical)	id=g:7224802
School Number 7 (historical)	id=g:7224803
School Number 9 (historical)	id=g:7224804
School Number 8 (historical)	id=g:7224805
School Number 5 (historical)	id=g:7224806
School Number 4 (historical)	id=g:7224807
School Number 3 (historical)	id=g:7224808
Capri Theatre (historical)	id=g:7224809
Carver Theatre (historical)	id=g:7224810
Casino Theatre (historical)	id=g:7224811
Central Theatre (historical)	id=g:7224812
Circle Theatre (historical)	id=g:7224813
City Cinema (historical)	id=g:7224814
City Island Theater (historical)	id=g:7224815
Comet Theatre (historical)	id=g:7224816
Concourse Theatre (historical)	id=g:7224817
New Covenant Dominion Cathedral	id=g:7224818
Moore Memorial African Methodist Episcopal Zion Church	id=g:7224819
Bethany Baptist Church	id=g:7224820
First Baptist Church	id=g:7224821
Central United Methodist Church	id=g:7224822
Pottery's House United Congregational Church	id=g:7224823
Praise West Church	id=g:7224824
Bethlehem Lutheran Church	id=g:7224825
Faith Reformed Church	id=g:7224826
Presbyterian Church	id=g:7224827
Seventh Day Adventist Church	id=g:7224828
Orchard Church	id=g:7224829
Northern Lakes Community Church	id=g:7224830
Bay Pointe Community Church	id=g:7224831
Trinity Lutheran Church	id=g:7224832
First Church of the Nazarene	id=g:7224833
Saint Michael's Lutheran Church	id=g:7224834
Christ United Methodist Church	id=g:7224835
Fellowship Church	id=g:7224836
Community of Joy Church	id=g:7224837
Church of Jesus Christ of Latter Day Saints	id=g:7224838
Traverse City Christian Church	id=g:7224839
Redeemer Presbyterian Church	id=g:7224840
Zion Baptist Church	id=g:7224841
Saint Patrick's Catholic Church	id=g:7224842
Haven of Rest Baptist Church	id=g:7224843
First Congregational Church	id=g:7224844
Community Church of Christ	id=g:7224845
East Bay Calvary Church	id=g:7224846
Living Hope Assembly of God Church	id=g:7224847
United Church of Traverse City	id=g:7224848
Pinegrove Church of God	id=g:7224849
Peninsula Bible Church	id=g:7224850
Bayview Wesleyan Church	id=g:7224851
First Church of Christ Scientist	id=g:7224852
Kingdom Hall of Jehovah's Witnesses	id=g:7224853
College Terrace Wesleyan Church	id=g:7224854
West Bay Covenant Church	id=g:7224855
River of Life Christian Fellowship Church	id=g:7224856
Traverse City Seventh Day Adventist Church	id=g:7224857
Unitarian Universalist Church	id=g:7224858
Open Door Fellowship Church	id=g:7224859
Harbor Light Christian Center	id=g:7224860
Fathers House Assembly of God Church	id=g:7224861
Christ Community Church	id=g:7224862
Friends of the Light Church	id=g:7224863
Nazarene Church	id=g:7224864
Traverse City Orthodox Missionary Church	id=g:7224865
Life Christian School	id=g:7224866
Lincoln Street Elementary School	id=g:7224867
Middleton Elementary School	id=g:7224868
Mooberry Elementary School	id=g:7224869
Oak Tree School	id=g:7224870
Paul L Patterson Elementary School	id=g:7224871
Pilgrim Lutheran School	id=g:7224872
Quatama Elementary School	id=g:7224873
Reedville Elementary School	id=g:7224874
Sexton Mountain Elementary School	id=g:7224875
Southwest Christian School	id=g:7224876
Saint Francis School	id=g:7224877
Saint Pius X School	id=g:7224878
Swallowtail School	id=g:7224879
Tobias Elementary School	id=g:7224880
Tualatin Elementary School	id=g:7224881
Visitation Catholic School	id=g:7224882
Mitchell School	id=g:7224883
Spray School	id=g:7224884
Craft Theatre (historical)	id=g:7224885
Crest Theatre (historical)	id=g:7224886
Crotona Theatre (historical)	id=g:7224887
Dale Theatre (historical)	id=g:7224888
De Lux Theatre (historical)	id=g:7224889
Decatur Theater (historical)	id=g:7224890
Devon Theatre (historical)	id=g:7224891
Dover Theatre (historical)	id=g:7224892
Iglesia Pentecostal Jehova Shalom	id=g:7224893
Earl Theatre (historical)	id=g:7224894
Empire Theatre (historical)	id=g:7224895
Wilsey Farm Cemetery	id=g:7224896
Joiner-Wheeler Cemetery	id=g:7224897
Butler Center Cemetery	id=g:7224898
Southside Cemetery	id=g:7224899
Creager Bridge Cemetery	id=g:7224900
Lock Berlin Cemetery	id=g:7224901
Old Clyde Village Cemetery	id=g:7224902
Aurand Cemetery	id=g:7224903
White Schoolhouse Cemetery (historical)	id=g:7224904
Alton United Methodist Church	id=g:7224905
Rose United Methodist Church	id=g:7224906
Huron Presbyterian Church	id=g:7224907
North Rose Elementary School	id=g:7224908
Cuyler Elementary School	id=g:7224909
Red Creek Junior-Senior High School	id=g:7224910
Natcher Dam	id=g:7224911
Saint Philip's Episcopal Church	id=g:7224912
Norwood Fire Department	id=g:7224913
Saint Andrew's Roman Catholic Church	id=g:7224914
First Congregational Church	id=g:7224915
Norwood Union School (historical)	id=g:7224916
Free Methodist Church	id=g:7224917
Norwood Hydro-Electric Generator Station	id=g:7224918
Oakfield Fire Department	id=g:7224919
Arnold Hotel (historical)	id=g:7224920
Oakfield High School (historical)	id=g:7224921
Town of Oakfield Highway Department	id=g:7224922
First Presbyterian Church	id=g:7224923
Oakfield Village Water Works Pumping Station	id=g:7224924
Oakfield-Alabama Elementary School	id=g:7224925
Oakfield-Alabama Middle School-High School	id=g:7224926
Saint Michael's Episcopal Church	id=g:7224927
Oakfield United Methodist Church	id=g:7224928
Saint Cecilia's Roman Catholic Church	id=g:7224929
Yuba Post Office (historical)	id=g:7224930
Whipple Post Office (historical)	id=g:7224931
Walton Post Office (historical)	id=g:7224932
Summit City Post Office (historical)	id=g:7224933
Neahtawanta Post Office (historical)	id=g:7224934
Monroe Center Post Office (historical)	id=g:7224935
Mapleton Post Office (historical)	id=g:7224936
Mabel Post Office (historical)	id=g:7224937
Lake Brewster Post Office (historical)	id=g:7224938
Karlin Post Office	id=g:7224939
Hodge Post Office (historical)	id=g:7224940
Hannah Post Office (historical)	id=g:7224941
Friend Post Office (historical)	id=g:7224942
Slights Post Office (historical)	id=g:7224943
Beitner Post Office (historical)	id=g:7224944
Bates Post Office (historical)	id=g:7224945
Bartlett Post Office (historical)	id=g:7224946
Archie Post Office (historical)	id=g:7224947
Angell Post Office (historical)	id=g:7224948
Wormwood Post Office (historical)	id=g:7224949
Keystone Post Office (historical)	id=g:7224950
East Bay Post Office (historical)	id=g:7224951
Central Christian Academy	id=g:7224952
Pilgrim Bible Holiness Church	id=g:7224953
Forest Lakes Bible Church	id=g:7224954
Leelanau Christian Fellowship Church	id=g:7224955
Suburban Estates Mobile Home Park	id=g:7224956
Woodcreek Mobile Home Park	id=g:7224957
King's Court Mobile Home Park	id=g:7224958
Cherryland Mobile Home Park	id=g:7224959
Cass Street Ear Nose and Throat Clinic	id=g:7224960
Veterans Administration Medical Center	id=g:7224961
Community Hospital Family Practice Clinic	id=g:7224962
Traverse Health Clinic	id=g:7224963
Shepherd of Hope Clinic	id=g:7224964
Traverse City Fire Department	id=g:7224965
Warren Field	id=g:7224966
Thirlby Field	id=g:7224967
West End Park	id=g:7224968
Darrow Park	id=g:7224969
Senior Citizens Park	id=g:7224970
Hull Park	id=g:7224971
Traverse Bay Mennonite Church	id=g:7224972
Dantziger Monument	id=g:7224973
Steves Family Cemetery	id=g:7224974
Oak Orchard Estates	id=g:7224975
Thomas Estates West	id=g:7224976
Heritage Estates	id=g:7224977
Westside Mobile Home Park	id=g:7224978
Applewood Mobile Home Estates	id=g:7224979
Lakewood Village	id=g:7224980
Country Meadows	id=g:7224981
Genesee West	id=g:7224982
Barbary Coast	id=g:7224983
Ridgewood Village	id=g:7224984
Valley View Park	id=g:7224985
Apple Grove Mobile Home Park	id=g:7224986
Harper Park	id=g:7224987
Dreamland Mobile Home Park	id=g:7224988
Hidden Meadows	id=g:7224989
Hilltop Acres Mobile Home Park	id=g:7224990
West Bank Mobile Home Park	id=g:7224991
Antones's Mobile Home Park	id=g:7224992
Batavia Downs Trailer Park	id=g:7224993
Holy Angels Elementary School	id=g:7224994
Traverse City Police Department	id=g:7224995
Grand Traverse County Sheriff Department	id=g:7224996
Traverse City Post Office	id=g:7224997
Gladhander School	id=g:7224998
Seventh Day Adventist School	id=g:7224999
Westwoods Elementary School	id=g:7225000
Grand Traverse Law Library	id=g:7225001
Peninsula Community Library	id=g:7225002
Grand Traverse Heritage Center	id=g:7225003
Grand Traverse County Courthouse	id=g:7225004
