Bas Rejet	id=g:2802630
Bas Ransbeek	id=g:2802631
Bas Préau	id=g:2802632
Bas-Oha	id=g:2802633
Bas-Oha	id=g:2802634
Bas Masville	id=g:2802635
Bas Laveu	id=g:2802636
Bas Forest	id=g:2802637
Baseilles	id=g:2802638
Basècles	id=g:2802639
Basècles	id=g:2802640
Bas du Village	id=g:2802641
Bascoup	id=g:2802642
Bas Corot	id=g:2802643
Bas Bonlez	id=g:2802645
Bas Bois	id=g:2802646
Basbeek	id=g:2802647
Les Bois d'en Bas	id=g:2802648
Barzin	id=g:2802649
Barvoetsenhoek	id=g:2802650
Barvaux-Condroz	id=g:2802651
Barvaux-Condroz	id=g:2802652
Barvaux	id=g:2802653
Barvaux	id=g:2802654
Bartel Busch	id=g:2802655
Barsy	id=g:2802656
Barsenalle	id=g:2802657
Barse	id=g:2802658
Barsdamhoek	id=g:2802659
Bois de Barry	id=g:2802660
Barry	id=g:2802661
Barry	id=g:2802662
Barrière d'Haubreux	id=g:2802663
Barrière de Champlon	id=g:2802664
Barouche	id=g:2802666
Bois de Baronville	id=g:2802667
Baronville	id=g:2802668
Baronville	id=g:2802669
Baronsheide	id=g:2802670
Baronheid	id=g:2802671
Bois du Baron	id=g:2802672
Barnich	id=g:2802673
Barisoeul	id=g:2802674
Barges	id=g:2802675
Barges	id=g:2802676
Barenberg	id=g:2802677
Bardompré	id=g:2802678
Fort de Barchon	id=g:2802679
Barchon	id=g:2802680
Blegny	id=g:2802681
Barcène	id=g:2802682
Barbotte	id=g:2802683
Barbinfosse	id=g:2802684
Barbierbeek	id=g:2802685
Château Barbier	id=g:2802686
Barbesioneau	id=g:2802687
Barberie	id=g:2802688
Barbençon	id=g:2802689
Barbençon	id=g:2802690
Barbais	id=g:2802691
Ruisseau des Baraques	id=g:2802692
Baraque Michel	id=g:2802693
Baraque Grember	id=g:2802694
Baraque Dupont	id=g:2802695
Baraque Dumont	id=g:2802696
Baraque de Fraiture	id=g:2802697
Baraque de Fraiture	id=g:2802698
Baraque	id=g:2802699
Baranzy	id=g:2802700
Ferme de Bar	id=g:2802701
Banterlez	id=g:2802702
Bansions	id=g:2802703
Bansbroek	id=g:2802704
Banoyard	id=g:2802705
Château de Banneux	id=g:2802706
Banneux	id=g:2802707
Bois du Bannetay	id=g:2802708
Bois de Bannet	id=g:2802709
Bankerborg	id=g:2802710
Banibois	id=g:2802711
Baneu	id=g:2802712
Banet Sarts	id=g:2802713
Ban de Laviot	id=g:2802714
Bois de Bande	id=g:2802715
Bande	id=g:2802716
Bande	id=g:2802717
Bandam	id=g:2802718
Ban d'Alle	id=g:2802719
Banbuche	id=g:2802720
Banal Bois	id=g:2802721
Banal Bois	id=g:2802722
Bois Banal	id=g:2802723
Bois du Ban	id=g:2802724
Bois du Ban	id=g:2802725
Bois du Ban	id=g:2802726
Bois de Ban	id=g:2802727
Bois de Ban	id=g:2802728
Bois au Ban	id=g:2802729
Bamburg	id=g:2802730
Bambrugge	id=g:2802731
Bambrugge	id=g:2802732
Bambrik	id=g:2802733
Bambois	id=g:2802734
Baltert	id=g:2802735
Baltenshoek	id=g:2802736
Balleweier	id=g:2802737
Ballaar	id=g:2802738
Balkestraat	id=g:2802739
Balkenbrug	id=g:2802740
Balgerhoek	id=g:2802741
Balenberg	id=g:2802742
Balen	id=g:2802743
Balen	id=g:2802744
Balei	id=g:2802745
Balegem	id=g:2802746
Balegem	id=g:2802747
Balderij	id=g:2802748
Balâtre	id=g:2802749
Balâtre	id=g:2802750
Bakkers Poldersbeek	id=g:2802751
Bakkers Polder	id=g:2802752
Bakkersgracht	id=g:2802753
Bakergem	id=g:2802754
Bakensgoedbos	id=g:2802755
Bakenbos	id=g:2802756
Bakels Beek	id=g:2802757
Bakel	id=g:2802758
Baisy-Thy	id=g:2802759
Baisy-Thy	id=g:2802760
Baisieux	id=g:2802761
Baisieux	id=g:2802762
Bois Baimont	id=g:2802763
Baimont	id=g:2802764
Bois de Baillonville	id=g:2802765
Baillonville	id=g:2802766
Baillonville	id=g:2802767
Baillois	id=g:2802768
Bois du Bailli	id=g:2802769
Bailli	id=g:2802770
Bailleul	id=g:2802771
Bailleul	id=g:2802772
Baillamont	id=g:2802773
Baillamont	id=g:2802774
Ferme de Bailièvre	id=g:2802775
Bois de Bailièvre	id=g:2802776
Bailièvre	id=g:2802777
Bailièvre	id=g:2802778
Bois de Baileux	id=g:2802779
Baileux	id=g:2802780
Baileux	id=g:2802781
Baileu	id=g:2802782
Bagimont	id=g:2802783
Bagimont	id=g:2802784
Bajenrieux	id=g:2802785
Ruisseau de Baelen	id=g:2802786
Baelen	id=g:2802787
Baelen	id=g:2802788
Baegnée	id=g:2802789
Badon	id=g:2802790
Baddebroek	id=g:2802791
Bois des Badats	id=g:2802792
Badaanbroekse	id=g:2802793
Baconveau	id=g:2802794
Bois de Baconval	id=g:2802795
Baconfoy	id=g:2802796
Baclain	id=g:2802797
Bachte-Maria-Leerne	id=g:2802798
Bachte-Maria-Leerne	id=g:2802799
Bachte	id=g:2802800
Bois de Bachet	id=g:2802801
Bach	id=g:2802802
Bac du Prince	id=g:2802803
Bacara	id=g:2802804
Bois Bablette	id=g:2802805
Bois de Babinaye	id=g:2802806
Babillebeek	id=g:2802807
Babelom	id=g:2802808
Babbelkroonbeek	id=g:2802809
Babbelaar	id=g:2802810
Baassels	id=g:2802811
Baasrode	id=g:2802812
Baasrode	id=g:2802813
Baarstraat	id=g:2802814
Baarleveld	id=g:2802815
Baarle-Hertog	id=g:2802816
Baarle-Hertog	id=g:2802817
Baarle Heide	id=g:2802818
Baarle	id=g:2802819
Baardegem	id=g:2802820
Baardegem	id=g:2802821
Baarbeek	id=g:2802822
Baandries	id=g:2802823
Baalheide	id=g:2802824
Baalheide	id=g:2802825
Baalberg	id=g:2802826
Baal	id=g:2802827
Baal	id=g:2802828
Baal	id=g:2802829
Baaigem	id=g:2802830
Baaigem	id=g:2802831
Baach	id=g:2802832
Azy	id=g:2802833
Azette	id=g:2802834
Azebois	id=g:2802835
Bois d'Aywaille	id=g:2802836
Aywaille	id=g:2802837
Aywaille	id=g:2802838
Ayeneux	id=g:2802839
Ayeneux	id=g:2802840
Bois d'Aye	id=g:2802841
Aye	id=g:2802842
Aye	id=g:2802843
Axelsvaardeken	id=g:2802844
Awirs	id=g:2802845
Awirs	id=g:2802846
Awenne	id=g:2802847
Awenne	id=g:2802848
Awans	id=g:2802849
Awans	id=g:2802850
Awans	id=g:2802851
Awagne	id=g:2802852
Avrijvaart	id=g:2802853
Avoortsbrug	id=g:2802854
Avister	id=g:2802855
Avin	id=g:2802856
Avin	id=g:2802857
Aveschoot	id=g:2802858
Avernas-le-Bauduin	id=g:2802859
Avernas-le-Bauduin	id=g:2802860
Avermaat	id=g:2802861
Averechten	id=g:2802862
Averbodeheide	id=g:2802863
Averbode Bos	id=g:2802864
Averbode	id=g:2802865
Averbode	id=g:2802866
Bois d'Avennes	id=g:2802867
Avennes	id=g:2802868
Avennes	id=g:2802869
Avelgembeek	id=g:2802870
Avelgem	id=g:2802871
Avelgem	id=g:2802872
Avekapelle	id=g:2802873
Avekapelle	id=g:2802874
Ave-et-Auffe	id=g:2802875
Ave-et-Auffe	id=g:2802876
Bois d'Aveau	id=g:2802877
Ave	id=g:2802878
Aux Zazefagnes	id=g:2802879
Aux Zabrées	id=g:2802880
Aux Vieilles Huttes	id=g:2802881
Aux Trois Saules	id=g:2802882
Aux Tournants	id=g:2802883
Aux Tachenires	id=g:2802884
Aux Sept Chemins	id=g:2802885
Aux Houx	id=g:2802886
Aux Grosses Pierres	id=g:2802887
Aux Grosses Pierres	id=g:2802888
Aux Granges	id=g:2802889
Aux Fourchons	id=g:2802890
Aux Forges	id=g:2802891
Aux Fontaines	id=g:2802892
Aux Fagnes	id=g:2802893
Aux Deux Hêtres	id=g:2802894
Aux Croix	id=g:2802895
Aux Communes	id=g:2802896
Aux Bruyères	id=g:2802897
Aux Alloises	id=g:2802898
Aux Aibriquets	id=g:2802899
Auwenhof	id=g:2802900
Au Voyez	id=g:2802901
