Quebrada Jachujoccjo	id=g:6309874
Quebrada Totorama	id=g:6309875
Cerro Pairumani	id=g:6309876
Quebrada Pairumani	id=g:6309877
Río Lacaque	id=g:6309878
Quebrada Lacaque	id=g:6309879
Lacaque	id=g:6309880
Puente Yohorocco	id=g:6309881
Quebrada Altarani	id=g:6309882
Quebrada Hilarata	id=g:6309883
Cerro Hilarata	id=g:6309884
Cerro Chiaraque	id=g:6309885
Cerro Jacha Humachuco	id=g:6309886
Cerro Vilacollo	id=g:6309887
Vilacalla	id=g:6309888
Chutani	id=g:6309889
Cerro Pucara	id=g:6309890
Cerro Pacocahua	id=g:6309891
Vilamoco	id=g:6309892
Cerro Laramaque	id=g:6309893
Ojon Jaaque	id=g:6309894
Quebrada Timicucho	id=g:6309895
Cerro Pallallaccasa	id=g:6309896
Quebrada Huilacalla	id=g:6309897
Quebrada Jocañachcho	id=g:6309898
Cerro Chiaraque	id=g:6309899
Huiaraparque	id=g:6309900
Quebrada Ventanant	id=g:6309901
Cruz Punco	id=g:6309902
Quebrada Vilaapacheta	id=g:6309903
Cerro Sorunani	id=g:6309904
Ayupala	id=g:6309905
Quebrada Castilluma	id=g:6309906
Siquivinto	id=g:6309907
Cerro Quivure	id=g:6309908
Cerro Choccnaccollo	id=g:6309909
Quebrada Anocallco	id=g:6309910
Chaullani	id=g:6309911
Cerro Jultata	id=g:6309912
Río Visitcache	id=g:6309913
Río Patarajahuira	id=g:6309914
Quebrada Ichonta	id=g:6309915
Río Challhuani	id=g:6309916
Cerro Catavicollo	id=g:6309917
Río Jallapujojahuira	id=g:6309918
Jallupujo	id=g:6309919
Río Iscasillicachi	id=g:6309920
Cerro Pucara	id=g:6309921
Quebrada Chancollajahuira	id=g:6309922
Cerro Humachuco	id=g:6309923
Cerro Llaunquire	id=g:6309924
Cerro Torine	id=g:6309925
Ancocahua	id=g:6309926
Cerro Lezani	id=g:6309927
Quebrada Vizcachane Cucho	id=g:6309928
Cerro Parancahua	id=g:6309929
Choquechuani	id=g:6309930
Calluta	id=g:6309931
Río Moccojahuira	id=g:6309932
Jacucata	id=g:6309933
Río Sillacache	id=g:6309934
Quebrada Chuncurini	id=g:6309935
Quebrada Callanire	id=g:6309936
Quebrada Humalso	id=g:6309937
Cerro Pasire Pata	id=g:6309938
Quebrada Salviani	id=g:6309939
Cerro Chuaña	id=g:6309940
Capillu	id=g:6309941
Salviani	id=g:6309942
Anatave	id=g:6309943
Coline	id=g:6309944
Cerro Caraccollo	id=g:6309945
Vilacunca	id=g:6309946
Cerro Jilarata	id=g:6309947
Jacollune	id=g:6309948
Quebrada Jocollune	id=g:6309949
Cerro Sillicachi	id=g:6309950
Río Jaquisi	id=g:6309951
Quebrada Champacaya	id=g:6309952
Champacaya	id=g:6309953
Lacanasa	id=g:6309954
Altanasa	id=g:6309955
Cotoocco	id=g:6309956
Cerro Iscajijuta	id=g:6309957
Chutane	id=g:6309958
Vizcachane	id=g:6309959
Cerro Huilanasa	id=g:6309960
Quebrada Iscajoco	id=g:6309961
Uñanaquere	id=g:6309962
Cerro Ichocollo	id=g:6309963
Jachacamaña	id=g:6309964
Mosiña	id=g:6309965
Quebrada Patjota	id=g:6309966
Concamane	id=g:6309967
Patjota	id=g:6309968
Jachuta	id=g:6309969
Nasacarane	id=g:6309970
Condornasa	id=g:6309971
Cerro Leimani	id=g:6309972
Cerro Vizcachane	id=g:6309973
Humapalca	id=g:6309974
Quebrada Soraveco	id=g:6309975
Quebrada Vecocucho	id=g:6309976
Vilamaya	id=g:6309977
Sivencane	id=g:6309978
Cerro Quivure	id=g:6309979
Collpapucho	id=g:6309980
Otaveco	id=g:6309981
Quebrada Colpacucho	id=g:6309982
Quebrada Otaveco	id=g:6309983
Calvario	id=g:6309984
Loma Potocarane	id=g:6309985
Cerro Totoruma	id=g:6309986
Cailcouta	id=g:6309987
Utataquita	id=g:6309988
Río Sura	id=g:6309989
Caballune Joco	id=g:6309990
Coperhuma	id=g:6309991
Cerro Tancanaque	id=g:6309992
Chogñapujo	id=g:6309993
Quebrada Rayapage	id=g:6309994
Chiluma	id=g:6309995
Río Orcoyuma	id=g:6309996
Río Humajalanta	id=g:6309997
Cerro Challacalane	id=g:6309998
Río Chiarajahuira	id=g:6309999
Juycopujo	id=g:6310000
Cerro Posnofallabe	id=g:6310001
Cerro Sicuya	id=g:6310002
Tojlone	id=g:6310003
Chacapunco	id=g:6310004
Quebrada Huaylloco	id=g:6310005
Cerro Cacho Chillame	id=g:6310006
Chulluncayani	id=g:6310007
Caballune	id=g:6310008
Muluyo	id=g:6310009
Cerro Arazaya	id=g:6310010
Vizcachune	id=g:6310011
Ancarcollo	id=g:6310012
Vintajipiña	id=g:6310013
Cerro Palcanasa	id=g:6310014
Capillu	id=g:6310015
Altarani	id=g:6310016
Pacocahua	id=g:6310017
Quebrada Isca Salla	id=g:6310018
Quebrada Pacocahua	id=g:6310019
Quebrada Jaipuluccata	id=g:6310020
Cerro Jachanasa	id=g:6310021
Quebrada Saruma	id=g:6310022
Cerro Marcunasani	id=g:6310023
Quebrada Anco Pujo	id=g:6310024
Cerro Carapoco	id=g:6310025
Cerro Cumu Cala	id=g:6310026
Huacullucunca	id=g:6310027
Quebrada Contornasa	id=g:6310028
Llaitocco	id=g:6310029
Quebrada Chackeri	id=g:6310030
Quebrada Sallahueco	id=g:6310031
Río Caquincorane	id=g:6310032
Cerro Tolapata	id=g:6310033
Cerro Pallaytienasa	id=g:6310034
Arazaya	id=g:6310035
Cerro Fuchune	id=g:6310036
Quebrada Saccaña	id=g:6310037
Cerro Utansa	id=g:6310038
Caquincorane	id=g:6310039
Cerro Damianenase	id=g:6310040
Cerro Ichocollo	id=g:6310041
Ichurasi	id=g:6310042
Quispine	id=g:6310043
Río Quispine	id=g:6310044
Cerro Jancara	id=g:6310045
Cerro Tie	id=g:6310046
Amane	id=g:6310047
Soruco	id=g:6310048
Ñiquerihue	id=g:6310049
Quebrada Cruzpujo	id=g:6310050
Calasana	id=g:6310051
Pastuyo	id=g:6310052
Marcachave	id=g:6310053
Cerro Humalso	id=g:6310054
Quebrada Jachacorcorine	id=g:6310055
Quebrada Jachuma	id=g:6310056
Quebrada Callutani	id=g:6310057
Tunquipa	id=g:6310058
Sallacamaña	id=g:6310059
Collpa	id=g:6310060
Cerro Chontacollo	id=g:6310061
Río Collpajahuira	id=g:6310062
Challavinto	id=g:6310063
Circapata	id=g:6310064
Alpaquista	id=g:6310065
Atacone	id=g:6310066
Tolacollo	id=g:6310067
Cerro Choquechivane	id=g:6310068
Condorave	id=g:6310069
Chigepatilla	id=g:6310070
Cerro Chachsane	id=g:6310071
Quebrada Vilacaya	id=g:6310072
Trujmarca	id=g:6310073
Chachsane	id=g:6310074
Churopata	id=g:6310075
Cerro Coacoane	id=g:6310076
Pampa Chambalaya Abajo	id=g:6310077
Puente Chambalaya	id=g:6310078
Quellaquella	id=g:6310079
Paamaya	id=g:6310080
Canllapampa	id=g:6310081
Vinto	id=g:6310082
Capilla	id=g:6310083
Cerro Paacollo	id=g:6310084
Paacollo	id=g:6310085
Río Huariquisane	id=g:6310086
Asirune	id=g:6310087
Chosicane	id=g:6310088
Cerro Vilacunca	id=g:6310089
Huariquisare	id=g:6310090
Chambalaya	id=g:6310091
Cerro Chambalaya	id=g:6310092
Pampa Chambalaya Arriba	id=g:6310093
Huacuta	id=g:6310094
Pozocane	id=g:6310095
Cerro Pozocane	id=g:6310096
Palca	id=g:6310097
Ojecala	id=g:6310098
Chogñatire	id=g:6310099
Cerro Chutata	id=g:6310100
Loma Huariquisane	id=g:6310101
Cerro Chilligua	id=g:6310102
Cerro Curocucho	id=g:6310103
Cerro Calvario	id=g:6310104
Hueco	id=g:6310105
Jalluma	id=g:6310106
Río Callaza	id=g:6310107
Callutani	id=g:6310108
Irpa	id=g:6310109
Quebrada Ancohuma	id=g:6310110
Callaza	id=g:6310111
Quebrada Uncalliri	id=g:6310112
Uncalliri	id=g:6310113
Totora	id=g:6310114
Caracotaña	id=g:6310115
Humuta	id=g:6310116
Circuta	id=g:6310117
Huayllapucara	id=g:6310118
Quebrada Huaylluma	id=g:6310119
Yupiura	id=g:6310120
Chapoco	id=g:6310121
Huylluma	id=g:6310122
Tequetequene	id=g:6310123
Sacamaya	id=g:6310124
Cullco	id=g:6310125
Calachiata	id=g:6310126
Jumputiri	id=g:6310127
Chicoruyo	id=g:6310128
Jormire	id=g:6310129
Cocatepiña	id=g:6310130
Patalaca	id=g:6310131
Yapoapacheta	id=g:6310132
Piaque	id=g:6310133
Quebrada Huayllacahua	id=g:6310134
Vila Vilani	id=g:6310135
Cachijipiña	id=g:6310136
Titija	id=g:6310137
Cerro Taypicondor	id=g:6310138
Calacala	id=g:6310139
Cerro Jachapata	id=g:6310140
Quelcane	id=g:6310141
Quebrada Vilavila	id=g:6310142
Quebrada Calacullo	id=g:6310143
Tapial	id=g:6310144
Cerro Sillapata	id=g:6310145
Cerro Pujoncollo	id=g:6310146
Pocollo	id=g:6310147
Cerro Oscacollo	id=g:6310148
Quebrda Chiaramaya	id=g:6310149
Isquillane	id=g:6310150
Querasane	id=g:6310151
Ancomoco	id=g:6310152
Cerro Huallacache	id=g:6310153
Cerro Cututo	id=g:6310154
Quelani	id=g:6310155
Palomire	id=g:6310156
Ancoapacheta	id=g:6310157
Quebrada Jaquimani	id=g:6310158
Pampa Pucopaquita	id=g:6310159
Castilla	id=g:6310160
Cerro Jachacollo	id=g:6310161
Huaycacollo	id=g:6310162
Sortihuahuachahue	id=g:6310163
Tarampavinto	id=g:6310164
Cerro Querarane	id=g:6310165
Cerro Tanga	id=g:6310166
Huyllapujo	id=g:6310167
Cerro Jaquimani	id=g:6310168
Chigchiphuyo	id=g:6310169
Cututo	id=g:6310170
Pumuta	id=g:6310171
Quebrada Quirnsahuyo	id=g:6310172
Cerro Jachacolla	id=g:6310173
Cerro Tolapata	id=g:6310174
Quebrada Quelane	id=g:6310175
Río Huaychune	id=g:6310176
Matuyo	id=g:6310177
Faruyo	id=g:6310178
Picho	id=g:6310179
Quebrada Caramaya	id=g:6310180
Sallajoco	id=g:6310181
Cerro Vilcallama	id=g:6310182
Titinpujo	id=g:6310183
Tesnejoco	id=g:6310184
Caramaya	id=g:6310185
Quebrada Jancococamane	id=g:6310186
Ancocaya	id=g:6310187
Cerros Jancococamane	id=g:6310188
Quebrada Aucasuma	id=g:6310189
Orcohuyo	id=g:6310190
Ancochuta	id=g:6310191
Quebrada Laicita	id=g:6310192
Quebrada Ancochuta	id=g:6310193
Chunculave	id=g:6310194
Soroco	id=g:6310195
Tolacollo	id=g:6310196
Chocorasi	id=g:6310197
Cerro Pichacane	id=g:6310198
Alcaaque	id=g:6310199
Cosiguire	id=g:6310200
Huaychune	id=g:6310201
Tuturuma	id=g:6310202
Quebrada Tuturama	id=g:6310203
Cerro Chacapacheta	id=g:6310204
Cerro Achanasa	id=g:6310205
Quebrada Parcajahuira	id=g:6310206
Cerro Tanca	id=g:6310207
Charcagua	id=g:6310208
Cerro Cuchune	id=g:6310209
Cerro Yaurilpujo	id=g:6310210
Vilachaullani	id=g:6310211
Quebrada Añutane	id=g:6310212
Quebrada Ventilla	id=g:6310213
Cacarichine	id=g:6310214
Istaña	id=g:6310215
Mal Paso	id=g:6310216
Cerro Chuntalla	id=g:6310217
Cerro Choquechihuane	id=g:6310218
Cerro Condoriqueña	id=g:6310219
Quebrada Pilane	id=g:6310220
Cerro Solterani	id=g:6310221
Pampa Huaripujo	id=g:6310222
Cerros Lirione	id=g:6310223
Villautane	id=g:6310224
Pampa Paacollo	id=g:6310225
Cerros Paacollo Tesilo	id=g:6310226
Ñuñocollo	id=g:6310227
Cerro Vilacollo	id=g:6310228
Paacollo	id=g:6310229
Iscailsuta	id=g:6310230
Chillihuatapampa	id=g:6310231
Pamputa	id=g:6310232
Maure Sabusive	id=g:6310233
Manzananane	id=g:6310234
Río Mauri Chico	id=g:6310235
Huichinca	id=g:6310236
Anconasavinto	id=g:6310237
Taracollo	id=g:6310238
Paataype	id=g:6310239
Catunuirane	id=g:6310240
Merquehuta	id=g:6310241
Achutaachutapatja	id=g:6310242
Tolacollo	id=g:6310243
Quebrada Vialatie	id=g:6310244
Loma Peccañane	id=g:6310245
Quebrada Taipechuro	id=g:6310246
Chojchone	id=g:6310247
Caluyo	id=g:6310248
Río Totoruma	id=g:6310249
Pilco	id=g:6310250
Cucho	id=g:6310251
Cotaña	id=g:6310252
Challaqueta	id=g:6310253
