Chak One Hundred Ninety GB	id=g:1387170
Chak Five Hundred Twelve	id=g:1387171
Minor Five	id=g:1387172
Chak Five Hundred Eleven GB	id=g:1387173
PR Shorkot Cantt Qila Shaikhupura Branch	id=g:1387174
Chak One Hundred Eighty-Eight GB	id=g:1387175
Bagga Kher Joya	id=g:1387176
Chak Five Hundred Sixteen	id=g:1387177
Kot Darya Bal Railway Station	id=g:1387178
Bhoja Distributary	id=g:1387179
Bhaini Two Hundred Ninety-Two	id=g:1387180
Shaikhwāla	id=g:1387181
Tharda Minor	id=g:1387182
Majang Naja Minor	id=g:1387183
Manjar Minor	id=g:1387184
Sunān	id=g:1387185
Yakkar Distributary	id=g:1387186
Chak Ten	id=g:1387187
Chak Two	id=g:1387188
Chak Eighteen	id=g:1387189
Magneja Railway Station	id=g:1387190
Chak Seven Hundred Six GB	id=g:1387191
Chak Seven Hundred Seven GB	id=g:1387192
Khitrānwāla	id=g:1387193
Chak Seven Hundred Sixteen GB	id=g:1387194
Chak Seven Hundred Fifteen GB	id=g:1387195
Aswār Shāh	id=g:1387196
Chak Seven Hundred Seventeen GB	id=g:1387197
Kakkūwāla	id=g:1387198
Buliānwāla	id=g:1387199
Chak Seven Hundred Twenty-seven GB	id=g:1387200
Kamālia Unclassed Forest	id=g:1387201
Kallarwāla Distributary	id=g:1387202
Chak Seven Hundred Twenty-two GB	id=g:1387203
Diniarwāla	id=g:1387204
Chak Seven Hundred Twenty-eight GB	id=g:1387205
Arainwāla	id=g:1387206
Chak Seven Hundred Forty-one	id=g:1387207
Chāh Mohlwāla	id=g:1387208
Dhāngewāla	id=g:1387209
Chāh Imām Shānān	id=g:1387210
Chāh Bhairwāla	id=g:1387211
Kabīrwāla Distributary	id=g:1387212
Sungarwāla Tibba	id=g:1387213
Chak Seven Hundred Forty-two GB	id=g:1387214
Najābat ke Kāthia	id=g:1387215
Pīr Mopāl	id=g:1387216
Ziārat Shahabal Shāh	id=g:1387217
Chak Seven Hundred Thirty-four GB	id=g:1387218
Purāna Darsāna	id=g:1387219
Thatte Khān	id=g:1387220
Chak One Hundred Seventeen-Seven DR	id=g:1387221
Dāduaa Sanpāl	id=g:1387222
Chak One Hundred Eighteen-Seven DR	id=g:1387223
Bhaini Badhu	id=g:1387224
Barnbewāla	id=g:1387225
Seven DR Distributary	id=g:1387226
Chak One Hundred Nineteen DR	id=g:1387227
Chak One Hundred Twenty-seven ER	id=g:1387228
Kassowāl Escape	id=g:1387229
Chak One Hundred Sixteen-Seven CR	id=g:1387230
Kassowāl	id=g:1387231
Chak One Hundred Twenty-Thirteen AL	id=g:1387232
Chak One Hundred Nineteen-Thirteen AL	id=g:1387233
Chak One A Fourteen L	id=g:1387234
Dodwāla	id=g:1387235
Chak One-Fourteen L	id=g:1387236
Malikānwāla	id=g:1387237
Chīchāthi Plantation Reserved Forest	id=g:1387238
Chak Nineteen-Thirteen L	id=g:1387239
Chak Three-Fourteen L	id=g:1387240
Nelāmiwāla	id=g:1387241
