Ussermatt	id=g:6294070
Untere Matt	id=g:6294071
Matt	id=g:6294072
Unter Bogen	id=g:6294073
Bogen	id=g:6294074
Mattschür	id=g:6294075
Lachen	id=g:6294076
Spältrüti	id=g:6294077
Buech	id=g:6294078
Wald	id=g:6294079
Unterer Steinshof	id=g:6294080
Stockwies	id=g:6294081
Schürli	id=g:6294082
Kohlwies	id=g:6294083
Aespen	id=g:6294084
Ziegelhus	id=g:6294085
Felsenegg	id=g:6294086
Zapfen	id=g:6294087
Batzenegg	id=g:6294088
Neugüetli	id=g:6294089
Wolfen	id=g:6294090
Gerster	id=g:6294091
Kohlboden	id=g:6294092
Chalspel	id=g:6294093
Sülchböl	id=g:6294094
Ruchwies	id=g:6294095
Vordertobel	id=g:6294096
Bauegg	id=g:6294097
Oberwald	id=g:6294098
Steinshof	id=g:6294099
Hinterberg	id=g:6294100
Sunnebad	id=g:6294101
Untersternen	id=g:6294102
Rossweid	id=g:6294103
Rietwies	id=g:6294104
Rietli	id=g:6294105
Steig	id=g:6294106
Hintere Rossweid	id=g:6294107
Langfurri	id=g:6294108
Wies	id=g:6294109
Ebni	id=g:6294110
Tiefmoos	id=g:6294111
Lindenhof	id=g:6294112
Aeberliswald	id=g:6294113
Höchstock	id=g:6294114
Gfell	id=g:6294115
Gfellacher	id=g:6294116
Obergfell	id=g:6294117
Schwendi	id=g:6294118
Wolfenzädel	id=g:6294119
Obere Langfurri	id=g:6294120
Rietrüti	id=g:6294121
Hintertobel	id=g:6294122
Untere Bruechegg	id=g:6294123
Im Rank	id=g:6294124
Töbeli	id=g:6294125
Obere Heurüti	id=g:6294126
Untere Heurüti	id=g:6294127
Musterplatz	id=g:6294128
Gipsegg	id=g:6294129
Neurüti	id=g:6294130
Lettenboden	id=g:6294131
Hüeneregg	id=g:6294132
Kohltobel	id=g:6294133
Schwändi	id=g:6294134
Tieracher	id=g:6294135
Vorderzelgli	id=g:6294136
Dettenried	id=g:6294137
Hünegg	id=g:6294138
Dicki	id=g:6294139
Feld (bei Weisslingen)	id=g:6294140
Langächer	id=g:6294141
Maienbüel	id=g:6294142
Chalcheren	id=g:6294143
Hänkirain	id=g:6294144
Lindenberg	id=g:6294145
Tollen	id=g:6294146
Feld (bei Neschwil)	id=g:6294147
Neschwil	id=g:6294148
Hard	id=g:6294149
Brauerei	id=g:6294150
Farzel	id=g:6294151
Himmelreich	id=g:6294152
Theilingen	id=g:6294153
Rebbberg	id=g:6294154
Lendikon	id=g:6294155
Leisibüel	id=g:6294156
Sägel	id=g:6294157
Froacher	id=g:6294158
Schwemmrüti	id=g:6294159
Hagenacher	id=g:6294160
Moos	id=g:6294161
Tarain	id=g:6294162
Loch	id=g:6294163
Burg	id=g:6294164
Espi	id=g:6294165
Rosenberg	id=g:6294166
Ghöngg	id=g:6294167
Wiesental	id=g:6294168
Sommerau	id=g:6294169
Boden	id=g:6294170
Eichböhl	id=g:6294171
Säge	id=g:6294172
Strick	id=g:6294173
Jakobsbrunnen	id=g:6294174
Vorder-Aegetswil	id=g:6294175
Aegetswil	id=g:6294176
Scheurerhaus	id=g:6294177
Waldweid	id=g:6294178
Rosengarten	id=g:6294179
Sengi	id=g:6294180
Tannau	id=g:6294181
Talau	id=g:6294182
Pfaffenberg	id=g:6294183
Thalgarten	id=g:6294184
Brenggau	id=g:6294185
