Sūr Tangai Kār	id=g:1164230
Surtanāhu	id=g:1164231
Sūrsurang	id=g:1164232
Sūr Singh	id=g:1164233
Surshar	id=g:1164234
Sūrsha	id=g:1164235
Surp Tangi	id=g:1164236
Suroh Ghar	id=g:1164237
Suroh	id=g:1164238
Surmo	id=g:1164239
Sūrlukh Ghar	id=g:1164240
Sūrkot	id=g:1164241
Surki Chuteri Bār Dhoro	id=g:1164242
Sur Khwār	id=g:1164243
Surkhru	id=g:1164244
Surkhpur	id=g:1164245
Koh-i-Surkho	id=g:1164246
Surkh Dheri	id=g:1164247
Surkh Dheri	id=g:1164248
Sūr Khatki	id=g:1164249
Surkhab Lora	id=g:1164250
Surkhāb	id=g:1164251
Sur Kaur	id=g:1164252
Sūr Kats	id=g:1164253
Sur Kal	id=g:1164254
Sūr Kamar Khwār	id=g:1164255
Sūrkamar	id=g:1164256
Surkai Zangal	id=g:1164257
Sūr Kach	id=g:1164258
Surjītnagar	id=g:1164259
Surjanwāla	id=g:1164260
Surjanpur	id=g:1164261
Surjāni Reserved Forest	id=g:1164262
Surjāni	id=g:1164263
Sūrjan	id=g:1164264
Sarin Dum Kalāt	id=g:1164265
Suriāli	id=g:1164266
Surakki	id=g:1164267
Surgun	id=g:1164268
Sūrgul	id=g:1164269
Sarghundi	id=g:1164270
Sur Ghund	id=g:1164271
Sūrghūnd	id=g:1164272
Sūrghash	id=g:1164273
Sūr Ghar	id=g:1164274
Sūr Ghar	id=g:1164275
Sūr Ghar	id=g:1164276
Sur Ghar	id=g:1164277
Sūr Ghar	id=g:1164278
Sūr Ghar	id=g:1164279
Sūr Ghar	id=g:1164280
Sūr Ghar	id=g:1164281
Sūr Ghar	id=g:1164282
Sūrgāh	id=g:1164283
Goth Surga	id=g:1164284
Surg	id=g:1164285
Sūr Chāh	id=g:1164286
Sūr Bānda	id=g:1164287
Sūratābād	id=g:1164288
Surāp Kaur	id=g:1164289
Surān Khwār	id=g:1164290
Surāni Pass	id=g:1164291
Surāni	id=g:1164292
Surāngi	id=g:1164293
Surang	id=g:1164294
Surāna Landai	id=g:1164295
Surak	id=g:1164296
Surājwāli	id=g:1164297
Surajpur	id=g:1164298
Suraj	id=g:1164299
Surāin	id=g:1164300
Surai Malāwa	id=g:1164301
Surag	id=g:1164302
Sūrob Mānda	id=g:1164303
Surāb Khān	id=g:1164304
Sūrab Kaur	id=g:1164305
Sūrāb	id=g:1164306
Sūra	id=g:1164307
Sur	id=g:1164308
