Bœ̆ng Kbal Băng	id=g:1941947
Samlot	id=g:1941948
O Bœ̆ng Kreal	id=g:1941949
Phum Sala Krau	id=g:1941954
Phnŭm Kâmpul Téa	id=g:1941955
O Chra	id=g:1941966
O Saphi	id=g:1941971
O Ta Tŭy	id=g:1941972
Phumĭ Ta Ngên Thmei	id=g:1941975
Phnŭm Ta Ngên	id=g:1941976
Phum O Poet	id=g:1941978
Phum Ta Vav	id=g:1941980
O Poet	id=g:1941981
O Ta Pŭk	id=g:1941983
Phum Pahi	id=g:1941986
Phumĭ Thăng Mai	id=g:1941988
Phumĭ Bâdĭn Niĕv	id=g:1941990
Phumĭ Khlŏng	id=g:1941992
Stœ̆ng Kâng Mak Phay	id=g:1941997
Phnŭm Trâpéang Ngoel	id=g:1941999
O Ta Rŏt	id=g:1942001
Phnŭm Takot	id=g:1942030
O Prei Tuk	id=g:1942032
O Spong	id=g:1942033
Phnŭm Kânchan	id=g:1942034
Phnŭm Rôkiĕng	id=g:1942035
Phnŭm Kŏk	id=g:1942036
O Smŏk	id=g:1942037
Phnŭm Sângrêl	id=g:1942038
Phnŭm Tuy Ângkŏnh	id=g:1942039
Stœ̆ng Spéan Tônlea	id=g:1942040
O Dâmram	id=g:1942041
O Bak Préa	id=g:1942042
O Phŏng	id=g:1942043
O Tumbŏt	id=g:1942044
Phnŭm Sâmrêng	id=g:1942045
Phnŭm Triĕk	id=g:1942046
Phnŭm Stoal	id=g:1942047
Phnŭm Phang Klôn	id=g:1942048
O Pôpéanŏk	id=g:1942049
Phnŭm Srang	id=g:1942050
O Sámliĕng Kămbĕt	id=g:1942051
Phnŭm Sruol	id=g:1942052
Phnŭm Smet	id=g:1942053
O Maka	id=g:1942054
Prêk Ta Ho	id=g:1942055
Prêk Kaôh Yor	id=g:1942056
Prêk Cheung Krŭk	id=g:1942057
Prêk Kaôh Chăm Yéam	id=g:1942058
Phum Smach Ngam	id=g:1942059
Phnŭm Khao Tanam	id=g:1942060
Prêk Khlâng Pikar	id=g:1942061
Prêk Pou Khlâng	id=g:1942062
Kaôh Paô	id=g:1942063
Prêk Kŏng Hên	id=g:1942064
O Namkên	id=g:1942065
Prêk Péam Kasaôp	id=g:1942066
Bœ̆ng Stœ̆ng Vêng	id=g:1942067
Prêk Thnál Krâbei	id=g:1942068
Prêk Chamcar Dong	id=g:1942069
Phnŭm Bântŏât	id=g:1942070
Phnŭm Tirang	id=g:1942071
Phnŭm Yav Yai	id=g:1942072
Phnŭm Klŏng Samé	id=g:1949154
Kompong-Cham	id=g:6301064
Siemreap	id=g:6301065
Battambang	id=g:6453421
Le Meridien Angkor	id=g:6463425
Holiday Villa Phnom Penh	id=g:6465703
Hotel Cambodiana	id=g:6467716
Raffles Hotel Le Royal	id=g:6468339
Raffles Grand Hotel d'Angkor	id=g:6470511
Orient D'Angkor Hotel	id=g:6491485
Monarch Angkor Hotel	id=g:6493885
Royal Angkor Resort	id=g:6494382
Reaksmey Chanreas Hotel	id=g:6494657
Angkor Howard Hotel	id=g:6495541
Hotel De La Paix	id=g:6495619
City River Hotel	id=g:6495956
Angkor Century Resort & Spa	id=g:6496222
Preah Khan Hotel	id=g:6498128
FCC Angkor	id=g:6498307
Banteay Srey Hotel	id=g:6499032
Shinta Mani Hotel	id=g:6499378
La Residence D Angkor	id=g:6515648
Victoria Angkor Resort And Spa	id=g:6519853
Phnom Bok Hotel	id=g:6521230
Prince D Angkor Hotel And Spa	id=g:6523396
Damnak Angkor Mirage Hotel	id=g:6525221
Amansara	id=g:6525893
Sen monorom	id=g:6690237
Ream National Park	id=g:6941843
Kirirom National Park	id=g:6941933
Banlung	id=g:6942076
Baphuon	id=g:6942081
Bayon	id=g:6942128
Phnum Bokor National Park	id=g:6942256
Choeung Ek	id=g:6942278
Angkor ruins	id=g:7303388
Wilkes Point	id=g:2110019
West Boat Passage	id=g:2110020
Western Passage	id=g:2110021
Vinstra Shoal	id=g:2110022
Utiroa	id=g:2110023
Unitia	id=g:2110024
Umauma	id=g:2110025
Umantewena	id=g:2110026
Umaia Ataei	id=g:2110027
Ukiangang Point	id=g:2110028
Ukiangang	id=g:2110029
Ubanteman	id=g:2110030
Ubantakoto	id=g:2110031
Tukerere	id=g:2110032
Tuarabu	id=g:2110033
Rakai Tuai	id=g:2110034
Tewai	id=g:2110035
Te Wai	id=g:2110036
Teukin	id=g:2110037
Tetongo	id=g:2110038
Teteirio	id=g:2110039
Tetake	id=g:2110040
Tetabuki	id=g:2110041
Tetabakea	id=g:2110042
Terikiai	id=g:2110043
Teobokia	id=g:2110044
Tennia	id=g:2110045
Tenanoraoi	id=g:2110046
Tenanoa Point	id=g:2110047
Temuah Island	id=g:2110048
Temotu	id=g:2110049
Temaraia	id=g:2110050
Temakin Point	id=g:2110051
Temaiku Bight	id=g:2110052
Tekuanga	id=g:2110053
Tekatirirake	id=g:2110054
Tekarakan	id=g:2110055
Te Kapuipui	id=g:2110056
Teirio	id=g:2110057
Tebwerewi	id=g:2110058
Teburaniboiboi	id=g:2110059
Tebunginako	id=g:2110060
Tebobonga	id=g:2110061
Tebikeriki	id=g:2110062
Tebikerei	id=g:2110063
Tebike Reef	id=g:2110064
Tebatabuki	id=g:2110065
Tebaronga	id=g:2110066
Tebanga	id=g:2110067
Tebanga	id=g:2110068
Tearinibai	id=g:2110069
Teaoraereke	id=g:2110070
Teakaurongo	id=g:2110071
Taungeaka	id=g:2110072
Tauma	id=g:2110073
Taribo	id=g:2110074
Tarawa Island	id=g:2110075
Taratai	id=g:2110076
Taratai	id=g:2110077
Tarakarawa	id=g:2110078
Tarawa	id=g:2110079
Taoatu Reef	id=g:2110080
Tanyah Island	id=g:2110081
Tanimainiku	id=g:2110082
Tanimaiaki	id=g:2110083
Tanimaiaki	id=g:2110084
Tanaiang	id=g:2110085
Tamaroa	id=g:2110086
Tamana Island	id=g:2110087
Taku	id=g:2110088
Takoronga Point	id=g:2110089
Takoronga	id=g:2110090
Takarano	id=g:2110091
Tabutoa	id=g:2110092
Taburao	id=g:2110093
Tabukintetau	id=g:2110094
Tabukiniberu	id=g:2110095
Tabuiroa	id=g:2110096
Tabuarorae	id=g:2110097
Taborio	id=g:2110098
Tabonuea	id=g:2110099
Tabontebike	id=g:2110100
Taboniba	id=g:2110101
Tabomatang	id=g:2110102
Taboiaki	id=g:2110103
Taboiaki	id=g:2110104
Tabiteuea Island	id=g:2110105
Tabiteuea	id=g:2110106
Tabiteuea	id=g:2110107
Tabiauea	id=g:2110108
Tabiang	id=g:2110109
Tabiang	id=g:2110110
Tabiang	id=g:2110111
Sydney Point	id=g:2110112
South West Point	id=g:2110113
South West Anchorage	id=g:2110114
South Tabiteuea Lagoon	id=g:2110115
South Passage	id=g:2110116
Southern Gilbert Islands	id=g:2110117
Southern Entrance	id=g:2110118
South East Point	id=g:2110119
South Channel	id=g:2110120
Rungata	id=g:2110121
Rotuma	id=g:2110122
Rotuma	id=g:2110123
Roreti	id=g:2110124
Roreauea	id=g:2110125
Rongorongo	id=g:2110126
Rironga Boat Passage	id=g:2110127
Ribona	id=g:2110128
Riaria	id=g:2110129
Reweta Pass unusable	id=g:2110130
Rawannawi	id=g:2110131
Ramanaba	id=g:2110132
Rakentai	id=g:2110133
Pureara Bank	id=g:2110134
Puakonikai	id=g:2110135
Pig Point	id=g:2110136
Piachüeta	id=g:2110137
Peacock Anchorage	id=g:2110138
Otoeie Island	id=g:2110139
Oteariki	id=g:2110140
Ooma	id=g:2110141
Onotoa Island	id=g:2110142
Onne	id=g:2110143
Oneaka	id=g:2110144
On Changs Wharf	id=g:2110145
Oba	id=g:2110146
Nuribenua	id=g:2110147
Nuotaea	id=g:2110148
Numatong	id=g:2110149
Nuka	id=g:2110150
Nuatabu	id=g:2110151
Noto	id=g:2110152
Noto	id=g:2110153
Northern Gilbert Islands	id=g:2110154
North Channel	id=g:2110155
Nonouti Island	id=g:2110156
Nikutoru	id=g:2110157
Nikunau Island	id=g:2110158
Nikumanu	id=g:2110159
Neiteba	id=g:2110160
Natata Island	id=g:2110161
Nantorum	id=g:2110162
Nanteakoi	id=g:2110163
Nansaba	id=g:2110164
Nanikirata	id=g:2110165
Nanibaba	id=g:2110166
Namoka Island	id=g:2110167
Naimoa	id=g:2110168
Naeai	id=g:2110169
Nabuni	id=g:2110170
Nabeina	id=g:2110171
Nabeina	id=g:2110172
Naanikai	id=g:2110173
Muribenua	id=g:2110174
Morikao	id=g:2110175
Maungatabu	id=g:2110177
Matang	id=g:2110178
Marenanuka	id=g:2110179
Marenanuka	id=g:2110180
Marakei Island	id=g:2110181
Manriki	id=g:2110182
Manoku	id=g:2110183
Manna	id=g:2110184
Makin Island	id=g:2110185
Makauro	id=g:2110186
Maiana Island	id=g:2110187
Lilian Point	id=g:2110188
Leper Island	id=g:2110189
Kuria	id=g:2110190
Kuria Island	id=g:2110191
