Munsan-dong	id=g:1926976
Sangchrimi	id=g:1926977
Hachirimi	id=g:1926978
Tŏkchirimi	id=g:1926979
Ka-dong	id=g:1926980
Sangsŏl-tong	id=g:1926981
Songjŏng-dong	id=g:1926982
Hasŏl-tong	id=g:1926983
Sangsin-dong	id=g:1926984
Chungsŏng-dong	id=g:1926985
Hyŏng-dong	id=g:1926986
Musŏk-tong	id=g:1926987
Naebal-tong	id=g:1926988
Sahyŏl-li	id=g:1926989
Saet’ŏ	id=g:1926990
Palsan-dong	id=g:1926991
Yusŏng-ni	id=g:1926992
Saŭm-ni	id=g:1926993
Yusul-li	id=g:1926994
Changgyŏng	id=g:1926995
Changsal-li	id=g:1926996
Sin’gong-ni	id=g:1926997
Sillyul-li	id=g:1926998
Hanyang-ni	id=g:1926999
Kangch’ŏl-li	id=g:1927000
Yongdong-ni	id=g:1927001
Yongwŏl-li	id=g:1927002
Nae-dong	id=g:1927003
Yujŏng-dong	id=g:1927004
Oe-dong	id=g:1927005
Nae-dong	id=g:1927006
Sunhŭng-ni	id=g:1927007
Sasal-li	id=g:1927008
Chwau-dong	id=g:1927009
Sinbuk-tong	id=g:1927010
Namhŭng	id=g:1927011
Taep’yŏng	id=g:1927012
Wŏlsong-ni	id=g:1927013
Samang	id=g:1927014
Yŏngnak	id=g:1927015
Ha-dong	id=g:1927016
Nojŏn	id=g:1927017
Hagosan	id=g:1927018
Yongsan	id=g:1927019
Hadae	id=g:1927020
Mok-kol	id=g:1927021
Pongnae-ri	id=g:1927022
Ŭnp’a-sŏn	id=g:1927023
Tŏkpau-ryŏng	id=g:1927024
Tolmok-san	id=g:1927025
Anbae-ryŏng	id=g:1927026
Anban-nyŏng	id=g:1927027
Chik-tong	id=g:1927028
Sagye-gol	id=g:1927029
Pongsu-san	id=g:1927030
Karyŏul	id=g:1927031
Kuryŏngdae	id=g:1927032
Norumok-kogae	id=g:1927033
Punt’o-gol	id=g:1927034
Igu	id=g:1927035
Sudol-gogae	id=g:1927036
Chinp’o	id=g:1927037
Kiam-san	id=g:1927038
Chŏm-gol	id=g:1927039
Ch’ŏngnyŏng-san	id=g:1927040
Sach’ang-ni	id=g:1927041
P’yŏnggang-dong	id=g:1927042
Sahŭl-gogae	id=g:1927043
Konnŭp-kogae	id=g:1927044
Wŏnsan-gol	id=g:1927045
Sŏng-gol	id=g:1927046
Sŏkchang-gogae	id=g:1927047
Kwangbau-san	id=g:1927048
Tamch’ol-li	id=g:1927049
Sirubong-san	id=g:1927050
Sarangt’ŏ	id=g:1927051
Tumosu	id=g:1927052
Se-gol	id=g:1927053
Song-gogae	id=g:1927054
Nori-gogae	id=g:1927055
Kamt’u-bong	id=g:1927056
Wangdang-ni	id=g:1927057
Kasan-gogae	id=g:1927058
Saembau	id=g:1927059
Kasang-ni	id=g:1927060
Tangdun	id=g:1927061
Kolmal	id=g:1927062
Nŏp-kogae	id=g:1927063
Kwanghyŏn-bong	id=g:1927064
Hagok-pong	id=g:1927065
Ori-gogae	id=g:1927066
Kuksa-bong	id=g:1927067
Sududae	id=g:1927068
