Groß Langerwisch	id=g:2915351
Groß Langenkamp	id=g:2915352
Großlangenfeld	id=g:2915353
Groß Lafferde	id=g:2915354
Groß Lachem	id=g:2915355
Groß Labenz	id=g:2915356
Groß Laasch	id=g:2915357
Groß Kussewitz	id=g:2915358
Großkünkel	id=g:2915359
Groß Kunitz	id=g:2915360
Großkundorf	id=g:2915361
Groß Kummerfeld	id=g:2915362
Groß Kühren	id=g:2915363
Großkühnau	id=g:2915364
Groß Kuhlmorgen	id=g:2915365
Groß Kuh	id=g:2915366
Großkugel	id=g:2915367
Großkuchen	id=g:2915368
Groß Kubitz	id=g:2915369
Försterei Groß Kubbelkow	id=g:2915370
Groß Kubbelkow	id=g:2915371
Großkrotzenburg	id=g:2915372
Großkromsdorf	id=g:2915373
Großkröbitz	id=g:2915374
Groß Kreutz	id=g:2915375
Groß Krempdorf	id=g:2915376
Groß Krebs-See	id=g:2915377
Großkrausnik	id=g:2915378
Großkrausniker Heide	id=g:2915379
Groß Krauscha	id=g:2915380
Groß Krankow	id=g:2915381
Groß Krams	id=g:2915382
Groß Koxbüll	id=g:2915383
Großkotzenreuth	id=g:2915384
Großkötz	id=g:2915385
Groß Köthel	id=g:2915386
Großkoschen	id=g:2915387
Groß Köris	id=g:2915388
Großkorgau	id=g:2915389
Großkorga	id=g:2915390
Groß Kordshagen	id=g:2915391
Großkorbetha	id=g:2915392
Großkoppel	id=g:2915393
Großkoppel	id=g:2915394
Großköpferl	id=g:2915395
Großkopf	id=g:2915396
Großkonreuth	id=g:2915397
Großkönigsförde	id=g:2915398
Großkönigsdorf	id=g:2915399
Bahnhof Groß Kölzig	id=g:2915400
Groß Kölzig	id=g:2915401
Groß Kölpin	id=g:2915402
Großköllnbach	id=g:2915403
Groß Kollmar	id=g:2915404
Groß Köhren	id=g:2915405
Grosskohlham	id=g:2915406
Großköchlham	id=g:2915407
Großkochberg	id=g:2915408
Groß Kniepow	id=g:2915409
Großkmehlen	id=g:2915410
Großklützhöved	id=g:2915411
Groß Kloster	id=g:2915412
Grossklöpfach	id=g:2915413
Groß Klev	id=g:2915414
Groß Klessow	id=g:2915415
Großklenau	id=g:2915416
Groß Klein	id=g:2915417
Groß Kleimann	id=g:2915418
Groß Klecken	id=g:2915419
Großkitzighofen	id=g:2915420
Grosskissendorf	id=g:2915421
Groß Kirr	id=g:2915422
Groß Kirr	id=g:2915423
Großkirchberg	id=g:2915424
Groß Kiphausen	id=g:2915425
Vorwerk Groß Kiesow	id=g:2915426
Groß Kiesow	id=g:2915427
Groß Kieshof	id=g:2915428
Groß Kienitzer Berge	id=g:2915429
Groß Kienitz	id=g:2915430
Großkemnat	id=g:2915431
Groß Kelle	id=g:2915432
Groß Kedingshagen	id=g:2915433
Großkayna	id=g:2915434
Großkatzbach	id=g:2915435
Groß Katthöfer	id=g:2915436
Großkatern	id=g:2915437
Großkarolinenfeld	id=g:2915438
Großkarlbach	id=g:2915439
Großkarben	id=g:2915440
Großkapermoor	id=g:2915441
Großkamsdorf	id=g:2915442
Großkampenberg	id=g:2915443
Groß Kampen	id=g:2915444
Groß Kamp	id=g:2915445
Groß Kamannshof	id=g:2915446
Großkahl	id=g:2915447
Grosskager	id=g:2915448
Großjörlfeld	id=g:2915449
Großjörl	id=g:2915450
Großjena	id=g:2915451
Groß Jehserer Forst	id=g:2915452
Groß Jehser	id=g:2915453
Groß Jauer	id=g:2915454
Groß Jasedow	id=g:2915455
Groß Jamno	id=g:2915456
Groß Jahna	id=g:2915457
Groß Isums	id=g:2915458
Groß Ippener	id=g:2915459
Großinzemoos	id=g:2915460
Grössinsee	id=g:2915461
Großingersheim	id=g:2915462
Grössing	id=g:2915463
Groß Ilsede	id=g:2915464
Groß Ilde	id=g:2915465
Groß Hutbergen	id=g:2915466
Großhusums	id=g:2915467
Großhurden	id=g:2915468
Groß Hundorp	id=g:2915469
Groß Hundorf	id=g:2915470
Großhündlbach	id=g:2915471
Groß Hündfeld	id=g:2915472
Großhülsberg	id=g:2915473
