Pionerlager’ Zhemchuzhina	id=g:870499
Raz”yezd 18 km	id=g:872174
Mys Pechenskiy	id=g:872175
Guba Pechenga	id=g:872176
Mys Belyy Navolok	id=g:872177
Protichka	id=g:872178
Elitnyy	id=g:872179
Protichka	id=g:872180
Vostochnyy	id=g:872181
Pogorelovo	id=g:872182
Vodnyy	id=g:872183
Protichka	id=g:872184
Dzhumaylovka	id=g:872202
Bel’chanskiy	id=g:872203
Dal’niy	id=g:872206
Kurgan Beduliyeva Mogila	id=g:872207
Balka Kosataya	id=g:872208
Dzhereligovskiy Glavnyy Kollektor	id=g:872209
Lednik Obrucheva	id=g:872210
Lednik Kirova	id=g:872211
Ol’khovskiy	id=g:872212
Komsomol’skiy	id=g:872213
Novyy	id=g:872214
Krasnoarmeyskiy	id=g:872215
Oktyabr’skiy	id=g:872216
Krasnyy	id=g:872217
Rogachevskiy	id=g:872218
Krupskoy	id=g:872221
Lenina	id=g:872223
Kirpichnyy	id=g:872226
Lyutykh	id=g:872230
Ostanovochnyy Punkt 104 km	id=g:872235
Grechanaya	id=g:872240
Gora Charasaldys-Tavi	id=g:872241
Ogorodnyy	id=g:872250
Novyye Limanokirpili	id=g:872251
Brigadnyy	id=g:872252
Zanko	id=g:872253
Oktyabr’skiy	id=g:872254
Krasnyy Kon’	id=g:872255
Lotos	id=g:872256
Beysug	id=g:872257
Tsentral’nyy	id=g:872258
Maksima Gor’kogo	id=g:872259
Mirnyy	id=g:872260
Privokzal’nyy	id=g:872261
Prigorodnoye	id=g:872262
Yagodnoye	id=g:872263
Razdol’nyy	id=g:872264
Vstrechnyy	id=g:872265
Limanskiy	id=g:872266
Sopova Balka	id=g:872267
Lebyazhiy Ostrov	id=g:872268
Liman Kruglyy	id=g:872269
Boloto Chernovskiye Plavni	id=g:872270
Beysugskoye Vodokhranilishche	id=g:872271
Urochishche Dolgiy Rog	id=g:872272
Ostrov Golen’kiy	id=g:872273
Urochishche Lopatino	id=g:872274
Urochishche Sladko-Ryasnaya Plavnya	id=g:872275
Urochishche Pad’	id=g:872276
Kurgan Mogila Bugayeva	id=g:872277
Kurgan Ostraya Mogila	id=g:872278
Kurgan Varicheva	id=g:872279
Mys Strelka	id=g:872280
Liman Rakov	id=g:872281
Ostrova Bisernyye	id=g:872323
Mys Pevchenko	id=g:872324
Ostrov Al’batros	id=g:872325
Ostrov Khokhshtettera Sredniy	id=g:872326
Bukhta Udobnaya	id=g:872327
Ostrova Brounova	id=g:872328
Kupol Moskvy	id=g:872329
Bukhta Lednikovaya	id=g:872330
Ostrova Borisika	id=g:872331
Proliv Strel’-Chova	id=g:872332
Mys Pologiy	id=g:872333
Mys Podgornyy	id=g:872334
Lednik Niny	id=g:872335
Mys Nadezhdy	id=g:872336
Proliv Melleniusa	id=g:872337
Lednik Yuriya	id=g:872338
Kupol Yuriya	id=g:872339
Kupol Dzhensona	id=g:872340
Mys Ugol’nyy	id=g:872341
Utës Pukacharokogo	id=g:872342
Zarya	id=g:872344
Utarka	id=g:872345
Letnik Kuysak	id=g:872346
Gumbeyka	id=g:872347
Gornyy	id=g:872348
Svetlogorsk	id=g:872349
Bezymyannyy	id=g:872350
Urpek	id=g:872351
Vperëd	id=g:872352
Sklyar	id=g:872362
Dzhabyk	id=g:872365
Utrennyaya Zarya	id=g:872367
Rodnik Svetlyy Kolodets	id=g:872381
Rodnichki	id=g:872385
Sezonnoye	id=g:872388
Ostanovochnyy Punkt Sezonnoye	id=g:872396
Ostanovochnyy Punkt Sklyar	id=g:872397
Prostornyy	id=g:872398
Stantsiya Subutak	id=g:872399
Stantsiya Flyusovaya	id=g:872400
Subutak	id=g:872401
Boloto Algabaz	id=g:872402
Zingeyka	id=g:872403
Balka Kamennyy Dol	id=g:872404
Bazarka	id=g:872405
Kolodets Murtazina	id=g:872406
Gora Shatalova	id=g:872407
Ozero Krivoye	id=g:872408
Gora Malinovaya	id=g:872409
Kordon Sveridova	id=g:872410
Kordon Lebedinyy	id=g:872411
Kordon Listvennyy	id=g:872412
Gora Meshcherskaya	id=g:872413
Gora Gorelaya	id=g:872414
Rassvet	id=g:872415
Solodyanka	id=g:872416
Blizhniy	id=g:872417
Ozërnyy	id=g:872418
Kurgannyy	id=g:872419
Polya Orosheniya	id=g:872420
Dzerzhinskiy	id=g:872421
Oktyabr’skiy	id=g:872422
Dimitrova	id=g:872423
Gora Lis’ya	id=g:872424
Plodoyagodnyy	id=g:872425
Kuybas	id=g:872426
Pyl’noye	id=g:872427
Ostanovochnyy Punkt Vkhodnoye	id=g:872428
Stantsiya Burannaya	id=g:872429
Ostanovochnyy Punkt Pyl’noye	id=g:872430
Stantsiya Tsementnyy Zavod	id=g:872431
Ostanovochnyy Punkt Polevoy	id=g:872432
Gora Dal’niy Batyr’	id=g:872433
Gora Yangyz-Kain	id=g:872434
Krasnoyarskiy	id=g:872435
Novoburanovka	id=g:872436
Berëzovaya Roshcha	id=g:872437
Krupskoye	id=g:872439
Kyzylchilik	id=g:872440
Naberezhnyy	id=g:872441
Sovkhoznyy	id=g:872442
Gora Bazhankina	id=g:872443
Gora Vyshka	id=g:872444
Karabutakh	id=g:872445
Prud Kyzyl-Chilik	id=g:872446
Rzhavchik	id=g:872447
Kalininskiy	id=g:872448
Pervomayskiy	id=g:872449
Ak-Chishma	id=g:872450
Gora Belaya Glinka	id=g:872460
Gory Parshivyye	id=g:872462
Gora Kolchinskaya	id=g:872465
Gora Berkut	id=g:872467
Gory Kamennyye	id=g:872468
Gora Molkobykina	id=g:872469
Ozero Pustoye	id=g:872481
Tashyelga	id=g:872482
Chërnaya	id=g:872484
Berestik	id=g:872502
Polenovskiy	id=g:872504
Novourlyandinskiy	id=g:872505
Novokopalovskiy	id=g:872506
Khrebet Tashtuzyak	id=g:872507
Gory Leonovskiye	id=g:872508
Gora Bol’shaya	id=g:872509
Mys Skala	id=g:872510
Gora Mokhnataya	id=g:872511
Gora Lukovaya	id=g:872512
Gora Krasnyy Kamen’	id=g:872513
Gory Urlyandinskiye	id=g:872514
Gory Samarinskiye	id=g:872515
Gory Sheludivyye	id=g:872516
Khlebinka	id=g:872517
Gora Antonova	id=g:872518
Bukhta Lovushka	id=g:872519
Zarechnyy	id=g:872520
Ozero Yelovoye	id=g:872521
Guba Chervyanaya	id=g:872522
Guba Korabel’naya	id=g:872523
Mys Yagodnyy	id=g:872524
Ruchey Mertvetskaya	id=g:872525
Ostrova Mertvetskiye	id=g:872526
Ozero Poperechnoye	id=g:872527
Ostrov Yaichnyy	id=g:872528
Guba Fedotovka	id=g:872529
Guba Plekhanova	id=g:872530
Ostrov Luda	id=g:872531
Ostrova Kharlovskiye Baklyshi	id=g:872532
Mys Krasnyy	id=g:872533
Guba Krasnaya	id=g:872534
Mys Mogil’nyy	id=g:872535
Guba Peskanets	id=g:872536
Mys Peskanets	id=g:872537
Mys Glyaden’	id=g:872538
Ozero Shirokoye	id=g:872539
Ostrov Sinëv	id=g:872540
Guba Shirokaya	id=g:872541
Ozero Chegodayevskoye	id=g:872542
Zolotoy	id=g:872543
Osetin	id=g:872544
Plodovyy	id=g:872545
Musagatka	id=g:872546
Raz”yezd Nomer 216	id=g:872547
Urochishche Kainsay	id=g:872548
Gora Zharly	id=g:872549
Balka Tastybutak	id=g:872550
Ozero Zhartykol’	id=g:872551
Karagachka	id=g:872552
Kiyma	id=g:872553
Balka Beskryuk	id=g:872554
Taubekty	id=g:872555
Ozero Kyzkol’	id=g:872556
Ozero Karasu	id=g:872557
Kumystobe	id=g:872558
Zhulamansay	id=g:872559
Stantsiya Terensay	id=g:872560
Ostanovochnyy Punkt 413 km	id=g:872561
Ostanovochnyy Punkt Adamovka	id=g:872562
Gora Zmeinaya	id=g:872563
Gora Neznayka	id=g:872564
Karasu	id=g:872565
Razvaliny Karamuryn	id=g:872566
Urochishche Shuburtau	id=g:872567
Urochishche Ovrazhnyy	id=g:872568
Balka Yakshiakzhar	id=g:872569
Zhangil’dinka	id=g:872570
Zheldybay	id=g:872571
Zhamanakzhar	id=g:872572
Kolodets Belyy	id=g:872573
Kolodets Nazarova	id=g:872574
Kainda	id=g:872575
Bazarbay	id=g:872576
Berëzovaya	id=g:872577
Balka Kaskaty	id=g:872578
Gora Mayak	id=g:872579
Stantsiya Shil’da	id=g:872580
Ostanovochnyy Punkt 435 km	id=g:872581
Ostanovochnyy Punkt 419 km	id=g:872582
Ostanovochnyy Punkt 15 km	id=g:872583
Stantsiya Rechnaya	id=g:872584
Ostanovochnyy Punkt 12 km	id=g:872585
Gora Vilesova	id=g:872586
Ostanovochnyy Punkt 8 km	id=g:872587
Nizhnyaya Satka	id=g:872588
Ostanovochnyy Punkt 1885 km	id=g:872589
Ostanovochnyy Punkt 1880 km	id=g:872590
Yedinover	id=g:872591
Chulkovka	id=g:872592
Gora Vtoraya Lipovaya	id=g:872593
Botevo	id=g:872594
Vtoraya Belaya	id=g:872595
Khrebet Zhukatau	id=g:872596
Khrebet Kazan-Salgan	id=g:872597
Khrebet Bashukty	id=g:872598
Gora Uary	id=g:872599
Postroyki	id=g:872600
Verkhniy Lopas	id=g:872601
Stantsiya Zhukatau	id=g:872602
Stantsiya Berdyaush	id=g:872603
Dal’niy	id=g:872604
Malyy Berdyaush	id=g:872605
Stantsiya Satka	id=g:872606
Gora Taynak	id=g:872607
Taynak	id=g:872608
Tundush	id=g:872609
Urtyushka	id=g:872610
Cheslavka	id=g:872611
Zmeinyye Gory	id=g:872612
Razvaliny Shubartau	id=g:872613
Urochishche Staraya Mechet’	id=g:872614
Kiseganka	id=g:872615
Lipovyye Gory	id=g:872616
Gora Ostraya Sopka	id=g:872617
Kamenka	id=g:872618
Chernorechenskiy Khrebet	id=g:872619
Detskiy Lager’ Berëzka	id=g:872620
Gubenka	id=g:872621
Peredovka	id=g:872622
Ostanovochnyy Punkt 1931 km	id=g:872623
Stantsiya Anosovo	id=g:872624
Gora Soltanka	id=g:872625
Gora Protopop	id=g:872626
Gora Itsyl	id=g:872627
Sukhokamenka	id=g:872628
Gora Malyy Taganay	id=g:872629
Khrebet Malyy Taganay	id=g:872630
Nazminskiy Khrebet	id=g:872631
Pushkinskiy	id=g:872632
Kirovskiy	id=g:872633
Ostanovochnyy Punkt 1948 km	id=g:872634
Gora Kostrominka	id=g:872635
Gora Ural’skaya Sopka	id=g:872636
Chërnaya	id=g:872637
Gagarina	id=g:872638
Degtyarka	id=g:872639
Suvorova	id=g:872640
Balashikha	id=g:872641
Bagrush	id=g:872642
Bagrush	id=g:872643
Gora Pervaya Sopka	id=g:872644
Kordon Tiunovskiy	id=g:872645
Poperechnaya	id=g:872646
Khrebet	id=g:872647
Gora Dal’nyaya Valezhnaya	id=g:872648
Cheslavka	id=g:872649
Terekhta	id=g:872650
Gora Kashkatau	id=g:872651
Gory Saryyak	id=g:872652
Gora Sarsyaktau	id=g:872653
Gora Akkashka	id=g:872654
Gora Lysaya	id=g:872655
Urochishche Svetlyy Klyuch	id=g:872656
Atarshinskaya Ferma	id=g:872657
Sakaldym	id=g:872658
Malyy Ik	id=g:872659
Gora Gil’magas	id=g:872660
Lyashchelga	id=g:872661
Sukhovo	id=g:872662
Beregovoy	id=g:872663
Kurga	id=g:872664
Staraya Arsha	id=g:872665
Kazarma Galkino	id=g:872666
Gora Dan’kova	id=g:872667
Khrebet Azyam	id=g:872668
Kazarma Vorob’yëva	id=g:872669
Morozovka	id=g:872670
Nikol’skiy	id=g:872671
Raz”yezd Dvizhenets	id=g:872672
Gora Kopanets	id=g:872673
Oktyabr’skiy	id=g:872674
Gora Mayaktau	id=g:872675
Bogoryak	id=g:872676
Prigorodnyy	id=g:872677
Gora Zakharova Shishka	id=g:872678
Gora Vyazovaya	id=g:872679
Letnik Bezymyannyy Klyuch	id=g:872680
Gory Maskarali	id=g:872681
Kusinskiye Pechi	id=g:872682
Kovali	id=g:872683
Gora Malyy Miass	id=g:872684
Gora Bol’shoy Miass	id=g:872685
Bol’shiye Badazhi	id=g:872686
Gora Sudomak	id=g:872687
Il’inka	id=g:872688
Gora Ryabinikha	id=g:872689
Yuvazhelga	id=g:872690
Gora Poval’naya	id=g:872691
Abdrakhmanova	id=g:872692
Karsanak	id=g:872693
Karsanak	id=g:872694
Gora Sova	id=g:872695
Gora Poperechnaya	id=g:872696
Gora Turatash	id=g:872697
Shumga Pervaya	id=g:872698
Khrebet Dolgiy Mys	id=g:872699
Urochishche Kialimskiy Kordon	id=g:872700
Gora Klenovaya	id=g:872701
Gora Karandash	id=g:872702
Gora Kamushek	id=g:872703
Gora Sokolinaya Sopka	id=g:872704
Gora Studënaya	id=g:872705
Khrebet Kurma	id=g:872706
Ufimka	id=g:872707
Merzela	id=g:872708
Kilgis	id=g:872709
Balka Sazdy	id=g:872711
Zimovka Dombarovskaya	id=g:872712
Balka Suly-Karagandy	id=g:872713
Rodnik Tasbulak	id=g:872714
Ozero Pishenkol’	id=g:872715
Ostrova Vargay	id=g:872716
Korga Chaishnaya	id=g:872717
Ozero Sal’noye	id=g:872718
Malaya Peschanka	id=g:872719
Banka Edzhent	id=g:872720
Ostrov Korabel’nyy	id=g:872721
Ostrov Popovskiy	id=g:872722
Ozero Popovskoye	id=g:872723
Guba Kislaya	id=g:872724
Guba Chistyakova	id=g:872725
Proliv Malaya Vorota	id=g:872726
Proliv Bol’shaya Vorota	id=g:872727
Ostrov Bol’shoy Alekseyev	id=g:872728
Ozero Peschanoye	id=g:872730
Glubokiy	id=g:872731
Zapadnaya	id=g:872733
Ozero Kochalovskoye	id=g:872734
Ozero Kashkarentsy	id=g:872735
Korsunskiy	id=g:872736
Startsev	id=g:872737
Ostrova Bol’shiye Kashkarantsy	id=g:872738
Ostrova Malyye Kashkarantsy	id=g:872739
Guba Kashkarantsy	id=g:872740
Guba Chervyanaya	id=g:872742
Zakhrebetnyy	id=g:872743
Gubnaya	id=g:872744
Chervyanoy	id=g:872745
Plotno	id=g:872746
Ozero Koryto	id=g:872747
Schwönau	id=g:872751
Blankenau	id=g:872752
Eisenbart	id=g:872753
Grünbaum	id=g:872754
Podewitten	id=g:872755
Willkühnen	id=g:872756
Worienen	id=g:872757
Forst Greiben	id=g:872758
Eichen	id=g:872759
Guba Peschanaya	id=g:872760
Urochishche Peschanyye Sopki	id=g:872761
Gora Anfal	id=g:872762
Urochishche Khapayevskiy Ostrov	id=g:872763
Malaya Kachkovka	id=g:872764
Urochishche Vysokaya Zemlya	id=g:872765
Guba Krivoy Ruchey	id=g:872766
Koshek Orlovskiye	id=g:872767
Adlig Kremitten	id=g:872768
Groß Pogirmen	id=g:872769
Danilovskiy	id=g:872770
Dolgaya Guba	id=g:872771
Lauth	id=g:872772
Izba Kuz’minskiye Novinka	id=g:872773
Kislokhinskiy	id=g:872774
Sollnicken	id=g:872775
Sopki Kon’kovskiye	id=g:872777
Ostrov Popov	id=g:872778
Urochishche Gremyakha	id=g:872779
Gremyakha	id=g:872780
Graventhien	id=g:872781
Staryy Mayak	id=g:872782
Ozero Razboynich’ye	id=g:872783
Klein Dexen	id=g:872784
Ozero Zolotushnoye	id=g:872785
Ozero Masseykovo	id=g:872786
Frisching	id=g:872787
Ozero Litovochnoye	id=g:872788
Ozero Peledochnoye	id=g:872789
Zolotukha	id=g:872790
Morzhovskiy	id=g:872791
Mys Mikhaylovskiy Nos	id=g:872792
Ozero Mikhaylovskoye	id=g:872793
Ozero Bol’shoye Chaich’ye	id=g:872794
Ozero Dolgoye	id=g:872795
Ozero Bol’shoye	id=g:872796
Ostrov Kuvshin	id=g:872797
Nakhtinskiy	id=g:872798
Shirokiy	id=g:872799
Sluchaynyy	id=g:872800
Ozero Ploskoye	id=g:872801
Ozero Bol’shoye Mokroye	id=g:872802
Mayditsa	id=g:872803
Ozero Dolgoye	id=g:872804
Ozero Upolzninskoye	id=g:872805
Ozero Kostyl’noye	id=g:872806
Ozero Bol’shoye Lebyazh’ye	id=g:872807
Ozero Yershovo	id=g:872808
Ozero Pelyadinnoye	id=g:872809
Ozero Nepskoye	id=g:872810
Izba Poslanka	id=g:872811
Ozero Voronovskoye	id=g:872812
Izba Voronova	id=g:872813
Malaya Kedovka	id=g:872814
Izby Malaya Kedovka	id=g:872815
Izba Svyaznaya	id=g:872816
Ozero Glubotskoye	id=g:872817
Ozero Kachalovskoye	id=g:872818
Guba Kachalovo Stanovishche	id=g:872819
Ostrov Smol’nyy	id=g:872820
Porogi Gur’yevatyy	id=g:872821
Ozero Travyanoye	id=g:872822
Zolomutskiy	id=g:872823
Ostrov Krasnyy Ostrovok	id=g:872824
Nemetskiy	id=g:872825
Anatol’yevskiy	id=g:872826
Khudoy	id=g:872827
Ozero Tolstomenskoye	id=g:872828
Izba Nizhnyaya Bachurikha	id=g:872829
Tolstomenka	id=g:872830
Mys Krasnaya Sed’ba	id=g:872831
Ozero Devkino	id=g:872832
Ozero Malokozlinskoye	id=g:872833
Bronitskiye Ozëra	id=g:872834
Sizhishchnyy Istok	id=g:872835
Mys Bronitskiy	id=g:872836
Izba Keretsa	id=g:872837
Reyd Keretskiy	id=g:872838
Izba Popikha	id=g:872839
Izba Sukhanikha	id=g:872840
Izba Navolochka	id=g:872841
Yërga	id=g:872842
Izba Travyanaya	id=g:872843
Mys Nikol’skiy	id=g:872844
Izba Spasskaya	id=g:872845
Izba Kosichikha	id=g:872846
Mys Zheleznyy Nos	id=g:872847
Mekhren’gin	id=g:872848
Izba Stolbikha	id=g:872849
Mys Kazarinovskiy	id=g:872850
Izba Kazarinovskaya	id=g:872851
Zimnyaya Zolotitsa	id=g:872852
Izba Bystritsa	id=g:872853
Ozero Puchinishnoye	id=g:872854
Malaya Tova	id=g:872855
Ozero Dolmatovo	id=g:872856
Ozero Medvezh’ye	id=g:872857
Urochishche Vorob’i	id=g:872858
Intsy	id=g:872859
Urochishche Talitsa	id=g:872860
Vyrubki	id=g:872861
Ostanovochnyy Punkt Plyusnikha	id=g:872862
Stantsiya Kuzino	id=g:872863
Stantsiya Markitasikha	id=g:872864
Stantsiya Sabik	id=g:872865
Ozero Nizhneye	id=g:872866
Syar’zenga	id=g:872867
Gora Lysaya	id=g:872868
Sopka	id=g:872869
Ozero Gumenichnoye	id=g:872870
Skala Kurochka	id=g:872871
Ozero Dolgoye	id=g:872872
Ozero Peschanoye	id=g:872873
Ozero Ostrovistoye	id=g:872874
Ozero Bol’shoye Chërtezhnoye	id=g:872875
Ozero Poperechnoye	id=g:872876
Kinzhugskiye Ozëra	id=g:872877
Izba Kinzhuga	id=g:872878
Unskiy Severnyy	id=g:872879
Gora Palakha	id=g:872880
Gora Bol’shaya Golova	id=g:872881
Mys Maymena	id=g:872882
Zayach’ya Kosa	id=g:872883
Ozero Rotominskoye	id=g:872884
Gora Osinovaya	id=g:872885
Gora Vysokaya	id=g:872886
Dar’inskiye Gory	id=g:872887
Gora Yelovaya	id=g:872888
Unskiy	id=g:872889
Izba Podorozhni	id=g:872890
Izba Sosnovka	id=g:872891
Izba Krasavik	id=g:872892
Gora Yakushina	id=g:872893
Polovinnyy	id=g:872894
Izba Krestovaya	id=g:872895
Gora Bunar	id=g:872896
Ozero Ploskoye	id=g:872897
Ozero Sredneye	id=g:872898
Krasnyye Gory	id=g:872899
Gora Pereval	id=g:872900
Gora Karabay	id=g:872901
Sharomskiye Gory	id=g:872902
Gora Chesnokovka	id=g:872903
Gora Yelevaya	id=g:872904
Gora Lipovaya	id=g:872905
Mys Plashkovskiy	id=g:872906
Izba Goveyka	id=g:872907
Mys Lodeyskiy	id=g:872908
Gorelyye Ozëra	id=g:872909
Izba Nikol’syaya	id=g:872910
Mys Nikol’skiy	id=g:872911
Izba Ludushki	id=g:872912
Moshnitsa	id=g:872913
Ozero Bol’shoye Nikitino	id=g:872914
Ozero Maloye Nikitino	id=g:872915
Ozero Zadneye	id=g:872916
Malaya Syarta	id=g:872917
Izba Bolotikha	id=g:872918
Izba Lukashikha	id=g:872919
Mys Upolzinskiy Navolok	id=g:872920
Izba Podmoshech’ya	id=g:872921
Izba Bol’shaya Dverstyanka	id=g:872922
Mezhevoy	id=g:872923
Volchiy	id=g:872924
Lukhanovskiye Ozëra	id=g:872925
Ozero Glubokye	id=g:872926
Izba Perti	id=g:872927
Ozero Verkhneye Mglinskoye	id=g:872928
Urochishche Sukhoye Ozero	id=g:872929
Urochishche Koroviy Nos	id=g:872930
Izby Turkiny	id=g:872931
Ozero Fiklistovo	id=g:872932
Ozero Ognëvo	id=g:872933
Ozero Nizhneye Mglinskoye	id=g:872934
Dikusha	id=g:872935
Izba Prelaya	id=g:872936
Prelaya	id=g:872937
Mezenskiy	id=g:872938
Urochishche Tri Ostrova	id=g:872939
Shchekinskiye Ozëra	id=g:872940
Urochishche Srednyaya Tret’	id=g:872941
Izba Mitinskaya	id=g:872942
Ozero Gornoye	id=g:872943
Zolotukha	id=g:872944
Litovka	id=g:872945
Rybnaya	id=g:872946
Ozero Maloye Chaich’ye	id=g:872947
Gora Gornovaya	id=g:872948
Ostrovistyye Ozëra	id=g:872949
Skala Chegan	id=g:872950
Gora Reli	id=g:872951
Gora Bagachitova	id=g:872952
Mys Oleniy Nos	id=g:872953
Babinskiye Ozëra	id=g:872954
Ozero Kamennoye	id=g:872955
Bol’shoy Ruchey	id=g:872956
Malaya Rubikha	id=g:872957
Bol’shaya Rubikha	id=g:872958
Ozero Rubikha	id=g:872959
Moroshechnyy	id=g:872960
Stolbovoy	id=g:872961
Abramovskiy	id=g:872962
Vysypnoy	id=g:872963
Peschanka	id=g:872964
Ludovka	id=g:872965
Listvenitsa	id=g:872966
Malaya Rechka	id=g:872967
Mys Kharin Nos	id=g:872968
Urochishche Vyrubki	id=g:872969
Urochishche Berëzovka	id=g:872970
Medvezhiy	id=g:872971
Manov	id=g:872972
Krivetskiy	id=g:872973
Gusevskiye Ozëra	id=g:872974
Gryaznovka	id=g:872975
Ostanovochnyy Punkt 204 km	id=g:872976
Ostanovochnyy Punkt Shest’desyat Pervyy Kvartal	id=g:872977
Ozero Yemetskoye	id=g:872978
Ozero Borovoye	id=g:872979
Yemetskiy	id=g:872980
Gusev	id=g:872981
Nosochnyy	id=g:872982
Ostanovochnyy Punkt 178 km	id=g:872983
Domashniy Istok	id=g:872984
Levin	id=g:872985
Ostanovochnyy Punkt Shpal’naya	id=g:872986
Ozero Bol’shoye	id=g:872987
Ozero Ruch’yevskoye	id=g:872988
Vol’chi Sopki	id=g:872989
Druzhnyy	id=g:872990
Koyditsa	id=g:872991
Ozero Koyditsa	id=g:872992
Ozero Opusknoye	id=g:872993
Yelovaya Vershina	id=g:872994
Glebushkina Vershina	id=g:872995
Sudovishnyy	id=g:872996
Roykha	id=g:872997
Lebedka	id=g:872998
Ozero Panovo	id=g:872999
Ozero Levino	id=g:873000
Sudovikha	id=g:873001
Ozero Beloye	id=g:873002
Ozero Kamennoye	id=g:873003
Pavlovskiy Kordon	id=g:873004
Shishimskiy Kordon	id=g:873005
Ostrov Shangostrov	id=g:873006
Ostrov Parigo	id=g:873007
Ostrov Okhlebikha	id=g:873008
Ozero Zheleznoye	id=g:873009
Ostrova Veresovki	id=g:873010
Guba Lebyazh’ya	id=g:873011
Ostrov Yaichnaya Luda	id=g:873012
Ozero Morzhovoye	id=g:873013
Ostrov Bol’shoy Valetov	id=g:873014
Ostrov Kiber-Luda	id=g:873015
Ostrov Krotovyy	id=g:873016
Polevaya Guba	id=g:873017
Ostrov Voroniy	id=g:873018
Ostrov Lukina Luda	id=g:873019
Ostrov Zelënaya Ludya	id=g:873020
Guba Stoykovskaya	id=g:873021
Guba Uzkaya	id=g:873022
Ozero Bol’shaya Yagolomba	id=g:873023
Ostrov Kozlov	id=g:873024
Ostrov Mogil’nyy	id=g:873025
Guba Kochkinskaya	id=g:873026
Ostrov Berëzovets	id=g:873027
Ozero Vilovatoye	id=g:873028
Mys Krasnyy	id=g:873029
Mys Mezhnyy	id=g:873030
Chërnyy Shishim	id=g:873031
Vostochnyy Shishim	id=g:873032
Sonreka	id=g:873033
Kazachiy Shishim	id=g:873034
Malyy Shishim	id=g:873035
Borovka	id=g:873036
Bol’shaya Dar’ya	id=g:873037
Severnaya Dar’ya	id=g:873038
Stanovaya	id=g:873039
Severnaya	id=g:873040
Maletka	id=g:873041
Strelka	id=g:873042
Yezhovskiy	id=g:873043
Lomovskiy	id=g:873044
Gora Malinovaya	id=g:873045
Ostrov Bol’shoy Gorelyy	id=g:873046
Bol’shoy Keretskiy Reyd	id=g:873047
Banka Borshovets	id=g:873048
Ostrov Vichennaya Luda	id=g:873049
Ostrov Sedlovataya Luda	id=g:873050
Ostrov Bol’shoy Andronin	id=g:873051
Ostrov Zelënaya Luda	id=g:873052
Proliv Sonostrovskaya Salma	id=g:873053
Ostrova Baklyshi	id=g:873054
Guba Karzh	id=g:873055
Khyamruchey	id=g:873056
Guba Ostrovskaya	id=g:873057
Ostrova Pil’skiye Ludy	id=g:873058
Gora Ostraya	id=g:873059
Gora Vysokaya	id=g:873060
Gora Kuliga	id=g:873061
Gora Borovaya	id=g:873062
Ostrov Kucherovskiy	id=g:873063
Gora Sutuk	id=g:873064
Gora Bilimbay	id=g:873065
Gora Sidorova	id=g:873066
Banka Naumikha	id=g:873067
Banka Severnaya	id=g:873068
Ostrov Asafiy	id=g:873069
Gora Sukharnaya	id=g:873070
Gora Yezhovaya	id=g:873071
Gora Parshina	id=g:873072
Gora Starukha	id=g:873073
Ostrov Krivoy	id=g:873074
Ostrov Malyy Yelovyy	id=g:873075
Ozero Maloye Fokinskoye	id=g:873076
Bol’shaya Yazhma	id=g:873077
Verkhnyaya Kut’ya	id=g:873078
Malaya Kut’ya	id=g:873079
Bol’shaya Lomovka	id=g:873080
Bushash	id=g:873081
Lomovka	id=g:873082
Kamenka	id=g:873083
Sakal’ya	id=g:873084
Ozero Bol’shoye Novinochnoye	id=g:873085
Ozero Maloye Novinochnoye	id=g:873086
Tesnitsyn	id=g:873087
Grubyy	id=g:873088
Ozero Kamennoye	id=g:873089
Sopka Kamennaya	id=g:873090
Ozero Mutnoye	id=g:873091
Mutnaya	id=g:873092
Sopka Dvoyniki	id=g:873093
Kuren’ga	id=g:873094
Sopka Letnik	id=g:873095
Sopka Pestsovaya	id=g:873096
Pestsovaya	id=g:873097
Bol’shaya Pestsovaya	id=g:873098
Kholm Ostraya Sopka	id=g:873099
Sopka Kruglaya	id=g:873100
Bolbanskaya Sopka	id=g:873101
Gusinyye Ozëra	id=g:873102
Malaya Krynka	id=g:873103
Sopka Myazgina	id=g:873104
Ruchey Malyy Myazgin	id=g:873105
Ruchey Bol’shoy Myazgin	id=g:873106
Mys Tolstyk	id=g:873107
Urochishche Korvezhskaya Izba	id=g:873108
Sopka Pologaya	id=g:873109
Kordon	id=g:873110
Banki Tabuyevy	id=g:873111
Nidercheyakha	id=g:873112
Ural	id=g:873113
Gora Lis’ya	id=g:873114
Kosaya	id=g:873115
Utka	id=g:873116
Ruchey Kosoy	id=g:873117
Krasnogvardeyskiy	id=g:873118
Gal’yanka	id=g:873119
Kaninskiy	id=g:873120
Golyy Kamen’	id=g:873121
Baklushina	id=g:873122
Uralets	id=g:873123
Ostanovochnyy Punkt Dunity	id=g:873124
Stantsiya Verkhne-Tagil’skaya	id=g:873125
Stantsiya Yezhova	id=g:873126
Gora Yur’yev Kamen’	id=g:873127
Gora Belaya	id=g:873128
Gora Malaya Shul’tikha	id=g:873129
Gora Poperechnaya	id=g:873130
Gora Shirokaya	id=g:873131
Gora Zol’niki	id=g:873132
Gora Golaya	id=g:873133
Gora Chauzh	id=g:873134
Ostanovochnyy Punkt Chauzh	id=g:873135
Bobrovka	id=g:873136
Malyye Tany	id=g:873137
Yegorova Kamenka	id=g:873138
Prud Sredniy	id=g:873139
