Belleville Locks and Dam	id=g:4798574
Bellmeade	id=g:4798575
Bellomy Chapel	id=g:4798576
Bells Creek	id=g:4798577
Bell School (historical)	id=g:4798578
Bells Fishing Lake Dam	id=g:4798579
Bells Ford	id=g:4798580
Bells Hollow	id=g:4798581
Bells Creek Church	id=g:4798582
Bells Run	id=g:4798583
Bellton	id=g:4798584
Bellview	id=g:4798585
Fairmont Fire Department Station 4 Bellview	id=g:4798586
Bellwood	id=g:4798587
Belmont	id=g:4798588
Belmont Baptist Church	id=g:4798589
Belmont Elementary School	id=g:4798590
Belmont Park	id=g:4798591
Belmont School (historical)	id=g:4798592
Belmont School (historical)	id=g:4798593
Belmont United Methodist Church	id=g:4798594
Belo	id=g:4798595
Belt Cemetery	id=g:4798596
Belva	id=g:4798597
Belvedere Heights	id=g:4798598
Belvil Elementary School (historical)	id=g:4798599
Belvil Park	id=g:4798600
Bemis	id=g:4798601
Ben Creek	id=g:4798602
Bellton Mill School (historical)	id=g:4798603
Ben Creek School (historical)	id=g:4798604
Ben Dale	id=g:4798605
Ben Dale School (historical)	id=g:4798606
Ben Franklin Career Center	id=g:4798607
Ben Haley Branch	id=g:4798608
Ben Creek Mountain	id=g:4798609
Ben Run	id=g:4798610
Benbush	id=g:4798611
Bend Branch	id=g:4798612
Ben Lomond	id=g:4798613
Bend Branch	id=g:4798614
The Bend	id=g:4798615
Bendale Lake	id=g:4798616
Bendale United Methodist Church	id=g:4798617
Bender Run	id=g:4798618
Bendale Dam	id=g:4798619
Bendolph	id=g:4798620
Benedum Airport	id=g:4798621
Benedum Civic Center	id=g:4798622
Benedum Hall	id=g:4798623
Benedum Industrial Park	id=g:4798624
Benedum Library	id=g:4798625
Beni Kedem Temple	id=g:4798626
Bennefield Cemetery	id=g:4798627
Bennefield Prong	id=g:4798628
Bender Run Church	id=g:4798629
Bennett	id=g:4798630
Bennett (historical)	id=g:4798631
Bennett Cemetery	id=g:4798632
Bennett Cemetery	id=g:4798633
Bennett Church	id=g:4798634
Bennett Fork	id=g:4798635
Bennet Rock Trail	id=g:4798636
Bennett Memorial Chapel United Methodist Church	id=g:4798637
Bennett Mountain	id=g:4798638
Bennett Run	id=g:4798639
Bennett Gap	id=g:4798640
Bennett Run	id=g:4798641
Bennett Run	id=g:4798642
Bennett Run	id=g:4798643
Bennett Run	id=g:4798644
Bennett Run	id=g:4798645
Bennett School (historical)	id=g:4798646
Bennett Spring	id=g:4798647
Bennett Spring	id=g:4798648
Bennetts Camp (historical)	id=g:4798649
Benny Branch	id=g:4798650
Bennett School (historical)	id=g:4798651
Bens Flats	id=g:4798652
Bens Fork	id=g:4798653
Benny Run	id=g:4798654
Bens Knob	id=g:4798655
Bens Knob Lookout Tower	id=g:4798656
Bens Ridge	id=g:4798657
Bens Run	id=g:4798658
Bens Run	id=g:4798659
Bens Run	id=g:4798660
Bens Hill	id=g:4798661
Bens Run	id=g:4798662
Bens Run	id=g:4798663
Bens Run	id=g:4798664
Bens Run Post Office	id=g:4798665
Bensenhaver Spring	id=g:4798666
Benson	id=g:4798667
Benson School (historical)	id=g:4798668
Bent Mountain	id=g:4798669
Bentley Y (historical)	id=g:4798670
Bentons Ferry	id=g:4798671
Bentons Ferry United Methodist Church	id=g:4798672
Bentree	id=g:4798673
Bentree Post Office	id=g:4798674
Benwood School (historical)	id=g:4798675
Benwood-McMechen Public Library	id=g:4798676
Berea	id=g:4798677
Berea Methodist Church	id=g:4798678
Berea Post Office	id=g:4798679
Berean Church	id=g:4798680
Bergdoll School (historical)	id=g:4798681
Bergoo	id=g:4798682
Bergoo Creek	id=g:4798683
Bens Run	id=g:4798684
Berkeley	id=g:4798685
Berkeley County	id=g:4798686
Berkeley County Courthouse	id=g:4798687
Berkeley County Home (historical)	id=g:4798688
Berkeley County Jail	id=g:4798689
Berkeley Heights Elementary School	id=g:4798690
Berkeley Place	id=g:4798691
Berkeley Place United Methodist Church	id=g:4798692
Berkeley Plaza Shopping Center	id=g:4798693
Berkeley Run	id=g:4798694
Berkeley School (historical)	id=g:4798695
Berkeley Springs	id=g:4798696
Berkeley Springs	id=g:4798697
Berkeley Springs Junior-Senior High School (historical)	id=g:4798698
Berkeley Springs Post Office	id=g:4798699
Berkeley Springs Presbyterian Church	id=g:4798700
Berkeley Springs State Park	id=g:4798701
Berkswitch Run	id=g:4798702
Bergoo Post Office	id=g:4798703
Bernardstown	id=g:4798704
Bernie (historical)	id=g:4798705
Berry Branch	id=g:4798706
Berry Branch	id=g:4798707
Berlin	id=g:4798708
Berry Branch Dam	id=g:4798709
Berry Branch School (historical)	id=g:4798710
Berry Cemetery	id=g:4798711
Berry Cemetery	id=g:4798712
Berry Chapel	id=g:4798713
Berry Flats	id=g:4798714
Berry Fork	id=g:4798715
Berry Branch Church	id=g:4798716
Berry Hollow	id=g:4798717
Berry Hollow	id=g:4798718
Berry Run	id=g:4798719
Berry Run	id=g:4798720
Berry Run	id=g:4798721
Berry Siding	id=g:4798722
Berryburg Junction	id=g:4798723
Berryburg School (historical)	id=g:4798724
Berryville	id=g:4798725
Bert	id=g:4798726
Bertha	id=g:4798727
Bertha Hill	id=g:4798728
Bertha Hill Presbyterian Church	id=g:4798729
Bertha School (historical)	id=g:4798730
Berwind	id=g:4798731
Berwind Elementary School	id=g:4798732
Berwind Lake Dam	id=g:4798733
Berwind Lake Wildlife Management Area	id=g:4798734
Berwind Post Office	id=g:4798735
Beryl	id=g:4798736
Besoco	id=g:4798737
Bess Cemetery	id=g:4798738
Bessemer	id=g:4798739
Bessie Meadows Spring	id=g:4798740
Bethany Baptist Church	id=g:4798741
Bethany Baptist Church	id=g:4798742
Bethany Cemetery	id=g:4798743
Bethany Christian Church	id=g:4798744
Bethany Christian Church Cemetery	id=g:4798745
Bethany Baptist Church	id=g:4798746
Bethany Church	id=g:4798747
Bethany Church	id=g:4798748
Bethany Church	id=g:4798749
Bethany Church	id=g:4798750
Bethany Church	id=g:4798751
Bethany Church	id=g:4798752
Bethany United Methodist Church	id=g:4798753
Bethel (historical)	id=g:4798754
Bethel African Methodist Episcopal Church	id=g:4798755
Bethel African Methodist Episcopal Church	id=g:4798756
Bethel African Methodist Episcopal Church	id=g:4798757
Bethel African Methodist Episcopal Church	id=g:4798758
Bethel Baptist Church	id=g:4798759
Bethel Baptist Church	id=g:4798760
Bethel Baptist Church Cemetery	id=g:4798761
Bethel Cemetery	id=g:4798762
Bethel Cemetery	id=g:4798763
Bethel Cemetery	id=g:4798764
Bethel Cemetery	id=g:4798765
Bethel Cemetery	id=g:4798766
Bethel Cemetery	id=g:4798767
Bethel Cemetery	id=g:4798768
Bethel Cemetery	id=g:4798769
Bethel Cemetery	id=g:4798770
Bethel Cemetery	id=g:4798771
Bethel Cemetery	id=g:4798772
Bethel Cemetery	id=g:4798773
Bethel Chapel	id=g:4798774
Bethel Chapel	id=g:4798775
Bethel Chapel	id=g:4798776
Bethel Christian Fellowship Church	id=g:4798777
Bethel Church	id=g:4798778
Bethel Church	id=g:4798779
Bethel Church	id=g:4798780
Bethel Church	id=g:4798781
Bethel Baptist Church	id=g:4798782
Bethel Baptist Church	id=g:4798783
Bethel Church	id=g:4798784
Bethel Church	id=g:4798785
Kirby Bethel Baptist Church	id=g:4798786
Bethel Church	id=g:4798787
Bethel Church	id=g:4798788
Bethel Church	id=g:4798789
Bethel Church	id=g:4798790
Bethel Baptist Church	id=g:4798791
Bethel Church	id=g:4798792
Bethel Church	id=g:4798793
Bethel Church	id=g:4798794
Bethel Church	id=g:4798795
Bethel Baptist Church	id=g:4798796
