Salancaur Jate	id=g:2370233
Salancaur Fula	id=g:2370234
Salancaur Cul	id=g:2370235
Salanca	id=g:2370236
Salanca	id=g:2370237
Salamina	id=g:2370238
Rio Salame	id=g:2370239
Rio Salàgí	id=g:2370240
Rio Salael	id=g:2370241
Rio de Salabà	id=g:2370242
Rio Salabá	id=g:2370243
Salabà	id=g:2370244
Salà	id=g:2370245
Rio Sajuma	id=g:2370246
Rio de Sajã	id=g:2370247
Sajã	id=g:2370248
Rio Saíta	id=g:2370249
Rio Saído	id=g:2370250
Rio Saído	id=g:2370251
Ilhéus Saído	id=g:2370252
Saiamcutoto	id=g:2370253
Saiamcôtoto	id=g:2370254
Rio Sahol	id=g:2370255
Rio de Sagoià	id=g:2370256
Sagoià	id=g:2370257
Vendu Sagar	id=g:2370258
Rio de Sagar	id=g:2370259
Sagar	id=g:2370260
Rio Safo	id=g:2370261
Rio de Safim	id=g:2370262
Safim	id=g:2370263
Rio Safairo	id=g:2370264
Sádejar de Naga	id=g:2370265
Sádejar de Binar	id=g:2370266
Rio Sacutáiel	id=g:2370267
Rio Sáchà	id=g:2370268
Rio Sáchà	id=g:2370269
Rio Sacara	id=g:2370270
Mato de Sacaio	id=g:2370271
Sabuiacunda	id=g:2370272
Sabere Quebegi	id=g:2370273
Sabere Capege	id=g:2370274
Rio de Sabérè	id=g:2370275
Sabérè	id=g:2370276
Rio Sabeque	id=g:2370277
Rio Sababi	id=g:2370278
Rio de Sabá	id=g:2370279
Sábà	id=g:2370280
Rio de Sàala	id=g:2370281
Sàala	id=g:2370282
Rio Rumo	id=g:2370283
Rucuto	id=g:2370284
Rucuto	id=g:2370285
Ilha de Rubane	id=g:2370286
Rio Ruba	id=g:2370287
Ilha Roxa	id=g:2370288
Rossum Ôle	id=g:2370289
Rossum	id=g:2370290
Rossum	id=g:2370291
Rossum	id=g:2370292
Rosa	id=g:2370293
Dongol Rondè	id=g:2370294
Roncò	id=g:2370295
Rofine	id=g:2370296
Rio Rôdo	id=g:2370297
Roca Esperança	id=g:2370298
Baixos do Rio Grande	id=g:2370299
Rio de Rinhana	id=g:2370300
Rinhana	id=g:2370301
Rio Reubê	id=g:2370302
Rio Rentès	id=g:2370303
Rio Reminche	id=g:2370304
Rio Rem	id=g:2370305
Reino de Tor	id=g:2370306
Reino de Safim	id=g:2370307
Reino de Quecete	id=g:2370308
Reino de Pintâmpil	id=g:2370309
Rio do Reino de Jeta	id=g:2370310
Reino de Jal	id=g:2370311
Reino de Intim	id=g:2370312
Reino de Indafe	id=g:2370313
Reino de Bor	id=g:2370314
Reino de Bissalanca	id=g:2370315
Reino de Bijemita	id=g:2370316
Reino de Bandim	id=g:2370317
Reino de Antula	id=g:2370318
Ilhéu do Rei	id=g:2370319
Recubá	id=g:2370320
Rauna	id=g:2370321
Rio Rata	id=g:2370322
Rio Raque	id=g:2370323
Rio Rapaquelel	id=g:2370324
Rio Rafa	id=g:2370325
Ponta Rabo de Peixe	id=g:2370326
Rio Rabinal	id=g:2370327
Rio Rabate	id=g:2370328
Râba	id=g:2370329
Quixangue	id=g:2370330
Quiuta	id=g:2370331
Rio Quitanjabô	id=g:2370332
Quitande	id=g:2370333
Rio de Quitamo	id=g:2370334
Quitamo	id=g:2370335
Quitaiá	id=g:2370336
Rio de Quissir	id=g:2370337
Quissir	id=g:2370338
Quissibé	id=g:2370339
Kissen	id=g:2370340
Felo Quissem	id=g:2370341
Quissem	id=g:2370342
Quissem	id=g:2370343
Kagboum	id=g:2370344
Rio de Quissanque	id=g:2370345
Quissanque	id=g:2370346
Rio Quirimane	id=g:2370347
Rio de Quirafo	id=g:2370348
Quirafo	id=g:2370349
Rio Quiquite	id=g:2370350
Rio Quiquili	id=g:2370351
Quique	id=g:2370352
Paravi Niabi	id=g:2370353
Quintungul	id=g:2370354
Quintáfine	id=g:2370355
Quinjema	id=g:2370356
Rio Quinhiqué	id=g:2370357
Quinhámel	id=g:2370358
Quinchana	id=g:2370359
Quinara	id=g:2370360
Quilum	id=g:2370361
Rio Quiliquili	id=g:2370362
Quijim	id=g:2370364
Rio de Quijem	id=g:2370365
Quijem	id=g:2370366
Rio de Quigiba	id=g:2370367
Quigiba	id=g:2370368
Rio Quife	id=g:2370369
Rio Quidora	id=g:2370370
Rio Quidinga	id=g:2370371
Quidinga	id=g:2370372
Quide	id=g:2370373
Rio Quibunde	id=g:2370374
Felo Quibunde	id=g:2370375
Quibir	id=g:2370376
Quibir	id=g:2370377
Quibil	id=g:2370378
Rápidos de Quibaba	id=g:2370379
Rio Quibã	id=g:2370380
Quiassé	id=g:2370381
Quiassé	id=g:2370382
Qui	id=g:2370383
Qui	id=g:2370384
Rio Quêuol	id=g:2370385
Rio Quêuol	id=g:2370386
Rio Quêuol	id=g:2370387
Rio Quêuol	id=g:2370388
Queuel Lei	id=g:2370389
Rio Queuel	id=g:2370390
Quêuel	id=g:2370391
Queuel	id=g:2370392
Vendu Quéuè	id=g:2370393
Felo Quèué	id=g:2370394
Rio Quetura	id=g:2370395
Quetubâ	id=g:2370396
Quetene	id=g:2370397
Quete	id=g:2370398
Rio Quetaxé	id=g:2370399
Quésser	id=g:2370400
Quesse	id=g:2370401
Quessasse	id=g:2370402
Quessaque	id=g:2370403
Rio Quêssano	id=g:2370404
Quessana	id=g:2370405
Rio Quesija	id=g:2370406
Querunguel Papel	id=g:2370407
Querunguel Mancanha	id=g:2370408
Rio Queruane	id=g:2370409
Queruane	id=g:2370410
Rio Quérol	id=g:2370411
Quérol	id=g:2370412
Queroane	id=g:2370413
Queroane	id=g:2370414
Queroane	id=g:2370415
Queroane	id=g:2370416
Queroane	id=g:2370417
Querique	id=g:2370418
Querim	id=g:2370419
Quèrèuane	id=g:2370420
Querene	id=g:2370421
Querelento	id=g:2370422
Ilhéu de Quérè	id=g:2370423
Ilhéu de Quérè	id=g:2370424
Quérè	id=g:2370425
Queré	id=g:2370426
Queré	id=g:2370427
Quérè	id=g:2370428
Rio Quercabessam	id=g:2370429
Quequeque	id=g:2370430
Quepol	id=g:2370431
Quenticó	id=g:2370432
Rio Quentem	id=g:2370433
Quenhetó	id=g:2370434
Quenhequenheto	id=g:2370435
Quenhatò	id=g:2370436
Quenhato	id=g:2370437
Quenhaque	id=g:2370438
Quenhaque	id=g:2370439
Quenhaque	id=g:2370440
Quenhaque	id=g:2370441
Quenhaque	id=g:2370442
Quenhanque	id=g:2370443
Rio Quenha	id=g:2370444
Rio Quènèuol	id=g:2370445
Rio Quenéuol	id=g:2370446
Quenem	id=g:2370447
Quenejara	id=g:2370448
Rio Queneco	id=g:2370449
Dongol Quenebá	id=g:2370450
Quénebà	id=g:2370451
Quenebà	id=g:2370452
Quénebà	id=g:2370453
Quenebá	id=g:2370454
Quenebà	id=g:2370455
Quendò	id=g:2370456
Felo Quemberá	id=g:2370457
Quelele	id=g:2370458
Rio de Quelé	id=g:2370459
Rio Queiai	id=g:2370460
Queficine	id=g:2370461
Quedanga	id=g:2370462
Rio Quecutel	id=g:2370463
Quecutel	id=g:2370464
Quecuta	id=g:2370465
Quecuta	id=g:2370466
Rio de Quecete	id=g:2370467
Quecete	id=g:2370468
Quecene	id=g:2370469
Queca	id=g:2370470
Rio Quèbube	id=g:2370471
Dongol Quèbube	id=g:2370472
Quebo	id=g:2370473
Rio Quebèuol	id=g:2370474
Rio de Queber	id=g:2370475
Queber	id=g:2370476
Quebel	id=g:2370477
Rio Quèbèjèum	id=g:2370478
Rio Quebèiel	id=g:2370479
Quèbègi	id=g:2370480
Rio de Quebá Jilã	id=g:2370481
Quebá Jilã	id=g:2370482
Quebacó	id=g:2370483
Quebaca	id=g:2370484
Quartel	id=g:2370485
Rio Pussoguel	id=g:2370486
Vendu Purómala	id=g:2370487
Rio de Purómala	id=g:2370488
Purómala	id=g:2370489
Purenha	id=g:2370490
Pupal	id=g:2370491
Rio Puoro	id=g:2370492
Pungonha	id=g:2370493
Pungã	id=g:2370494
Pundame	id=g:2370495
Pundame	id=g:2370496
Punconche	id=g:2370497
Ilhéu de Pumoune	id=g:2370498
Pumôa	id=g:2370499
Rio Pumboro	id=g:2370500
Rio Pumaná	id=g:2370501
Rio Pulom	id=g:2370502
Pujunguto	id=g:2370503
Rio Puixe	id=g:2370504
Rio Puito	id=g:2370505
Pugurgur	id=g:2370506
Rio Puenche	id=g:2370507
Rio Pucuna	id=g:2370508
Rio Pucama	id=g:2370509
Rio de Pubul	id=g:2370510
Pubosse	id=g:2370511
Rio Puache	id=g:2370512
Rio de Prite	id=g:2370513
Prite	id=g:2370514
Priame de Cima	id=g:2370515
Priame de Baixo	id=g:2370516
Priame	id=g:2370517
Priame	id=g:2370518
Ponta do Preço Leve	id=g:2370519
Preço Leve	id=g:2370520
Baía das Prainhas	id=g:2370521
Portinho da Prainha	id=g:2370522
Ponta Prainha	id=g:2370523
Praça de Bandim	id=g:2370524
Prábis	id=g:2370525
Rio Poxiuco	id=g:2370526
Rio Pova	id=g:2370527
Rio Potaque	id=g:2370528
Portugal	id=g:2370529
Portugal	id=g:2370530
