Kårkulla	id=g:841732
Pölsböle	id=g:841733
Kålaxviken	id=g:841734
Karhuniemi	id=g:841735
Suninsalmi	id=g:841736
Bollböle	id=g:841737
Vidkullaviken	id=g:841738
Suninkulma	id=g:841739
Pihlavankari	id=g:841740
Ratsula	id=g:841741
Sahanlahti	id=g:841742
Kuivanen	id=g:841743
Ristikari	id=g:841744
Raaka	id=g:841745
Iso Koiluoto	id=g:841746
Marjakarit	id=g:841747
Karjaluoto	id=g:841748
Tammisluoto	id=g:841749
Vääräkarit	id=g:841750
Vääränkarinkurkku	id=g:841751
Hiri	id=g:841752
Ruolahti	id=g:841753
Suikkila	id=g:841754
Pohjasalmi	id=g:841755
Arkkuvuori	id=g:841756
Paskalahti	id=g:841757
Kaastla	id=g:841758
Kuralanjärvi	id=g:841759
Ahteentaka	id=g:841760
Viluvuori	id=g:841761
Riiaistenjärvi	id=g:841762
Mainiomäki	id=g:841763
Pikku-Nuikko	id=g:841764
Nuikonvuori	id=g:841765
Kirkkojärvi	id=g:841766
Kirkkolahti	id=g:841767
Maskulainen	id=g:841768
Monola	id=g:841769
Vähäsalmi	id=g:841770
Kirkkosalmi	id=g:841771
Kuivakari	id=g:841772
Petäkari	id=g:841773
Karhuaukko	id=g:841774
Karhunpää	id=g:841775
Kuulinen	id=g:841776
Anttiskauri	id=g:841777
Kaarnitta	id=g:841778
Pitkäkari	id=g:841779
Vepsä	id=g:841780
Kutuluoto	id=g:841781
Samppasuntti	id=g:841782
Kuivakari	id=g:841783
Kulkkilanranta	id=g:841784
Neponaukko	id=g:841785
Nepo	id=g:841786
Kulkkilanlahti	id=g:841787
Tammisto	id=g:841788
Uusikylä	id=g:841789
Haarlansuntti	id=g:841790
Pohjaniitty	id=g:841791
Kirkkosuntti	id=g:841792
Samppa	id=g:841793
Satava	id=g:841794
Isosaari	id=g:841795
Karjaluoto	id=g:841796
Haarla	id=g:841797
Vastmäki	id=g:841798
Friskala	id=g:841799
Friskalanlahti	id=g:841800
Iso-Vihtilä	id=g:841801
Vihtilänsalmi	id=g:841802
Kulho	id=g:841803
Nunnavuori	id=g:841804
Armonlaakso	id=g:841805
Pohjoissalmi	id=g:841806
Papinsaari	id=g:841807
Pitkäsalmi	id=g:841808
Torppala	id=g:841809
Lemunaukko	id=g:841810
Vuolahti	id=g:841811
Kusto Sund	id=g:841812
Koristo	id=g:841813
Hovipelto	id=g:841814
Empo	id=g:841815
Långholm	id=g:841816
Kaitvesi	id=g:841817
Sahannokka	id=g:841818
Lyhtyholma	id=g:841819
Jauhosaari	id=g:841820
Kukkarinsalmi	id=g:841821
Fiskarinsuntti	id=g:841822
Riitluoto	id=g:841823
Pohjanlahti	id=g:841824
Tammisluodet	id=g:841825
Laattaskari	id=g:841826
Laisaari	id=g:841827
Laisaarenaukko	id=g:841828
Puhkala	id=g:841829
Lohi	id=g:841830
Hunkeri	id=g:841831
Pahaluoto	id=g:841832
Nupinpää	id=g:841833
Niemenpää	id=g:841834
Kunstenniemi	id=g:841835
Iso-Pässi	id=g:841836
Liianmaa	id=g:841837
Ajolanlahti	id=g:841838
Kalluoto	id=g:841839
Kiimaniemi	id=g:841840
Yittistenjärvi	id=g:841841
Kolkka	id=g:841842
Päkinniemi	id=g:841843
Kurala	id=g:841844
Paskaperänjärvi	id=g:841845
Leikkistenjärvi	id=g:841846
Leiklahdenjärvi	id=g:841847
Ruokorauma	id=g:841849
Ruokorauma	id=g:841850
Peräluoto	id=g:841851
Pirttilahti	id=g:841852
Petkellahti	id=g:841853
Kirstilä	id=g:841854
Iso-Tärpänä	id=g:841855
Tärpänänaukko	id=g:841856
Iso-Harte	id=g:841857
Jaakkola	id=g:841858
Lapilansalmi	id=g:841859
Pitkäluoto	id=g:841860
Vuojus	id=g:841861
Palva	id=g:841862
Kolkka	id=g:841863
Saaronniemi	id=g:841864
Kukkarokivi	id=g:841865
Kuva Udde	id=g:841866
Santalanlahti	id=g:841867
Iso-Kaskinen	id=g:841868
Viittakari	id=g:841869
Krottilanlahti	id=g:841870
Oriniemi	id=g:841871
Kommonaukko	id=g:841872
Särkilahti	id=g:841873
Pukinsalmi	id=g:841874
Marjamäki	id=g:841875
Häppilä	id=g:841876
Illoinen	id=g:841877
Pikisaari	id=g:841878
Toijainen	id=g:841879
Lauttaranta	id=g:841880
Kukkola	id=g:841881
Korppolaismäki	id=g:841882
Pihlajaniemi	id=g:841883
Moikoinen	id=g:841884
Pitkäsalmi	id=g:841885
Puistomäki	id=g:841886
Vähä-Heikkilä	id=g:841887
Luolavuori	id=g:841888
Mäntymäki	id=g:841889
Vasaramäki	id=g:841890
Katariina	id=g:841891
Peltola	id=g:841892
Harittu	id=g:841893
Koivula	id=g:841894
Piispanristi	id=g:841895
Auvainen	id=g:841896
Huhkola	id=g:841897
Hovirinta	id=g:841898
Nummenniitty	id=g:841899
Vyyryläisenmäki	id=g:841900
Kappelinmäki	id=g:841901
Veitenmäki	id=g:841902
Kesämaki	id=g:841903
Rauhalinna	id=g:841904
Hiiskanpelto	id=g:841905
Voivala	id=g:841906
Rojola	id=g:841907
Piikkiönlahti	id=g:841908
Hautluoto	id=g:841909
Huhtluoto	id=g:841910
Jänessaari	id=g:841911
Huhtkari	id=g:841912
Iso-Tyynes	id=g:841913
Yllänpäänaukko	id=g:841914
Vähäpaasi	id=g:841915
Isopaasi	id=g:841916
Niittuluoto	id=g:841917
Kuusiset	id=g:841918
Kytomaa	id=g:841919
Kuusinen	id=g:841920
Haapaluoto	id=g:841921
Raumaluoto	id=g:841922
Matalluoto	id=g:841923
Huhdanpää	id=g:841924
Matinlahti	id=g:841925
Koira-Aukko	id=g:841926
Letonniemi	id=g:841927
Hevosluoto	id=g:841928
Koppelinperä	id=g:841929
Mulliniemi	id=g:841930
Julliniemi	id=g:841931
Sannaistenlahti	id=g:841932
Kaasavuori	id=g:841933
Kukolainen	id=g:841934
Kaukola	id=g:841935
Villivuori	id=g:841936
Taattistenjärvi	id=g:841937
Hellemaa	id=g:841938
Järvensuu	id=g:841939
Särkkä	id=g:841940
Särkänsalmi	id=g:841941
Tanilanaukko	id=g:841942
Kotkanaukko	id=g:841943
Matalahti	id=g:841944
Inttilä	id=g:841945
Saksila	id=g:841946
Viiala	id=g:841947
Kuivalahti	id=g:841948
Miekkula	id=g:841949
Herttula	id=g:841950
Tamminiemi	id=g:841951
Ajonpää	id=g:841952
Vähä-Kaskinen	id=g:841953
Viheriäistenaukko	id=g:841954
Kaanaa	id=g:841955
Raisionlahti	id=g:841956
Ankkurikylä	id=g:841957
Pahaniemi	id=g:841958
Kähäri	id=g:841959
Raunistula	id=g:841960
Kupittaa	id=g:841961
Itäharju	id=g:841962
Nummi	id=g:841963
Kurala	id=g:841964
Pääskyvuori	id=g:841965
Kohmo	id=g:841966
Iso-Heikkilä	id=g:841967
Varissuo	id=g:841968
Kultanummi	id=g:841969
Muurassuo	id=g:841970
Lauste	id=g:841971
Vaala	id=g:841972
Lähteenmäki	id=g:841973
Littoinen	id=g:841974
Pyydysmäki	id=g:841975
Nunna	id=g:841976
Kellarimäki	id=g:841977
Moskalanmäki	id=g:841978
Suopohja	id=g:841979
Ravaksenkari	id=g:841980
Kainiemi	id=g:841981
Lahdenperä	id=g:841982
Annanaukko	id=g:841983
Mälikkälä	id=g:841984
Myllypelto	id=g:841985
Harmatti	id=g:841986
Karjaluoto	id=g:841987
Kuuttoniemi	id=g:841988
Vilperi	id=g:841989
Iso-Hanhi	id=g:841990
Jokilanlahti	id=g:841991
Leikkiluoto	id=g:841992
Vuohiluoto	id=g:841993
Antti	id=g:841994
Luuta	id=g:841995
Pöttäniemi	id=g:841996
Raudustenselkä	id=g:841997
Köylijärvi	id=g:841998
Horja	id=g:841999
Kirkonsalmi	id=g:842000
Kanavuori	id=g:842001
Mustike	id=g:842002
Vaivio	id=g:842003
Kilpi	id=g:842004
Santaperänaukko	id=g:842005
Kaidansalmi	id=g:842006
Kaita	id=g:842007
Auva	id=g:842008
Matalluoto	id=g:842009
Latonpää	id=g:842010
Riihiluoto	id=g:842011
Katavaluoto	id=g:842012
Kinttaanluodot	id=g:842013
Keitilä	id=g:842014
Kunnainen	id=g:842015
Naantalinaukko	id=g:842016
Våski	id=g:842017
Muninpää	id=g:842018
Pirttiluoto	id=g:842019
Luikkionlahti	id=g:842020
Taimo	id=g:842021
Väinölä	id=g:842022
Ruona	id=g:842023
Luikkio	id=g:842024
Riistavuori	id=g:842025
Suopelto	id=g:842026
Nuhjala	id=g:842027
Karvetti	id=g:842028
Luolajanjärvi	id=g:842029
Luolaja	id=g:842030
Lietsala	id=g:842031
Tikanmaa	id=g:842032
Paikkari	id=g:842033
Jaakkola	id=g:842034
Nuorikkala	id=g:842035
Järämäki	id=g:842036
Tahvio	id=g:842037
Pirilä	id=g:842038
Varppeenseutu	id=g:842039
Kerttula	id=g:842040
Inkoinen	id=g:842041
Metsäaro	id=g:842042
Petterinpelto	id=g:842043
