Lago Nuachapo	id=g:1101336
São Jorge	id=g:1101337
Tenda	id=g:1101338
Chefe Franice	id=g:1101339
Santa Paciência	id=g:1101340
Cabo Inhaloi	id=g:1101341
Mafucue	id=g:1101342
Met. Livre	id=g:1101343
Chefe Chichoquene	id=g:1101344
Chefe Tofo	id=g:1101345
Nossa Senhora das Vitórias	id=g:1101346
Valente	id=g:1101347
Manhique	id=g:1101348
Lago Unguojane	id=g:1101349
Lago Macuacuane	id=g:1101350
Cofe Guirugo	id=g:1101351
Uamatenga	id=g:1101352
Retseveque	id=g:1101353
Cat. Met. Episcopal	id=g:1101354
Mãe de Deus	id=g:1101355
Gumula	id=g:1101356
Alfeu	id=g:1101357
Tepo	id=g:1101358
Elias	id=g:1101359
Nossa Senhora de Assunção	id=g:1101360
Cabo Tevele	id=g:1101361
Samuel	id=g:1101362
Fernando	id=g:1101363
Lago Nhamonbane	id=g:1101364
Lago Nhazive	id=g:1101365
Lago Dacatira	id=g:1101366
Matavelene	id=g:1101367
Chongoloane	id=g:1101368
Samo	id=g:1101369
Massetele	id=g:1101370
Chirrengo	id=g:1101371
Lago Nhamuquero	id=g:1101372
D. Nhavágoè	id=g:1101373
Cabo Paindana	id=g:1101374
M. Guilima	id=g:1101375
Nhamuúca	id=g:1101376
Faquene Nhatumbo	id=g:1101377
Rio Nhalichenga	id=g:1101378
Chefe Mangueze	id=g:1101379
Ponta Nhagilunguane	id=g:1101380
Lissanine	id=g:1101381
Lago Nhalichenga	id=g:1101382
Macolovonzuene	id=g:1101383
Nossa Senhora das Neves	id=g:1101384
Chefe Minerva	id=g:1101385
Guifuco	id=g:1101386
João	id=g:1101387
Bernardo	id=g:1101388
Nafetale	id=g:1101389
Nossa Senhora da Apresentação	id=g:1101390
Brejo Umbene	id=g:1101391
Gudze	id=g:1101392
Cat. Feiticista	id=g:1101393
Doropane	id=g:1101394
Chefe Naúcha	id=g:1101395
Met. Episcopal	id=g:1101396
Massavane	id=g:1101397
Massavane	id=g:1101398
Santos Anjos	id=g:1101399
Chefe Massuque	id=g:1101400
Chefe Betele	id=g:1101401
Francisco	id=g:1101402
Brejo Macheque	id=g:1101403
Tevele	id=g:1101404
Lago Bonfine	id=g:1101405
Nhansinir	id=g:1101406
Cat. Met. Episcopal	id=g:1101407
Lago Nhatimangue	id=g:1101408
Chitimelane	id=g:1101409
Brejo Cochoua	id=g:1101410
Duna Muchibe	id=g:1101411
N. Uandula	id=g:1101412
Nossa Senhora do Carmo	id=g:1101413
Brejo Ngomane	id=g:1101414
Aldeia Bulão	id=g:1101415
Met. Episcopal	id=g:1101416
São João	id=g:1101417
Chibomane	id=g:1101418
Moutisso	id=g:1101419
Taiela	id=g:1101420
Januário	id=g:1101421
Luis	id=g:1101422
Lago Fulane	id=g:1101423
Lago Nhapapo	id=g:1101424
Chefe Chiguelane	id=g:1101425
Lago Nhabazane	id=g:1101426
Duzenta	id=g:1101427
R. Nhapossa	id=g:1101428
Muzamane	id=g:1101429
Mucovelane	id=g:1101430
Nhapapo	id=g:1101431
Chiponze	id=g:1101432
Cabo Morrungulo	id=g:1101433
Mubonmane	id=g:1101434
Ginge	id=g:1101435
Chigamane	id=g:1101436
Quahene	id=g:1101437
Muchache	id=g:1101438
Ganana	id=g:1101439
Lago Nhabuaho	id=g:1101440
Chiponze	id=g:1101441
Lago Mudapa	id=g:1101442
J. Barbosa	id=g:1101443
Malaia Nhanala	id=g:1101444
G. Nhacula	id=g:1101445
Chefe Mangavana	id=g:1101446
Chefe Bahana	id=g:1101447
Taela Cume	id=g:1101448
Chefe Dovane	id=g:1101449
F. Nhanala	id=g:1101450
Chefe Mahanuane	id=g:1101451
São Gissamo	id=g:1101452
G. Duce	id=g:1101453
Met. Episcopal	id=g:1101454
