Baunrosmore	id=g:3315952
Rinroe House	id=g:3315953
Killanly	id=g:3315954
Ballymoneen	id=g:3315955
Muingwore	id=g:3315956
Carraun	id=g:3315957
Knockbrack	id=g:3315958
Cloonaghmore Point	id=g:3315959
Castle Island	id=g:3315960
Roe Island	id=g:3315961
Cragh Islands	id=g:3315962
Kilmurry House	id=g:3315963
Ballycarroon House	id=g:3315964
River View	id=g:3315965
Streamstown	id=g:3315966
Enagh Beg	id=g:3315967
Tooreen	id=g:3315968
Knockadangan Bridge	id=g:3315969
Rathmore	id=g:3315970
Castlehill	id=g:3315971
Ballyduffy	id=g:3315972
Lahardaun	id=g:3315973
Cum	id=g:3315974
Errew House	id=g:3315975
Castlehill River	id=g:3315976
Tristia	id=g:3315977
Drumleen Lough	id=g:3315978
Black Lough	id=g:3315979
Lough Clevala	id=g:3315980
Derryhulagh	id=g:3315981
Glenagort	id=g:3315982
Srahyconigaun	id=g:3315983
Killacorraun	id=g:3315984
Derreen	id=g:3315985
Letterbrick	id=g:3315986
Leamadartaun	id=g:3315987
Knockaffertagh	id=g:3315988
Clendavoolagh Lodge	id=g:3315989
Bullaunmore	id=g:3315990
Bunaveela Lodge	id=g:3315991
Derrybrock Lough	id=g:3315992
Letterask	id=g:3315993
Srahmore Lodge	id=g:3315994
Srahrevagh River	id=g:3315995
Altaconey River	id=g:3315996
Ballybranagh	id=g:3315997
Carrowkilleen	id=g:3315998
Owenboy	id=g:3315999
Knockbrack	id=g:3316000
Knocknahorna	id=g:3316001
Eskeragh Bridge	id=g:3316002
Deel Bridge	id=g:3316003
Corcullin	id=g:3316004
Bar Deel River	id=g:3316005
Derrynakerriva Lough	id=g:3316006
Brackloon Lough	id=g:3316007
Eighter	id=g:3316008
Lough Nalaghan	id=g:3316009
Bunaveela Lough	id=g:3316010
Loughdathlee	id=g:3316011
Lough Keeran	id=g:3316012
Lough Namara	id=g:3316013
Doodaun	id=g:3316014
Scardaun Lough	id=g:3316015
Lough Brack	id=g:3316016
Lough Nambrock	id=g:3316017
Lough Nabrock	id=g:3316018
Lough Gall	id=g:3316019
Altnabrocky	id=g:3316020
Lough Adanacleveen	id=g:3316021
Lough Nambrackkeagh	id=g:3316022
Lough Drumderg	id=g:3316023
Tawnyanruddia	id=g:3316024
Owenduff	id=g:3316025
Fawnduff River	id=g:3316026
Sheean Lodge	id=g:3316027
Maumykelly	id=g:3316028
Knocklettercuss	id=g:3316029
Muingnahalloona	id=g:3316030
Srahgraddy	id=g:3316031
Briska	id=g:3316032
Croaghaun	id=g:3316033
Largan	id=g:3316034
River Muing	id=g:3316035
Srahnakilly	id=g:3316036
Ballycroy	id=g:3316037
Gortbrack South	id=g:3316038
Dooreel	id=g:3316039
Knockmoyleen	id=g:3316040
Inishaghod	id=g:3316041
Corrignacloghmore	id=g:3316042
Doona	id=g:3316043
Lagduff Lodge	id=g:3316044
Srahnamanragh Bridge	id=g:3316045
Aughness	id=g:3316046
Tullaghan Bar	id=g:3316047
Roy Lough	id=g:3316048
Tullaghanduff	id=g:3316049
Srahmore	id=g:3316050
Kilteany Lodge	id=g:3316051
Attavally	id=g:3316052
Munhin Bridge	id=g:3316053
Cloontakilla	id=g:3316054
Carrafull	id=g:3316055
Srahataggle South	id=g:3316056
Tristia	id=g:3316057
Lough Nahelly	id=g:3316058
Claggan	id=g:3316059
Glencastle Bridge	id=g:3316060
Gortmore	id=g:3316061
Ederglen	id=g:3316062
Derreens	id=g:3316063
Pollagarraun	id=g:3316064
Derrynameel	id=g:3316065
Muings Bridge	id=g:3316066
Barnatra	id=g:3316067
Faulagh	id=g:3316068
Pollagarraun Bridge	id=g:3316069
Derrycorrib	id=g:3316070
Knocknascollop	id=g:3316071
Glencastle Hill	id=g:3316072
Inishderry	id=g:3316073
Derreens Island	id=g:3316074
Shanaghy Point	id=g:3316075
Moyrahan Point	id=g:3316076
Logmore House	id=g:3316077
Greenfield House	id=g:3316078
Carn House	id=g:3316079
Carn Prospect	id=g:3316080
Seafield	id=g:3316081
Tallagh	id=g:3316082
Moyrahan	id=g:3316083
Ardmore Lough	id=g:3316084
Mass Villa	id=g:3316085
Carricknaronty Rocks	id=g:3316086
Carrickmoneagh	id=g:3316087
Drumreagh	id=g:3316088
Leam Lough	id=g:3316089
Barranagh House	id=g:3316090
Garvecarrick	id=g:3316091
Tiraun Point	id=g:3316092
Feorinyeeo Bay	id=g:3316093
Knocknagnauve	id=g:3316094
Cloghnahakilla	id=g:3316095
Leamareha Island	id=g:3316096
Keely Island	id=g:3316097
Turduvillaun	id=g:3316098
Gubnageeragh	id=g:3316099
Carrickduff	id=g:3316100
Fish Rock	id=g:3316101
Tiraun Lodge	id=g:3316102
Carrickalaveen	id=g:3316103
