Muaani Sub-Location	id=g:186061
Muaani South	id=g:186062
Muaani Dam	id=g:186063
Muaani	id=g:186064
Muaani	id=g:186065
Muaani	id=g:186066
Muaani	id=g:186067
Muaani	id=g:186068
Mtwapa Sub-Location	id=g:186069
Mtwapa Location	id=g:186070
Mto Mtwapa	id=g:186071
Mtwapa	id=g:186072
Mtwana	id=g:186073
Mtungui	id=g:186074
Mtungi	id=g:186075
Mtumwa	id=g:186076
Mtulu	id=g:186077
Mtulu	id=g:186078
Mtulu	id=g:186079
Mtsengo	id=g:186080
Mtsengo	id=g:186081
Mtsara Tsatsu Sub-Location	id=g:186082
Mtsapuni	id=g:186083
Mtsangatifu	id=g:186084
Mtsangatifu	id=g:186085
Mtsangatifu	id=g:186086
Mtowamawe	id=g:186087
Mto Panga	id=g:186088
Mtonyi	id=g:186089
Mtoni Farm	id=g:186090
Mtoni	id=g:186091
Mtongwe	id=g:186092
Mtongore	id=g:186093
Mtonga	id=g:186094
Mtondia Sub-Location	id=g:186095
Mtondia	id=g:186096
Mto Mkuu Sub-Location	id=g:186097
Mtomkuu	id=g:186098
Mtokini	id=g:186099
Mtito Andei	id=g:186100
Mtito Andei	id=g:186101
Ras Mtio	id=g:186102
Mthongi	id=g:186103
Mteza Creek	id=g:186104
Mteza	id=g:186105
Mteza	id=g:186106
Mtetei Valley	id=g:186107
Mtepeni School	id=g:186108
Mtembur	id=g:186109
Mtelo	id=g:186110
Mtei	id=g:186111
Mtawa	id=g:186112
Mtarakwa Forest	id=g:186113
Mtara Bay	id=g:186114
Mtanga wa Papa	id=g:186115
Mtangawanda Forest Station	id=g:186116
Ras Mtangawanda	id=g:186117
Mtanganyiko	id=g:186118
Mtanga Mnene	id=g:186119
Mtambwe	id=g:186120
Mtambo	id=g:186121
Mtakuja	id=g:186122
Mtaa Sub-Location	id=g:186123
Mtaa	id=g:186124
Mtaa	id=g:186125
Msumarini	id=g:186126
Msumarini	id=g:186127
Msumarini	id=g:186128
Msukoni	id=g:186129
Msuakini	id=g:186130
Msemei	id=g:186131
Msau	id=g:186132
Msara	id=g:186133
Msanga	id=g:186134
Msambweni Sub-Location	id=g:186135
Msambweni Reef	id=g:186136
Msambweni Location	id=g:186137
Msambweni Location	id=g:186138
Msambweni	id=g:186139
Msambweni	id=g:186140
Msabaha Sub-Location	id=g:186141
Msabaha	id=g:186142
Ziwa Msaba	id=g:186143
Mrugua Sub-Location	id=g:186144
Mrugua	id=g:186145
Mrongondoni	id=g:186146
Mrima Forest	id=g:186147
Mrima	id=g:186148
Mrima	id=g:186149
Mrima	id=g:186150
Mreru	id=g:186151
Mrera	id=g:186152
Mrefu Farm	id=g:186153
Mraru	id=g:186154
Mrangi	id=g:186155
Mpungutiyajuu Island	id=g:186156
Mpungutiyachini Island	id=g:186157
Mpunguru	id=g:186158
Mpunguni	id=g:186159
Mpukoni Sub-Location	id=g:186160
Mpukoni	id=g:186161
Mpooku	id=g:186162
Mpolosi	id=g:186163
Mpirani Sub-Location	id=g:186164
Mpingoni	id=g:186165
Mpekatoni	id=g:186166
Mpekatoni	id=g:186167
Mpavani	id=g:186168
Mpangani Dam	id=g:186169
Mpala Farm	id=g:186170
Mpakoni	id=g:186171
Moyum	id=g:186172
Moyugueni	id=g:186173
Engare Moyok	id=g:186174
Moyok	id=g:186175
Moyok	id=g:186176
Moyo Drift Farms	id=g:186177
Moye	id=g:186178
Moyan	id=g:186179
Moyale	id=g:186180
Moya	id=g:186181
Mowo Engosowan	id=g:186182
Mountview Estate	id=g:186183
Mount Nyiru Forest	id=g:186184
Mount Margaret	id=g:186185
Mount Londiani Forest	id=g:186186
Mount Kenya National Park	id=g:186187
Mount Kenya Forest	id=g:186188
Mount Kenya Estates	id=g:186189
Mount Elgon Sawmills	id=g:186190
Mount Elgon National Park	id=g:186191
Mount Elgon Forest	id=g:186192
Mount Carmel Convent	id=g:186193
Mount Blair Estate	id=g:186194
Mount Blackett Sawmills Number Two	id=g:186195
Mount Blackett Sawmills Number Three	id=g:186196
Moune	id=g:186197
Motukuyu Dam	id=g:186198
Motorogi	id=g:186199
Engare Motorog	id=g:186200
Motoro	id=g:186201
Motonto	id=g:186202
Motoine	id=g:186203
Motogara	id=g:186204
Motogara	id=g:186205
Motoa	id=g:186206
Motiret	id=g:186207
Motiret	id=g:186208
Motioenkop	id=g:186209
Motikanju	id=g:186210
