Bostock Hill	id=g:3573326
Boss’s Cove	id=g:3573327
Bond Bay	id=g:3573328
Boiling Hole	id=g:3573329
Boaz Island	id=g:3573330
Boat Bay	id=g:3573331
Blue Hole	id=g:3573332
Bluck Point	id=g:3573333
Black Rock	id=g:3573334
Black Bay	id=g:3573335
Black Bay	id=g:3573336
Bird Island	id=g:3573337
Bethell’s Island	id=g:3573338
Bethaven	id=g:3573339
Beta Island	id=g:3573340
United States Naval Air Station	id=g:3573341
Bermuda Islands	id=g:3573342
Main Island	id=g:3573343
Bermuda Great Reef	id=g:3573344
Bermuda	id=g:3573345
Bay Island	id=g:3573346
Banjo Island	id=g:3573347
Barker’s Hill	id=g:3573348
Bailey’s Bay	id=g:3573349
Bailey’s Bay Flats	id=g:3573350
Annie’s Bay	id=g:3573351
Alpha Island	id=g:3573352
Albuoy’s Point	id=g:3573353
Fort Albert	id=g:3573354
Albuoy’s Point	id=g:3573355
Agar’s Island	id=g:3573356
Achilles Bay	id=g:3573357
Abbot’s Hill	id=g:3573358
Abbot’s Cliff	id=g:3573359
Waller’s Bay	id=g:3740306
Sea Venture Channel	id=g:3740309
Tobacco Rock	id=g:3740310
Three Hill Shoals	id=g:3740311
North Channel	id=g:3740312
Southwest Breaker	id=g:3740313
South Channel	id=g:3740314
Abbot’s Cliff	id=g:3740315
North Basin	id=g:3740382
South Basin	id=g:3740383
King’s Wharf	id=g:3740384
Casemates Prison	id=g:3740385
H.M.S. Malabar	id=g:3740386
Devil’s Hole	id=g:3740387
Devil’s Kitchen	id=g:3740388
The Cut Bridge	id=g:3740389
Moresby’s Island	id=g:3740390
The Lagoon	id=g:3740393
Regatta Island	id=g:3740394
Crawl Island	id=g:3740395
Hospital Island	id=g:3740396
Grey Rock	id=g:3740397
Malabar Island	id=g:3740398
Camber	id=g:3740399
Ferry Point	id=g:3740400
Current Island	id=g:3740401
One Tree Island	id=g:3740402
Outer Island	id=g:3740403
Middle Island	id=g:3740404
Inner Island	id=g:3740405
Daniel’s Island Flat	id=g:3740406
Church Snapper Ground	id=g:3740407
Heydon’s Bay	id=g:3740408
Palm Island	id=g:3740409
Great Harbour’s Mouth	id=g:3740410
Little Harbour’s Mouth	id=g:3740411
Scaur Hill	id=g:3740412
Saint David’s Head	id=g:3740511
Saint David’s Battery	id=g:3740512
Stocks Point	id=g:3740513
Crystal Caves	id=g:3740514
Rabbit Island	id=g:3740515
Crow Island	id=g:3740516
Leamington Caves	id=g:3740517
Pembroke Marsh	id=g:3740518
Fort Hamilton	id=g:3740519
Dunscombe Rocks	id=g:3740520
Foot of the Lane	id=g:3740521
Pembroke Marsh	id=g:3740522
Spanish Rock	id=g:3740523
Harrington Hundreds	id=g:3740524
Marley Beach	id=g:3740525
Mermaid Beach	id=g:3740526
Horseshoe Bay	id=g:3740527
Navy Channel	id=g:3740528
Church Bay Anchorage	id=g:3740529
Little Crumb Island	id=g:3740530
Riddell’s Island	id=g:3740531
Haggis Island	id=g:3740532
Iota Island	id=g:3740533
Epsilon Island	id=g:3740534
Rickett’s Island	id=g:3740535
Omega Rocks	id=g:3740536
Kappa Island	id=g:3740537
Eta Island	id=g:3740538
Theta Island	id=g:3740539
Fern Island	id=g:3740540
No Name Island	id=g:3740541
Irresistible Island	id=g:3740542
Watling Island	id=g:3740543
Burnt Island	id=g:3740544
Reid Island	id=g:3740545
Kappa Rock	id=g:3740546
Agassiz Island	id=g:3740547
Verrill Island	id=g:3740548
Beebe Island	id=g:3740549
One Rock Passage	id=g:3740550
Lefroy Island	id=g:3740551
Mowbray Island	id=g:3740552
Mark Rock	id=g:3740553
Alexandra’s Battery	id=g:3745079
Windsor Beach	id=g:3745080
Castle Cut	id=g:3745081
Cock Rock Cut	id=g:3745082
Nonsuch Cut	id=g:3745083
Idol Island	id=g:3745084
Nonsuch Scaur	id=g:3745085
Tom’s Rocks	id=g:3745086
Horn Rock	id=g:3745087
Split Rock	id=g:3745088
Soldier Bay	id=g:3745089
Soldier Point	id=g:3745090
Gurnet Head	id=g:3745091
Pear Rock	id=g:3745092
Neptunus Rock	id=g:3745093
Bird Rock	id=g:3745094
Inner Pear Rocks	id=g:3745095
Turtle Bay	id=g:3745096
Rocky Hole	id=g:3745097
The Cove	id=g:3745098
Black Rock	id=g:3745099
Great Head	id=g:3745100
Little Head	id=g:3745101
Great Oswego Island	id=g:3745102
Little Oswego Island	id=g:3745103
Vaughan’s Bay	id=g:3745104
Bremen Island	id=g:3745105
Smallpox Bay	id=g:3745106
Cocoa Bay	id=g:3745107
Jacob’s Point	id=g:3745108
Post Office Bar	id=g:3745109
Peggy’s Island	id=g:3745110
Johnson’s Bay	id=g:3745111
Whalers Islands	id=g:3745112
Fairyland Creek	id=g:3745584
Mill Point	id=g:3745585
Mouse Island	id=g:3745586
Cat Island	id=g:3745587
Stipple Island	id=g:3745588
Goat Island	id=g:3745589
Soncy Bay	id=g:3745590
Cockle Point	id=g:3745591
Blue Hole	id=g:3745592
Butterfield Rock	id=g:3745593
World’s End Island	id=g:3745594
Godet’s Island	id=g:3745595
Godet’s Rocks	id=g:3745596
Pitt’s Deep	id=g:3745597
Bartlett’s Bay	id=g:3745598
Bartlett’s Islands	id=g:3745599
Evans Pond	id=g:3745600
Sinky Bay	id=g:3745601
Yawning Rock	id=g:3745602
Boat Rock	id=g:3745603
Great Whale Point	id=g:3745604
Cross Rocks	id=g:3745605
Fish Hook Island	id=g:3745606
Ned’s Hole	id=g:3745607
