Schwarzhuberhütte	id=g:2602098
Jagdhaus Roßbach	id=g:2602099
Schöntal	id=g:2602100
Roßbachgraben	id=g:2602101
Roßeckgraben	id=g:2602102
Sommerhütte	id=g:2602103
Wildinger Höhe	id=g:2602104
Sommerriedel	id=g:2602105
Brentenkogel	id=g:2602106
Rudersattel	id=g:2602107
Gigerhütte	id=g:2602108
Wenischgraben	id=g:2602109
Giger	id=g:2602110
Klarampf	id=g:2602111
Tennegg	id=g:2602112
Sommer	id=g:2602113
Leutschachbach	id=g:2602114
Schnopp	id=g:2602115
Leutschacher	id=g:2602116
Ortner	id=g:2602117
Stieber	id=g:2602118
Moosmoser	id=g:2602119
Dörrer	id=g:2602120
Falting	id=g:2602121
Windberger	id=g:2602122
Heilinger	id=g:2602123
Hohensteiner	id=g:2602124
Saibold	id=g:2602125
Würfelbauer	id=g:2602126
Lackwirt	id=g:2602127
Straller	id=g:2602128
Schneeberg	id=g:2602129
Strallerhütte	id=g:2602130
Riedstein	id=g:2602131
Wolfel	id=g:2602132
Peterbauer	id=g:2602133
Stieberhütte	id=g:2602134
Morokuttihütte	id=g:2602135
Gaschbachgraben	id=g:2602136
Kobaldriedel	id=g:2602137
Kobaldeck	id=g:2602138
Pallbauer	id=g:2602139
Lenschenbergeralm	id=g:2602140
Moosbachgraben	id=g:2602141
Dietrichalm	id=g:2602142
Lenschenbergerlacke	id=g:2602143
Pallbaueralm	id=g:2602144
Schwarzbrunn	id=g:2602145
Bärental	id=g:2602146
Steinbachhütte	id=g:2602147
Hirnermandl	id=g:2602148
Kleiner Zinken	id=g:2602149
Bischoflacke	id=g:2602150
Brand	id=g:2602151
Predigtstuhl	id=g:2602152
Schleiferhütte	id=g:2602153
Grillerhütte	id=g:2602154
Schleiferboden	id=g:2602155
Felferer Hütte	id=g:2602156
Haubmannkogel	id=g:2602157
Mourhütte	id=g:2602158
Rainbauerhütte	id=g:2602159
Triebengraben	id=g:2602160
Wirthhütte	id=g:2602161
Strasserhütte	id=g:2602162
Wildinghütte	id=g:2602163
Kloasnerhütte	id=g:2602164
Schloss Hanfelden	id=g:2602165
Gosch	id=g:2602166
Goschgraben	id=g:2602167
Seitwieser	id=g:2602168
Wenischbach	id=g:2602169
Bartlbauer	id=g:2602170
Kienberger	id=g:2602171
Gasthof Timmerer	id=g:2602172
Jaudes	id=g:2602173
Taurer	id=g:2602174
Brandner	id=g:2602175
Möderbach	id=g:2602176
Möderbach	id=g:2602177
Taurerhütte	id=g:2602178
Kaser	id=g:2602179
Orn	id=g:2602180
Grillgraben	id=g:2602181
Lauskogel	id=g:2602182
Brandlhütte	id=g:2602183
Kreuzwald	id=g:2602184
Reittruhe	id=g:2602185
Unterer Reittruhenboden	id=g:2602186
Oberer Reittruhenboden	id=g:2602187
Neuperhauserboden	id=g:2602188
Neuperhauserhütte	id=g:2602189
Untere Fasserhütte	id=g:2602190
Obere Fasserhütte	id=g:2602191
Rinischhütte	id=g:2602192
Radmeisterhütte	id=g:2602193
Predigtstuhl	id=g:2602194
Wölzer Tauern	id=g:2602195
Haingartnerhütte	id=g:2602196
Pichlerstein	id=g:2602197
Zinkenschlucht	id=g:2602198
Niederer Zinken	id=g:2602199
Mittereck	id=g:2602200
Mitterstand	id=g:2602201
Bärengrube	id=g:2602202
Kleines Lachtal	id=g:2602203
Kneißlhütte	id=g:2602204
Dechanthube	id=g:2602205
Themel	id=g:2602206
Arme Sünder-Kapelle	id=g:2602207
Franz-Josephs-Höhe	id=g:2602208
Hainzl	id=g:2602209
Mang	id=g:2602210
Karleiten	id=g:2602211
Moarhof	id=g:2602212
Schruner	id=g:2602213
Brandl	id=g:2602214
Fruhmann	id=g:2602215
Stranz	id=g:2602216
Jaidlgraben	id=g:2602217
Neuperhauserhube	id=g:2602218
Pichelbauer	id=g:2602219
Steiner	id=g:2602220
Petz	id=g:2602221
Lärcheck	id=g:2602222
Schauer	id=g:2602223
Zeiringbach	id=g:2602224
Tafnerhütte	id=g:2602225
Lärchbach	id=g:2602226
Tafnerriedel	id=g:2602227
Hannsbauerhütte	id=g:2602228
ASKö-Schiheim	id=g:2602229
Gasthof Tanzstatt	id=g:2602230
Lachtal	id=g:2602231
Kleine Lachtalhütte	id=g:2602232
Storchlhütte	id=g:2602233
Reifhütte	id=g:2602234
Lachtalöfen	id=g:2602235
Großes Lachtal	id=g:2602236
Vodergaisstätt	id=g:2603279
Lochalpl	id=g:2603280
Neumayrhöhe	id=g:2603281
Riedlalm	id=g:2603282
Katzenkopf	id=g:2603283
Winklergrund	id=g:2603284
Wildegg	id=g:2603285
Wirtshaus Künstleralm	id=g:2603286
Wirtsalm	id=g:2603287
Steinerbaueralm	id=g:2603288
Schoppachhöhe	id=g:2603289
Erlach Mitteralm	id=g:2603290
Lakarhütte	id=g:2603291
Grüalmkar	id=g:2603292
Mittagskogel	id=g:2603293
Mühlbachtal	id=g:2603294
Einödalm	id=g:2603295
