Laksholmen	id=g:3242232
Storesengen	id=g:3242235
Lamøyflui	id=g:3242237
Litlesengen	id=g:3242239
Storesengskjeret	id=g:3242241
Låven	id=g:3242243
Nakken	id=g:3242244
Grunnefluene	id=g:3242245
Skjerbåane	id=g:3242246
Pålsklakken	id=g:3242247
Tolthaugen	id=g:3242248
Svartbaken	id=g:3242249
Renta	id=g:3242250
Indre Kalven	id=g:3242251
Ytre Kalven	id=g:3242252
Høgskjeret	id=g:3242253
Selsodden	id=g:3242254
Tverflui	id=g:3242255
Humresvanene	id=g:3242256
Bleikenøvlingen	id=g:3242257
Gangvarskjeret	id=g:3242258
Skarvenøvlingen	id=g:3242259
Høgenøvlingen	id=g:3242260
Utfarskjeret	id=g:3242261
Gangvarflui	id=g:3242262
Såto	id=g:3242263
Såtefluene	id=g:3242265
Langaskjeret	id=g:3242267
Pløsen	id=g:3242268
Tvisløkjet	id=g:3242269
Sandflui	id=g:3242270
Seiskjeri	id=g:3242271
Klejvskjeri	id=g:3242272
Sukkebåen	id=g:3242374
Myklebåen	id=g:3242375
Langeskjergrunnen	id=g:3242377
Lamholmeflui	id=g:3242378
Seifluene	id=g:3242383
Lamholmane	id=g:3242384
Lamholmen	id=g:3242385
Sandflui	id=g:3242386
Flatholmen	id=g:3242418
Kråkelåten	id=g:3242419
Godflui	id=g:3242420
Kvernholmen	id=g:3242421
Kvitholmen	id=g:3242422
Skoddeskjeri	id=g:3242423
Kristiansholmen	id=g:3242424
Gulaskjeret	id=g:3242425
Litle Lyngøyni	id=g:3242427
Store Lyngøyni	id=g:3242430
Råni	id=g:3242431
Seiskallen	id=g:3242432
Svartbakåsen	id=g:3242433
Krosshamaren	id=g:3242434
Aurskallen	id=g:3242435
Nakken	id=g:3242436
Lyngøybåen	id=g:3242437
Midtgrunnen	id=g:3242438
Hestholmbåen	id=g:3242439
Torskeskallen	id=g:3242441
Odden	id=g:3242442
Flataskjeret	id=g:3242443
Nordreskjeret	id=g:3242444
Bobbeskjeret	id=g:3242445
Selsstakken	id=g:3242447
Kvernhuspollen	id=g:3242449
Hellesundet	id=g:3242450
Hjelmevågen	id=g:3242452
Grunnvågen	id=g:3242454
Søre Hjelmeskallen	id=g:3242455
Nordre Revet	id=g:3242457
Søre Djupskallen	id=g:3242458
Nordre Djupskallen	id=g:3242461
Nordre Hjelmeskallen	id=g:3242462
Kjeøyni	id=g:3242464
Kjebogen	id=g:3242466
Kjeholmen	id=g:3242467
Kjeflui	id=g:3242468
Ternskjeret	id=g:3242471
Sundosen	id=g:3242472
Førehjelmo	id=g:3242475
Nordre Marholmen	id=g:3242477
Søre Marholmen	id=g:3242480
Røbbeganståni	id=g:3242484
Skreiskjeri	id=g:3242485
Skreiskallen	id=g:3242487
Skreii	id=g:3242488
Rotøykalven	id=g:3242489
Stora Rotøyni	id=g:3242490
Lisla Rotøyni	id=g:3242492
Andersholmane	id=g:3242494
Hesteholmen	id=g:3242496
Hengjepottbåen	id=g:3242497
Bolleskjerflui	id=g:3242499
Bolleskjeri	id=g:3242500
Kyrkjøysundet	id=g:3242503
Hernetåni	id=g:3242504
Orbakkflui	id=g:3242505
Sildeneset	id=g:3242507
Kvernholmen	id=g:3242509
Kråka	id=g:3242510
Bægjet	id=g:3242512
Bægjegrunnen	id=g:3242513
Råsi	id=g:3242514
Skallane	id=g:3242516
Søre Oddeflui	id=g:3242517
Nordre Oddeflui	id=g:3242519
Lislodden	id=g:3242520
Storodden	id=g:3242521
Skardholmen	id=g:3242522
Stakksøyni	id=g:3242523
Nordre Nautøyni	id=g:3242525
Søre Nautøyni	id=g:3242526
Nordosen	id=g:3242527
Tverflui	id=g:3242529
Vadholmtaren	id=g:3242531
Vadholmen	id=g:3242532
Horsøyni	id=g:3242533
Skarveskjeret	id=g:3242534
Eltreflui	id=g:3242535
Eltre	id=g:3242536
Djupaflui	id=g:3242537
Hjelteflui	id=g:3242538
Vilhelmsflui	id=g:3242539
Kortknappskjeret	id=g:3242540
Svarteklubben	id=g:3242541
Frukletten	id=g:3242542
Okli	id=g:3242543
Brokeskiten	id=g:3242544
Firemannsflui	id=g:3242545
Emo	id=g:3242546
Nordøytåni	id=g:3242565
