Oknoname 031010 Dam	id=g:4544620
Oknoname 031010 Reservoir	id=g:4544621
Oknoname 031011 Dam	id=g:4544622
Oknoname 031011 Reservoir	id=g:4544623
Oknoname 031012 Dam	id=g:4544624
Oknoname 031012 Reservoir	id=g:4544625
Oknoname 031013 Dam	id=g:4544626
Oknoname 031013 Reservoir	id=g:4544627
Oknoname 031014 Dam	id=g:4544628
Oknoname 031014 Reservoir	id=g:4544629
Oknoname 031015 Dam	id=g:4544630
Oknoname 031015 Reservoir	id=g:4544631
Oknoname 031016 Dam	id=g:4544632
Oknoname 031016 Reservoir	id=g:4544633
Oknoname 031017 Dam	id=g:4544634
Oknoname 031017 Reservoir	id=g:4544635
Oknoname 031018 Dam	id=g:4544636
Oknoname 031018 Reservoir	id=g:4544637
Oknoname 031019 Dam	id=g:4544638
Oknoname 031019 Reservoir	id=g:4544639
Oknoname 031020 Dam	id=g:4544640
Oknoname 031020 Reservoir	id=g:4544641
Oknoname 031021 Dam	id=g:4544642
Oknoname 031021 Reservoir	id=g:4544643
Oknoname 031022 Dam	id=g:4544644
Oknoname 031022 Reservoir	id=g:4544645
Oknoname 031023 Dam	id=g:4544646
Oknoname 031023 Reservoir	id=g:4544647
Oknoname 031024 Dam	id=g:4544648
Oknoname 031024 Reservoir	id=g:4544649
Oknoname 031025 Dam	id=g:4544650
Oknoname 031025 Reservoir	id=g:4544651
Oknoname 031026 Dam	id=g:4544652
Oknoname 031026 Reservoir	id=g:4544653
Oknoname 031027 Dam	id=g:4544654
Oknoname 031027 Reservoir	id=g:4544655
Oknoname 031028 Dam	id=g:4544656
Oknoname 031028 Reservoir	id=g:4544657
Oknoname 031029 Dam	id=g:4544658
Oknoname 031029 Reservoir	id=g:4544659
Oknoname 031030 Dam	id=g:4544660
Oknoname 031030 Reservoir	id=g:4544661
Oknoname 031031 Dam	id=g:4544662
Oknoname 031031 Reservoir	id=g:4544663
Oknoname 031032 Dam	id=g:4544664
Oknoname 031032 Reservoir	id=g:4544665
Oknoname 031033 Dam	id=g:4544666
Oknoname 031033 Reservoir	id=g:4544667
Oknoname 031034 Dam	id=g:4544668
Oknoname 031034 Reservoir	id=g:4544669
Oknoname 031035 Dam	id=g:4544670
Oknoname 031035 Reservoir	id=g:4544671
Oknoname 031036 Dam	id=g:4544672
Oknoname 031036 Reservoir	id=g:4544673
Oknoname 031037 Dam	id=g:4544674
Oknoname 031037 Reservoir	id=g:4544675
Oknoname 031038 Dam	id=g:4544676
Oknoname 031038 Reservoir	id=g:4544677
Oknoname 031039 Dam	id=g:4544678
Oknoname 031039 Reservoir	id=g:4544679
Oknoname 031040 Dam	id=g:4544680
Oknoname 031040 Reservoir	id=g:4544681
Oknoname 031041 Dam	id=g:4544682
Oknoname 031041 Reservoir	id=g:4544683
Oknoname 031042 Dam	id=g:4544684
Oknoname 031042 Reservoir	id=g:4544685
Oknoname 031043 Dam	id=g:4544686
Oknoname 031043 Reservoir	id=g:4544687
Oknoname 031044 Dam	id=g:4544688
Oknoname 031044 Reservoir	id=g:4544689
Oknoname 031045 Dam	id=g:4544690
Oknoname 031045 Reservoir	id=g:4544691
Oknoname 031047 Dam	id=g:4544692
Oknoname 031047 Reservoir	id=g:4544693
Oknoname 031048 Dam	id=g:4544694
Oknoname 031048 Reservoir	id=g:4544695
Oknoname 031049 Dam	id=g:4544696
Oknoname 031049 Reservoir	id=g:4544697
Oknoname 031050 Dam	id=g:4544698
Oknoname 031050 Reservoir	id=g:4544699
Oknoname 031051 Dam	id=g:4544700
Oknoname 031051 Reservoir	id=g:4544701
Oknoname 031052 Dam	id=g:4544702
Oknoname 031052 Reservoir	id=g:4544703
Oknoname 031053 Dam	id=g:4544704
Oknoname 031053 Reservoir	id=g:4544705
Oknoname 031054 Dam	id=g:4544706
Oknoname 031054 Reservoir	id=g:4544707
Oknoname 031055 Dam	id=g:4544708
Oknoname 031055 Reservoir	id=g:4544709
Oknoname 031055 Reservoir	id=g:4544710
Oknoname 031056 Dam	id=g:4544711
Oknoname 031057 Dam	id=g:4544712
Oknoname 031057 Reservoir	id=g:4544713
Oknoname 031058 Dam	id=g:4544714
Oknoname 031058 Reservoir	id=g:4544715
Oknoname 031059 Dam	id=g:4544716
Oknoname 031059 Reservoir	id=g:4544717
Oknoname 031060 Dam	id=g:4544718
Oknoname 031060 Reservoir	id=g:4544719
Oknoname 031061 Dam	id=g:4544720
Oknoname 031061 Reservoir	id=g:4544721
Oknoname 031062 Dam	id=g:4544722
Oknoname 031062 Reservoir	id=g:4544723
Oknoname 031063 Dam	id=g:4544724
Oknoname 031063 Reservoir	id=g:4544725
Oknoname 031064 Dam	id=g:4544726
Oknoname 031064 Reservoir	id=g:4544727
Oknoname 031065 Dam	id=g:4544728
Oknoname 031065 Reservoir	id=g:4544729
Oknoname 031066 Dam	id=g:4544730
Oknoname 031066 Reservoir	id=g:4544731
Oknoname 031067 Dam	id=g:4544732
Oknoname 031067 Reservoir	id=g:4544733
Oknoname 031068 Dam	id=g:4544734
Oknoname 031068 Reservoir	id=g:4544735
Oknoname 031069 Dam	id=g:4544736
Oknoname 031070 Dam	id=g:4544737
Oknoname 031070 Reservoir	id=g:4544738
Oknoname 033001 Dam	id=g:4544739
Oknoname 033001 Reservoir	id=g:4544740
Oknoname 033002 Dam	id=g:4544741
Oknoname 033002 Reservoir	id=g:4544742
Oknoname 033003 Dam	id=g:4544743
Oknoname 033004 Dam	id=g:4544744
Oknoname 033004 Reservoir	id=g:4544745
Oknoname 033005 Dam	id=g:4544746
Oknoname 033005 Reservoir	id=g:4544747
Oknoname 033006 Dam	id=g:4544748
Oknoname 033006 Reservoir	id=g:4544749
Oknoname 033007 Dam	id=g:4544750
Oknoname 033007 Reservoir	id=g:4544751
Oknoname 033008 Dam	id=g:4544752
Oknoname 033008 Reservoir	id=g:4544753
Oknoname 033009 Dam	id=g:4544754
Oknoname 033009 Reservoir	id=g:4544755
Oknoname 033010 Dam	id=g:4544756
Oknoname 033010 Reservoir	id=g:4544757
Oknoname 033033 Reservoir	id=g:4544758
Oknoname 0370003 Dam	id=g:4544759
Oknoname 037001 Dam	id=g:4544760
Oknoname 037001 Reservoir	id=g:4544761
Oknoname 037002 Dam	id=g:4544762
Oknoname 037002 Reservoir	id=g:4544763
Oknoname 037003 Reservoir	id=g:4544764
Oknoname 037004 Dam	id=g:4544765
Oknoname 037004 Reservoir	id=g:4544766
Oknoname 037005 Dam	id=g:4544767
Oknoname 037005 Reservoir	id=g:4544768
Oknoname 037006 Dam	id=g:4544769
Oknoname 037006 Reservoir	id=g:4544770
Oknoname 037007 Dam	id=g:4544771
Oknoname 037007 Reservoir	id=g:4544772
Oknoname 037008 Dam	id=g:4544773
Oknoname 037008 Reservoir	id=g:4544774
Oknoname 037009 Dam	id=g:4544775
Oknoname 037009 Reservoir	id=g:4544776
Oknoname 037010 Dam	id=g:4544777
Oknoname 037010 Reservoir	id=g:4544778
Oknoname 037011 Dam	id=g:4544779
Oknoname 037011 Reservoir	id=g:4544780
Oknoname 037012 Dam	id=g:4544781
Oknoname 037012 Reservoir	id=g:4544782
Oknoname 037013 Dam	id=g:4544783
Oknoname 037013 Reservoir	id=g:4544784
Oknoname 037014 Dam	id=g:4544785
Oknoname 037014 Reservoir	id=g:4544786
Oknoname 037015 Dam	id=g:4544787
Oknoname 037015 Reservoir	id=g:4544788
Oknoname 037016 Dam	id=g:4544789
Oknoname 037016 Reservoir	id=g:4544790
Oknoname 037017 Dam	id=g:4544791
Oknoname 037017 Reservoir	id=g:4544792
Oknoname 037018 Dam	id=g:4544793
Oknoname 037018 Reservoir	id=g:4544794
Oknoname 037019 Dam	id=g:4544795
Oknoname 037019 Reservoir	id=g:4544796
Oknoname 037020 Dam	id=g:4544797
Oknoname 037020 Reservoir	id=g:4544798
Oknoname 037021 Dam	id=g:4544799
Oknoname 037021 Reservoir	id=g:4544800
Oknoname 037022 Dam	id=g:4544801
Oknoname 037022 Reservoir	id=g:4544802
Oknoname 037023 Dam	id=g:4544803
Oknoname 037023 Reservoir	id=g:4544804
Oknoname 037024 Dam	id=g:4544805
Oknoname 037024 Reservoir	id=g:4544806
Oknoname 037025 Dam	id=g:4544807
Oknoname 037025 Reservoir	id=g:4544808
Oknoname 037026 Dam	id=g:4544809
Oknoname 037026 Reservoir	id=g:4544810
Oknoname 037027 Dam	id=g:4544811
Oknoname 037027 Reservoir	id=g:4544812
Oknoname 037028 Dam	id=g:4544813
Oknoname 037028 Reservoir	id=g:4544814
Oknoname 037029 Dam	id=g:4544815
Oknoname 037029 Reservoir	id=g:4544816
Oknoname 037030 Dam	id=g:4544817
Oknoname 037030 Reservoir	id=g:4544818
Oknoname 037031 Dam	id=g:4544819
Oknoname 037031 Dam	id=g:4544820
Oknoname 037031 Reservoir	id=g:4544821
Oknoname 037032 Dam	id=g:4544822
Oknoname 037032 Reservoir	id=g:4544823
Oknoname 037033 Dam	id=g:4544824
Oknoname 037033 Reservoir	id=g:4544825
Oknoname 037034 Dam	id=g:4544826
Oknoname 037034 Reservoir	id=g:4544827
Oknoname 037035 Dam	id=g:4544828
Oknoname 037035 Reservoir	id=g:4544829
Oknoname 037036 Dam	id=g:4544830
Oknoname 037036 Reservoir	id=g:4544831
Oknoname 037037 Dam	id=g:4544832
Oknoname 037037 Reservoir	id=g:4544833
Oknoname 037038 Dam	id=g:4544834
Oknoname 037038 Reservoir	id=g:4544835
Oknoname 037039 Dam	id=g:4544836
Oknoname 037039 Reservoir	id=g:4544837
Oknoname 037040 Dam	id=g:4544838
Oknoname 037040 Reservoir	id=g:4544839
Oknoname 037041 Dam	id=g:4544840
Oknoname 037041 Reservoir	id=g:4544841
Oknoname 037042 Dam	id=g:4544842
Oknoname 037042 Reservoir	id=g:4544843
Oknoname 037043 Dam	id=g:4544844
Oknoname 037043 Reservoir	id=g:4544845
Oknoname 037044 Dam	id=g:4544846
Oknoname 037044 Reservoir	id=g:4544847
Oknoname 037045 Dam	id=g:4544848
Oknoname 037045 Reservoir	id=g:4544849
Oknoname 037046 Dam	id=g:4544850
Oknoname 037046 Reservoir	id=g:4544851
Oknoname 037047 Dam	id=g:4544852
Oknoname 037047 Reservoir	id=g:4544853
Oknoname 037048 Dam	id=g:4544854
