Freewater Post Office (historical)	id=g:5653297
Freeze Out Creek	id=g:5653298
Freezeout (historical)	id=g:5653299
Freezeout Creek	id=g:5653300
Freezeout Creek	id=g:5653301
Freezeout Creek	id=g:5653302
Freezeout Creek	id=g:5653303
Freezeout Creek	id=g:5653304
Freezeout Flat	id=g:5653305
Freezeout Gulch	id=g:5653306
Freezeout Gulch	id=g:5653307
Freezeout Lake	id=g:5653308
Freezeout Mountain	id=g:5653309
Freezeout Pass	id=g:5653310
Freezout Lake Wildlife Management Area	id=g:5653311
Freida Mine	id=g:5653312
Freidens Cemetery	id=g:5653313
Freidens Church	id=g:5653314
Freighters Gulch	id=g:5653315
Freezeout Lakes	id=g:5653316
Freiling Ranch	id=g:5653317
Frelick Homestead	id=g:5653318
French Bar	id=g:5653319
French Bar Mountain	id=g:5653320
French Bar Post Office (historical)	id=g:5653321
French Basin	id=g:5653322
French Coulee	id=g:5653323
Freighters Historical Marker	id=g:5653324
French Coulee	id=g:5653325
French Creek	id=g:5653326
French Creek	id=g:5653327
French Creek	id=g:5653328
French Creek	id=g:5653329
French Creek	id=g:5653330
French Creek	id=g:5653331
French Creek	id=g:5653332
French Creek Mine	id=g:5653333
French Fry Number 2 Dam	id=g:5653334
French Gulch	id=g:5653335
French Fry Number 1 Dam	id=g:5653336
French Gulch	id=g:5653337
French Gulch	id=g:5653338
French Gulch	id=g:5653339
French Gulch	id=g:5653340
French Gulch	id=g:5653341
French Gulch	id=g:5653342
French Gulch (historical)	id=g:5653343
French Lake	id=g:5653344
French Lode Mine	id=g:5653345
French Mine	id=g:5653346
French Number 1 Dam	id=g:5653347
French Number 10 Dam	id=g:5653348
French Number 11 Dam	id=g:5653349
French Number 12 Dam	id=g:5653350
French Number 15 Dam	id=g:5653351
French Number 16 Dam	id=g:5653352
French Number 17 Dam	id=g:5653353
French Number 18 Dam	id=g:5653354
French Number 2 Dam	id=g:5653355
French Number 5 Dam	id=g:5653356
French Number 8 Dam	id=g:5653357
French Number 9 Dam	id=g:5653358
French Ranch	id=g:5653359
French School (historical)	id=g:5653360
French School (historical)	id=g:5653361
French Town	id=g:5653362
French Town Mine	id=g:5653363
Frenchie Place	id=g:5653364
Frenchies Gulch	id=g:5653365
French Gulch Post Office (historical)	id=g:5653366
Frenchman Coulee	id=g:5653367
Frenchman Creek	id=g:5653368
Frenchman Creek	id=g:5653369
Frenchman Dam	id=g:5653370
Frenchman Hill	id=g:5653371
Frenchman Irrigation Company Canal	id=g:5653372
Frenchman Irrigation Company Number 1 Dam	id=g:5653373
Frenchman Lake	id=g:5653374
Frenchman Reservoir	id=g:5653375
Frenchmans Ridge	id=g:5653376
Frenchtown	id=g:5653377
Frenchtown	id=g:5653378
Frenchtown Cemetery	id=g:5653379
Frenchtown Community Church	id=g:5653380
Frenchtown Elementary School	id=g:5653381
Frenchtown Family Medical Clinic	id=g:5653382
Frenchtown High School	id=g:5653383
Frenchtown Irrigation District Ditch	id=g:5653384
Frenchtown Pond Recreation Site	id=g:5653385
Frenchtown Pond State Park	id=g:5653386
Frenchtown Post Office	id=g:5653387
Frenchtown Rural Fire District Station 1	id=g:5653388
Frenchwomans (historical)	id=g:5653389
Frenchy Creek	id=g:5653390
Frenchman Creek School (historical)	id=g:5653391
Frenchy Creek	id=g:5653392
Frenchy Gulf	id=g:5653393
Frenchy Meadow	id=g:5653394
Fresh Water Draw	id=g:5653395
Frenco Lake	id=g:5653396
Fresno	id=g:5653397
Fresno	id=g:5653398
Fresno Beach Campground	id=g:5653399
Fresno Coulee	id=g:5653400
Freske Number 1 Dam	id=g:5653401
Fresno Gulch	id=g:5653402
Fresno Dam	id=g:5653403
Fresno Post Office (historical)	id=g:5653404
Fresno Reservoir	id=g:5653405
Fresno School (historical)	id=g:5653406
Fresno Tailwater Fishing Access Site	id=g:5653407
Frey Dam	id=g:5653408
Frezette School (historical)	id=g:5653409
Fricker Draw	id=g:5653410
Fresno Mine	id=g:5653411
Friday Gulch	id=g:5653412
Frida Marie Mine	id=g:5653413
Friday Hill Snow Gage	id=g:5653414
Fridley Creek	id=g:5653415
Friday Hill	id=g:5653416
Fridley Creek	id=g:5653417
Fridley Lakes	id=g:5653418
Fridley School (historical)	id=g:5653419
Frieda Jones School (historical)	id=g:5653420
Friel Post Office (historical)	id=g:5653421
Frieler Creek	id=g:5653422
Fridley Peak	id=g:5653423
Friend Spring	id=g:5653424
Friendly Trailer Court	id=g:5653425
Friendship Baptist Church	id=g:5653426
Friendship House Adult Care	id=g:5653427
Friendship Villa Care Center	id=g:5653428
Fries Place	id=g:5653429
Friez Number 2 Dam	id=g:5653430
Fright Creek	id=g:5653431
Friend Siding	id=g:5653432
Frisbe Mine	id=g:5653433
Frisco Number 2 Mine	id=g:5653434
Frisco Ski Trail	id=g:5653435
Frisinger School (historical)	id=g:5653436
Fritter Lake	id=g:5653437
Fritz Mountain	id=g:5653438
Fritzler Coulee	id=g:5653439
Frigon Trailer Court	id=g:5653440
Fritzner Coulee	id=g:5653441
Froehlich Butte	id=g:5653442
Froehlich Coulee	id=g:5653443
Frog Coulee	id=g:5653444
Frog Creek	id=g:5653445
Frog Creek	id=g:5653446
Frog Dam	id=g:5653447
Frog Lakes	id=g:5653448
Frog Pond	id=g:5653449
Frog Pond	id=g:5653450
Frog Pond Lake	id=g:5653451
Frog Springs Post Office (historical)	id=g:5653452
Frogpond Basin	id=g:5653453
Frogs Diner Mine	id=g:5653454
Frohner Basin	id=g:5653455
Frohner Meadows	id=g:5653456
Frohner Mine	id=g:5653457
Frohner Mine	id=g:5653458
Froid	id=g:5653459
Froid	id=g:5653460
Froid Elevator Company of Froid - Elevator Number Two	id=g:5653461
Froid Volunteer Fire Department	id=g:5653462
Froid Lutheran Church	id=g:5653463
Froid Mission Chapel (historical)	id=g:5653464
Froid Post Office	id=g:5653465
Froid Public Library	id=g:5653466
