Ongarue River	id=g:6234354
Okauaka Stream	id=g:6234355
Wharawhara Stream	id=g:6234356
Waimakomako Stream	id=g:6234357
Okauaka Stream	id=g:6234358
Pangopangonui Stream	id=g:6234359
Piropiro Stream	id=g:6234360
Maramataha River	id=g:6234361
Totara Stream	id=g:6234362
Eight Mile Junction	id=g:6234363
Arapae	id=g:6234364
Tikikaru	id=g:6234365
Te Heketanga	id=g:6234366
Kahuwera	id=g:6234367
Te Mapara	id=g:6234368
Mapara	id=g:6234369
Tikitiki	id=g:6234370
Haupeehi	id=g:6234371
Aratoro	id=g:6234372
Kopaki	id=g:6234373
Kourukotia	id=g:6234374
Moturoa	id=g:6234375
Mangaokewa	id=g:6234376
RAEPAHU RIDGE	id=g:6234377
Pukeokahu	id=g:6234378
Horokino	id=g:6234379
Ngatamahine	id=g:6234380
Pakareao	id=g:6234381
Okiwiriki	id=g:6234382
Mapura	id=g:6234383
Mangapehi	id=g:6234384
Benneydale	id=g:6234385
Tiroa	id=g:6234386
Pukemako	id=g:6234387
Mokauiti	id=g:6234388
Mapiu	id=g:6234389
Oteau	id=g:6234390
Otamati	id=g:6234391
Rangipuanoano	id=g:6234392
Pukeongeonge	id=g:6234393
Ohura River	id=g:6234394
Tapuiwahine	id=g:6234395
Tangitu	id=g:6234396
Tihikoreoreo	id=g:6234397
Waimiha	id=g:6234398
Waione Station	id=g:6234399
Maungarahiri	id=g:6234400
Porootarao	id=g:6234401
RAEPAHU RIDGE	id=g:6234402
Piropiro	id=g:6234403
Tangitu	id=g:6234404
Waiteti Stream	id=g:6234405
Puketutu	id=g:6234406
Mapiu Stream	id=g:6234407
Mangaokewa Stream	id=g:6234408
Mangakahikatea Stream	id=g:6234409
Mangapapa Stream	id=g:6234410
Whenuakura Stream	id=g:6234411
Ohura River	id=g:6234412
Ohinewhatihua Stream	id=g:6234413
Kokako o te ohinepouri Stream	id=g:6234414
Kokako o te marama Stream	id=g:6234415
Mangamaire Stream	id=g:6234416
Tunatahi Stream	id=g:6234417
Te Roto Stream	id=g:6234418
Waihuka Stream	id=g:6234419
Mangakahikatea Stream	id=g:6234420
Ongarue River	id=g:6234421
Waiparetau Stream	id=g:6234422
Kakimotu Stream	id=g:6234423
Tamangahuka Stream	id=g:6234424
Waione Stream	id=g:6234425
Waikoura Stream	id=g:6234426
Mangatukutuku Stream	id=g:6234427
Maramataha Stream	id=g:6234428
Te Rerengaohoro Stream	id=g:6234429
Wharehuru Stream	id=g:6234430
Waione Stream	id=g:6234431
Mangakahu Stream	id=g:6234432
Omahine Stream	id=g:6234433
Pukahakaha Stream	id=g:6234434
Koromiko Stream	id=g:6234435
Waipapa Stream	id=g:6234436
Matiere Stream	id=g:6234437
Pukerimu Stream	id=g:6234438
Ngarukehu Stream	id=g:6234439
Ohura River	id=g:6234440
Otahu Stream	id=g:6234441
Waingongo Stream	id=g:6234442
Ararimu Stream	id=g:6234443
Makara Stream	id=g:6234444
Totarawhakarewarewa Stream	id=g:6234445
Opotoki Stream	id=g:6234446
Otunui Stream	id=g:6234447
Aramahoe Stream	id=g:6234448
Opotiki Stream	id=g:6234449
Pukerimu Stream	id=g:6234450
Kiripari Stream	id=g:6234451
Waipakikau Stream	id=g:6234452
Te Putanga Stream	id=g:6234453
Waiwakarau Stream	id=g:6234454
Te Tomo Stream	id=g:6234455
Upokomatu Stream	id=g:6234456
Waikino Stream	id=g:6234457
Okokewa Stream	id=g:6234458
Putotara Stream	id=g:6234459
Piawa Stream	id=g:6234460
Taringamotu River	id=g:6234461
Wharariki Stream	id=g:6234462
Maraetohu Stream	id=g:6234463
Tutaeti Stream	id=g:6234464
Taringamotu River	id=g:6234465
Waikino Stream	id=g:6234466
Tatateoro Stream	id=g:6234467
Kakahi Stream	id=g:6234468
Kapara Stream	id=g:6234469
Ponga Stream	id=g:6234470
Te Paiaka Stream	id=g:6234471
Otunui Stream	id=g:6234472
Moetahanga Stream	id=g:6234473
Kururau Stream	id=g:6234474
Okohua Stream	id=g:6234475
Whakamaro Stream	id=g:6234476
Otuhirakau Stream	id=g:6234477
Raurauwheroa Stream	id=g:6234478
Oruawhiro Stream	id=g:6234479
Te Awa o te Ohura Stream	id=g:6234480
Wairarakihi Stream	id=g:6234481
