Laguna Huicso	id=g:6675140
Laguna Mancacocha	id=g:6675141
Laguna Parina	id=g:6675142
Laguna Ichic Jumar	id=g:6675143
Laguna Jumur	id=g:6675144
Laguna Quellaycocha	id=g:6675145
Laguna Verdecocha	id=g:6675146
Laguna Lluquiucocha	id=g:6675147
Laguna Totora	id=g:6675148
Laguna Tampush	id=g:6675149
Laguna Pascacocha	id=g:6675150
Laguna Clarincocha	id=g:6675151
Laguna Mangacocha	id=g:6675152
Laguna Sequiacocha	id=g:6675153
Laguna Atacocha	id=g:6675154
Laguna Joriac	id=g:6675155
Laguna Yuraccocha	id=g:6675156
Laguna Mancacocha	id=g:6675157
Laguna Sequiacocha	id=g:6675158
Laguna Llhuan	id=g:6675159
Laguna Sagracocha	id=g:6675160
Laguna Susucocha	id=g:6675161
Laguna Tishcococha	id=g:6675162
Laguna Mesacocha	id=g:6675163
Laguna Matara	id=g:6675164
Laguna Yanacocha	id=g:6675165
Laguna Verdecocha	id=g:6675166
Laguna Quenguacocha	id=g:6675167
Laguna Susucocha	id=g:6675168
Laguna Higin	id=g:6675169
Laguna Huaquin	id=g:6675171
Laguna Negrococha	id=g:6675172
Laguna Arcuna	id=g:6675173
Laguna Ushuracocha	id=g:6675174
Laguna Mama Juana	id=g:6675175
Laguna Guella	id=g:6675177
Laguna Calzoncocha	id=g:6675178
Laguna Blanca	id=g:6675179
Laguna Angelcocha	id=g:6675180
Laguna Yanacocha	id=g:6675181
Laguna Yanahuilca	id=g:6675182
Laguna Nahuincocha	id=g:6675183
Laguna Mugush Cocha	id=g:6675184
Laguna Carpa	id=g:6675185
Laguna Jaracocha	id=g:6675186
Laguna Perolcocha Chico	id=g:6675188
Laguna Asiac Cocha	id=g:6675189
Laguna Yanac	id=g:6675190
Laguna Huauquish	id=g:6675191
Laguna Arin	id=g:6675192
Laguna Shacshacocha	id=g:6675193
Laguna Palmacocha Chico	id=g:6675194
Laguna Palmacocha Grande	id=g:6675195
Laguna Taptash	id=g:6675196
Laguna Patococha	id=g:6675197
Laguna Jalan	id=g:6675198
Laguna Yurac Cocha	id=g:6675199
Laguna Huarayuy	id=g:6675200
Laguna Guitarra	id=g:6675201
Laguna Maravilla	id=g:6675202
Laguna Jirincocha	id=g:6675203
Laguna Upacocha	id=g:6675204
Laguna Shacsha	id=g:6675205
Laguna Tecllo	id=g:6675206
Laguna Chalhuacocha Chico	id=g:6675207
Laguna Condorcocha	id=g:6675208
Lagunas Huira Huira	id=g:6675209
Lagunas Uyllococha	id=g:6675210
Lagunas Carhuacocha	id=g:6675211
Lagunas Atash	id=g:6675212
Lagunas Puytush	id=g:6675213
Lagunas Quenococha	id=g:6675214
Lagunas Perolcocha	id=g:6675215
Lagunas Collpa	id=g:6675216
Lagunas Yahuarcocha	id=g:6675217
Lagunas Huanso	id=g:6675218
Lagunas Agracocha	id=g:6675219
Lagunas Mishqui	id=g:6675220
Lagunas Chuscucocha	id=g:6675221
Lagunas Pararacocha	id=g:6675222
Lagunas Saguicochas	id=g:6675223
Lagunas Huascacochas	id=g:6675224
Lagunas Huagro	id=g:6675225
Cerro Piruro Cancha	id=g:6675226
Cerro Misión Jirca	id=g:6675227
Cerro Cashajirca	id=g:6675228
Cerro Hualla Pincush	id=g:6675229
Cerro Janto	id=g:6675230
Cerro Actunga	id=g:6675231
Cerro Condorhuanca	id=g:6675232
Cerro Augash	id=g:6675233
