Radisson SAS Hotel Paris Boulogne	id=g:6496944
Hotel Sun Valley	id=g:6496960
Kyriad de Roissy Parc des Expositions	id=g:6496963
Le Cavendish	id=g:6496989
Kyriad Sete Balaruc	id=g:6497000
Best Western Beau Site	id=g:6497002
Château de la Commanderie	id=g:6497006
Residence Pyrenees Zenith	id=g:6497016
Hotel de l'Arrivée et des Voyageurs	id=g:6497019
Odalys Residence le hameau du Borsat	id=g:6497053
Hyatt Regency Paris Charles de Gaulle	id=g:6497079
Regina Hotel	id=g:6497088
Pierre & Vacances Residence Le Mont Soleil	id=g:6497103
Bristol Hotel	id=g:6497131
Pratic Hotel	id=g:6497147
Tabl'Hotel	id=g:6497155
Exclusive Hotel Le Pinarello	id=g:6497156
Kyriad Perigueux Trelissac	id=g:6497169
Odalys Residence les Sybelles	id=g:6497192
Les Résidences Lagrange Classic Saint Michel Chef Chef	id=g:6497195
Résidence Lagrange Classic du Golf	id=g:6497241
Inter-hotel Parc des Expositions	id=g:6497254
Hotel de La Plage	id=g:6497255
Hotel Flandre Angleterre	id=g:6497269
Citea Maison Alfort	id=g:6497272
Disneyland Hotel	id=g:6497273
Disney's Newport Bay Club	id=g:6497274
Odalys Residence le Rond Point des Pistes	id=g:6497279
Odalys Residence les Balcons du Soleil	id=g:6497326
Brit Floreal Hotel	id=g:6497330
Hotel Chris-tal	id=g:6497333
Hotel Marinca	id=g:6497347
Hotel Forum	id=g:6497350
Hostellerie Blanche de Castille	id=g:6497352
Hotel de la Mère Poulard	id=g:6497358
Residence L'Eterle	id=g:6497377
Pierre & Vacances Residence Les Sentiers du Tueda	id=g:6497379
Hotel d'Arlatan	id=g:6497382
Hotel Cheops	id=g:6497385
Hôtel & Casino Le Béryl	id=g:6497396
Disney's Davy Crockett Ranch	id=g:6497406
Résidence Ciel & Logis	id=g:6497418
Odalys Résidence Le Flocon d'Or	id=g:6497427
Odalys Résidence L'Ouillon	id=g:6497436
Odalys Résidence Le Cervin	id=g:6497446
Mas Camps Hotel	id=g:6497474
Campanile Nancy Vandoeuvre	id=g:6497475
Latitudes Hotel Golf de l'Esterel	id=g:6497509
Hotel Ile Rousse	id=g:6497512
Hotel Saint Ferreol	id=g:6497514
Madame Mere	id=g:6497523
Hotel de Londres et d'Anvers	id=g:6497525
Résidence Lagrange Classic Le Clos des Chênes	id=g:6497530
Résidence Lagrange Classic Le Village Marin Catalan	id=g:6497543
Résidence Lagrange Classic Les Fermettes de la Mer	id=g:6497547
Odalys Residence la Source Blanche	id=g:6497558
Odalys Residence L'Altineige	id=g:6497561
Hotel Du Lac	id=g:6497579
Relais Volubilis	id=g:6497582
Résidence Lagrange Prestige Le Domaine du Golf	id=g:6497600
Citea Montpellier	id=g:6497621
Odalys Residence le Hammeau de Praroustan	id=g:6497626
Odalys Résidence Les Lumières des Neiges	id=g:6497630
Résidence Les Balcons du Savoy	id=g:6497633
Résidence Lagrange Classic Thalassa	id=g:6497642
Hotel Ambacia	id=g:6497659
Hotel Huitième	id=g:6497673
Brit'hotel Versan	id=g:6497674
Disney's Sequoia Lodge	id=g:6497698
Pierre & Vacances Residence Le Thabor	id=g:6497699
Le Relais Saint Michel	id=g:6497701
Citea Philippe Auguste	id=g:6497719
Odalys Residence Les Verdets	id=g:6497748
Résidence Lagrange Classic Villa Barbara	id=g:6497760
Hotel Thalassotherapie	id=g:6497767
Campanile Cherbourg La Glacerie	id=g:6497774
Résidence Lagrange Classic de Pontaillac	id=g:6497789
Océania Rennes	id=g:6497793
Residence les Marquises	id=g:6497797
Résidence Constellation Forêt Blanche	id=g:6497800
Citea	id=g:6497814
Résidence Lagrange Family Les Mazets de Gaujac	id=g:6497833
Hotel Club Des Alberes	id=g:6497848
Park & Suites Annemasse	id=g:6497851
Odalys Residence Les Brigues	id=g:6497852
Pierre et vacances City Paris Montmartre	id=g:6497854
Odalys Residence du Soleil	id=g:6497871
Odalys Residence Chanteneige	id=g:6497873
Hotel des Colonies	id=g:6497876
Résidence Lagrange Classic Boedette ou Necou	id=g:6497877
Hotel Saint Victor	id=g:6497887
M Vacances - Sous les Pins	id=g:6497896
Alliance Pornic Thalassotherapie	id=g:6497899
Pierre & Vacances Résidence L'Albane	id=g:6497929
Courtyard by Marriott Paris CDG Airport	id=g:6497939
Kyriad Cahors	id=g:6497941
Residence Maeva les Horizons D'Huez	id=g:6497947
Inter Hotel Plaisance	id=g:6497950
Residence Maeva Les Portes du Soleil B	id=g:6497952
Odalys Residence La Souleille des Lannes	id=g:6497954
Appart Valley Austerlitz	id=g:6497959
Hotel Iliade Paris XVIII	id=g:6497974
Residence Maeva Les Pistes	id=g:6497992
Hôtel Pierre & Vacances La Falaise	id=g:6497997
Residence Maeva Orion Les Sables d'Olonne	id=g:6498004
Citea Rennes	id=g:6498011
Auberge de Tavel	id=g:6498013
Disney's Hotel New York	id=g:6498016
Hotel-Restaurant Le Relais du Mont	id=g:6498033
M Vacances - Le Parc des Chenes	id=g:6498052
La Vieille Auberge	id=g:6498089
Hotel Souleia	id=g:6498115
Odalys Residence le Grand Chalet	id=g:6498118
Best Western Hotel Syracuse	id=g:6498126
Odalys Residence les Chalets D'Aurouze	id=g:6498156
Hotel Continental	id=g:6498165
Résidence les Balcons d'Anaite	id=g:6498175
Hôtellerie le Couvent Royal	id=g:6498179
Hotel Stars Bordeaux Gare	id=g:6498182
Pierre & Vacances Residence Les Balcons de Bellevarde	id=g:6498188
Brit'hotel Le Villeneuve	id=g:6498189
Odalys Residence le Silveralp	id=g:6498195
Hotel Bastille de Launay	id=g:6498203
Citea Torcy	id=g:6498206
Résidence Lagrange Classic Carène	id=g:6498210
Appart'Valley Agen	id=g:6498212
Brithotel Escurial	id=g:6498217
Résidence Foch	id=g:6498225
Odalys Résidences Les Melezets - Vita Parc Valfréjus	id=g:6498232
Résidence Lagrange Classic Le Lagon Bleu	id=g:6498235
Soretel Merignac Hotel	id=g:6498240
Odalys Residence les Chalets et les Balcons de la Vanoise	id=g:6498242
Citadines Apart'hotel Marseille Centre	id=g:6498249
Campanile Arles	id=g:6498264
Campanile Quimper	id=g:6498271
Campanile Le Havre Gonfreville	id=g:6498273
Maeva Résidence Cannes Verrerie	id=g:6498274
Campanile Alencon	id=g:6498277
Appart'City Sanitat	id=g:6498280
Campanile Clermont Riom	id=g:6498286
Campanile Dunkerque Sud - Loon Plage	id=g:6498288
Campanile Bordeaux Pessac	id=g:6498290
Residence Maeva Les Felibriges	id=g:6498291
Hotel Stars Lille	id=g:6498293
Kyriad - Annecy Cran Gevrier	id=g:6498294
Campanile Geneve - Ferney-Voltaire	id=g:6498299
Kyriad Reims Centre	id=g:6498302
Kyriad Bonneuil Sur Marne	id=g:6498310
Hotel Red Fox	id=g:6498314
Appart'City Nancy	id=g:6498315
Appart'Valley Bordeaux	id=g:6498321
Le Regent Montmartre	id=g:6498324
Campanile Argenteuil	id=g:6498325
Emeraude Hotel Tivoli Etoile	id=g:6498327
Hotel Kyriad Rouen Centre	id=g:6498329
Hotel de Bourgogne	id=g:6498332
Pierre & Vacances Résidences Les Chalets Valoria	id=g:6498333
Campanile Dunkerque Armbouts	id=g:6498335
Resid'Hotel Marseille Le Grand Prado	id=g:6498346
Kyriad Chantilly	id=g:6498348
Campanile Lens	id=g:6498351
Campanile Paris Bobigny	id=g:6498353
Campanile - Frejus Saint Raphae	id=g:6498355
Appart'City Rennes Ouest	id=g:6498359
Kyriad Geneve - Saint-Genis-Pouilly	id=g:6498385
Campanile Toulon 6 Fours	id=g:6498386
Campanile Meaux	id=g:6498389
Campanile Dinan Taden	id=g:6498397
Campanile Compiegne	id=g:6498408
Campanile St Germain En Laye	id=g:6498416
Campanile Sete Balaruc	id=g:6498421
Hôtel Sainte Valérie	id=g:6498425
New hotel Gare du Nord	id=g:6498428
Campanile Lorient Lanester	id=g:6498430
Campanile Brie Comte Robert	id=g:6498434
Campanile Lisieux	id=g:6498439
Campanile Tarbes Bastillac	id=g:6498441
Campanile Grenoble St Martin	id=g:6498445
Campanile Poitiers Chasseneuil	id=g:6498448
Nouvel Hotel	id=g:6498470
Appart'City Lannion	id=g:6498486
Campanile Rennes Cleunay	id=g:6498490
City suites Grenoble Europole	id=g:6498495
Campanile Paris Pont Suresnes	id=g:6498498
Campanile Nimes Mas Carbonnel	id=g:6498500
Campanile Honfleur	id=g:6498525
Campanile Dieppe - Saint Aubin sur Scie	id=g:6498531
Campanile Pont A Mousson	id=g:6498533
Campanile Biarritz	id=g:6498538
Campanile Aix Meyreuil	id=g:6498539
Pierre & Vacances Residence Haguna	id=g:6498540
Campanile Villeneuve D Ascq	id=g:6498542
Hôtel le Chastellan	id=g:6498546
Campanile Lyon - Sainte Foy La Mulatière	id=g:6498550
Escale Oceania Nantes	id=g:6498553
Campanile Hendaye	id=g:6498556
Appart'City Paris	id=g:6498558
Hôtel La Farandole	id=g:6498566
Campanile Bergerac	id=g:6498567
Campanile Vire	id=g:6498569
Hotel Central Montargis	id=g:6498572
Kyriad - Orleans Saran	id=g:6498583
De Hollande	id=g:6498588
Chateau de La Motte Fénelon	id=g:6498589
Campanile Toulouse Labege	id=g:6498590
Kyriad Orly Ville	id=g:6498596
Citea Toulouse	id=g:6498600
Campanile La Rochelle Puilboro	id=g:6498607
Campanile Nogent Sur Marne	id=g:6498617
Campanile Fontenay Tresigny	id=g:6498618
Campanile St Etienne St Chamon	id=g:6498619
Campanile Paris Boulogne	id=g:6498622
Appart'city Brest	id=g:6498625
Campanile Villejuif	id=g:6498627
Campanile Rouen Barentin	id=g:6498631
Le Mas de Pierre	id=g:6498632
Citea Nice Magnan	id=g:6498633
Hotel Première Classe-Rosny sous bois	id=g:6498641
Kyriad Pau Lons	id=g:6498642
Campanile La Ferte Bernard	id=g:6498650
Campanile Douai Cuincy	id=g:6498651
Lenox Montparnasse Hotel	id=g:6498654
Appart'City Le Mans	id=g:6498655
Residence Maeva La Rochelle Centre	id=g:6498662
Kyriad - Marseille Martigues	id=g:6498670
Campanile Dammarie Les Lys	id=g:6498671
Campanile St Malo St Jouan	id=g:6498672
Campanile Clermont Aubiere	id=g:6498673
Campanile Bordeaux Artigues	id=g:6498676
Hotel Dante	id=g:6498683
Mascotte Marseille Vieux Port	id=g:6498692
Appart City Saint Gregoire	id=g:6498693
Campanile Rennes Atalante	id=g:6498695
Campanile Angers Beaucouze	id=g:6498697
Appart'city Cap Affaires La Rochelle	id=g:6498698
Hotel Stars Bordeaux Sud	id=g:6498718
Campanile Chantilly	id=g:6498719
Campanile Lille Roubaix	id=g:6498720
Hotel Le Berry	id=g:6498722
Campanile Bayeux	id=g:6498726
Hotel Latitudes L'Aigle des Neiges	id=g:6498728
Campanile Chambray Les Tours	id=g:6498731
Quality Hotel Alteora	id=g:6498734
Campanile Gennevilliers-Barbanniers	id=g:6498752
Campanile Lille Roncq	id=g:6498755
Appart'City Saint Nazaire	id=g:6498756
Campanile Marseille Martigues	id=g:6498758
Palma Hotel	id=g:6498765
Campanile St Jean De Vedas	id=g:6498766
L'Hotel de Sers	id=g:6498773
Stars Evry	id=g:6498775
Campanile Bethune Fouquieres	id=g:6498776
Campanile - Pau	id=g:6498778
Campanile Nimes Caissargues	id=g:6498786
Campanile Bordeaux Le Lac	id=g:6498788
Appart'city Lille	id=g:6498791
Hotel Mercure Majestic La Baule	id=g:6498792
Residence Maeva L'Aiguille	id=g:6498794
Balladins Express	id=g:6498798
Citea Nantes	id=g:6498801
Campanile Montpellier Est	id=g:6498812
Campanile Metz Technopole	id=g:6498813
