Yongsan	id=g:6882522
Yong-san	id=g:6882523
Wŏlgye	id=g:6882524
Murusil	id=g:6882525
Maran	id=g:6882526
Iptong-ni	id=g:6882527
Orŭmsil	id=g:6882528
Paengnyong-ni	id=g:6882529
Sŏn’gyŏng-sa	id=g:6882530
Hak-tong	id=g:6882531
Todŭlt’ae	id=g:6882532
Pogwang-sa	id=g:6882533
Posini-gogae	id=g:6882534
Mujae	id=g:6882535
Ponghyŏl-li	id=g:6882536
Kulch’i	id=g:6882537
Kulch’i	id=g:6882538
Kulch’i-gogae	id=g:6882539
Myŏngdŏk-san	id=g:6882540
Sinp’ung-myŏn	id=g:6882541
Anmurusil	id=g:6882542
Mŏngdŏk	id=g:6882543
Solch’i	id=g:6882544
Chukch’ŏng	id=g:6882545
Wangdae-dong	id=g:6882546
Hansŏk-kol	id=g:6882547
Kŭmgye-am	id=g:6882548
Chirulli-gogae	id=g:6882549
Tŭl-mal	id=g:6882550
Kol-mal	id=g:6882551
T’o-dong	id=g:6882552
Yut’ujŏng	id=g:6882553
Sangsong	id=g:6882554
Solch’i-gogae	id=g:6882555
Kwamok-tong	id=g:6882556
Anmu-dong	id=g:6882557
Tchakpawi	id=g:6882558
Saryong-dong	id=g:6882559
Wŏlsindae	id=g:6882560
Namch’ŏl-li	id=g:6882561
Padak-kol	id=g:6882562
Ponŭi-ri	id=g:6882563
Migwŏl-sa	id=g:6882564
Haenam-ni	id=g:6882565
Kyebong	id=g:6882566
Haenam	id=g:6882567
Kunjang-dong	id=g:6882568
Pibong-gol	id=g:6882569
Simok-tong	id=g:6882570
Tu-dong	id=g:6882571
Pi-gol	id=g:6882572
Kolttŭm	id=g:6882573
Pŏm-gol	id=g:6882574
Ho-dong	id=g:6882575
Yŏngbul-sa	id=g:6882576
Taedŏk-sa	id=g:6882577
Wŏnmach’i	id=g:6882578
Mach’i-ri	id=g:6882579
Yullae-dong	id=g:6882580
Ch’ilgapsan-doripkongwŏn	id=g:6882581
Ch’ŏnjang-ni	id=g:6882582
Ch’ŏnjang-jŏsuji	id=g:6882583
Chumakttŭm	id=g:6882584
Kuŭl	id=g:6882585
Chŏngsan-myŏn	id=g:6882586
Sae-mal	id=g:6882587
Tae-gol	id=g:6882588
Hu-dong	id=g:6882589
Yŏkch’ol-li	id=g:6882590
Ssukch’i	id=g:6882591
Tojŏng-dong	id=g:6882592
Ch’iktŏk-kol	id=g:6882593
Yŏk-ch’on	id=g:6882594
Kyebong-san	id=g:6882595
Chombaengi	id=g:6882596
Ansim-dong	id=g:6882597
Paeksil	id=g:6882598
T’ongsan	id=g:6882599
Sangp’yŏng	id=g:6882600
Sanjing-mal	id=g:6882601
Todŏk-tong	id=g:6882602
Kwangsaeng-ni	id=g:6882603
Wŏnt’ŏ	id=g:6882604
Saet’ŏ	id=g:6882605
Okhyŏn	id=g:6882606
Sanggŭmdu	id=g:6882607
Tŏk-tong	id=g:6882608
Pŏmnyŏn-sa	id=g:6882609
Ant’ŏ	id=g:6882610
K’ŭn-mal	id=g:6882611
Tol-mal	id=g:6882612
Puksil	id=g:6882613
Yobong	id=g:6882614
Wa-ch’on	id=g:6882615
Nŏbundal	id=g:6882616
Tŏkchae	id=g:6882617
Tŏksŏng-ni	id=g:6882618
Magŭn-gol	id=g:6882619
Hagam-ni	id=g:6882620
Pangch’uk-kol	id=g:6882621
Podŏk-sa	id=g:6882622
Pŏlch’omak	id=g:6882623
Chŏm-gol	id=g:6882624
Kama-gol	id=g:6882625
Puyŏ-ŭp	id=g:6882626
Yongjŏng	id=g:6882627
Tolchaengi	id=g:6882628
Chosŏk-san	id=g:6882629
Sosaemi	id=g:6882630
Tongmak-kol	id=g:6882631
Songgong-ni	id=g:6882632
P’yŏngjŏng-mal	id=g:6882633
Kumŏng-gol	id=g:6882634
Kaundettŭm	id=g:6882635
Sinam-ni	id=g:6882636
Chung-mal	id=g:6882637
Saet’ŏ	id=g:6882638
Kamnamu-gol	id=g:6882639
Nŭngsan-gol	id=g:6882640
Nŭngsal-li	id=g:6882641
Nŭngmoe	id=g:6882642
Sora	id=g:6882643
Sangyŏm	id=g:6882644
Osalmi	id=g:6882645
Osan	id=g:6882646
Yŏmch’ang-ni	id=g:6882647
Kundol	id=g:6882648
Kat’am-ni	id=g:6882649
Tongnam-ni	id=g:6882650
Wangp’o-ri	id=g:6882651
Tang-ni	id=g:6882652
Tong-ni	id=g:6882653
Oppae	id=g:6882654
Sŏksŏng-mal	id=g:6882655
Na-mal	id=g:6882656
Chŏnggak-sa	id=g:6882657
Kama-gol	id=g:6882658
Wissuk-kol	id=g:6882659
T’aejo-bong	id=g:6882660
Sŏksŏng-myŏn	id=g:6882661
Sipchagŏ-ri	id=g:6882662
Chungnak-kol	id=g:6882663
Changmaru	id=g:6882664
Hyojung-ni	id=g:6882665
Sŏppan-mal	id=g:6882666
Yok-kol	id=g:6882667
Kujung-gol	id=g:6882668
Hoam-san	id=g:6882669
Sanso	id=g:6882670
Taeu-ri	id=g:6882671
Sahyŏn	id=g:6882672
Ŏŭl-li	id=g:6882673
Ŭn-gol	id=g:6882674
Salp’ojae	id=g:6882675
T’ap-chae	id=g:6882676
An-gol	id=g:6882677
Hanch’ŏl-li	id=g:6882678
Nosŏng	id=g:6882679
Chungnim-ni	id=g:6882680
Kagong-ni	id=g:6882681
Saegat	id=g:6882682
Puktemi	id=g:6882683
Noch’i-ri	id=g:6882684
Sŏng-dong	id=g:6882685
Saet’ŏ	id=g:6882686
Sinyŏng-ni	id=g:6882687
Saettŭm	id=g:6882688
Saktaewŏl	id=g:6882689
Pansong-ni	id=g:6882690
Yangdalttŭm	id=g:6882691
Yonghwadae	id=g:6882692
Pogyong-ni	id=g:6882693
Sae-mal	id=g:6882694
Ŭmdalttŭm	id=g:6882695
Kusu-ri	id=g:6882696
Sin’giryŏng-gogae	id=g:6882697
K’ŭndŭl	id=g:6882698
Samgagi	id=g:6882699
T’anch’ŏn-myŏn	id=g:6882700
Pangjae	id=g:6882701
Kuktong-ni	id=g:6882702
Sinjŏn	id=g:6882703
Oryong-gol	id=g:6882704
Sorasil	id=g:6882705
Songhang-ni	id=g:6882706
Kŭmujŏl	id=g:6882707
Ch’angam-ni	id=g:6882708
Yuha-ri	id=g:6882709
Pŏdŭl-gol	id=g:6882710
Kŏnjiul	id=g:6882711
Pan’gok	id=g:6882712
Sama-san	id=g:6882713
Yongbong-ni	id=g:6882714
Kŭmdang-gol	id=g:6882715
Suru-gol	id=g:6882716
Odong-ni	id=g:6882717
Mŏgŭrŭm	id=g:6882718
Yongso	id=g:6882719
Pohŭng-ni	id=g:6882720
Narugae	id=g:6882721
Kŏnnŏng-gol	id=g:6882722
Pansŏn-mal	id=g:6882723
Pongjŏng-dong	id=g:6882724
Hyoja-gyo	id=g:6882725
Oksŏng-ni	id=g:6882726
Sŏngmŏ-ri	id=g:6882727
Tolgoji	id=g:6882728
Chagŭnjak-kol	id=g:6882729
Kaejŏn	id=g:6882730
Punt’o-gol	id=g:6882731
Taesŏng-ni	id=g:6882732
Taemunan	id=g:6882733
Maedang	id=g:6882734
Yang-ch’on	id=g:6882735
Naech’ang	id=g:6882736
Panghŭng-ni	id=g:6882737
Mŏkpangi	id=g:6882738
Nalgŭnt’ŏ	id=g:6882739
Changgi-myŏn	id=g:6882740
Tonghyŏl-li	id=g:6882741
Chumakkŏ-ri	id=g:6882742
Tŏkhŭng	id=g:6882743
Ŏdŏgi	id=g:6882744
Wŏlsong-dong	id=g:6882745
Chungmi	id=g:6882746
Chang-gol	id=g:6882747
Ilsin	id=g:6882748
Kŭmhŭng-dong	id=g:6882749
Ch’imi	id=g:6882750
Ssangsin-dong	id=g:6882751
Songsan	id=g:6882752
Wŏlmi-dong	id=g:6882753
Hwangsae-gol	id=g:6882754
Sinung-ni	id=g:6882755
Hasin	id=g:6882756
Sojŏngi	id=g:6882757
Kŭmsŏng-dong	id=g:6882758
Ungjin-dong	id=g:6882759
Kyo-dong	id=g:6882760
Yŏngŭn-sa	id=g:6882761
Kŭmgang-gyo	id=g:6882762
Paekche-k’ŭndari	id=g:6882763
Kongju-daegyo	id=g:6882764
Simok-tong	id=g:6882765
Yangch’ŏnjae	id=g:6882766
Sin’gongju-daegyo	id=g:6882767
Nŭratch’i	id=g:6882768
Murŭng-dong	id=g:6882769
Yangjittŭm	id=g:6882770
Taraeul	id=g:6882771
Sangsong	id=g:6882772
Yongch’ŏn-sa	id=g:6882773
Chung-mal	id=g:6882774
Changam-ni	id=g:6882775
Sinnamu-gol	id=g:6882776
Sŏkchang	id=g:6882777
Taech’u-gol	id=g:6882778
Mok-kol	id=g:6882779
Sohaksŏm	id=g:6882780
Sohak-tong	id=g:6882781
Taebak-kol	id=g:6882782
Mak-kol	id=g:6882783
Nopŭnhaengil	id=g:6882784
Ponghwa-dae	id=g:6882785
Chung-dong	id=g:6882786
Chunghak-tong	id=g:6882787
Sae-mal	id=g:6882788
Yangji-am	id=g:6882789
Panjuk-tong	id=g:6882790
Paengnyŏn-sa	id=g:6882791
Siŏ-gol	id=g:6882792
Kŭmhak-tong	id=g:6882793
Sŏnghwangdangi	id=g:6882794
Chumi	id=g:6882795
Chumi-dong	id=g:6882796
Namhyŏl-sa	id=g:6882797
Hasŏnda-ri	id=g:6882798
Kamaul	id=g:6882799
Win-mal	id=g:6882800
Yo-gol	id=g:6882801
Sŏnjŏl	id=g:6882802
Saet’ŏ	id=g:6882803
Wang-ch’on	id=g:6882804
Araedwang-ch’on	id=g:6882805
Myŏngdŏk-san	id=g:6882806
Todŏk-kol	id=g:6882807
Myŏngdŏg-am	id=g:6882808
Kobi-gol	id=g:6882809
Nandaengi	id=g:6882810
Soryong	id=g:6882811
Sihwasan	id=g:6882812
Chung-mal	id=g:6882813
Yŏsaul	id=g:6882814
Hwaŭl-li	id=g:6882815
Sŏnghwa-san	id=g:6882816
Kŏsawŏn	id=g:6882817
Hyangp’o	id=g:6882818
Chŏm-gol	id=g:6882819
Ogok-tong	id=g:6882820
Mak-kol	id=g:6882821
Changjaul	id=g:6882822
Osil	id=g:6882823
Chŏm-mal	id=g:6882824
Okkogae	id=g:6882825
Paryang-ni	id=g:6882826
Pokkwi-san	id=g:6882827
Chungdae	id=g:6882828
Sojŏngi	id=g:6882829
Wŏn-dong	id=g:6882830
Uwa-ri	id=g:6882831
Hŭngnyong	id=g:6882832
Pansong	id=g:6882833
Kuwang-ni	id=g:6882834
Hach’ŏngso	id=g:6882835
