Rogers Avenue Station Post Office	id=g:4128896
Rogers Bayou	id=g:4128897
Rodman Hill	id=g:4128898
Rogers Branch	id=g:4128899
Rogers CHapel	id=g:4128900
Rogers Cemetery	id=g:4128901
Rogers Cemetery	id=g:4128902
Rogers Cemetery	id=g:4128903
Rogers Chapel	id=g:4128904
Rogers Chapel (historical)	id=g:4128905
Rogers Church of God	id=g:4128906
Rogers City Hall	id=g:4128907
Rogers Creek	id=g:4128908
Rogers Camp	id=g:4128909
Rogers High School	id=g:4128910
Rogers High School Sophomore Campus	id=g:4128911
Rogers Hollow	id=g:4128912
Rogers Creek	id=g:4128913
Rogers Mine	id=g:4128914
Rogers Municipal Airport	id=g:4128915
Rogers Park	id=g:4128916
Rogers Post Office	id=g:4128917
Rogers Restoration Church of Jesus Christ	id=g:4128918
Rogers School	id=g:4128919
Rogers School (historical)	id=g:4128920
Rogers School (historical)	id=g:4128921
Rogers Seventh Day Adventist Church	id=g:4128922
Rogers Wesleyan Church	id=g:4128923
Township of Rogers	id=g:4128924
Rohwer	id=g:4128925
Rokey	id=g:4128926
Roland	id=g:4128927
Township of Roland (historical)	id=g:4128928
Roland Cemetery	id=g:4128929
Roland Divide	id=g:4128930
Roland Post Office	id=g:4128931
Rolands Fork	id=g:4128932
Rogers Middle School	id=g:4128933
Rolfe Chapel Freewill Baptist Church	id=g:4128934
Rolfe Church	id=g:4128935
Rolfe Junction	id=g:4128936
Rolfe School	id=g:4128937
Rolfe School (historical)	id=g:4128938
Rolla	id=g:4128939
Township of Roller Ridge (historical)	id=g:4128940
Rolling Creek	id=g:4128941
Rolands Raft	id=g:4128942
Rolling Fork	id=g:4128943
Rolling Hills	id=g:4128944
Rolling Hills Country Club	id=g:4128945
Rolling Hills Pond	id=g:4128946
Rolling Hills Pond Dam	id=g:4128947
Rolling Shoal Ford	id=g:4128948
Rolling Water Cemetery	id=g:4128949
Rollingwall School	id=g:4128950
Rollins Point	id=g:4128951
Rollins Point	id=g:4128952
Rollinson (historical)	id=g:4128953
Rollison Church (historical)	id=g:4128954
Rollison School (historical)	id=g:4128955
Rolloff Bluff	id=g:4128956
Rolloff Mountain	id=g:4128957
Romance	id=g:4128958
Romance Post Office	id=g:4128959
Rome Cemetery	id=g:4128960
Rome City (historical)	id=g:4128961
Romeo Cut	id=g:4128962
Romine Elementary School	id=g:4128963
Romine Interdist Elementary School	id=g:4128964
Rondo	id=g:4128965
Rondo	id=g:4128966
Rondo Cemetery	id=g:4128967
Rondo School (historical)	id=g:4128968
Rone	id=g:4128969
Ronoke Church	id=g:4128970
Rooker Creek	id=g:4128971
Rolling Hills	id=g:4128972
Roosevelt Church	id=g:4128973
Roosevelt Lake	id=g:4128974
Roosevelt Shopping Center	id=g:4128975
Root Elementary School	id=g:4128976
Root Hill	id=g:4128977
Root Park	id=g:4128978
Roper Cometery	id=g:4128979
Roper Hollow	id=g:4128980
Roosevelt	id=g:4128981
Roper School	id=g:4128982
Township of Rorie (historical)	id=g:4128983
Rorie Cemetery	id=g:4128984
Rosa	id=g:4128985
Rosa Baptist Church	id=g:4128986
Rosa Cemetery	id=g:4128987
Rosa Church (historical)	id=g:4128988
Rosa Pocket	id=g:4128989
Rosboro	id=g:4128990
Rosboro Missionary Baptist Church (historical)	id=g:4128991
Roscoe Church	id=g:4128992
Township of Rose (historical)	id=g:4128993
Rose Berry Chute	id=g:4128994
Rose Branch	id=g:4128995
Roper Mountain	id=g:4128996
Rose Bud Cemetery	id=g:4128997
Rose Bud Elementary School	id=g:4128998
Rose Bud High School	id=g:4128999
Rose Cemetery	id=g:4129000
Rose City	id=g:4129001
Rose City Assembly of God Church	id=g:4129002
Rose City Church of Christ	id=g:4129003
Rose City Church of the Nazarene	id=g:4129004
Rose City Cumberland Presbyterian Church	id=g:4129005
Rose City Elementary School	id=g:4129006
Rose City Junior High School	id=g:4129007
