Hissar	id=g:6301098
Jhansi	id=g:6301099
Jodhpur	id=g:6301100
Jaipur / Sanganer	id=g:6301101
Kota Aerodrome	id=g:6301102
Satna	id=g:6301103
Udaipur Dabok	id=g:6301104
Bangalore / Hindustan	id=g:6301118
Bellary	id=g:6301119
Vijayawada / Gannavaram	id=g:6301120
Coimbatore / Peelamedu	id=g:6301121
Cochin / Willingdon	id=g:6301122
Cuddapah	id=g:6301123
Hyderabad Airport	id=g:6301124
Madurai	id=g:6301125
Mangalore / Bajpe	id=g:6301126
Madras / Minambakkam	id=g:6301127
Tiruchchirapalli	id=g:6301128
Thiruvananthapuram	id=g:6301129
Vellore	id=g:6301130
Bhaunagar	id=g:6301869
New Delhi / Palam	id=g:6301872
Lucknow / Amausi	id=g:6301873
Hitec City	id=g:6301936
Kosisttalaiyār River	id=g:6314541
Malleshwaram Circle	id=g:6316268
K C General Hospital	id=g:6316269
Bangalore City Railway Station	id=g:6316270
Bangalore Turf Club - Race Course Road (Near Mallige Hospital)	id=g:6316271
BioEnable Tech (Office)	id=g:6324506
IIT - Bombay	id=g:6324619
Kanjur Marg	id=g:6324620
Powai	id=g:6324621
Vaishnavi Nagar	id=g:6324622
Annanur	id=g:6324623
Railway Car Shed	id=g:6324624
All India Radio Transmitting Station	id=g:6324625
Vaishnavi Temple	id=g:6324626
Shiva Temple	id=g:6324627
Amman Temple	id=g:6324628
Sir Ivan Stedeford Hospital	id=g:6324629
M A Chidambaram Cricket Stadium	id=g:6324631
India Gate	id=g:6325513
Gateway of India	id=g:6355196
Khambālya	id=g:6417338
Gādu	id=g:6417339
Mādhwād Bay	id=g:6417343
Mālsaram	id=g:6417346
Kadwār	id=g:6417357
Khāri River	id=g:6417358
Kāmnāth Temple	id=g:6417359
Gorsar	id=g:6417360
Sāmlāsar	id=g:6417366
Bhāvda	id=g:6417370
Barada	id=g:6417372
Vāchhu	id=g:6417373
Okhamandal	id=g:6417375
Navi Dhrewād	id=g:6417377
Gurgat	id=g:6417378
Gāga	id=g:6417379
Navadra	id=g:6417383
Chandrāwāda	id=g:6417384
Kuchhadi	id=g:6417385
Degām	id=g:6417386
Ādityāna	id=g:6417387
Ojat Nadi	id=g:6417388
Garej	id=g:6417389
Pindara	id=g:6417392
Ran	id=g:6417393
Rajpara	id=g:6417394
Khākharda	id=g:6417395
Kalyānpur	id=g:6417396
Bagwadar	id=g:6417397
Tukda Miyāni	id=g:6417401
Tukda	id=g:6417403
Roji Bet	id=g:6417407
Mithoi	id=g:6417408
Mojap	id=g:6417409
Dāri	id=g:6417411
Kalidhar Hill	id=g:6417412
Kuranga	id=g:6417606
Vasai	id=g:6417917
Sarmat	id=g:6417918
Malabar Point	id=g:6418213
Pilots Bandar	id=g:6418236
Shoal Bank	id=g:6419247
Paga Reef	id=g:6419248
Burāl Reef	id=g:6419249
Bhimgāj Talāv	id=g:6419250
Gomti Talāv	id=g:6419251
Bhimgāj Talāv	id=g:6419252
Khāri Nadi	id=g:6419253
Khārākhetar Sarovar	id=g:6419254
Kotda	id=g:6419255
Lohegaon	id=g:6452628
Gaggal	id=g:6453418
Ramanashree California Resort	id=g:6461942
St Marks Hotel	id=g:6461952
Kadavu Resort	id=g:6462004
Taj Bengal	id=g:6462018
Hotel Midland	id=g:6462064
Taj Mahal Hotel	id=g:6462474
The Oberoi Vanyavilas, Ranthambore	id=g:6462560
The Oberoi Udaivilas, Udaipur	id=g:6462579
The Muthoot Plaza	id=g:6463241
Taj Residency Ummed	id=g:6463389
Renaissance Mumbai Hotel And Convention Center	id=g:6463686
La Place Park Inn Lucknow	id=g:6463759
The Oberoi Amarvilas, Agra	id=g:6464288
Wildflower Hall, In the Himalayas	id=g:6464489
Trident Hilton Udaipur	id=g:6464535
Hotel Marine Plaza	id=g:6464708
The Peerless Inn - Kolkata	id=g:6464744
Umaid Bhawan Palace	id=g:6464823
Ambassador Hotel	id=g:6464920
Trident Hilton Cochin	id=g:6465125
The Peerless Inn - Durgapur	id=g:6465144
Taj Blue Diamond	id=g:6465265
The Park Hotel - Calcutta	id=g:6466320
Lords Park Inn International	id=g:6466471
Radha Park Inn Chennai	id=g:6466760
Majestic Park Plaza	id=g:6467298
Howard Park Plaza	id=g:6467486
Marriott Goa Resort	id=g:6467617
The Oberoi Cecil, Shimla	id=g:6467860
Taj Palace Hotel	id=g:6468612
Jai Mahal Palace	id=g:6468769
Taj President	id=g:6468941
Metro Height	id=g:6470810
Park	id=g:6470816
Heritage	id=g:6470873
West End	id=g:6470888
Orchid - An Ecotel Hotel	id=g:6470912
Sahil	id=g:6470960
City Park	id=g:6471023
Hans Plaza	id=g:6471032
Qutab	id=g:6471036
Ramada Palm Grove	id=g:6471115
Regent Continental	id=g:6471119
Majorda Beach Resort	id=g:6471182
Sun-N-Sand	id=g:6471251
Imperial	id=g:6471422
Claridges	id=g:6471632
Samrat	id=g:6471638
InterContinental Grand	id=g:6471846
Leela	id=g:6471921
Park Hyatt Goa	id=g:6472119
Oberoi	id=g:6472272
Fariyas	id=g:6472438
Ambassador	id=g:6472517
Connaught	id=g:6472523
Eastern International	id=g:6472526
InterContinental Grand	id=g:6472647
Ashok Country Resort	id=g:6472734
Orchid	id=g:6472815
Grand	id=g:6472909
Oberoi Maidens	id=g:6472979
Radisson	id=g:6473050
Ashok	id=g:6473113
Marine Plaza	id=g:6473191
The Oberoi Rajvilas, Jaipur	id=g:6473763
Trident Hilton Jaipur	id=g:6475264
The Oberoi, Bangalore	id=g:6477032
Ramada Caravela Beach Resort	id=g:6480151
The Oberoi, New Delhi	id=g:6480484
The Oberoi Grand, Kolkata	id=g:6480605
The Oberoi Mumbai	id=g:6480894
Trident Hilton Agra	id=g:6480914
Trident Hilton Chennai	id=g:6481115
Maidens Hotel, Delhi	id=g:6482658
Hilton Towers Mumbai	id=g:6483811
Hotel Aroma Palace	id=g:6487824
Dog Star  Group Of Houseboats	id=g:6487846
Bajaj Indian Home Stay	id=g:6487906
Ista	id=g:6487965
Hotel Gulshan International	id=g:6488032
Hotel Maurya Heritage	id=g:6488141
Hotel Regale Inn	id=g:6488168
Ambusha resorts Pvt Ltd	id=g:6488181
Hotel Samrat	id=g:6488254
The Terraces	id=g:6488268
Tharavadu Houseboats	id=g:6488322
Udai Bilas Palace	id=g:6488465
Kumarakom Lake Resort	id=g:6488523
Butterfly Group Of Houseboat	id=g:6488528
Hotel Rahul Palace	id=g:6488598
The Renaissance Cochin	id=g:6488676
Hotel Mohan International	id=g:6488688
Greenview Inn	id=g:6488886
Bakers Resort Kovalam	id=g:6488887
Red Hill Nature Resort	id=g:6488889
Hotel  Paul's Court	id=g:6488944
Anjani Hotel	id=g:6489001
Maanavi Home	id=g:6489083
The Maya Hotel	id=g:6489317
Radisson GRT Hotel	id=g:6489347
Hotel Holy Night	id=g:6489350
Astoria	id=g:6489440
Hotel Pablas International	id=g:6489511
Hotel Ajanta	id=g:6489569
Sherwood Resort	id=g:6489572
Hotel Paras International	id=g:6489599
Hotel Welcome Palace	id=g:6489673
Hotel umaid bhawan palace	id=g:6489700
Hotel Rajputana Palace	id=g:6489891
Krishna Prakash Heritage Haveli	id=g:6489901
Hotel Mount View	id=g:6490014
Hotel Sri Nanak Continental	id=g:6490092
Hotel Crest Inn	id=g:6490104
Vacres Manali Resorts	id=g:6490121
#100 Bed and Breakfast	id=g:6490138
Hotel Chand Palace	id=g:6490305
white house beach resort	id=g:6490324
The Grand Inn	id=g:6490330
Hotel Prince International	id=g:6490342
Hotel Tara Palace	id=g:6490449
Himmatgarh Palace	id=g:6491572
Hotel Swasno Palace	id=g:6491588
Park Plaza Jodhpur	id=g:6491595
Hotel Vishal Residency	id=g:6491615
Hyderabad Marriott Hotel	id=g:6491700
Samode Palace	id=g:6491858
Hotel Mahendra Prakash	id=g:6492235
Lemon Tree Amarante Beach Resort	id=g:6492240
Hotel Sarang Palace	id=g:6492471
Cicada Kabini	id=g:6492577
Hotel Madonna	id=g:6492729
Umaid Mahal (A Heritage Castle)	id=g:6493242
Taj Hari Mahal	id=g:6493488
The Renaissance Cochin Kappad Beach Resort	id=g:6493712
Taj Garden Retreat	id=g:6493858
Pablas International	id=g:6493944
Ramada Plaza Palm Grove	id=g:6494259
Taj Lake Palace	id=g:6494480
Hotel Suncity	id=g:6494489
Hotel The Ummeid Jodhpur	id=g:6494629
Taj Exotica	id=g:6494663
Hyatt Regency Mumbai	id=g:6494682
Taj Ganges	id=g:6494700
Courtyard by Marriott Chennai	id=g:6494745
Park Plaza Hotel	id=g:6494874
Bombay Luxury Apartments	id=g:6495327
Radisson Hotel Noida	id=g:6495493
