Phumĭ Sâmbuŏr	id=g:1825161
Phumĭ Sâmbuŏr	id=g:1825162
Phumĭ Sâmbuŏr	id=g:1825163
Phumĭ Sâmbuŏr	id=g:1825164
Phumĭ Sâmbuŏr	id=g:1825165
Phumĭ Sâmbuŏr	id=g:1825166
Phumĭ Sâmbuŏr	id=g:1825167
Phumĭ Sâmbuŏr	id=g:1825168
Phumĭ Sâmbuŏr	id=g:1825169
Phumĭ Sâmbuŏr	id=g:1825170
Phumĭ Sâmbuŏr	id=g:1825171
Phumĭ Sâmbuŏr	id=g:1825172
Phumĭ Sâmbuŏr	id=g:1825173
Phumĭ Sâmbuŏr	id=g:1825174
Phumĭ Sâmbuŏr	id=g:1825175
Phumĭ Sâmbuŏr	id=g:1825176
Phumĭ Sâmbŏs	id=g:1825177
Phumĭ Sâmborn	id=g:1825178
Phumĭ Sâmbor	id=g:1825179
Phumĭ Sâmbôk Moăn	id=g:1825180
Phumĭ Sâmbŏk Âk	id=g:1825181
Phumĭ Sâmbo	id=g:1825182
Phumĭ Sâmbăt	id=g:1825183
Phumĭ Sâmâr Léav	id=g:1825184
Phumĭ Sâmâr Khmêr	id=g:1825185
Phumĭ Sâmâr	id=g:1825186
Phumĭ Sâm Ang	id=g:1825187
Phumĭ Sâmakôm Kausu Khmêr	id=g:1825188
Phumĭ Samâ Êm	id=g:1825189
Phumĭ S’âm	id=g:1825190
Phumĭ Salŏng	id=g:1825191
Phumĭ Saliv	id=g:1825192
Phumĭ Saliĕng	id=g:1825193
Phumĭ Salém	id=g:1825194
Phumĭ Sala Vichey (1)	id=g:1825195
Phumĭ Sala Thmâ	id=g:1825196
Phumĭ Sala Ta Ŏng	id=g:1825197
Phumĭ Sala Ta Chĕn	id=g:1825198
Phumĭ Sala Phlov Véay	id=g:1825199
Phumĭ Sala Krau (1)	id=g:1825200
Phumĭ Sala Krau	id=g:1825201
Phumĭ Sala Kraôm	id=g:1825202
Phumĭ Sala Khêt	id=g:1825203
Phumĭ Sala Kâkaôh	id=g:1825204
Phumĭ Sala Dâmbâng	id=g:1825205
Phumĭ Sala Chăs	id=g:1825206
Phumĭ Sala Ângk Chănt	id=g:1825207
Phumĭ Sala	id=g:1825208
Phumĭ Sala	id=g:1825209
Phumĭ Sala	id=g:1825210
Phumĭ Sala	id=g:1825211
Phumĭ Sala	id=g:1825212
Phumĭ Săk Sâmpŏu	id=g:1825213
Phumĭ Sakôr Trâbêk	id=g:1825214
Phumĭ Sakôr	id=g:1825215
Phumĭ Sakhun	id=g:1825216
Phumĭ Sakâr Svay	id=g:1825217
Phumĭ Săk Ânlung	id=g:1825218
Phumĭ Sâk	id=g:1825219
Phumĭ Sai Mai	id=g:1825220
Phumĭ Sai	id=g:1825221
Phumĭ Săch Puk	id=g:1825222
Phumĭ Săch Hăb	id=g:1825223
Phumĭ Sabu	id=g:1825224
Phumĭ Sâbbŏrós	id=g:1825225
Phumĭ Rŭn Pŏăh	id=g:1825226
Phumĭ Rung (1)	id=g:1825227
Phumĭ Rung Dêk Ka	id=g:1825228
Phumĭ Rung Chrey	id=g:1825229
Phumĭ Rung Âmpĭl	id=g:1825230
Phumĭ Rung	id=g:1825231
Phumĭ Rung	id=g:1825232
Phumĭ Rung	id=g:1825233
Phumĭ Rŭng	id=g:1825234
Phumĭ Rung	id=g:1825235
Phumĭ Rŭn	id=g:1825236
Phumĭ Rŭn	id=g:1825237
Phumĭ Rŭn	id=g:1825238
Phumĭ Rŭn	id=g:1825239
Phumĭ Rŭn	id=g:1825240
Phumĭ Rŭn	id=g:1825241
Phumĭ Rŭn	id=g:1825242
Phumĭ Rŭn	id=g:1825243
Phumĭ Rumpŭk	id=g:1825244
Phumĭ Rumpŭh	id=g:1825245
Phumĭ Rumpót	id=g:1825246
Phumĭ Rumpeun	id=g:1825247
Phumĭ Rumpé Lĕch	id=g:1825248
Phumĭ Rumpeăk	id=g:1825249
Phumĭ Rumloŭng	id=g:1825250
Phumĭ Rumlông	id=g:1825251
Phumĭ Rumlĭch	id=g:1825252
Phumĭ Rumlĭch	id=g:1825253
Phumĭ Rŭmleung	id=g:1825254
Phumĭ Rŭmléch	id=g:1825255
Phumĭ Rumléch	id=g:1825256
Phumĭ Rumduŏl (2)	id=g:1825257
Phumĭ Rumduŏl (1)	id=g:1825258
Phumĭ Rumduŏl	id=g:1825259
Phumĭ Rumduŏl	id=g:1825260
Phumĭ Rumduŏl	id=g:1825261
Phumĭ Rumdéng	id=g:1825262
Phumĭ Rumdéng	id=g:1825263
Phumĭ Rumdéng	id=g:1825264
Phumĭ Rumdéng	id=g:1825265
Phumĭ Rumdéng	id=g:1825266
Phumĭ Rumchék	id=g:1825267
Phumĭ Rumchék	id=g:1825268
Phumĭ Rŭmchék	id=g:1825269
Phumĭ Rumchék	id=g:1825270
Phumĭ Rumchék	id=g:1825271
Phumĭ Rumchék	id=g:1825272
