Bauhit	id=g:342633
Bauet	id=g:342634
Baua	id=g:342635
Batu Shet’	id=g:342636
Batu	id=g:342637
Batimbo	id=g:342639
Batī Dīda	id=g:342640
Batī	id=g:342641
Batī	id=g:342642
Batē YeIsate Gemora Āf	id=g:342643
Batē Shet’	id=g:342644
Batelē	id=g:342645
Batē	id=g:342646
Batē	id=g:342647
Batē	id=g:342648
Bataxa	id=g:342649
Batanissa	id=g:342650
Bata	id=g:342651
Bastora	id=g:342652
Bassiba	id=g:342653
Basra	id=g:342654
Baso Shet’	id=g:342655
Baso Ber Gebeya	id=g:342656
Baso	id=g:342657
Baskura	id=g:342658
Basī	id=g:342659
Bashī Maryam Bēte Kristīyan	id=g:342660
Basha	id=g:342661
Basamiel	id=g:342664
Barya Motebet Shet’	id=g:342665
Barya Ābo Bēte Kristīyan	id=g:342666
Barusha	id=g:342667
Barurudda	id=g:342668
Baruga Tekle Haymanot Bēte	id=g:342669
Barudi	id=g:342672
Barto	id=g:342673
Barte Guba Shet’	id=g:342674
Barta	id=g:342675
Barsho Shet’	id=g:342677
Barsho Shet’	id=g:342678
Bar Shēvēl	id=g:342679
Barsachime	id=g:342680
Barri	id=g:342681
Barri	id=g:342682
Barri	id=g:342683
Barri	id=g:342684
El Barre	id=g:342686
Barocho	id=g:342688
Baro	id=g:342689
Baro	id=g:342690
Baro	id=g:342691
Barneb Shet’	id=g:342692
Barna Bota	id=g:342693
Bar Mēda	id=g:342695
Barkwa	id=g:342697
Bar Kot	id=g:342698
Bariressu	id=g:342700
Bar Iere	id=g:342701
Baridiot	id=g:342702
Bari	id=g:342703
Bar Hugn	id=g:342704
Bargu	id=g:342705
Bargo	id=g:342706
Bargela	id=g:342708
Bargē	id=g:342709
Barēy	id=g:342710
Baremma	id=g:342712
Baregaddi	id=g:342713
Barē Bota	id=g:342714
Bardo	id=g:342717
Bardica	id=g:342718
Bardanchi	id=g:342719
Barchu	id=g:342721
Barca	id=g:342723
Barberi Cura	id=g:342724
Barbara	id=g:342725
Baraulo	id=g:342726
Barat K’īrk’os Bēte Kristīyan	id=g:342727
Baratieri Falls	id=g:342728
Barat Bota	id=g:342729
Barat	id=g:342730
Baras	id=g:342731
Bararato	id=g:342732
Barar	id=g:342733
Baranta Terara	id=g:342734
Baramo	id=g:342736
Barali	id=g:342737
Bar Ali	id=g:342738
Barakwich	id=g:342739
Baraghello	id=g:342741
Baraghello	id=g:342742
Barado	id=g:342743
Barada	id=g:342745
Baraco	id=g:342746
Bar Abir	id=g:342748
Āmba Bara	id=g:342749
Bara	id=g:342750
Bara	id=g:342751
Bara	id=g:342752
Bapuwak’wē Wenz	id=g:342753
Bantyiketu	id=g:342756
Bantu Mīka’ēl Bēte Kristīyan	id=g:342757
Bantu	id=g:342758
Bantu	id=g:342759
Bantu	id=g:342760
Banta	id=g:342761
Banno	id=g:342762
Bannare	id=g:342763
Banlileheli	id=g:342764
Banja Bota	id=g:342765
Banja	id=g:342766
Banī Terara	id=g:342767
Banī Mēda	id=g:342768
Bangon	id=g:342769
Bangol	id=g:342770
Jebel Bange	id=g:342771
Baneta	id=g:342772
Bandīra	id=g:342773
Bandi	id=g:342774
Bander	id=g:342775
Bandē	id=g:342776
Banca Ellis	id=g:342777
Banca Aror	id=g:342778
Bananuein	id=g:342779
Bana	id=g:342780
Bamo	id=g:342781
Bameza	id=g:342782
Bameza	id=g:342783
Bambu	id=g:342785
Bambolina	id=g:342786
Bambesi	id=g:342787
Bambesi	id=g:342788
Bambelo	id=g:342789
Bamba Shet’	id=g:342790
Bamba	id=g:342791
Balumbal	id=g:342792
Baltach	id=g:342794
Balta	id=g:342795
Balma	id=g:342796
Balli Nur	id=g:342798
Balli God	id=g:342799
Balli Bulhan	id=g:342800
El Balli Addo	id=g:342801
Balli Abdi Ali	id=g:342802
Balli	id=g:342803
Ballei	id=g:342804
Balleh Bodomadu	id=g:342805
Balla Mudana	id=g:342807
Ballago	id=g:342808
Balimeda	id=g:342810
Balfo	id=g:342811
Balezze	id=g:342812
Balē Terara	id=g:342813
Balesebu	id=g:342814
Balemballeh	id=g:342815
Bale Kurma	id=g:342816
Balē Kifle Hāger	id=g:342817
Balēda	id=g:342818
Balē	id=g:342819
Balē	id=g:342820
Bale	id=g:342821
Bale	id=g:342822
Bale	id=g:342823
Bale	id=g:342824
Baldo	id=g:342825
Balch’ī Sefer	id=g:342827
Balch’ī	id=g:342828
Balch’ī	id=g:342829
Balch’	id=g:342830
Balch’	id=g:342831
Balch’	id=g:342832
Balbalar	id=g:342833
Balbalaiar	id=g:342834
Balbalad	id=g:342835
Balani	id=g:342836
Balam Shet’	id=g:342837
Bala Medeb Shet’	id=g:342838
Amba Balambras	id=g:342839
Balamba	id=g:342840
Balala	id=g:342841
Balakurda	id=g:342842
Balago	id=g:342843
Balaghel	id=g:342844
Balachia	id=g:342845
Lak Bala	id=g:342846
Bala	id=g:342847
Bal	id=g:342848
Bakurē	id=g:342849
Bak’ulē	id=g:342850
Boku	id=g:342851
Bako Timhirt Bēt	id=g:342852
Bako Sudan Īntīriyer Mīsīyon	id=g:342853
Bako Mīka’ēl Bēte Kristīyan	id=g:342854
Bako	id=g:342855
Bako	id=g:342856
Bak’ī Bota	id=g:342857
Baka Terara	id=g:342858
Baka	id=g:342859
Baka	id=g:342860
Baka	id=g:342861
Baja’i	id=g:342862
Baja	id=g:342863
Baitiok	id=g:342864
Ba‘ita Maryam Bēte Kristīyan	id=g:342865
Ba’itakor Maryam Bēte Kristīyan	id=g:342866
Ba’itakor	id=g:342867
Ba’īso	id=g:342868
Bair Said	id=g:342869
Ba’ido	id=g:342871
Bahu	id=g:342872
Bahto Bota	id=g:342873
Bahoch	id=g:342874
Bahita	id=g:342875
Bahita	id=g:342876
Bahita	id=g:342877
Bahīt	id=g:342878
Bahirya Bēto Shet’	id=g:342879
Bahiro	id=g:342880
Bahir Hat’era	id=g:342882
Bahir Dar Āwraja	id=g:342883
Bahir Dar	id=g:342884
Bahira Maryam Bēte Kristīyan	id=g:342885
Bahira	id=g:342886
Baheri	id=g:342887
Bahad	id=g:342890
Bahacois	id=g:342891
Bagusta	id=g:342892
Baguna Maryam Bēte Kristīyan	id=g:342893
Baguna	id=g:342894
