Basin Peak	id=g:6203560
Students Peak	id=g:6203561
Mount Christina	id=g:6203562
South Peak	id=g:6203563
East Peak	id=g:6203564
Camera Flat	id=g:6203565
Disappointment Creek	id=g:6203566
Windfall Creek	id=g:6203567
Hirere Shelter	id=g:6203568
Kakapo Point	id=g:6203569
Hidden Lake	id=g:6203570
Milford Track	id=g:6203571
Pompolona Huts	id=g:6203572
Clinton Canyon	id=g:6203573
Mintaro Hut	id=g:6203574
Mackinnon Pass Shelter	id=g:6203575
Milford Track	id=g:6203576
Quintin Huts	id=g:6203577
Couloir Peak	id=g:6203578
Annick Peak	id=g:6203579
Bus Stop Shelter	id=g:6203580
Milford Track	id=g:6203581
Glade House	id=g:6203582
Avenue of Disappearing Mountain	id=g:6203583
DARRAN MOUNTAINS	id=g:6203584
Routeburn Track	id=g:6203585
Howden Hut	id=g:6203586
The Divide	id=g:6203587
The Divide Shelter	id=g:6203588
McKellar Hut	id=g:6203589
North Fiord	id=g:6203590
Lake Te Anau	id=g:6203591
Henderson Burn	id=g:6203592
Narrows	id=g:6203593
Hunter Pass	id=g:6203594
Mackinnon Pass	id=g:6203595
Marshall Pass	id=g:6203596
U Pass	id=g:6203597
Glade Pass	id=g:6203598
Greenstone Saddle	id=g:6203599
Twin Sisters	id=g:6203600
Mount Mitchelson	id=g:6203601
David Peaks	id=g:6203602
Ryans Creek	id=g:6203603
Bagpipe Creek	id=g:6203604
Gorge River	id=g:6203605
Saddle Creek	id=g:6203606
Kawhaka Creek	id=g:6203607
Rocky Creek	id=g:6203608
Murray Creek	id=g:6203609
Cascade River	id=g:6203610
Cascade River	id=g:6203611
Cascade River	id=g:6203612
Gorge River	id=g:6203613
Blackwater Creek	id=g:6203614
Spoon River	id=g:6203615
Little Cascade Creek	id=g:6203616
Big Cascade Creek	id=g:6203617
Frieda Creek	id=g:6203618
Bateman Creek	id=g:6203619
Hope River	id=g:6203620
Thusnelda Creek	id=g:6203621
Saddle Creek	id=g:6203622
Falls Creek	id=g:6203623
Theta Tarn	id=g:6203624
Kappa Creek	id=g:6203625
Gamma Creek	id=g:6203626
Beta Creek	id=g:6203627
Woodhen Pond	id=g:6203628
Woodhen Creek	id=g:6203629
McKay Creek	id=g:6203630
McArthur Creek	id=g:6203631
Scrambling Creek	id=g:6203632
Shady Creek	id=g:6203633
Arawhata River	id=g:6203634
Arawhata River	id=g:6203635
Smiths Ponds	id=g:6203636
Lake Hamer	id=g:6203637
Arch Falls	id=g:6203638
Mac Falls	id=g:6203639
Martyr River	id=g:6203640
Ida Falls	id=g:6203641
Joseph Brook	id=g:6203642
Thomson Creek	id=g:6203643
Fingals Creek	id=g:6203644
Nob Creek	id=g:6203645
Saddle Creek	id=g:6203646
Sutherland Creek	id=g:6203647
Top Creek	id=g:6203648
Right-Up Creek	id=g:6203649
Nightfall Stream	id=g:6203650
Pounding Torrent	id=g:6203651
Lake Porm	id=g:6203652
Loop Creek	id=g:6203653
Frosty Creek	id=g:6203654
Fraser Creek	id=g:6203655
Notch Creek	id=g:6203656
Downpour Torrent	id=g:6203657
Lake Clarke	id=g:6203658
Saddle Creek West	id=g:6203659
Saddle Creek East	id=g:6203660
Rippling Water	id=g:6203661
Top Creek	id=g:6203662
Kroner Creek	id=g:6203663
Macfarlane Creek	id=g:6203664
Jackson River	id=g:6203665
Jackson River	id=g:6203666
John Creek	id=g:6203667
Dancing Torrent	id=g:6203668
Sweetheart Creek	id=g:6203669
Tower Hill Creek	id=g:6203670
Jackass Creek	id=g:6203671
T.L.Creek	id=g:6203672
Dee Creek	id=g:6203673
Limestone Creek	id=g:6203674
Robinson Creek	id=g:6203675
Barn River	id=g:6203676
Barn Bay	id=g:6203677
Hermitage Swamp	id=g:6203678
Hermitage Swamp	id=g:6203679
Watson Creek	id=g:6203680
Crazy Creek	id=g:6203681
Cranky Creek	id=g:6203682
Disappearing Lake	id=g:6203683
Rapture Rill	id=g:6203684
The Old Man	id=g:6203685
Lake Jumbuck	id=g:6203686
Laschelles Creek	id=g:6203687
Eel Creek	id=g:6203688
Dougal Creek	id=g:6203689
Donald Creek	id=g:6203690
Donald Creek	id=g:6203691
Duncan Creek	id=g:6203692
Whiskey Creek	id=g:6203693
Stafford River	id=g:6203694
Dandys Creek	id=g:6203695
Kakapo Creek	id=g:6203696
Homminy Cove	id=g:6203697
Saddle Creek	id=g:6203698
Smoothwater River	id=g:6203699
Sparkle Rill	id=g:6203700
Ellery Creek	id=g:6203701
Grebe Creek	id=g:6203702
Browning Rivulet	id=g:6203703
Grayling Stream	id=g:6203704
Tuesday Brook	id=g:6203705
Silver Stream	id=g:6203706
Bungle Brook	id=g:6203707
Chatter Rill	id=g:6203708
Gipsy Creek	id=g:6203709
Sponge Swamp	id=g:6203710
Sponge Swamp	id=g:6203711
Burmeister Morass	id=g:6203712
Beau Creek	id=g:6203713
Mount Beck	id=g:6203714
Jerry River	id=g:6203715
Pyke Saddle	id=g:6203716
Cascade Gorge	id=g:6203717
Mount Barry	id=g:6203718
Roa Spur	id=g:6203719
Bald Mountain	id=g:6203720
Wheeler Slope	id=g:6203721
Jerry Bluff	id=g:6203722
Mount Raddle	id=g:6203723
Spectre Faces	id=g:6203724
Arduous Gully	id=g:6203725
OLIVINE RANGE	id=g:6203726
Break Neck Face	id=g:6203727
Mount Nob	id=g:6203728
Quarry Spur	id=g:6203729
Mount Bel	id=g:6203730
Franklin Slopes	id=g:6203731
Lucifer	id=g:6203732
Nimbus Ridge	id=g:6203733
Fingals Head	id=g:6203734
Lumber Flat	id=g:6203735
Mount Grant	id=g:6203736
Tararua Peak	id=g:6203737
Mount Richards	id=g:6203738
Riddle Peak	id=g:6203739
Gorge Bluff	id=g:6203740
Mount Theta	id=g:6203741
Delta Creek	id=g:6203742
Mount Delta	id=g:6203743
Richards Spur	id=g:6203744
Staircase Mountain	id=g:6203745
Moonrise Buttress	id=g:6203746
Dagon	id=g:6203747
Jubilee Flat	id=g:6203748
Thirsty Spur	id=g:6203749
Bench Ridge	id=g:6203750
Sheer Spur	id=g:6203751
Datamos	id=g:6203752
Collyer	id=g:6203753
Distal	id=g:6203754
Red Spur	id=g:6203755
Martyr Spur	id=g:6203756
Baal	id=g:6203757
Baal Spur	id=g:6203758
Dusky Gully	id=g:6203759
Saxifrage Spur	id=g:6203760
Hope Spur	id=g:6203761
Steep Head	id=g:6203762
The Sugar Loaf	id=g:6203763
Watson Bluff	id=g:6203764
Maori Creek	id=g:6203765
Barn Bay Bluff	id=g:6203766
Mount Iota	id=g:6203767
Iota Bluff	id=g:6203768
Dismal Creek	id=g:6203769
Captain Creek	id=g:6203770
Cascade Plateau	id=g:6203771
Mount Eggelling	id=g:6203772
Teer Hill	id=g:6203773
The Bend	id=g:6203774
Charlies Bump	id=g:6203775
Martyr Homestead	id=g:6203776
Monkey Puzzle Gorge	id=g:6203777
Martyr Saddle	id=g:6203778
The Big Bend	id=g:6203779
Cosy Gully	id=g:6203780
Mount Lindsay	id=g:6203781
Lindsay Flat	id=g:6203782
THOMSON RANGE	id=g:6203783
Power Notch	id=g:6203784
Callery Flat	id=g:6203785
Grotto Gully	id=g:6203786
Drew Spur	id=g:6203787
Awkward Spur	id=g:6203788
Frank Spur	id=g:6203789
Boulder Point	id=g:6203790
Howe Creek	id=g:6203791
Quail Gully	id=g:6203792
Mount Jackson	id=g:6203793
Mount Beta	id=g:6203794
McARTHUR TOPS	id=g:6203795
Mount Alpha	id=g:6203796
Teer Plateau	id=g:6203797
Carmichael Plateau	id=g:6203798
Rumbling Torrent	id=g:6203799
Wheeler Spur	id=g:6203800
Standish Creek	id=g:6203801
Standish Ridge	id=g:6203802
Burmeister Point	id=g:6203803
Wheeler Bluff	id=g:6203804
Balmy Vale	id=g:6203805
Blacksmith Spur	id=g:6203806
Lindsay Ridge	id=g:6203807
Contort Spur	id=g:6203808
Moonlit Gully	id=g:6203809
Anderson Glen	id=g:6203810
Teapot Flat	id=g:6203811
Bustling Glen	id=g:6203812
Quail Flat	id=g:6203813
Fury Torrent	id=g:6203814
Moist Gully	id=g:6203815
Jackson Flat	id=g:6203816
Island Flat	id=g:6203817
Blueberry Flat	id=g:6203818
Stevenson Ridge	id=g:6203819
Callery Spur	id=g:6203820
Gorge Rapids	id=g:6203821
Access Creek	id=g:6203822
Fancy Glen	id=g:6203823
Pass Spur	id=g:6203824
Flicker Stream	id=g:6203825
McArthur Knob	id=g:6203826
Mount Ellery	id=g:6203827
Grisly Gully	id=g:6203828
Patchwork Spur	id=g:6203829
Frolic Brook	id=g:6203830
Aroma Gully	id=g:6203831
Macfarlane Mound	id=g:6203832
Mount McLean	id=g:6203833
BURMEISTER TOPS	id=g:6203834
Deep Dale	id=g:6203835
Thompson Creek	id=g:6203836
Mucky Gulch	id=g:6203837
Upper Ridge	id=g:6203838
Tremor Ridge	id=g:6203839
Clarke Hill	id=g:6203840
Neils Beach	id=g:6203841
Macfarlane Pass	id=g:6203842
Spoon Slip	id=g:6203843
Desolate Gully	id=g:6203844
McArthur Spur	id=g:6203845
Stafford Saddle	id=g:6203846
Episode Glen	id=g:6203847
Stafford Hut	id=g:6203848
Seal Rocks	id=g:6203849
Stafford Rocks	id=g:6203850
Smoothwater Point	id=g:6203851
Jackson Bay	id=g:6203852
Mount Eleanor	id=g:6203853
Anataonga Cave	id=g:6203854
Jackson Head	id=g:6203855
Williamson River	id=g:6203856
Topsey Creek	id=g:6203857
Blockade Stream	id=g:6203858
Milner Ice Stream	id=g:6203859
Tornado Creek	id=g:6203860
Pass Creek	id=g:6203861
Ridge Creek	id=g:6203862
Trinity Glacier	id=g:6203863
Forgotten River	id=g:6203864
Silver Glacier	id=g:6203865
Olivine Ice Plateau	id=g:6203866
Memorial Icefall	id=g:6203867
Passchendaele Icefall	id=g:6203868
Twin Icefall	id=g:6203869
Forgotten River	id=g:6203870
Fohn Lakes	id=g:6203871
Thunder Glacier	id=g:6203872
Derivation Icefall	id=g:6203873
Joe Glacier	id=g:6203874
Margaret Glacier	id=g:6203875
Dredgeburn Glacier	id=g:6203876
Abruzzi Glacier	id=g:6203877
Chancellor Glacier	id=g:6203878
Dilemma Glacier	id=g:6203879
Toby Glacier	id=g:6203880
Arcade Glaciers	id=g:6203881
Monteith Glacier	id=g:6203882
Fiery Creek	id=g:6203883
Beans Burn	id=g:6203884
Dredge Burn	id=g:6203885
Margaret Burn	id=g:6203886
False Pass Burn	id=g:6203887
Pass Burn	id=g:6203888
Rough Creek	id=g:6203889
Blue Duck River	id=g:6203890
Whitbourn River	id=g:6203891
Tyndall Glacier	id=g:6203892
Isobel Glacier	id=g:6203893
Tyndall Stream	id=g:6203894
Tummel Burn	id=g:6203895
Matukituki River West Branch	id=g:6203896
Rob Roy Stream	id=g:6203897
Wilsons Camp Stream	id=g:6203898
Brides Veil Stream	id=g:6203899
Brides Veil Waterfall	id=g:6203900
Red Rock Stream	id=g:6203901
Cascade Creek	id=g:6203902
Heads Leap	id=g:6203903
Marshall Glacier	id=g:6203904
Hesse Glacier	id=g:6203905
Bruckner Glacier	id=g:6203906
Pench Glacier	id=g:6203907
Liverpool Glacier	id=g:6203908
Christopher Johnson Glacier	id=g:6203909
Snow White Glacier	id=g:6203910
Key Dome	id=g:6203911
Blue Duck Glacier	id=g:6203912
Curzon Glacier	id=g:6203913
Victoria Glacier	id=g:6203914
Marion Plateau	id=g:6203915
Liverpool Stream	id=g:6203916
Arawhata River	id=g:6203917
Arawhata River	id=g:6203918
Arawhata River	id=g:6203919
Arawhata River	id=g:6203920
Waipara River	id=g:6203921
Waipara River	id=g:6203922
The Wilson	id=g:6203923
Cabin Pass Rapids	id=g:6203924
The Bascand	id=g:6203925
The Purser	id=g:6203926
The Steward	id=g:6203927
Response Torrent	id=g:6203928
Cat O'Nine Tails	id=g:6203929
The Fireman	id=g:6203930
The Binnacle	id=g:6203931
The Bignell	id=g:6203932
Rob Roy Glacier	id=g:6203933
Breakaway	id=g:6203934
Rough Creek	id=g:6203935
The Funnel	id=g:6203936
The Grease Pot	id=g:6203937
The Stoker	id=g:6203938
The Companion Ladder Rapids	id=g:6203939
Waipara River	id=g:6203940
Tar Pot Creek	id=g:6203941
The Rudder	id=g:6203942
Cargo Creek	id=g:6203943
The Third Mate	id=g:6203944
Butland Creek	id=g:6203945
The Larry Bell	id=g:6203946
The Second Mate	id=g:6203947
The Peter Walker	id=g:6203948
The Common Sailor	id=g:6203949
Ratlin Water	id=g:6203950
The Cabin Boy	id=g:6203951
Engineer Creek	id=g:6203952
Campbell Creek	id=g:6203953
Bilge Water	id=g:6203954
Mercer Stream	id=g:6203955
Stokes Creek	id=g:6203956
Phantom Creek	id=g:6203957
Snowball Creek	id=g:6203958
Joe River	id=g:6203959
Joe River	id=g:6203960
South Snowball Creek	id=g:6203961
Victor Creek	id=g:6203962
Paulin Falls	id=g:6203963
Fez Creek	id=g:6203964
Yashmak Creek	id=g:6203965
Fez Creek	id=g:6203966
McFarlanes Creek	id=g:6203967
McTavish Creek	id=g:6203968
Halfway Creek	id=g:6203969
Ten Hour Gorge Creek	id=g:6203970
Collins Creek	id=g:6203971
Mercer Glacier	id=g:6203972
Crescent Lake	id=g:6203973
Crescent Stream	id=g:6203974
Trinity Stream	id=g:6203975
Retreat Creek	id=g:6203976
Holland Creek	id=g:6203977
Malcolm Creek	id=g:6203978
Arcade Creek	id=g:6203979
Captains Creek	id=g:6203980
Durwards Falls	id=g:6203981
Falls Creek	id=g:6203982
Granite Creek	id=g:6203983
Cascade River	id=g:6203984
Barrington Creek	id=g:6203985
Limbo Stream	id=g:6203986
McKenzie Creek	id=g:6203987
Barrier River South Branch	id=g:6203988
Barrier River North Branch	id=g:6203989
Silver Stream	id=g:6203990
Barrier River	id=g:6203991
Lake Never	id=g:6203992
Olivine River	id=g:6203993
Olivine River	id=g:6203994
Olivine Falls	id=g:6203995
Diorite Stream	id=g:6203996
Saddle Stream	id=g:6203997
Red Stream	id=g:6203998
Southern Cross Creek	id=g:6203999
Larnachs Creek	id=g:6204000
Steep Creek	id=g:6204001
Kea Creek	id=g:6204002
Rata Creek	id=g:6204003
Pyke River	id=g:6204004
Simonin Stream	id=g:6204005
Durwards Creek	id=g:6204006
Chrome Creek	id=g:6204007
Red Pyke River	id=g:6204008
Peridot Stream	id=g:6204009
Waipara Saddle	id=g:6204010
Hector Col	id=g:6204011
Bevan Col	id=g:6204012
Scotts Rock Bivouac	id=g:6204013
Arawhata Rock Bivouac	id=g:6204014
