Golo Dukut	id=g:7059044
Golo Liangtanah	id=g:7059045
Golo Liangbua	id=g:7059046
Golo Tando	id=g:7059047
Golo Manuk	id=g:7059048
Golo Wera	id=g:7059049
Golo Wajang	id=g:7059050
Golo Pau	id=g:7059051
Golo Wari	id=g:7059052
Golo Code	id=g:7059053
Golo Wulut	id=g:7059054
Golo Ketang	id=g:7059055
Golo Bongkong	id=g:7059056
Golo Nantal	id=g:7059057
Golo Curu	id=g:7059058
Bendung Waeces	id=g:7059059
Golo Bung	id=g:7059060
Golo Rato	id=g:7059061
Golo Wangkung	id=g:7059062
Bandar Udara Satartacik	id=g:7059063
Novisiat S V D	id=g:7059064
Wae Rengkas	id=g:7059065
Air Terjun Tengkulese	id=g:7059066
Wae Lampang	id=g:7059067
Wae Laja	id=g:7059068
Wae Ros	id=g:7059069
Wae Ela	id=g:7059070
Wae Ruci	id=g:7059071
Wae Poon	id=g:7059072
Wae Moro	id=g:7059073
Wae Lindang	id=g:7059074
Wae Lantar	id=g:7059075
Wae Alur	id=g:7059076
Wae Mbeleng	id=g:7059077
Wae Denger	id=g:7059078
Wae Nciok	id=g:7059079
Wae Cun	id=g:7059080
Wae Ndehes	id=g:7059081
Wae Ncuang	id=g:7059082
Wae Rinteng	id=g:7059083
Wae Rengeng	id=g:7059084
Wae Concal	id=g:7059085
Wae Lao	id=g:7059086
Wae Nara	id=g:7059087
Wae Munti	id=g:7059088
Wae Sirek	id=g:7059089
Wae Lawi	id=g:7059090
Wae Remuk	id=g:7059091
Matawae Numang	id=g:7059092
Wae Ulungkole	id=g:7059093
Wae Meli	id=g:7059094
Wae Behi	id=g:7059095
Wae Balak	id=g:7059096
Wae Jejor	id=g:7059097
Wae Namut	id=g:7059098
Matawae Sosoralo	id=g:7059099
Wae Betong	id=g:7059100
Wae Lawar	id=g:7059101
Wae Lalong	id=g:7059102
Wae Kuwang	id=g:7059103
Wae Garit	id=g:7059104
Wae Tukenikit	id=g:7059105
Wae Langkas	id=g:7059106
Wae Lerong	id=g:7059107
Wae Ngengko	id=g:7059108
Wae Nareng	id=g:7059109
Wae Mulu	id=g:7059110
Wae Ker	id=g:7059111
Wae Mucir	id=g:7059112
Wae Ces	id=g:7059113
Wae Bakar	id=g:7059114
Wae Ngarung	id=g:7059115
Wae Pangga	id=g:7059116
Wae Lamas	id=g:7059117
Wae Nencung	id=g:7059118
Wae Tutung	id=g:7059119
Wae Buka	id=g:7059120
Wae Tekutenda	id=g:7059121
Wae Locak	id=g:7059122
Wae Tumbu	id=g:7059123
Wae Gogol	id=g:7059124
Wae Mese	id=g:7059125
Wae Pau	id=g:7059126
Wae Lowa	id=g:7059127
Wae Kebong	id=g:7059128
Wae Wetot	id=g:7059129
Wae Lae	id=g:7059130
Wae Tengkuweli	id=g:7059131
Wae Tengkutok	id=g:7059132
Wae Leleng	id=g:7059133
Wae Ngkor	id=g:7059134
Wae Ntangis	id=g:7059135
Wae Buang	id=g:7059136
Wae Larang	id=g:7059137
Beang Ledas	id=g:7059138
Wae Pongara	id=g:7059139
Wae Decer	id=g:7059140
Wae Dimpong	id=g:7059141
Matawae Decer	id=g:7059142
Matawae Mbelang	id=g:7059143
Wae Ngkeling	id=g:7059144
Wae Rengko	id=g:7059145
Wae Tiwucewe	id=g:7059146
Wae Labe	id=g:7059147
Wae Redong	id=g:7059148
Wae Rii	id=g:7059149
Golorii	id=g:7059150
Kecamatan Langkerembong	id=g:7059151
Waelindang	id=g:7059152
Desa Melo	id=g:7059766
Desa Arus	id=g:7059767
Desa Lenang	id=g:7059768
Desa Wudi	id=g:7059769
Desa Pocong	id=g:7059770
Desa Rengkam	id=g:7059771
Desa Beawaek	id=g:7059772
Desa Compangndehes	id=g:7059773
Desa Golocador	id=g:7059774
Desa Pocolia	id=g:7059775
Desa Mandosawu	id=g:7059776
Desa Gololobos	id=g:7059777
Desa Nggalakleleng	id=g:7059778
Desa Rendenao	id=g:7059779
Desa Longko	id=g:7059780
Laci	id=g:7059781
Coca	id=g:7059782
Barang	id=g:7059783
Golo Teke	id=g:7059784
Wae Dara	id=g:7059785
Wae Kelek	id=g:7059786
Pesi	id=g:7059787
Rejo	id=g:7059788
Keka	id=g:7059789
Golo Koja	id=g:7059790
Wae Buto	id=g:7059791
Wae Mut	id=g:7059792
Tontong	id=g:7059793
Munta	id=g:7059794
Pongbali	id=g:7059795
Nggela	id=g:7059796
Wae Rina	id=g:7059797
Nteweng	id=g:7059798
Wae Wuka	id=g:7059799
Jing	id=g:7059800
Wae Cerong	id=g:7059801
Nundang	id=g:7059802
Wae Luang	id=g:7059803
Jengok	id=g:7059804
Wenggong	id=g:7059805
Wae Tobang	id=g:7059806
Nundang	id=g:7059807
Rongat	id=g:7059808
Welu	id=g:7059809
Toak	id=g:7059810
Rua	id=g:7059811
Wae Lipang	id=g:7059812
Wae Bongko	id=g:7059813
Wae Lenger	id=g:7059814
Ntungal	id=g:7059815
Melo	id=g:7059816
Redang	id=g:7059817
Wae Melong	id=g:7059818
Beamuring	id=g:7059819
Golo Wuring	id=g:7059820
Cepung	id=g:7059821
Ranawae	id=g:7059822
Kodo	id=g:7059823
Reca	id=g:7059824
Taga	id=g:7059825
Beaceki	id=g:7059826
Golobetong	id=g:7059827
Ndeng	id=g:7059828
Laci	id=g:7059829
Deno	id=g:7059830
Heso	id=g:7059831
Tolok	id=g:7059832
Dewuk	id=g:7059833
Wae Wake	id=g:7059834
Wae Lana	id=g:7059835
Lujang	id=g:7059836
Monggu	id=g:7059837
Pongloleng	id=g:7059838
Wudi	id=g:7059839
Kaung	id=g:7059840
Golo Pongganae	id=g:7059841
Dopo	id=g:7059842
Rakas	id=g:7059843
Waso	id=g:7059844
Najung	id=g:7059845
Lete	id=g:7059846
Golo Rengket	id=g:7059847
Wae Buka	id=g:7059848
Wae Lalu	id=g:7059849
Lenang	id=g:7059850
Wangka	id=g:7059851
Golonderu	id=g:7059852
Golosemba	id=g:7059853
Golo Nacang	id=g:7059854
Waer	id=g:7059855
Ntoreng	id=g:7059856
Beapusa	id=g:7059857
Helung	id=g:7059858
Wae Congkep	id=g:7059859
Wae Damu	id=g:7059860
Wae Rongkong	id=g:7059861
Rowe	id=g:7059862
Wangkung	id=g:7059863
Rembong	id=g:7059864
Gololomes	id=g:7059865
Pandang	id=g:7059866
Waedamu	id=g:7059867
Pinggang	id=g:7059868
Golobongko	id=g:7059869
Tanggar	id=g:7059870
Kuwu	id=g:7059871
Carang	id=g:7059872
Todo	id=g:7059873
Wae Lenta	id=g:7059874
Jalom	id=g:7059875
Ndehes	id=g:7059876
Lidang	id=g:7059877
Wae Kokak	id=g:7059878
Wae Reno	id=g:7059879
Ling	id=g:7059880
Riwe	id=g:7059881
Moncok	id=g:7059882
Wae Kembung	id=g:7059883
Persegi	id=g:7059884
Laci	id=g:7059885
Poeng	id=g:7059886
