Kakapo River	id=g:6242049
Lake Bellbird	id=g:6242050
Pyramid	id=g:6242051
Cuckoo Creek	id=g:6242052
Fuchsia Creek	id=g:6242053
Pyramid Creek	id=g:6242054
Ferris Creek	id=g:6242055
False Creek	id=g:6242056
Ugly River	id=g:6242057
McNabb Creek	id=g:6242058
Lake Jewell	id=g:6242059
Beautiful River	id=g:6242060
Lake Rotopai	id=g:6242061
Lake Barfoot	id=g:6242062
Earthquake Lakes	id=g:6242063
Questa Creek	id=g:6242064
Grace Creek	id=g:6242065
Cavern Creek	id=g:6242066
Asbestos Creek	id=g:6242067
Gabbro Creek	id=g:6242068
Cobb Reservoir	id=g:6242069
Cobb River	id=g:6242070
Thorns Creek	id=g:6242071
Trilobite Creek	id=g:6242072
Bastite Creek	id=g:6242073
Lake Peel	id=g:6242074
Peel Stream	id=g:6242075
Tarn Creek	id=g:6242076
Wilkinson Creek	id=g:6242077
Meyer Stream	id=g:6242078
Twins Creek	id=g:6242079
GARIBALDI RIDGE	id=g:6242080
Horseshoe Creek	id=g:6242081
Holmwood Creek	id=g:6242082
Lodestone Creek	id=g:6242083
Quartz Creek	id=g:6242084
Saddle Creek	id=g:6242085
Ghost Creek	id=g:6242086
Takaka River	id=g:6242087
Pearse River	id=g:6242088
Whisky Creek	id=g:6242089
Taylor Creek	id=g:6242090
Mount Garibaldi	id=g:6242091
Ironstone Creek	id=g:6242092
Loveridge Creek	id=g:6242093
Bruce Creek	id=g:6242094
Ellis Creek	id=g:6242095
Ellis River	id=g:6242096
Baton River	id=g:6242097
Baton River	id=g:6242098
Murray Stream	id=g:6242099
Hicky Creek	id=g:6242100
Long Gully Stream	id=g:6242101
White Creek	id=g:6242102
Haines Stream	id=g:6242103
Green Hill Creek	id=g:6242104
Waterfall Creek	id=g:6242105
Clarke River	id=g:6242106
Marble Arch Creek	id=g:6242107
Bush Flat	id=g:6242108
False Peak	id=g:6242109
Gridiron Rock Shelters	id=g:6242110
Little Bacon Creek	id=g:6242111
Bacon Creek	id=g:6242112
McRae Creek	id=g:6242113
Blue Rock Creek	id=g:6242114
Blue Duck Stream	id=g:6242115
Crow River	id=g:6242116
Hambone Creek	id=g:6242117
Little Crow River	id=g:6242118
Growler Creek	id=g:6242119
Baton Saddle	id=g:6242120
Skeet Saddle	id=g:6242121
Hambone Saddle	id=g:6242122
Kakapo Saddle	id=g:6242123
Paryphanta Saddle	id=g:6242124
Growler Rock Shelter	id=g:6242125
Dry Rock Shelter	id=g:6242126
Sphinx Valley Cave	id=g:6242127
Ernest Creek	id=g:6242128
Cloustons Mine	id=g:6242129
Camp Creek	id=g:6242130
Asbestos Cottage	id=g:6242131
Old Upper Takaka Track	id=g:6242132
Bullock Track	id=g:6242133
Lower Junction	id=g:6242134
Upper Junction	id=g:6242135
The Haystack	id=g:6242136
Twenty Four Tarn Basin	id=g:6242137
Kakapo Hut	id=g:6242138
Mount Lester	id=g:6242139
Shelter Rock Basin	id=g:6242140
