The Cangkringan Jogja Spa & Villa	id=g:6496875
Puri Dalem Hotel	id=g:6497148
Novus Resort & Spa	id=g:6497345
Patra Jasa Lodge Cirebon	id=g:6497507
Novus Bali Villa	id=g:6497883
Bagus Jati Health & Well Being Retreat	id=g:6497903
Losari Coffee Plantation - Resort & Spa	id=g:6498007
Ramada Resort Benoa Bali	id=g:6498186
Suites Hotel Bali Royal	id=g:6498231
Holiday Resort Lombok	id=g:6498477
Puri Bagus Manggis	id=g:6498604
The Baliem Valley Resort	id=g:6498729
The Jayakarta Yogyakarta	id=g:6499587
Mentari Sanur Hotel	id=g:6499611
Bali Spirit Hotel & Spa	id=g:6499725
Alam Sari Keliki Resort & spa	id=g:6499918
The Jayakarta Bandung	id=g:6499951
Taman Harum Cottages	id=g:6500134
Graha Resort Ubud	id=g:6500281
Alam Puri Villas	id=g:6500494
Conrad Bali Resort & Spa	id=g:6500933
Maya Ubud Resort and Spa	id=g:6501005
The Westin Resort - Nusa Dua	id=g:6501138
Angsana Resort & Spa Bintan	id=g:6501455
Club Bali Mirage All Inclusive	id=g:6501579
Sanur Paradise Plaza Hotel	id=g:6501913
Melia Bali Villas & Spa	id=g:6502020
Melia Benoa All Inclusive	id=g:6502114
Villa Semana & -Ubud Hotels-Indonesia	id=g:6503198
Tuqu Hotel Malang	id=g:6504935
Prani Legian Hotel	id=g:6505064
Puri Lumbung	id=g:6505082
Mercure Residence Puri	id=g:6505196
Matahari Beach Resort And Spa	id=g:6505445
Ritz Carlton Jakarta	id=g:6505539
Inna Wisata	id=g:6505600
Inna Simpang	id=g:6506050
Hotel Indonesia	id=g:6506079
Club Bali Family Suites	id=g:6506154
Inna Tretes	id=g:6506842
Swiss Grand Bali	id=g:6506924
Komaneka Resort	id=g:6507547
Santika Premiere Jakarta	id=g:6507815
Hotel Sedona Makassar	id=g:6508117
Allson Residence At Mitra Oasis	id=g:6508171
Novotel Lombok	id=g:6508374
The Dharmawangsa Jakarta	id=g:6508463
Bw Asean Intl Hotel	id=g:6508464
Novotel Benoa Bali	id=g:6508653
Novotel Solo	id=g:6508757
Borobudur Jakarta Hotel	id=g:6509866
Melia Bali The Garden Villas	id=g:6510461
The Legian Bali	id=g:6510956
Dusun Jogja Village Inn	id=g:6511101
Vila Ombak	id=g:6511212
Amandari	id=g:6512112
Amanjiwo	id=g:6512183
Amankila	id=g:6512190
Amanusa	id=g:6512356
Ritz Carlton Bali	id=g:6512370
Four Seasons Jimbaran Bay Bali	id=g:6512474
Lorin Villa Resort	id=g:6512505
Nusa Dua Beach Hotel And Spa	id=g:6512531
Four Seasons Sayan Bali	id=g:6512579
Grand Hyatt Bali	id=g:6512664
Hyatt Regency Yogyakarta	id=g:6512703
Bali Hyatt	id=g:6512933
Mercure Grand Hotel Surabaya	id=g:6514653
Hotel Ibis Tamarin	id=g:6514885
Amanwana	id=g:6515390
Novotel Surabaya Hotel	id=g:6515823
Millennium Sirih Jakarta	id=g:6516296
Four Seasons Jakarta	id=g:6516476
Sultan Hotel Jakarta	id=g:6517152
Hyatt Regency Surabaya	id=g:6518126
Flora Beach Hotel	id=g:6518219
Swiss Belhotel Banda Aceh	id=g:6518254
Perdana Dadi Hotel	id=g:6518314
Putri Bali Villa	id=g:6518315
Hotel Flamboyan	id=g:6518358
Bali Matahari Hotel	id=g:6518410
Marriott Exec Apts Mayflower	id=g:6518503
Mercure Surabaya	id=g:6518531
Hotel Hapel Semer	id=g:6518576
Yulia Village Inn	id=g:6518582
Panorama Hotel	id=g:6518588
Hotel Bunga Permai	id=g:6518590
Hotel Karthi	id=g:6518591
Maxi Hotel	id=g:6518592
Warwick Ibah Lxy Villas And Spa	id=g:6518595
Puri Bunga Village Hotel	id=g:6518605
The Jimbaran Villas	id=g:6518637
Respati Sanur Beach Hotel	id=g:6518671
Sari Segara Resort	id=g:6518760
Abangan Bungalow	id=g:6518800
Vilarisi Hotel  Restaurant	id=g:6518810
Bali Merita Villa	id=g:6518914
The Dusun	id=g:6518959
Baleka Beach Resort	id=g:6519047
Coconut Grove Village Hotel	id=g:6519072
Puri Bambu Hotel	id=g:6519105
Legian Village Hotel	id=g:6519111
Bali Holiday Resort	id=g:6519401
Sesari Bali	id=g:6519479
Besakih Beach Resort	id=g:6519500
Aa Hotel	id=g:6519580
Sativa Sanur Cottages	id=g:6519648
Hotel Puri Tanah Lot	id=g:6519670
Tamu Kami Hotel	id=g:6519676
Rosani Hotel	id=g:6519771
Puri Sading Hotel	id=g:6519793
Somerset Berlian	id=g:6519813
